	comment	HMT	level	type	source	max Segata oral sites	max Dewhirst oral site	max Eren oral site	max any oral site	Abundance category	Segata 2012 abundance data																				Dewhirst 35x9 abundance																												Eren et al. 2014 abundance data																				
Headers											BM		KG		HP		Throat		PT		TD		Saliva		SupP		SubP		Stool		BM			KG			HP			TD			PT			Throat			Saliva			SupP			SubP				BM		KG		HP		TD		PT		Throat		Saliva		SupP		SubP		Stool		
HOMD taxonomy											AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence		mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	notes
Archaea			Domain			0			0	4	0	0	0	0.001	0	0	0	0.005	0	0.001	0	0	0	0.004	0	0	0	0.002	0.001	0.006																																																	
Bacteria			Domain			100			100	1	100	0.003	100	0.001	100	0	100	0.005	100	0.001	100	0	100	0.004	100	0	99.999	0.008	99.999	0.006																																																	
Archaea;Euryarchaeota			Phylum			0			0	4	0	0	0	0.001	0	0	0	0.005	0	0.001	0	0	0	0.004	0	0	0	0.002	0.001	0.006																																																	
Bacteria;Absconditabacteria (SR1)			Phylum			0.405			0.405	2	0.016	0.048	0.003	0.013	0.048	0.184	0.083	0.266	0.092	0.344	0.065	0.246	0.405	1.184	0.033	0.095	0.039	0.121	0	0																																																	
Bacteria;Actinobacteria			Phylum			27.186			27.186	1	5.335	6.168	1.192	2.966	7.329	6.475	7.871	6.548	5.863	5.3	10.877	7.665	4.428	3.789	27.186	14.066	20.2	13.447	0.507	2.819																																																	
Bacteria;Bacteroidetes			Phylum			23.051			23.051	1	8.28	6.216	12.986	12.948	13.375	7.301	19.08	8.965	19.94	10.228	16.281	7.32	23.051	8.496	17.255	8.657	22.708	10.432	65.201	20.5																																																	
Bacteria;Chlamydiae			Phylum						0	4																																																																					
Bacteria;Chlorobi			Phylum						0	4																																																																					
Bacteria;Chloroflexi			Phylum			0.002			0.002	4	0	0.002	0	0	0	0.002	0	0.003	0.001	0.005	0	0	0	0.001	0.001	0.004	0.002	0.015	0	0																																																	
