Microbial clades		G1								G2										G3						G4	
Headers		GroupG1		BM		KG		Hp		GroupG2		Th		PT		TD		Sal		GroupG3		SupP		SubP		Stool	
	max	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV
Column1	Column28	Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column9	Column10	Column11	Column12	Column13	Column14	Column15	Column16	Column17	Column18	Column19	Column20	Column21	Column22	Column23	Column24	Column25	Column26	Column27
Archaea	0	0	0	0	0	0	0.001	0	0	0	0.002	0	0.005	0	0.001	0	0	0	0.004	0	0.001	0	0	0	0.002	0.001	0.006
Bacteria	100	100	0.001	100	0.003	100	0.001	100	0	100	0.002	100	0.005	100	0.001	100	0	100	0.004	99.999	0.004	100	0	99.999	0.008	99.999	0.006
unclassified	0.001	0	0.001	0	0.003	0	0	0	0	0	0.001	0	0	0	0.001	0	0	0	0.001	0.001	0.004	0	0	0.001	0.008	0	0
Archaea;Euryarchaeota	0	0	0	0	0	0	0.001	0	0	0	0.002	0	0.005	0	0.001	0	0	0	0.004	0	0.001	0	0	0	0.002	0.001	0.006
Bacteria;Acidobacteria	0.001	0	0.005	0	0.006	0	0	0.001	0.009	0	0.002	0.001	0.008	0	0	0	0	0	0.002	0	0.001	0	0	0	0.002	0	0
Bacteria;Actinobacteria	27.186	4.619	5.203	5.335	6.168	1.192	2.966	7.329	6.475	7.26	5.825	7.871	6.548	5.863	5.3	10.877	7.665	4.428	3.789	23.693	13.757	27.186	14.066	20.2	13.447	0.507	2.819
Bacteria;Bacteroidetes	23.051	11.547	8.822	8.28	6.216	12.986	12.948	13.375	7.301	19.588	8.752	19.08	8.965	19.94	10.228	16.281	7.32	23.051	8.496	19.981	9.545	17.255	8.657	22.708	10.432	65.201	20.5
Bacteria;Chloroflexi	0.002	0	0.001	0	0.002	0	0	0	0.002	0	0.002	0	0.003	0.001	0.005	0	0	0	0.001	0.001	0.01	0.001	0.004	0.002	0.015	0	0
Bacteria;Cyanobacteria	0.107	0.058	0.578	0.107	1.005	0.055	0.664	0.012	0.065	0.03	0.138	0.026	0.12	0.006	0.023	0.004	0.016	0.085	0.394	0.006	0.051	0.008	0.067	0.005	0.036	0.002	0.017
Bacteria;Deinococcus-Thermus	0.002	0.001	0.012	0.002	0.023	0	0.002	0.001	0.01	0.001	0.008	0.002	0.019	0	0.002	0	0	0.001	0.008	0.001	0.01	0	0	0.002	0.02	0	0
