Taxonomy	Rank	HMT	Notes	Max	BM-mean	BM-sd	BM-prev	HP-mean	HP-sd	HP-prev	KG-mean	KG-sd	KG-prev	PT-mean	PT-sd	PT-prev	SUBP-mean	SUBP-sd	SUBP-prev	SUPP-mean	SUPP-sd	SUPP-prev	SV-mean	SV-sd	SV-prev	TD-mean	TD-sd	TD-prev	TH-mean	TH-sd	TH-prev	NS-mean	NS-sd	NS-prev
Bacteria	domain			100.001	99.994	0.023	100.0	100.001	0.008	100.0	99.999	0.01	100.0	99.999	0.01	100.0	99.958	0.102	100.0	99.984	0.036	100.0	99.999	0.011	100.0	100.0	0.007	100.0	99.997	0.01	100.0	99.921	0.063	100.0
Bacteria;Proteobacteria	phylum			17.658	14.126	11.931	100.0	15.247	11.787	100.0	17.658	16.393	100.0	8.486	8.17	100.0	8.472	8.496	100.0	8.234	8.06	100.0	10.876	10.454	100.0	13.131	12.391	100.0	9.011	9.122	100.0	1.1	1.69	70.0
Bacteria;Firmicutes	phylum			68.678	68.678	17.456	100.0	59.776	18.476	100.0	68.17	20.283	100.0	53.542	17.458	100.0	32.215	15.866	100.0	41.396	15.555	100.0	56.267	20.008	100.0	55.269	18.067	100.0	55.271	14.436	100.0	20.267	24.307	100.0
Bacteria;Actinobacteria	phylum			78.476	6.023	5.786	100.0	6.583	5.406	100.0	4.121	6.198	100.0	5.098	5.127	100.0	16.739	14.744	100.0	14.16	13.62	100.0	7.266	5.295	100.0	6.338	5.018	100.0	4.78	2.871	100.0	78.476	24.771	100.0
Bacteria;Spirochaetes	phylum			1.366	0.097	0.269	62.857	0.028	0.07	60.714	0.026	0.053	55.814	0.328	0.874	77.419	1.366	3.435	79.73	0.235	0.499	76.471	0.018	0.021	70.0	0.01	0.025	47.5	0.057	0.126	87.879	0.0	0.0	0.0
Bacteria;Fusobacteria	phylum			19.097	4.312	4.67	100.0	4.392	5.76	100.0	3.523	4.653	100.0	9.537	9.476	100.0	19.097	14.494	100.0	18.606	12.683	100.0	4.912	5.507	100.0	8.045	9.812	100.0	8.988	8.976	100.0	0.018	0.041	30.0
Bacteria;Bacteroidetes	phylum			21.526	6.275	6.493	100.0	13.655	11.194	100.0	5.963	7.242	100.0	21.526	12.042	100.0	16.774	10.439	100.0	14.197	9.048	100.0	19.559	16.097	100.0	16.637	11.017	100.0	20.712	9.136	100.0	0.057	0.109	40.0
Bacteria;Absconditabacteria (SR1)	phylum			0.604	0.029	0.051	54.286	0.046	0.109	53.571	0.073	0.159	58.14	0.604	1.4	64.516	0.209	1.407	41.892	0.059	0.16	55.882	0.329	1.051	64.0	0.106	0.379	55.0	0.364	0.839	63.636	0.0	0.0	0.0
Bacteria;Saccharibacteria (TM7)	phylum			4.575	0.418	0.913	100.0	0.259	0.445	96.429	0.458	0.924	93.023	0.807	1.373	100.0	4.575	6.904	97.297	2.986	5.847	100.0	0.764	2.21	100.0	0.461	0.631	92.5	0.805	1.139	100.0	0.003	0.009	10.0
Bacteria;Synergistetes	phylum			0.392	0.032	0.078	51.429	0.009	0.021	28.571	0.004	0.013	20.93	0.072	0.277	45.161	0.392	1.2	43.243	0.024	0.048	47.059	0.006	0.012	46.0	0.001	0.003	17.5	0.009	0.023	42.424	0.0	0.0	0.0
