Taxonomy	Rank	HMT	Notes	Max	BM-mean	BM-sd	BM-prev	HP-mean	HP-sd	HP-prev	KG-mean	KG-sd	KG-prev	PT-mean	PT-sd	PT-prev	ST-mean	ST-sd	ST-prev	SUBP-mean	SUBP-sd	SUBP-prev	SUPP-mean	SUPP-sd	SUPP-prev	SV-mean	SV-sd	SV-prev	TD-mean	TD-sd	TD-prev	TH-mean	TH-sd	TH-prev
Bacteria	domain			99.865	99.702	0.861	100.0	99.322	1.848	100.0	99.559	1.841	100.0	99.367	3.005	100.0	1.887	5.543	96.104	98.782	2.891	100.0	99.267	1.307	100.0	98.863	2.125	100.0	99.865	0.725	100.0	99.43	1.524	100.0
Bacteria;Firmicutes	phylum			74.909	74.909	14.183	100.0	68.459	14.117	100.0	74.537	16.376	100.0	51.096	18.254	100.0	1.834	5.526	84.416	24.422	13.156	100.0	25.375	10.493	100.0	42.89	11.512	100.0	46.197	13.32	100.0	51.17	16.447	100.0
Bacteria;Proteobacteria	phylum			17.628	8.131	7.061	100.0	8.255	5.721	100.0	10.625	9.289	100.0	12.073	9.156	100.0	0.018	0.042	27.273	15.108	10.057	100.0	17.628	10.417	100.0	16.356	8.322	100.0	15.668	11.463	100.0	12.956	11.979	100.0
Bacteria;Spirochaetes	phylum			1.906	0.055	0.142	37.662	0.039	0.08	38.961	0.001	0.005	6.494	0.708	2.095	80.519	0.0	0.003	2.597	1.906	3.639	72.727	0.557	1.415	49.351	0.243	0.754	64.935	0.051	0.108	40.26	0.181	0.504	50.649
Bacteria;Actinobacteria	phylum			30.996	7.013	7.285	100.0	8.905	6.246	98.701	1.966	3.972	92.208	8.175	6.14	98.701	0.012	0.026	25.974	25.099	15.88	100.0	30.996	15.759	100.0	6.49	6.006	97.403	16.133	8.786	100.0	11.119	8.422	100.0
Bacteria;Fusobacteria	phylum			9.985	1.831	1.971	98.701	2.161	1.741	98.701	2.076	4.331	90.909	8.755	7.623	100.0	0.003	0.009	9.091	9.985	9.56	98.701	6.598	6.34	100.0	3.087	2.045	98.701	5.361	4.569	100.0	6.546	6.462	100.0
Bacteria;Bacteroidetes	phylum			19.213	7.367	5.566	100.0	10.718	5.994	100.0	10.071	11.033	100.0	16.657	8.351	100.0	0.012	0.023	31.169	19.213	10.393	100.0	15.677	8.755	100.0	17.622	6.59	100.0	14.301	7.55	100.0	15.084	7.103	100.0
Bacteria;Saccharibacteria_(TM7)	phylum			12.121	0.389	0.721	83.117	0.777	0.789	94.805	0.284	0.708	51.948	1.901	2.699	97.403	0.007	0.025	14.286	2.896	4.646	92.208	2.266	3.245	89.61	12.121	12.855	98.701	2.154	2.579	92.208	2.367	2.508	94.805
Bacteria;Gracilibacteria_(GN02)	phylum			0.169	0.007	0.024	15.584	0.008	0.033	15.584	0.001	0.004	2.597	0.002	0.007	6.494	0.0	0.0	0.0	0.152	0.389	37.662	0.169	0.384	41.558	0.054	0.126	40.26	0.001	0.006	3.896	0.006	0.021	10.39
Bacteria;Firmicutes;Clostridia	class			6.365	0.651	0.679	94.805	2.232	1.777	100.0	0.12	0.26	63.636	4.438	3.42	100.0	0.009	0.023	23.377	0.999	0.914	92.208	0.758	1.064	88.312	6.365	4.648	98.701	4.261	2.925	100.0	5.333	3.774	100.0
Bacteria;Proteobacteria;Betaproteobacteria	class			13.599	4.23	5.27	97.403	4.997	4.825	98.701	2.548	4.804	92.208	6.771	8.321	96.104	0.006	0.028	10.39	11.556	10.439	98.701	13.599	9.829	100.0	6.724	6.697	98.701	9.969	11.388	98.701	6.549	8.776	98.701
Bacteria;Firmicutes;Bacilli	class			70.649	70.649	16.375	100.0	59.595	17.574	100.0	69.58	17.947	100.0	35.699	22.718	100.0	0.077	0.107	67.532	17.825	13.3	100.0	20.232	10.654	100.0	20.399	11.75	98.701	29.756	14.7	100.0	34.13	19.942	100.0
Bacteria;Spirochaetes;Spirochaetia	class			1.906	0.055	0.142	37.662	0.039	0.08	38.961	0.001	0.005	6.494	0.708	2.095	80.519	0.0	0.003	2.597	1.906	3.639	72.727	0.557	1.415	49.351	0.243	0.754	64.935	0.051	0.108	40.26	0.181	0.504	50.649
Bacteria;Proteobacteria;Gammaproteobacteria	class			6.446	3.402	4.435	97.403	2.131	3.072	100.0	6.446	6.563	100.0	1.93	3.138	94.805	0.011	0.032	18.182	1.253	2.223	93.506	2.327	5.791	97.403	2.79	4.024	96.104	2.606	4.561	93.506	2.843	9.378	94.805
Bacteria;Proteobacteria;Epsilonproteobacteria	class			6.841	0.499	0.574	90.909	1.126	1.021	100.0	1.631	4.103	81.818	3.372	3.239	100.0	0.001	0.008	5.195	2.299	1.85	100.0	1.703	1.935	94.805	6.841	5.173	98.701	3.093	2.831	100.0	3.564	3.215	98.701
Bacteria;Firmicutes;Tissierellia	class			0.158	0.013	0.029	29.87	0.099	0.162	59.74	0.004	0.02	11.688	0.158	0.376	59.74	0.0	0.0	0.0	0.104	0.187	54.545	0.016	0.033	28.571	0.065	0.13	45.455	0.119	0.241	49.351	0.1	0.269	49.351
Bacteria;Firmicutes;Negativicutes	class			15.79	3.571	3.544	100.0	6.33	4.04	100.0	4.831	5.311	100.0	10.443	5.778	100.0	1.73	5.528	55.844	5.461	5.507	98.701	4.356	4.744	100.0	15.79	7.16	100.0	11.771	5.119	100.0	11.247	6.422	100.0
Bacteria;Actinobacteria;Actinomycetia	class			30.969	6.918	7.225	100.0	8.445	6.036	98.701	1.952	3.929	92.208	7.613	5.877	98.701	0.012	0.026	25.974	24.984	15.919	100.0	30.969	15.773	100.0	5.778	5.875	97.403	15.149	8.297	100.0	10.279	8.073	100.0
Bacteria;Fusobacteria;Fusobacteriia	class			9.985	1.831	1.971	98.701	2.161	1.741	98.701	2.076	4.331	90.909	8.755	7.623	100.0	0.003	0.009	9.091	9.985	9.56	98.701	6.598	6.34	100.0	3.087	2.045	98.701	5.361	4.569	100.0	6.546	6.462	100.0
Bacteria;Bacteroidetes;Flavobacteriia	class			11.537	2.102	3.135	98.701	0.57	0.661	96.104	1.533	1.846	94.805	2.224	3.263	92.208	0.002	0.008	7.792	10.47	7.706	100.0	11.537	7.193	100.0	2.042	1.985	94.805	0.849	1.379	93.506	1.607	2.753	94.805
