ID type,FeatureID,HMT,Kingdom,Phylum,Class,Order,Family,Genus,Species,Assign_reads_to,UC01,UC02,UC03,UC04,UC06,UC08,UC09,UC11,UC13,UC15,UC16,UC18,UC19,UC25,UC29,UC30,UC31,UC32,UC34,UC35
0,HMT389,389,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,defectiva,100,51,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,10
0,HMT297,297,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,johnsonii,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
0,HMT866,866,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,graevenitzii,100,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
0,HMT701,701,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,odontolyticus,100,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11
0,HMT169,169,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,sp.HMT169,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
0,HMT175,175,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,sp.HMT175,100,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0
0,HMT312,312,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,viridans,100,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
0,HMT017,17,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Anaerococcus,octavius,100,0,837,0,350,0,0,644,186,16,932,3153,1398,787,93,0,0,565,288,2965,0
0,HMT290,290,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Anaerococcus,sp.HMT290,100,0,2068,0,27,0,298,2162,1909,936,524,29,7607,1065,9,11,373,167,1361,8383,22
0,HMT295,295,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Anaerococcus,sp.HMT295,100,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0
0,HMT422,422,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Bergeyella,sp.HMT422,100,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,HMT340,340,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium,paucivorans,100,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
0,HMT571,571,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,cepacia,100,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,HMT842,842,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,ureolyticus,100,0,0,0,59,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
0,HMT325,325,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,granulosa,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,HMT775,775,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,sputigena,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
