Taxonomy	Notes	HMT	Rank	type	source	Max	max any oral site	Abundance category	BM-mean	BM-sd	BM-prev	KG-mean	KG-sd	KG-prev	HP-mean	HP-sd	HP-prev	TD-mean	TD-sd	TD-prev	PT-mean	PT-sd	PT-prev	TH-mean	TH-sd	TH-prev	SV-mean	SV-sd	SV-prev	SupP-mean	SupP-sd	SupP-prev	SubP-mean	SubP-sd	SubP-prev
HOMD taxonomy									mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;oralis		815	Species				0	4																											
Bacteria;Absconditabacteria (SR1);Absconditabacteria (SR1) [C-1];Absconditabacteria (SR1) [O-1];Absconditabacteria (SR1) [F-1];Absconditabacteria (SR1) [G-1];bacterium HMT 345		345	Species			0.318	0.317993286	2	0.007	0.016	37.5	0.003	0.009	17.6	0.005	0.012	26.9	0.027	0.095	34.4	0.318	0.858	48.3	0.121	0.424	51.6	0.05	0.116	38.8	0.017	0.047	37.1	0.01	0.036	18.1
Bacteria;Absconditabacteria (SR1);Absconditabacteria (SR1) [C-1];Absconditabacteria (SR1) [O-1];Absconditabacteria (SR1) [F-1];Absconditabacteria (SR1) [G-1];bacterium HMT 874		874	Species			0.203	0.203422413	2	0.006	0.015	31.3	0.009	0.035	26.5	0.005	0.013	19.2	0.004	0.011	31.3	0.011	0.022	31	0.023	0.051	45.2	0.021	0.064	38.8	0.035	0.124	51.4	0.203	1.423	26.4
Bacteria;Absconditabacteria (SR1);Absconditabacteria (SR1) [C-1];Absconditabacteria (SR1) [O-1];Absconditabacteria (SR1) [F-1];Absconditabacteria (SR1) [G-1];bacterium HMT 875		875	Species			0.317	0.317168545	2	0.015	0.037	40.6	0.01	0.031	29.4	0.039	0.107	42.3	0.101	0.398	46.9	0.317	1.191	55.2	0.184	0.613	51.6	0.265	0.998	57.1	0.006	0.029	20	0.002	0.006	15.3
Bacteria;Absconditabacteria (SR1);Absconditabacteria (SR1) [C-2];Absconditabacteria (SR1) [O-2];Absconditabacteria (SR1) [F-2];Absconditabacteria (SR1) [G-2];bacterium HMT 990		990	Species	Non-Oral Ref			0	4																											
Bacteria;Absconditabacteria (SR1);Absconditabacteria (SR1) [C-3];Absconditabacteria (SR1) [O-3];Absconditabacteria (SR1) [F-3];Absconditabacteria (SR1) [G-3];bacterium HMT 991		991	Species	Non-Oral Ref			0	4																											
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Actinomyces;dentalis		888	Species			0.063	0.063464366	3	0.002	0.004	34.4	0.001	0.003	14.7	0.001	0.003	7.7	0	0	0	0	0	0	0.001	0.002	12.9	0.001	0.002	22.4	0.063	0.16	71.4	0.024	0.045	56.9
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Actinomyces;gerencseriae		618	Species			0.042	0.234802767	2	0.001	0.003	18.8	0.004	0.014	17.6	0.001	0.003	15.4	0	0.001	6.3	0	0	0	0.001	0.004	6.5	0	0	2	0.016	0.024	62.9	0.042	0.132	65.3
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Actinomyces;graevenitzii		866	Species			0.842	2.506473969	1	0.072	0.129	71.9	0.015	0.032	52.9	0.302	0.416	96.2	0.719	0.752	100	0.686	1.363	100	0.842	1.276	96.8	0.571	0.965	95.9	0.003	0.01	22.9	0.003	0.009	29.2
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Actinomyces;israelii		645	Species			0.051	0.050648785	3	0.002	0.004	31.3	0.004	0.018	17.6	0	0.001	11.5	0	0	0	0	0.001	6.9	0	0.001	6.5	0	0.001	10.2	0.014	0.035	60	0.051	0.119	72.2
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Actinomyces;johnsonii		849	Species			0.074	0.085182195	3	0.006	0.01	46.9	0.011	0.028	52.9	0.029	0.077	65.4	0	0	3.1	0	0	0	0.01	0.051	19.4	0.002	0.004	22.4	0.068	0.106	80	0.074	0.171	70.8
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Actinomyces;massiliensis		852	Species			0.182	0.536045073	2	0.004	0.007	43.8	0.012	0.029	52.9	0.009	0.022	46.2	0	0	0	0	0.001	6.9	0.001	0.005	22.6	0.001	0.002	22.4	0.182	0.381	91.4	0.177	0.367	76.4
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Actinomyces;naeslundii		176	Species			0.777	1.007797052	1	0.089	0.26	87.5	0.057	0.112	73.5	0.086	0.17	88.5	0.002	0.004	21.9	0.001	0.003	24.1	0.005	0.012	45.2	0.013	0.025	63.3	0.777	1.535	100	0.65	1.2	94.4
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Actinomyces;oricola		708	Species				0	4																											
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Actinomyces;oris		893	Species			0.739	1.96978888	1	0.097	0.156	93.8	0.104	0.201	85.3	0.034	0.059	84.6	0.001	0.003	21.9	0.002	0.004	34.5	0.006	0.012	54.8	0.009	0.012	67.3	0.54	0.941	97.1	0.739	2.933	88.9
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Actinomyces;radicidentis		746	Species				0	4																											
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT 169		169	Species			2.899	3.846565497	1	0.409	0.767	93.8	0.347	1.388	88.2	0.205	0.296	80.8	0.004	0.007	56.3	0.004	0.005	65.5	0.024	0.065	67.7	0.062	0.124	93.9	2.899	6.606	94.3	1.893	4.779	91.7
