initial order	domain	phylum	class	order	family	genus	Notes	string								
1	Bacteria	Absconditabacteria_(SR1) 					ok	Bacteria;Absconditabacteria_(SR1)								
2	Bacteria	Tenericutes	Mollicutes				ok	Bacteria;Tenericutes;Mollicutes								
3	Bacteria	Firmicutes	Clostridia	Clostridiales			could be Eubacteriales or Tissierellales unless Class Clostridia is really that and not Tissierella	Bacteria;Firmicutes;Clostridia;Clostridiales								
4	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales			ok	Bacteria;Tenericutes;Mollicutes;Mycoplasmatales								
5	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales			ok	Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales								
6	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Micrococcales		ok	Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Micrococcales								
7	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Corynebacteriales		ok	Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Corynebacteriales								
8	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Micrococcaceae		ok	Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Micrococcaceae								
9	Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae		ok	Bacteria;Firmicutes;Clostridia;Eubacteriales;Eubacteriaceae								
10	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae		ok	Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae								
11	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptococcaceae		ok	Bacteria;Firmicutes;Clostridia;Eubacteriales;Peptococcaceae								
12	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae		ok	Bacteria;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae								
13	Bacteria	Firmicutes	Clostridia	Eubacteriales	Ruminococcaceae		ok	Bacteria;Firmicutes;Clostridia;Eubacteriales;Ruminococcaceae								
14	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae		ok	Bacteria;Tenericutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae								
15	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae		ok	Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Bradyrhizobiaceae								
16	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae		ok	Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Brucellaceae								
17	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae		ok	Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae								
18	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae		ok	Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae								
19	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae		ok	Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Treponemataceae								
20	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae		ok	Bacteria;Synergistetes;Synergistia;Synergistales;Synergistaceae								
21	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Micrococcales	Kytococcaceae	ok	Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Micrococcales;Kytococcaceae								
22	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Dietziaceae	Dietzia	ok	Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Dietziaceae;Dietzia								
23	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Kocuria	ok	Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Kocuria								
24	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Micrococcus	ok	Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Micrococcus								
25	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Rothia	ok	Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Rothia								
26	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Acidipropionibacterium	Probably Arachnia or Cutibacterium as more common than Acidipropionibacterium?	Bacteria;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Acidipropionibacterium								
27	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Atopobium	could be Atopobium or Lancefieldella as Atopobium split	Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Atopobium								
28	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Slackia	ok	Bacteria;Actinobacteria;Coriobacteriia;Eggerthellales;Eggerthellaceae;Slackia								
29	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Tannerella	ok	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Tannerella								
30	Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Eubacterium	ok	Bacteria;Firmicutes;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium								
31	Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Pseudoramibacter	ok	Bacteria;Firmicutes;Clostridia;Eubacteriales;Eubacteriaceae;Pseudoramibacter								
32	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Butyrivibrio	ok	Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio								
33	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Catonella	ok	Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Catonella								
34	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Johnsonella	ok	Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Johnsonella								
35	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Oribacterium	ok	Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium								
36	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Shuttleworthia	ok	Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Shuttleworthia								
37	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptococcaceae	Peptococcus	ok	Bacteria;Firmicutes;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus								
38	Bacteria	Firmicutes	Clostridia	Tissierellales	Peptoniphilaceae	Anaerococcus	ok	Bacteria;Firmicutes;Clostridia;Tissierellales;Peptoniphilaceae;Anaerococcus								
39	Bacteria	Firmicutes	Clostridia	Tissierellales	Peptoniphilaceae	Finegoldia	ok	Bacteria;Firmicutes;Clostridia;Tissierellales;Peptoniphilaceae;Finegoldia								
40	Bacteria	Firmicutes	Clostridia	Tissierellales	Peptoniphilaceae	Parvimonas	ok	Bacteria;Firmicutes;Clostridia;Tissierellales;Peptoniphilaceae;Parvimonas								
41	Bacteria	Firmicutes	Clostridia	Tissierellales	Peptoniphilaceae	Peptoniphilus	ok	Bacteria;Firmicutes;Clostridia;Tissierellales;Peptoniphilaceae;Peptoniphilus								
42	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Filifactor	ok	Bacteria;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae;Filifactor								
43	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Mogibacterium	ok	Bacteria;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae;Mogibacterium								
44	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Peptostreptococcus	ok	Bacteria;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcus								 
45	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	ok	Bacteria;Tenericutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Mycoplasma								
46	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Afipia	could be Afipa or Rhodopseudomonas	Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Bradyrhizobiaceae;Afipia								
47	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Boseaceae	Bosea	ok	Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Boseaceae;Bosea								
48	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium	ok	Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Bradyrhizobiaceae;Bradyrhizobium								
49	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella	ok	Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Brucellaceae;Brucella								
50	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Erythrobacter	ok	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Erythrobacter								
51	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus	ok	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus								
52	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	ok	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Yersinia								
53	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	ok	Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Treponemataceae;Treponema								
54	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Jonquetella	ok	Bacteria;Synergistetes;Synergistia;Synergistales;Synergistaceae;Jonquetella								
55	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Pyramidobacter	ok	Bacteria;Synergistetes;Synergistia;Synergistales;Synergistaceae;Pyramidobacter								
