Taxonomy	Rank	HMT	Notes	Max	BMU-mean	BMU-10p	BMU-90p	BMU-sd	BMU-prev	HPA-mean	HPA-10p	HPA-90p	HPA-sd	HPA-prev	AKE-mean	AKE-10p	AKE-90p	AKE-sd	AKE-prev	PTO-mean	PTO-10p	PTO-90p	PTO-sd	PTO-prev	SUBP-mean	SUBP-10p	SUBP-90p	SUBP-sd	SUBP-prev	SUPP-mean	SUPP-10p	SUPP-90p	SUPP-sd	SUPP-prev	SAL-mean	SAL-10p	SAL-90p	SAL-sd	SAL-prev	TDO-mean	TDO-10p	TDO-90p	TDO-sd	TDO-prev	THR-mean	THR-10p	THR-90p	THR-sd	THR-prev	ANA-mean	ANA-10p	ANA-90p	ANA-sd	ANA-prev
Bacteria	domain			100.001	99.994	99.981	100.011	0.023	100.0	100.001	99.991	100.014	0.008	100.0	99.999	99.988	100.011	0.01	100.0	99.999	99.988	100.013	0.01	100.0	99.958	99.888	100.01	0.102	100.0	99.984	99.94	100.012	0.036	100.0	99.999	99.986	100.01	0.011	100.0	100.0	99.992	100.009	0.007	100.0	99.997	99.983	100.01	0.01	100.0	99.921	99.845	99.987	0.063	100.0
Bacteria;Pseudomonadota	phylum			17.658	14.126	1.983	32.204	11.931	100.0	15.247	2.877	28.612	11.787	100.0	17.658	1.883	38.283	16.393	100.0	8.486	1.301	21.149	8.17	100.0	8.472	0.9	17.872	8.496	100.0	8.234	1.299	14.599	8.06	100.0	10.876	1.168	26.635	10.454	100.0	13.131	1.7	30.286	12.391	100.0	9.011	1.056	24.86	9.122	100.0	1.1	0.0	3.157	1.69	70.0
Bacteria;Bacillota	phylum			68.665	68.665	49.205	92.961	17.464	100.0	59.768	39.202	84.656	18.479	100.0	68.167	41.979	93.396	20.285	100.0	53.416	33.858	74.438	17.594	100.0	32.197	16.561	57.449	15.868	100.0	41.388	23.566	66.062	15.557	100.0	56.26	33.572	82.349	20.006	100.0	55.268	34.548	77.099	18.068	100.0	55.257	39.621	73.48	14.445	100.0	20.267	2.616	46.69	24.307	100.0
Bacteria;Actinomycetota	phylum			78.476	6.023	0.968	14.68	5.786	100.0	6.583	1.736	11.606	5.406	100.0	4.121	0.111	12.252	6.198	100.0	5.098	0.939	10.559	5.127	100.0	16.739	2.313	37.576	14.744	100.0	14.16	4.343	34.678	13.62	100.0	7.266	1.592	14.668	5.295	100.0	6.338	0.162	11.981	5.018	100.0	4.78	1.543	9.263	2.871	100.0	78.476	52.67	97.202	24.771	100.0
Bacteria;Spirochaetota	phylum			1.366	0.097	0.0	0.275	0.269	62.857	0.028	0.0	0.075	0.07	60.714	0.026	0.0	0.065	0.053	55.814	0.328	0.0	0.425	0.874	77.419	1.366	0.0	3.992	3.435	79.73	0.235	0.0	0.488	0.499	76.471	0.018	0.0	0.051	0.021	70.0	0.01	0.0	0.021	0.025	47.5	0.057	0.0	0.095	0.126	87.879	0.0	0.0	0.0	0.0	0.0
Bacteria;Fusobacteriota	phylum			19.097	4.312	0.141	10.864	4.67	100.0	4.392	0.585	8.798	5.76	100.0	3.523	0.081	10.645	4.653	100.0	9.537	2.906	17.257	9.476	100.0	19.097	1.301	39.55	14.494	100.0	18.606	2.61	34.382	12.683	100.0	4.912	0.248	13.532	5.507	100.0	8.045	0.115	22.1	9.812	100.0	8.988	1.389	17.437	8.976	100.0	0.018	0.0	0.085	0.041	30.0
Bacteria;Bacteroidota	phylum			21.526	6.275	0.177	17.624	6.493	100.0	13.655	2.041	27.003	11.194	100.0	5.963	0.155	14.305	7.242	100.0	21.526	7.931	38.269	12.042	100.0	16.774	2.365	30.041	10.439	100.0	14.197	3.904	26.665	9.048	100.0	19.559	2.579	43.986	16.097	100.0	16.637	0.474	30.836	11.017	100.0	20.712	9.346	30.931	9.136	100.0	0.057	0.0	0.172	0.109	40.0
Bacteria;Patescibacteria	phylum			0.604	0.032	0.0	0.103	0.055	54.286	0.052	0.0	0.162	0.113	57.143	0.075	0.0	0.299	0.16	58.14	0.604	0.0	2.621	1.401	64.516	0.315	0.0	0.192	2.014	55.405	0.146	0.0	0.378	0.29	61.765	0.332	0.0	0.738	1.061	72.0	0.106	0.0	0.129	0.38	55.0	0.365	0.0	1.105	0.84	69.697	0.0	0.0	0.0	0.0	0.0
Bacteria;Candidatus Saccharimonadota	phylum			4.575	0.418	0.007	0.901	0.913	100.0	0.259	0.01	0.52	0.445	96.429	0.458	0.002	2.262	0.924	93.023	0.807	0.039	2.096	1.373	100.0	4.575	0.021	14.415	6.904	97.297	2.986	0.033	6.572	5.847	100.0	0.764	0.042	1.242	2.21	100.0	0.461	0.002	1.007	0.631	92.5	0.805	0.094	1.48	1.139	100.0	0.003	0.0	0.001	0.009	10.0
Bacteria;Synergistota	phylum			0.392	0.032	0.0	0.143	0.078	51.429	0.009	0.0	0.031	0.021	28.571	0.004	0.0	0.004	0.013	20.93	0.072	0.0	0.097	0.277	45.161	0.392	0.0	0.972	1.2	43.243	0.024	0.0	0.126	0.048	47.059	0.006	0.0	0.018	0.012	46.0	0.001	0.0	0.002	0.003	17.5	0.009	0.0	0.024	0.023	42.424	0.0	0.0	0.0	0.0	0.0
