Taxonomy	Rank	HMT	Notes	Max	BMU-mean	BMU-10p	BMU-90p	BMU-sd	BMU-prev	HPA-mean	HPA-10p	HPA-90p	HPA-sd	HPA-prev	AKE-mean	AKE-10p	AKE-90p	AKE-sd	AKE-prev	PTO-mean	PTO-10p	PTO-90p	PTO-sd	PTO-prev	STO-mean	STO-10p	STO-90p	STO-sd	STO-prev	SUBP-mean	SUBP-10p	SUBP-90p	SUBP-sd	SUBP-prev	SUPP-mean	SUPP-10p	SUPP-90p	SUPP-sd	SUPP-prev	SAL-mean	SAL-10p	SAL-90p	SAL-sd	SAL-prev	TDO-mean	TDO-10p	TDO-90p	TDO-sd	TDO-prev	THR-mean	THR-10p	THR-90p	THR-sd	THR-prev
Bacteria	domain			99.907	99.534	99.039	100.001	1.931	100.0	98.979	97.795	99.99	3.309	100.0	99.768	99.801	100.005	1.377	100.0	99.359	99.175	100.0	2.063	100.0	0.791	0.0	2.628	1.455	83.217	98.495	97.158	99.975	4.827	100.0	99.366	98.389	99.993	0.963	100.0	98.939	97.393	99.938	1.648	100.0	99.907	99.806	100.003	0.178	100.0	99.344	98.479	99.992	1.448	100.0
Bacteria;Pseudomonadota	phylum			25.078	17.814	6.409	29.982	9.737	100.0	16.828	4.922	31.14	9.912	100.0	25.078	10.899	41.483	12.074	100.0	15.156	2.986	31.939	10.586	100.0	0.057	0.0	0.154	0.201	34.266	14.044	3.786	27.533	9.521	100.0	20.208	8.194	36.052	11.171	100.0	21.012	9.411	34.541	9.745	100.0	20.821	4.016	41.343	14.639	100.0	13.747	2.74	28.719	11.567	100.0
Bacteria;Spirochaetota	phylum			3.632	0.145	0.0	0.431	0.456	55.405	0.057	0.0	0.141	0.143	41.892	0.016	0.0	0.016	0.104	12.162	0.689	0.0	1.766	1.867	72.297	0.0	0.0	0.0	0.0	0.0	3.632	0.0	10.365	6.341	85.135	1.061	0.0	2.388	2.611	72.973	0.497	0.0	1.181	1.019	79.73	0.05	0.0	0.183	0.125	40.541	0.23	0.0	0.45	0.804	64.189
Bacteria;Bacillota	phylum			65.289	65.289	44.921	85.409	15.447	100.0	57.836	39.397	79.309	15.315	100.0	57.778	34.844	80.657	17.119	100.0	41.989	21.905	64.439	15.862	100.0	0.721	0.0	2.628	1.424	75.524	22.007	10.802	36.94	10.543	100.0	24.034	13.292	39.222	10.925	100.0	39.439	24.842	54.208	11.385	100.0	41.255	20.364	64.015	16.563	100.0	47.308	25.368	69.795	16.369	100.0
Bacteria;Actinomycetota	phylum			21.964	3.015	0.294	7.531	3.906	99.324	4.805	1.316	9.481	3.997	100.0	0.873	0.0	2.406	3.221	77.027	4.085	0.643	8.189	4.031	100.0	0.007	0.0	0.019	0.027	16.783	15.451	3.843	29.518	11.116	100.0	21.964	8.117	36.925	11.808	100.0	3.275	0.914	6.442	2.654	100.0	7.225	1.408	14.958	5.762	100.0	4.939	1.226	8.853	3.827	99.324
Bacteria;Fusobacteriota	phylum			18.243	4.023	0.634	7.898	3.546	100.0	4.958	0.994	10.12	4.178	100.0	2.488	0.063	6.443	3.648	97.297	15.425	4.645	27.985	8.642	100.0	0.002	0.0	0.0	0.006	6.993	18.243	5.243	30.312	9.403	100.0	13.425	1.873	24.934	8.963	100.0	8.284	2.191	14.896	4.817	100.0	11.811	1.891	24.711	8.85	100.0	11.393	2.387	23.445	8.271	100.0
Bacteria;Bacteroidota	phylum			26.431	9.247	1.879	19.939	7.545	100.0	14.494	5.195	25.738	8.023	100.0	13.535	0.37	33.506	13.634	99.324	22.016	8.957	36.646	11.092	100.0	0.005	0.0	0.016	0.014	15.385	25.119	10.244	37.407	10.872	100.0	18.673	6.325	28.956	8.354	100.0	26.431	14.772	37.783	9.318	100.0	18.745	7.91	29.301	8.453	100.0	21.727	9.44	35.519	10.329	100.0
Bacteria;Pseudomonadota;Betaproteobacteria	klass			11.735	4.274	0.515	9.892	4.692	99.324	7.391	0.571	19.576	7.558	100.0	2.275	0.0	7.445	4.545	89.189	5.543	0.204	15.53	6.288	96.622	0.001	0.0	0.0	0.008	3.497	7.7	0.934	17.408	7.184	100.0	11.735	3.223	22.331	8.273	100.0	7.755	1.095	16.458	6.982	99.324	10.457	0.308	27.172	11.426	98.649	5.908	0.214	14.486	7.281	99.324
Bacteria;Spirochaetota;Spirochaetia	klass			3.632	0.145	0.0	0.431	0.456	55.405	0.057	0.0	0.141	0.143	41.892	0.016	0.0	0.016	0.104	12.162	0.689	0.0	1.766	1.867	72.297	0.0	0.0	0.0	0.0	0.0	3.632	0.0	10.365	6.341	85.135	1.061	0.0	2.388	2.611	72.973	0.497	0.0	1.181	1.019	79.73	0.05	0.0	0.183	0.125	40.541	0.23	0.0	0.45	0.804	64.189
Bacteria;Pseudomonadota;Gammaproteobacteria	klass			22.238	13.316	4.165	24.721	8.849	100.0	9.043	2.535	16.059	5.952	100.0	22.238	7.889	38.428	11.507	100.0	8.726	1.063	17.545	7.268	100.0	0.055	0.0	0.154	0.201	30.769	5.304	0.652	11.754	5.374	100.0	7.591	1.453	16.896	6.657	100.0	10.918	4.084	19.89	6.754	100.0	9.593	1.332	20.775	7.278	100.0	6.903	0.947	13.701	8.022	100.0
Bacteria;Pseudomonadota;Epsilonproteobacteria	klass			2.339	0.223	0.0	0.648	0.341	68.243	0.394	0.0	1.008	0.49	77.703	0.565	0.0	1.573	1.362	61.486	0.886	0.0	2.241	1.133	82.432	0.001	0.0	0.0	0.004	2.797	1.041	0.0	2.507	1.053	87.162	0.882	0.0	2.489	1.146	81.757	2.339	0.0	6.314	2.671	87.162	0.77	0.0	1.684	1.052	78.378	0.936	0.0	2.421	1.104	84.459
