Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700014982-AKE	S700016069-AKE	S700016160-AKE	S700016325-AKE	S700016366-AKE	S700016582-AKE	S700016637-AKE	S700016939-AKE	S700021866-AKE	S700021904-AKE	S700023003-AKE	S700023086-AKE	S700023220-AKE	S700023253-AKE	S700023410-AKE	S700023467-AKE	S700023521-AKE	S700023568-AKE	S700023778-AKE	S700023835-AKE	S700023892-AKE	S700023958-AKE	S700024015-AKE	S700024056-AKE	S700024119-AKE	S700024177-AKE	S700024223-AKE	S700024282-AKE	S700024330-AKE	S700024369-AKE	S700024423-AKE	S700024482-AKE	S700024531-AKE	S700024578-AKE	S700024627-AKE	S700024663-AKE	S700024723-AKE	S700024780-AKE	S700024817-AKE	S700024894-AKE	S700024938-AKE	S700024988-AKE	S700033008-AKE	S700033171-AKE	S700033465-AKE	S700033767-AKE	S700037064-AKE	S700037212-AKE	S700037460-AKE	S700037572-AKE	S700037724-AKE	S700038043-AKE	S700038239-AKE	S700038376-AKE	S700038462-AKE	S700038510-AKE	S700038558-AKE	S700038606-AKE	S700038714-AKE	S700038773-AKE	S700038990-AKE	S700095390-AKE	S700095447-AKE	S700097271-AKE	S700097331-AKE	S700097668-AKE	S700098307-AKE	S700098399-AKE	S700098972-AKE	S700099039-AKE	S700099099-AKE	S700099627-AKE	S700099783-AKE	S700100267-AKE	S700101675-AKE	S700102279-AKE	S700102625-AKE	S700102942-AKE	S700103317-AKE	S700103458-AKE	S700103597-AKE	S700103633-AKE	S700103684-AKE	S700105077-AKE	S700105136-AKE	S700105193-AKE	S700105250-AKE	S700105384-AKE	S700105429-AKE	S700105504-AKE	S700105602-AKE	S700105658-AKE	S700105697-AKE	S700105818-AKE	S700105868-AKE	S700105916-AKE	S700105948-AKE	S700106372-AKE	S700106424-AKE	S700106532-AKE	S700106591-AKE	S700106627-AKE	S700106675-AKE	S700106849-AKE	S700106888-AKE	S700106958-AKE	S700113083-AKE	S700113130-AKE	S700113515-AKE	S700113590-AKE	S700113628-AKE	S700113686-AKE	S700113830-AKE	S700113944-AKE	S700114029-AKE	S700114137-AKE	S700114201-AKE	S700114258-AKE	S700114399-AKE	S700114470-AKE	S700114529-AKE	S700114570-AKE	S700114627-AKE	S700114691-AKE	S700114739-AKE	S700114789-AKE	S700114846-AKE	S700114894-AKE	S700114951-AKE	S700114999-AKE	S700116229-AKE	S700116316-AKE	S700116370-AKE	S700116580-AKE	S700116631-AKE	S700116790-AKE	S700116850-AKE	S700117012-AKE	S700117672-AKE	S700117729-AKE	S700117840-AKE	S700117966-AKE	S700118450-AKE
Bacteria	domain				92.695	97.823	90.928	99.824	94.336	91.372	92.703	96.905	98.777	98.867	99.741	99.597	99.755	99.203	99.537	93.893	96.928	98.084	88.395	98.153	98.57	99.215	95.349	99.263	99.148	99.722	99.715	98.395	97.465	95.914	94.545	93.032	95.885	95.142	93.633	97.814	98.508	96.192	94.684	92.007	92.663	95.308	98.455	93.749	97.338	96.697	98.948	85.322	96.258	93.825	98.121	99.719	97.237	94.97	99.665	98.746	95.534	95.79	99.794	99.864	79.923	97.444	98.023	93.213	95.263	96.96	91.62	97.616	94.672	97.002	97.377	96.986	99.367	96.904	97.809	95.517	92.261	93.344	97.654	97.913	98.426	99.319	96.19	99.886	99.929	95.943	96.027	98.814	99.715	98.86	99.968	99.569	97.641	99.904	99.557	98.327	99.245	94.211	94.215	99.004	97.974	99.233	94.799	96.768	90.046	94.999	98.483	97.538	99.718	97.714	99.7	94.175	89.093	96.079	96.727	99.783	95.243	92.54	92.51	99.219	99.224	98.46	95.484	97.306	95.446	95.598	99.543	95.287	92.166	98.905	96.236	84.096	99.772	93.967	99.922	99.636	97.095	93.26	92.565	93.648	98.934	99.698	99.922
Bacteria;Actinomycetota	phylum				1.952	0.298	0.204	0.149	0.418	0.026	0.221	0.117	1.943	0.231	0.238	1.272	0.414	6.502	0.071	0.512	0.396	0.644	0.079	4.725	5.166	0.66	6.599	0.326	3.59	0.833	28.721	2.211	2.673	2.714	0.156	0.429	0.722	2.7	0.093	2.171	3.963	1.882	0.147	0.617	0.246	1.084	0.166	0.142	0.485	1.585	11.057	0.61	1.281	0.683	5.62	13.545	4.893	8.727	1.832	0.675	0.371	0.591	5.561	5.319	0.601	0.0	0.216	6.306	0.02	3.663	0.135	0.027	0.64	4.071	0.015	0.096	0.241	0.375	1.438	1.757	1.106	2.753	9.164	0.206	4.747	1.947	1.455	1.023	0.54	2.705	0.123	0.0	0.0	0.156	5.451	2.018	0.0	0.911	1.7	0.977	5.701	1.547	0.183	2.685	5.878	6.961	0.266	0.565	0.054	2.878	10.064	9.241	1.144	2.096	11.302	0.71	4.957	4.941	5.455	3.219	0.5	2.764	0.218	1.358	0.447	11.367	0.044	0.689	3.5	0.233	4.148	1.452	0.723	1.324	6.838	3.559	0.373	1.131	2.097	35.301	10.5	2.18	0.808	5.283	17.244	0.718	4.238
Bacteria;Bacteroidota	phylum				10.802	2.08	39.408	0.014	12.413	26.892	2.018	6.384	7.076	0.816	0.605	2.285	0.301	4.559	0.053	20.672	24.312	26.126	30.492	2.015	3.955	3.336	14.062	0.326	11.757	9.32	6.527	1.65	1.485	20.605	37.729	7.701	19.009	3.896	19.538	21.507	3.33	18.525	23.322	16.302	31.126	9.319	2.553	31.568	19.871	3.483	1.15	2.12	11.802	18.55	5.573	7.77	1.356	4.04	4.908	28.174	32.883	10.218	5.05	0.023	1.055	2.556	3.63	1.528	21.346	1.16	9.957	3.629	7.428	8.499	2.564	5.451	5.46	2.603	0.662	1.839	34.249	12.318	10.207	39.271	2.761	12.873	37.279	7.053	0.697	4.08	1.74	9.77	2.954	2.015	13.66	20.67	13.263	11.988	1.045	3.522	3.997	37.328	14.619	1.942	14.493	6.194	34.46	13.781	36.448	1.403	0.885	16.382	0.313	12.954	1.32	11.65	26.149	5.521	7.468	22.331	35.321	6.258	19.103	8.639	1.362	7.875	29.647	17.899	11.684	23.686	8.674	28.694	5.121	2.828	25.565	1.641	3.623	24.195	0.039	2.947	6.737	26.384	25.032	12.492	3.55	0.17	0.983
Bacteria;Bacillota	phylum				63.646	82.235	42.915	99.286	73.594	54.897	86.24	70.223	84.981	96.272	65.489	79.272	94.313	54.194	98.857	60.948	40.673	54.49	35.098	70.855	86.871	66.278	64.108	95.317	59.062	65.639	38.036	84.789	87.168	47.093	34.304	67.734	41.409	60.276	58.88	42.807	74.096	54.847	66.984	69.379	56.352	70.583	72.942	60.937	36.564	69.866	79.103	79.234	50.677	49.278	63.634	49.19	77.946	76.657	50.569	58.508	55.822	69.299	75.663	93.806	75.987	81.261	67.878	54.689	60.027	84.079	71.54	72.31	62.099	68.821	69.148	63.121	85.005	71.245	62.341	85.579	36.985	54.808	58.62	49.763	79.601	57.908	42.069	82.214	97.632	82.973	91.175	82.593	87.233	93.794	49.631	68.033	55.993	83.094	92.259	82.989	73.455	28.35	40.49	87.49	56.594	80.721	45.055	75.465	52.654	84.37	83.75	55.525	94.667	58.398	78.464	59.938	40.215	56.204	70.035	21.733	42.161	63.875	62.755	86.08	68.464	57.793	40.749	52.77	69.462	55.819	77.572	35.83	71.958	62.882	60.449	75.477	60.305	49.565	74.133	49.188	51.144	57.702	49.075	62.153	75.441	98.405	86.811
Bacteria;Fusobacteriota	phylum				7.702	1.051	2.263	0.054	0.471	0.105	0.449	0.104	0.632	0.0	0.065	2.808	0.056	8.146	0.0	0.092	2.946	13.18	5.046	0.959	0.953	0.642	3.046	0.048	5.528	0.952	20.176	1.066	0.95	14.041	14.246	3.167	9.107	0.642	2.786	9.078	1.612	0.513	2.673	0.067	0.527	1.763	0.089	0.085	13.887	0.797	0.685	0.594	3.524	2.766	3.272	4.772	1.833	0.286	5.154	0.675	0.267	1.798	6.199	0.0	0.04	1.067	2.75	1.865	0.508	0.07	0.135	0.081	0.17	5.064	1.114	0.855	1.599	0.276	0.274	0.739	1.138	0.719	8.547	7.306	8.548	2.921	0.916	2.574	0.043	3.04	0.173	3.833	2.314	0.5	16.242	3.718	19.9	1.774	0.726	1.371	2.541	1.916	0.039	0.845	1.361	0.996	6.544	3.347	0.079	0.084	0.063	3.512	0.266	8.382	0.2	2.207	0.732	9.542	2.283	31.826	3.135	0.393	0.424	0.221	0.066	4.231	6.086	4.08	0.716	6.888	4.873	13.462	3.872	0.607	0.063	0.339	0.683	1.995	0.0	5.048	10.894	2.704	3.71	3.015	1.213	0.265	0.531
Bacteria;Pseudomonadota	phylum				8.593	12.144	6.013	0.32	7.419	9.453	3.766	20.078	3.921	1.548	33.344	13.935	4.652	25.178	0.555	4.668	19.455	3.615	15.772	19.502	1.495	28.298	7.52	3.245	17.183	22.978	4.332	8.679	5.188	11.27	7.776	13.974	12.97	27.628	12.309	22.136	15.493	20.396	1.558	5.575	4.413	12.559	22.705	1.017	26.424	16.617	6.685	2.748	28.962	22.465	19.961	23.527	11.157	3.869	36.887	10.713	6.115	13.837	7.172	0.06	2.226	12.559	23.513	28.825	12.223	7.909	9.852	21.542	24.325	10.409	24.536	27.441	7.062	22.366	33.095	5.587	18.554	22.724	10.827	1.31	2.727	23.662	13.506	7.003	1.017	3.111	2.779	1.617	7.06	2.395	12.482	4.915	7.138	2.137	3.827	9.468	12.383	24.957	38.885	6.03	19.385	4.232	8.459	3.414	0.557	5.915	3.707	12.853	3.326	14.836	8.273	19.626	16.488	19.691	11.419	11.342	14.126	19.172	9.984	2.905	28.885	15.814	16.319	21.824	10.085	8.971	3.914	15.572	9.81	31.193	3.062	2.813	34.788	17.081	23.652	5.188	17.789	4.205	12.846	10.697	1.457	0.139	7.359
Bacteria;Candidatus Saccharimonadota	phylum				0.0	0.015	0.125	0.0	0.023	0.0	0.008	0.0	0.224	0.0	0.0	0.025	0.019	0.61	0.0	7.0	9.147	0.029	1.908	0.096	0.129	0.0	0.014	0.0	2.029	0.0	1.923	0.0	0.0	0.192	0.335	0.026	12.584	0.0	0.027	0.117	0.015	0.029	0.0	0.067	0.0	0.0	0.0	0.0	0.108	4.35	0.269	0.016	0.013	0.081	0.063	0.915	0.052	1.391	0.314	0.0	0.076	0.047	0.149	0.656	0.013	0.0	0.036	0.0	1.138	0.079	0.0	0.027	0.01	0.139	0.0	0.021	0.0	0.039	0.0	0.016	0.23	0.022	0.288	0.057	0.043	0.009	0.965	0.02	0.0	0.035	0.037	1.002	0.154	0.0	2.502	0.216	1.227	0.0	0.0	0.0	1.168	0.113	0.0	0.013	0.263	0.128	0.016	0.196	0.253	0.348	0.013	0.026	0.0	1.048	0.14	0.044	0.552	0.18	0.067	9.332	0.0	0.079	0.026	0.017	0.0	1.372	2.64	0.0	0.0	0.0	0.363	0.278	0.682	0.07	0.259	0.268	0.0	0.0	0.0	1.965	0.031	0.084	1.094	0.009	0.029	0.0	0.0
Bacteria;Mycoplasmatota	phylum				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.119	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinomycetota;Actinomycetes	class				1.952	0.291	0.204	0.149	0.418	0.026	0.221	0.117	1.943	0.231	0.238	1.272	0.414	6.502	0.071	0.512	0.396	0.644	0.079	4.725	5.153	0.66	6.599	0.326	3.567	0.833	28.4	2.211	2.614	2.714	0.156	0.429	0.722	2.697	0.093	2.171	3.963	1.882	0.147	0.601	0.246	1.084	0.166	0.142	0.472	1.585	11.057	0.61	1.256	0.675	5.62	13.528	4.881	8.594	1.798	0.675	0.371	0.591	5.561	5.319	0.601	0.0	0.216	6.306	0.02	3.479	0.135	0.027	0.59	4.071	0.015	0.096	0.241	0.375	1.438	1.757	1.106	2.753	9.123	0.206	4.739	1.947	1.439	1.023	0.54	2.693	0.123	0.0	0.0	0.156	5.451	2.018	0.0	0.719	1.7	0.977	5.701	1.547	0.183	2.685	5.739	6.66	0.266	0.565	0.054	2.878	10.014	9.228	1.144	2.096	11.302	0.71	4.957	4.901	5.354	3.206	0.5	2.764	0.206	1.358	0.447	11.367	0.044	0.689	3.5	0.224	3.927	1.074	0.723	1.314	6.838	3.559	0.373	1.131	2.097	35.301	10.492	2.18	0.808	5.283	17.17	0.718	4.238
Bacteria;Actinomycetota;Coriobacteriia	class				0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.023	0.0	0.32	0.0	0.059	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.026	0.008	0.0	0.017	0.013	0.133	0.034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.184	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.041	0.0	0.009	0.0	0.016	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.192	0.0	0.0	0.0	0.0	0.0	0.0	0.139	0.301	0.0	0.0	0.0	0.0	0.051	0.013	0.0	0.0	0.0	0.0	0.0	0.04	0.101	0.014	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.221	0.378	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.074	0.0	0.0
