Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700015009-ANA	S700015301-ANA	S700015677-ANA	S700015785-ANA	S700016087-ANA	S700016178-ANA	S700016235-ANA	S700016376-ANA	S700016664-ANA	S700016958-ANA	S700021836-ANA	S700021886-ANA	S700023112-ANA	S700023487-ANA	S700023588-ANA	S700023631-ANA	S700023855-ANA	S700023912-ANA	S700023946-ANA	S700023997-ANA	S700024105-ANA	S700024316-ANA	S700024435-ANA	S700024468-ANA	S700024519-ANA	S700024564-ANA	S700024613-ANA	S700024683-ANA	S700024709-ANA	S700024839-ANA	S700024876-ANA	S700024928-ANA	S700024976-ANA	S700032123-ANA	S700032280-ANA	S700033035-ANA	S700033189-ANA	S700033492-ANA	S700033557-ANA	S700033785-ANA	S700033851-ANA	S700035292-ANA	S700035897-ANA	S700037052-ANA	S700037120-ANA	S700037163-ANA	S700037230-ANA	S700037282-ANA	S700037387-ANA	S700037558-ANA	S700037710-ANA	S700037844-ANA	S700037977-ANA	S700038031-ANA	S700038257-ANA	S700038364-ANA	S700038412-ANA	S700038530-ANA	S700038576-ANA	S700038624-ANA	S700038900-ANA	S700038948-ANA	S700038976-ANA	S700095408-ANA	S700095465-ANA	S700095579-ANA	S700095705-ANA	S700096416-ANA	S700097289-ANA	S700097349-ANA	S700097746-ANA	S700097895-ANA	S700098325-ANA	S700098990-ANA	S700099057-ANA	S700099343-ANA	S700099645-ANA	S700099858-ANA	S700100285-ANA	S700100526-ANA	S700100595-ANA	S700101131-ANA	S700101189-ANA	S700101279-ANA	S700101570-ANA	S700101693-ANA	S700102104-ANA	S700102411-ANA	S700102643-ANA	S700102903-ANA	S700102960-ANA	S700103299-ANA	S700103476-ANA	S700103585-ANA	S700103702-ANA	S700105173-ANA	S700105284-ANA	S700105769-ANA	S700105854-ANA	S700105902-ANA	S700105992-ANA	S700106085-ANA	S700106142-ANA	S700106360-ANA	S700106512-ANA	S700106571-ANA	S700106906-ANA	S700106928-ANA	S700106976-ANA	S700107095-ANA	S700107433-ANA	S700107544-ANA	S700107601-ANA	S700107814-ANA	S700107928-ANA	S700107985-ANA	S700108153-ANA	S700108216-ANA	S700108276-ANA	S700108588-ANA	S700108654-ANA	S700108894-ANA	S700108951-ANA	S700109228-ANA	S700109561-ANA	S700109618-ANA	S700109679-ANA	S700109979-ANA	S700110147-ANA	S700110804-ANA	S700111214-ANA	S700111280-ANA	S700111354-ANA	S700111803-ANA	S700112040-ANA	S700112101-ANA	S700113033-ANA	S700113103-ANA	S700113154-ANA	S700113205-ANA	S700113533-ANA	S700113674-ANA	S700113745-ANA	S700113850-ANA	S700113907-ANA	S700113964-ANA	S700113991-ANA	S700114047-ANA	S700114189-ANA	S700114244-ANA	S700114349-ANA	S700114417-ANA	S700114452-ANA	S700114515-ANA	S700114645-ANA	S700114727-ANA	S700114777-ANA	S700114828-ANA	S700114882-ANA	S700114987-ANA	S700116055-ANA	S700116106-ANA	S700116158-ANA	S700116285-ANA	S700116336-ANA	S700116388-ANA	S700116441-ANA	S700116478-ANA	S700116598-ANA	S700116651-ANA	S700116708-ANA	S700116760-ANA	S700116808-ANA	S700116838-ANA	S700116898-ANA	S700116957-ANA	S700117096-ANA	S700117224-ANA	S700117635-ANA	S700117747-ANA	S700117806-ANA	S700117858-ANA	S700117948-ANA	S700118468-ANA	S700119220-ANA	S700119362-ANA	S700119620-ANA	S700119919-ANA	S700120095-ANA	S700121697-ANA	S700122402-ANA	S700123620-ANA	S700124619-ANA	S700161050-ANA	S700161161-ANA	S700161504-ANA	S700161734-ANA	S700163211-ANA	S700163400-ANA	S700163505-ANA	S700163584-ANA	S700163658-ANA	S700163709-ANA	S700163764-ANA	S700163861-ANA	S700163973-ANA	S700164080-ANA	S700164189-ANA	S700164222-ANA	S700164279-ANA	S700164349-ANA	S700164401-ANA	S700164497-ANA	S700164548-ANA	S700164603-ANA	S700164716-ANA	S700164765-ANA	S700164822-ANA	S700164862-ANA	S700165142-ANA	S700165197-ANA	S700165310-ANA	S700165406-ANA	S700165454-ANA	S700165664-ANA	S700165712-ANA	S700165808-ANA	S700165856-ANA	S700165905-ANA	S700166833-ANA	S700171064-ANA	S700171112-ANA	S700171145-ANA	S700171471-ANA	S700171523-ANA	S700171571-ANA	S700171624-ANA	S700171678-ANA	S700171757-ANA	S700171832-ANA	S700171889-ANA	S700171926-ANA	S700172060-ANA	S700172213-ANA	S700172252-ANA	S700172329-ANA	S700172548-ANA	S700172602-ANA	S700172707-ANA	S700172756-ANA	S700172812-ANA	S700173070-ANA	S700173116-ANA	S700173271-ANA	S700173480-ANA	S700173576-ANA	S700173677-ANA	S700173830-ANA	S700175116-ANA	S700175152-ANA	S700175255-ANA
Bacteria	domain				98.828	98.92	99.617	98.951	96.26	95.685	99.171	55.992	97.221	99.819	99.873	100.0	96.659	98.58	99.904	99.594	94.848	97.688	99.791	99.932	93.903	99.392	99.381	98.127	98.353	99.277	96.468	99.132	97.887	95.257	97.375	98.179	99.925	97.021	99.838	66.347	96.291	99.006	98.858	99.378	95.166	98.946	99.862	99.905	99.929	96.725	99.462	99.94	98.797	92.896	93.452	94.622	99.872	99.903	96.368	98.084	99.744	99.745	99.963	99.962	99.541	99.949	99.869	99.878	99.077	100.0	97.596	99.408	99.744	99.106	99.976	99.539	99.949	98.967	99.588	98.749	100.0	99.934	99.648	99.223	99.11	98.462	98.507	99.449	99.837	99.923	97.131	100.0	99.8	99.653	87.112	99.933	99.736	92.286	63.615	99.82	99.885	99.731	99.867	98.156	99.971	99.707	99.845	100.0	53.921	95.597	100.0	99.898	98.228	99.716	99.91	97.309	99.966	79.684	99.623	98.661	99.889	99.043	99.769	99.814	98.972	99.929	97.323	99.8	99.679	96.696	99.568	99.795	98.643	91.445	84.006	89.745	84.601	33.955	99.783	98.714	97.108	99.841	98.83	99.843	98.312	98.793	99.364	98.472	99.241	98.491	99.836	96.328	99.773	99.017	98.705	96.785	99.848	99.526	87.359	99.927	96.995	98.036	99.906	99.739	99.952	99.572	99.02	99.83	98.087	28.467	99.766	95.722	92.965	96.934	99.985	93.088	99.35	98.88	99.005	99.081	99.729	99.485	80.305	96.306	97.754	99.36	95.858	97.366	100.0	96.621	97.793	98.521	98.454	99.904	99.763	99.726	93.052	98.509	100.0	97.741	98.869	97.707	99.71	97.524	99.744	99.464	91.35	99.338	99.496	94.365	97.039	99.69	99.282	96.326	96.702	99.369	99.35	94.462	95.381	100.0	98.725	99.411	99.349	98.776	98.025	99.861	99.547	99.956	99.886	99.599	99.777	99.877	99.737	99.661	99.885	92.402	94.521	98.892	99.619	99.271	96.978	99.344	91.765	99.705	99.202	98.178	97.708	98.855	99.29	99.736	76.589	99.472	99.653	99.716	99.893	98.789	99.811	99.55	99.366	98.608	99.909	98.965	99.71	99.657	100.0
Bacteria;Actinomycetota	phylum				82.821	92.592	79.748	55.797	82.121	85.61	58.422	29.468	82.81	60.406	76.024	64.851	56.245	81.1	68.137	82.472	49.18	70.665	35.882	70.862	74.371	37.815	82.611	91.943	39.816	87.32	77.208	93.22	86.059	91.054	57.006	70.58	99.439	72.559	67.837	11.97	55.117	32.264	69.54	53.064	76.471	66.265	27.747	79.501	83.802	90.317	94.048	95.603	94.42	77.903	81.803	83.49	93.162	58.209	83.656	85.304	96.564	94.99	5.764	67.928	75.93	97.794	91.51	87.078	78.545	92.157	89.068	96.382	76.281	82.563	89.623	85.838	91.326	92.149	90.787	62.426	91.261	89.133	95.937	49.709	74.099	90.747	51.173	90.263	48.545	44.558	71.913	83.745	77.287	63.42	43.632	68.147	67.704	58.882	34.731	81.863	91.301	98.657	30.463	84.122	65.169	87.033	87.483	98.832	41.009	65.07	86.62	79.413	64.906	73.384	91.094	74.744	86.457	22.66	78.31	90.386	61.562	78.224	85.907	94.134	49.149	53.371	84.439	84.518	69.106	76.757	67.024	77.999	79.524	26.106	80.277	78.104	41.187	19.098	54.454	62.519	83.532	97.873	0.134	24.268	21.748	64.74	80.613	71.072	53.193	66.881	86.042	71.79	26.051	78.133	68.99	62.924	21.244	97.701	39.271	59.116	72.957	78.725	99.214	74.497	75.725	93.153	78.628	91.355	90.861	19.652	94.533	74.995	63.833	57.576	88.689	73.797	89.116	81.84	95.841	57.84	67.388	84.712	76.206	54.79	80.107	78.679	38.933	72.784	97.321	79.407	92.076	91.04	96.742	77.852	93.909	52.468	88.57	87.304	88.142	60.806	78.281	75.117	98.204	84.434	93.186	75.089	74.82	83.008	94.153	60.858	64.441	92.218	91.76	85.588	87.326	97.664	81.988	85.25	54.965	64.423	45.884	52.537	57.9	75.0	47.457	83.56	66.61	98.097	96.237	96.554	92.487	97.154	92.879	98.079	92.574	90.214	28.394	94.066	90.449	95.077	90.407	92.246	79.095	89.961	60.716	87.826	90.225	86.451	17.345	71.24	39.407	78.458	77.307	96.52	78.293	97.619	77.841	80.495	86.678	82.92	92.075	93.71	98.225	91.429	96.723
Bacteria;Bacteroidota	phylum				0.081	0.0	0.011	0.0	1.211	0.235	0.0	0.0	0.057	0.013	0.064	0.0	0.0	0.06	0.168	0.0	0.0	1.59	0.039	0.0	0.086	0.0	0.0	0.009	0.005	0.039	0.0	0.021	0.111	0.03	0.092	0.0	0.0	0.0	0.0	2.12	0.0	0.0	0.037	0.051	0.137	0.452	0.0	0.0	0.035	0.036	0.134	0.0	0.024	0.0	0.0	0.023	0.179	0.053	1.574	1.075	0.0	0.0	0.075	0.535	0.0	0.0	0.066	0.0	0.0	0.0	0.0	0.0	0.205	0.149	0.0	0.277	0.0	0.0	0.112	0.0	0.0	0.0	0.0	0.0	0.445	0.0	0.853	0.0	0.0	0.0	6.992	0.179	0.013	0.121	0.028	0.37	0.0	1.132	0.0	0.0	0.0	0.0	0.0	0.303	0.029	0.0	0.0	0.0	0.0	0.048	0.0	0.0	0.035	0.158	0.0	0.142	0.0	0.064	0.269	0.214	0.167	0.027	0.012	0.014	0.0	0.018	0.0	0.499	0.835	0.047	0.512	0.0	0.048	0.0	0.0	0.0	0.0	0.216	2.212	0.076	0.034	0.106	0.959	0.007	0.099	8.925	0.016	0.129	0.313	0.06	0.205	0.022	0.0	0.0	4.419	0.226	2.872	0.109	0.076	0.044	0.0	0.03	0.0	0.373	0.072	0.0	0.796	0.057	0.106	0.0	0.0	0.0	0.0	1.335	0.0	0.0	0.019	0.0	0.0	0.02	0.203	0.147	0.15	0.135	0.321	0.0	0.116	0.0	0.0	0.064	0.0	0.0	0.0	0.384	0.0	0.274	0.42	0.0	0.0	0.0	0.0	0.127	0.174	0.059	0.0	0.045	0.0	0.032	0.0	3.641	5.056	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.0	0.0	0.348	0.01	0.465	0.0	0.0	0.0	0.0	0.0	0.071	0.18	0.074	0.025	0.081	0.0	0.038	0.0	0.0	0.14	0.033	0.0	0.131	0.036	0.0	0.0	1.512	0.152	0.822	0.042	0.024	0.026	0.212	0.106	0.0	0.0	0.071	0.0	0.0	0.0	1.118	1.855	0.03	0.0	0.0	0.0	0.0
Bacteria;Bacillota	phylum				9.216	5.889	2.156	7.681	8.55	7.64	22.754	4.867	13.243	22.273	19.324	22.496	22.355	15.535	28.315	9.896	25.761	16.763	6.523	26.881	2.73	10.851	16.46	2.044	6.797	6.914	18.709	5.767	5.043	2.522	20.758	3.53	0.393	22.607	14.903	30.301	33.944	64.612	28.177	8.745	8.231	24.548	4.5	19.433	14.943	5.518	4.909	3.692	1.828	3.597	6.548	9.3	4.159	7.127	6.78	10.584	2.872	4.104	1.422	25.248	22.958	1.725	1.4	12.115	15.217	5.749	8.1	2.5	18.161	6.706	6.763	8.722	6.049	6.663	8.277	5.036	8.632	9.987	0.974	41.65	11.794	6.966	32.623	7.054	3.679	30.612	15.502	7.411	22.086	11.38	30.662	25.193	31.91	21.656	17.956	10.059	7.236	0.985	9.25	12.521	2.748	0.513	12.138	0.156	12.219	15.772	9.735	11.267	2.978	18.48	6.917	15.409	10.077	42.88	13.402	7.097	17.704	15.049	13.642	5.422	15.213	44.649	12.735	9.672	15.768	17.171	16.152	12.881	11.5	64.897	2.612	8.868	6.865	13.209	23.642	18.911	6.533	1.808	97.314	3.223	39.821	15.984	16.68	14.141	45.69	30.845	4.83	18.887	1.359	19.551	14.133	31.876	12.343	0.493	3.634	8.462	23.558	10.879	0.318	13.609	6.254	3.519	12.921	7.598	5.845	3.369	5.234	14.342	25.592	15.657	11.101	18.504	9.086	16.333	2.667	25.909	29.973	4.149	1.925	38.457	12.299	9.62	4.781	21.126	2.679	5.802	4.413	6.593	1.104	15.724	5.618	35.466	2.799	10.768	7.983	36.081	15.045	6.837	1.217	12.323	3.492	23.839	14.849	15.668	3.73	16.125	21.872	5.459	7.272	1.457	6.953	1.285	13.561	8.537	40.069	34.535	34.435	24.211	34.572	23.149	33.872	16.023	32.824	1.628	3.351	2.408	6.72	2.523	6.514	1.582	7.157	2.087	65.629	1.768	8.691	0.365	6.176	4.046	12.579	8.022	11.044	6.429	3.763	1.69	11.334	5.712	26.377	18.374	19.153	3.196	17.137	0.893	20.013	18.08	9.447	13.67	5.142	5.255	1.129	7.771	3.193
Bacteria;Fusobacteriota	phylum				0.283	0.017	0.028	0.018	0.028	0.247	0.0	0.327	0.057	0.009	0.603	0.0	0.398	0.036	1.043	0.435	0.937	3.179	0.039	0.41	0.011	0.015	0.021	0.06	0.549	0.116	0.028	0.041	0.779	0.33	0.074	0.112	0.019	0.049	0.0	0.274	0.235	0.596	0.037	0.13	0.251	0.301	0.0	0.057	0.035	0.249	0.0	0.015	0.216	0.0	1.105	0.07	0.102	0.053	0.0	0.14	0.103	0.113	0.05	0.841	0.411	0.152	0.109	0.0	0.028	0.0	0.198	0.0	1.46	0.0	0.0	1.199	0.0	0.0	0.075	0.238	0.0	0.0	0.0	0.0	1.335	0.0	0.0	0.018	0.0	0.0	0.16	0.0	0.04	0.1	0.0	0.774	0.0	7.856	0.0	0.18	0.0	0.0	0.186	0.495	1.517	0.0	0.0	0.389	0.443	0.194	0.0	0.171	0.0	0.032	0.0	0.039	0.05	0.638	1.076	0.643	0.028	0.08	0.012	0.029	0.142	0.054	0.017	0.3	0.0	0.07	0.32	0.0	0.048	0.0	0.144	0.0	0.0	0.27	3.555	0.0	0.374	0.0	0.058	0.0	0.199	0.805	0.179	0.194	0.045	0.141	0.123	0.132	0.05	0.316	0.076	0.151	0.0	0.128	0.076	0.22	0.12	0.423	0.0	0.746	0.24	0.0	1.531	0.127	0.106	0.056	0.0	0.289	0.113	0.0	0.045	0.0	0.096	0.177	0.0	0.02	0.135	0.074	0.05	0.038	0.0	0.081	0.247	0.056	0.0	0.096	0.0	0.042	0.0	0.0	0.0	0.0	0.343	0.327	0.0	0.183	1.131	0.042	0.058	0.0	0.767	0.045	0.0	0.378	0.0	3.511	0.978	0.0	0.0	0.0	0.04	0.14	0.13	0.0	0.0	0.0	0.174	0.038	1.022	0.199	0.12	0.056	0.0	0.0	0.071	0.069	0.025	0.035	0.0	0.0	0.0	0.0	0.125	0.028	0.0	0.0	0.0	0.0	0.09	0.0	0.376	0.253	0.0	0.014	0.006	0.0	2.225	0.422	0.0	0.0	0.714	0.0	0.0	0.0	0.112	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota	phylum				6.427	0.422	17.674	35.455	4.349	1.953	17.995	21.329	1.054	17.119	3.858	12.654	17.661	1.849	2.242	6.79	18.97	5.491	57.307	1.778	16.704	50.712	0.289	4.072	51.186	4.889	0.524	0.083	5.895	1.321	19.445	23.956	0.075	1.807	17.098	21.683	6.995	1.534	1.068	37.388	10.078	7.38	67.615	0.914	1.114	0.605	0.37	0.63	2.309	11.397	3.997	1.738	2.271	34.461	4.358	0.981	0.205	0.538	92.651	5.409	0.242	0.279	6.783	0.685	5.287	2.094	0.23	0.526	3.637	9.687	3.59	3.504	2.574	0.155	0.337	31.049	0.107	0.814	2.736	7.864	11.437	0.75	13.859	2.114	47.614	24.753	2.563	8.665	0.374	24.632	12.791	5.449	0.122	2.76	10.927	7.718	1.347	0.09	59.968	0.715	30.509	12.161	0.223	0.623	0.249	14.514	3.645	9.047	30.308	7.663	1.899	6.974	3.382	13.443	6.566	0.321	20.428	5.663	0.195	0.215	34.468	1.837	0.133	4.811	13.97	2.652	15.561	8.914	7.524	0.442	0.973	2.774	36.549	1.162	15.919	17.209	6.635	0.053	0.364	72.345	36.445	8.339	1.875	12.936	0.0	0.563	8.637	5.497	72.313	1.018	11.086	1.608	63.389	1.095	44.302	32.085	0.361	7.978	0.374	10.515	17.661	2.901	5.144	0.693	1.169	5.39	0.0	6.096	3.427	22.367	0.15	0.787	1.033	0.531	0.497	15.292	2.03	10.403	1.975	2.886	5.027	10.981	51.78	3.4	0.0	11.253	1.304	0.845	0.607	5.944	0.237	11.517	0.918	0.109	3.875	0.672	4.412	15.584	0.058	0.708	2.3	0.446	1.682	0.252	1.613	10.23	4.693	2.013	0.25	9.281	2.384	0.28	3.649	0.674	0.346	1.042	17.884	22.615	5.39	0.427	16.577	0.222	0.113	0.23	0.156	0.388	0.471	0.141	0.263	0.0	0.115	0.101	0.374	2.89	0.447	3.829	0.263	3.015	0.0	1.722	25.554	3.518	2.898	10.658	70.58	22.757	8.369	2.112	3.192	0.0	3.677	0.278	1.957	0.975	2.012	0.164	2.662	0.0	0.355	0.457	0.084
Bacteria;Actinomycetota;Actinomycetes	class				82.821	92.592	79.748	55.797	82.121	85.61	58.422	29.468	82.81	60.406	76.024	64.851	56.245	81.1	68.137	82.472	49.18	70.665	35.882	70.862	74.371	37.815	82.611	91.943	39.816	87.32	77.208	93.22	86.059	91.054	57.006	70.58	99.439	72.559	67.837	11.97	55.117	32.264	69.54	53.064	76.471	66.265	27.747	79.501	83.802	90.317	94.048	95.603	94.42	77.903	81.803	83.49	93.162	58.209	83.656	85.304	96.564	94.99	5.764	67.928	75.93	97.794	91.51	87.078	78.545	92.157	89.068	96.382	76.281	82.563	89.623	85.838	91.326	92.149	90.787	62.426	91.261	89.133	95.937	49.709	74.099	90.747	51.173	90.263	48.545	44.558	71.913	83.745	77.287	63.42	43.632	68.147	67.704	58.882	34.731	81.863	91.301	98.657	30.463	84.122	65.169	87.033	87.483	98.832	41.009	65.07	86.62	79.413	64.906	73.384	91.094	74.744	86.457	22.66	78.31	90.386	61.562	78.224	85.907	94.134	49.149	53.371	84.439	84.518	69.106	76.757	67.024	77.999	79.524	26.106	80.277	78.104	41.187	19.098	54.454	62.519	83.532	97.873	0.134	24.268	21.748	64.74	80.613	71.072	53.193	66.881	86.042	71.79	26.051	78.133	68.99	62.924	21.244	97.701	39.271	59.116	72.957	78.725	99.214	74.497	75.725	93.153	78.628	91.355	90.861	19.652	94.533	74.995	63.833	57.576	88.689	73.797	89.116	81.84	95.841	57.84	67.388	84.712	76.206	54.79	80.107	78.679	38.933	72.784	97.321	79.407	92.076	91.04	96.742	77.852	93.909	52.468	88.57	87.304	88.142	60.806	78.281	75.117	98.204	84.434	93.186	75.089	74.82	83.008	94.153	60.858	64.441	92.218	91.76	85.588	87.326	97.664	81.988	85.25	54.965	64.423	45.884	52.537	57.9	75.0	47.457	83.56	66.61	98.097	96.237	96.554	92.487	97.154	92.879	98.079	92.574	90.214	28.394	94.066	90.449	95.077	90.407	92.246	79.095	89.961	60.716	87.826	90.225	86.451	17.345	71.24	39.407	78.458	77.307	96.52	78.293	97.619	77.841	80.495	86.678	82.92	92.075	93.71	98.225	91.429	96.723
Bacteria;Bacteroidota;Bacteroidia	class				0.081	0.0	0.011	0.0	1.211	0.235	0.0	0.0	0.057	0.013	0.064	0.0	0.0	0.06	0.168	0.0	0.0	1.59	0.039	0.0	0.086	0.0	0.0	0.009	0.005	0.039	0.0	0.021	0.111	0.03	0.092	0.0	0.0	0.0	0.0	2.12	0.0	0.0	0.037	0.051	0.137	0.452	0.0	0.0	0.035	0.036	0.134	0.0	0.024	0.0	0.0	0.023	0.179	0.053	1.574	1.075	0.0	0.0	0.075	0.535	0.0	0.0	0.066	0.0	0.0	0.0	0.0	0.0	0.205	0.149	0.0	0.277	0.0	0.0	0.112	0.0	0.0	0.0	0.0	0.0	0.445	0.0	0.853	0.0	0.0	0.0	6.992	0.179	0.013	0.121	0.028	0.37	0.0	1.132	0.0	0.0	0.0	0.0	0.0	0.303	0.029	0.0	0.0	0.0	0.0	0.048	0.0	0.0	0.035	0.158	0.0	0.142	0.0	0.064	0.269	0.214	0.167	0.027	0.012	0.014	0.0	0.018	0.0	0.499	0.835	0.047	0.512	0.0	0.048	0.0	0.0	0.0	0.0	0.216	2.212	0.076	0.034	0.106	0.959	0.007	0.099	8.925	0.016	0.129	0.313	0.06	0.205	0.022	0.0	0.0	4.419	0.226	2.872	0.109	0.076	0.044	0.0	0.03	0.0	0.373	0.072	0.0	0.796	0.057	0.106	0.0	0.0	0.0	0.0	1.335	0.0	0.0	0.019	0.0	0.0	0.02	0.203	0.147	0.15	0.135	0.321	0.0	0.116	0.0	0.0	0.064	0.0	0.0	0.0	0.384	0.0	0.274	0.42	0.0	0.0	0.0	0.0	0.127	0.174	0.059	0.0	0.045	0.0	0.032	0.0	3.641	5.056	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.0	0.0	0.348	0.01	0.465	0.0	0.0	0.0	0.0	0.0	0.071	0.18	0.074	0.025	0.081	0.0	0.038	0.0	0.0	0.14	0.033	0.0	0.131	0.036	0.0	0.0	1.512	0.152	0.822	0.042	0.024	0.026	0.212	0.106	0.0	0.0	0.071	0.0	0.0	0.0	1.118	1.855	0.03	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Bacilli	class				0.93	3.341	0.228	5.619	5.717	3.647	18.422	3.824	4.619	7.182	7.971	2.021	20.127	0.489	21.937	4.295	22.951	3.035	5.176	26.265	0.831	10.036	11.819	0.453	5.556	0.955	17.053	3.328	4.338	1.081	7.283	3.362	0.318	8.008	1.386	14.911	21.643	64.073	20.331	6.44	6.293	6.627	0.469	18.557	2.989	2.528	1.648	0.3	1.371	0.517	5.867	2.137	2.552	6.995	3.995	0.748	1.385	3.934	0.512	5.657	22.668	1.572	0.503	7.734	0.336	5.683	2.832	2.237	5.225	6.11	2.875	2.176	0.257	0.448	5.543	0.894	0.322	0.946	0.974	13.301	7.343	6.655	23.369	6.539	2.098	25.294	2.229	5.729	21.578	4.88	2.201	10.528	27.252	12.314	17.366	1.827	6.043	0.895	8.931	1.816	0.801	0.513	2.146	0.117	11.139	5.225	9.735	6.35	1.595	17.818	2.419	10.584	8.193	5.135	11.841	5.544	11.089	4.68	3.301	5.25	15.213	40.564	1.18	4.012	10.696	6.817	12.17	1.217	1.881	64.897	2.396	2.979	4.267	8.752	20.818	16.301	3.573	0.585	95.089	2.936	15.094	3.877	4.011	3.788	34.703	4.085	2.661	0.484	1.007	8.424	2.705	22.281	1.293	0.055	1.321	7.007	2.434	5.319	0.028	5.891	2.061	1.664	8.328	4.584	5.739	2.807	2.944	13.701	0.902	6.025	9.303	5.249	2.621	16.274	2.532	0.776	21.989	0.074	1.65	36.976	9.947	9.352	3.444	8.152	1.06	3.411	4.413	6.509	0.0	5.273	3.43	28.154	2.434	6.984	5.234	19.353	13.009	3.397	1.043	1.474	1.533	17.679	1.297	13.335	3.125	9.45	8.659	5.459	1.498	0.285	1.669	0.491	6.972	3.585	39.261	30.983	8.58	7.469	32.621	20.558	29.384	15.246	29.542	0.292	1.534	0.637	5.182	1.532	1.639	1.582	2.963	1.324	51.183	0.687	0.712	0.128	2.628	0.512	2.624	4.183	7.429	1.595	2.768	0.615	11.113	2.573	13.453	6.441	5.482	0.071	2.356	0.576	3.157	18.08	2.59	1.419	0.091	0.557	1.065	6.0	0.294
Bacteria;Bacillota;Clostridia	class				8.246	2.548	1.906	1.849	2.741	3.4	4.332	0.511	8.509	15.061	10.48	20.387	0.557	13.924	6.281	4.672	1.405	12.861	1.346	0.137	1.888	0.652	4.6	1.565	1.224	5.816	1.518	2.418	0.148	1.321	12.828	0.0	0.019	14.404	13.447	9.166	10.141	0.142	7.772	2.139	1.163	17.018	4.003	0.799	11.583	2.741	3.127	3.227	0.289	3.057	0.0	6.858	1.608	0.106	1.09	8.785	1.436	0.113	0.487	18.387	0.29	0.101	0.81	4.381	13.958	0.066	5.17	0.197	11.885	0.373	3.841	6.104	5.74	6.198	2.547	4.052	8.309	9.041	0.0	27.767	1.335	0.052	7.676	0.302	1.536	5.318	11.115	1.611	0.347	6.137	19.989	11.604	4.23	3.751	0.295	7.898	0.77	0.09	0.08	10.182	1.889	0.0	9.953	0.0	0.443	7.983	0.0	4.029	1.312	0.41	4.476	4.671	0.202	22.373	0.0	1.366	6.392	10.37	10.268	0.014	0.0	4.031	11.488	4.911	4.905	10.261	3.614	11.664	9.381	0.0	0.0	5.844	1.299	0.459	1.007	2.458	2.722	1.063	1.324	0.287	24.131	10.241	12.327	8.846	10.875	26.68	0.941	17.92	0.151	10.179	9.562	9.495	8.083	0.383	1.537	1.307	20.823	4.986	0.281	6.786	4.098	0.761	1.47	2.929	0.106	0.505	2.29	0.207	23.788	4.257	1.738	13.08	6.312	0.0	0.0	22.928	7.307	4.061	0.0	0.962	2.139	0.221	0.291	12.96	1.619	1.976	0.0	0.0	1.049	9.012	2.188	6.124	0.089	3.638	2.749	16.606	0.0	3.312	0.174	10.436	1.533	5.804	13.551	2.27	0.504	0.477	10.279	0.0	5.774	1.172	0.675	0.794	4.227	4.721	0.0	3.552	24.029	16.515	0.0	2.335	2.214	0.555	2.83	1.336	1.562	1.578	1.215	0.966	4.876	0.0	4.155	0.345	14.321	0.786	7.846	0.237	3.285	3.505	9.502	3.839	3.174	4.48	0.087	1.02	0.188	2.995	5.403	10.982	13.671	3.125	14.531	0.318	16.856	0.0	6.279	12.033	5.051	4.697	0.0	1.771	2.899
