HMT	Notes
36	Reads equidistant to HMT-036 and HMT-851 were assigned to each taxon in proportion to the abundance of HMT-036 and HMT-851 individually at these body sites (AKE, BMU).
58	Neither HMT-058 nor HMT-707 were present singularly so these reads were split evenly at these sites (AKE, HPA, RAF).;Some of the reads equidistant from these taxa (058-070-071-073-398-423-431-638-677-707-734-851) are included in HMT-058 because they are too close to differentiate at these sites (AKE,HPA,SUBP,SUPP,THR).;Reads equidistant to HMT-058 and HMT-398 were assigned to each taxon in proportion to the abundance of HMT-058 and HMT-398 individually at this body site (SUBP).;Reads equidistant to HMT-058 and HMT-677 were assigned to each taxon in proportion to the abundance of HMT-058 and HMT-677 individually at these sites (SUPP,THR,TDO).; 
61	Reads equidistant to HMT-061 and HMT-638 were assigned to each taxon in proportion to the abundance of HMT-061 and HMT-638 individually at these sites (BMU,PTO,RAF,SAL,THR,TDO).; Reads equidistant to HMT-061 and HMT-073 were assigned to each taxon in proportion to the abundance of HMT-061 and HMT-073 individually at this body site (HPA).;
66	Reads equidistant to HMT-066 and HMT-073 were assigned to each taxon in proportion to the abundance of HMT-066 and HMT-073 individually at these sites (BMU,HPA,LAF,LRC,PTO,RAF,RRC,SAL,THR,TDO).; 
71	Reads equidistant to HMT-071 and HMT-758 were assigned to each taxon in proportion to the abundance of HMT-071 and HMT-758 individually at this body site (AKE).;Reads equidistant to HMT-071 and HMT-398 were assigned to each taxon in proportion to the abundance of HMT-071 and HMT-398 individually at these sites (SUBP, SUPP).;Some of the reads equidistant from these taxa (058-070-071-073-398-423-431-638-677-707-734-851) are included in HMT-071 because they are too close to differentiate at these sites (AKE,BMU,SUBP,SUPP).; 
73	Some of the reads equidistant from these taxa (058-070-071-073-398-423-431-638-677-707-734-851) are included in HMT-073 because they are too close to differentiate at these sites (AKE,THR).;Reads equidistant to HMT-073 and HMT-398 were assigned to each taxon in proportion to the abundance of HMT-073 and HMT-398 individually at these sites (ANA,BMU,PTO).;Reads equidistant to HMT-061 and HMT-073 were assigned to each taxon in proportion to the abundance of HMT-061 and HMT-073 individually at this body site (HPA).;Reads equidistant to HMT-066 and HMT-073 were assigned to each taxon in proportion to the abundance of HMT-066 and HMT-073 individually at these sites (LAF,LRC,RAF,RRC,SAL,TDO).;Reads equidistant to HMT-073 and HMT-638 were assigned to each taxon in proportion to the abundance of HMT-073 and HMT-638 individually at this body site (THR).; 
82	Reads equidistant to HMT-082 and HMT-107 were assigned to each taxon in proportion to the abundance of HMT-082 and HMT-107 individually at this body site (THR).
83	Reads equidistant to HMT-083 and HMT-107 were assigned to each taxon in proportion to the abundance of HMT-083 and HMT-107 individually at this body site (RAF).
99	Neither HMT-099 nor HMT-682 were present singularly so these reads were split evenly at these sites (ANA,PTO,RRC,TDO).;Some of the reads equidistant from these taxa (099-682-764) are included in HMT-099 because they are too close to differentiate at these sites (ANA,RRC).; 
107	Because HMT-083 is not present individually, all equidistant reads were assigned to HMT-107 at this body site (HPA).;Reads equidistant to HMT-083 and HMT-107 were assigned to each taxon in proportion to the abundance of HMT-083 and HMT-107 individually at this body site (RAF).;Reads equidistant to HMT-082 and HMT-107 were assigned to each taxon in proportion to the abundance of HMT-082 and HMT-107 individually at this body site (THR).
