Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700014976-HPA	S700015268-HPA	S700015644-HPA	S700016065-HPA	S700016156-HPA	S700016321-HPA	S700016362-HPA	S700016578-HPA	S700016631-HPA	S700016935-HPA	S700021689-HPA	S700021699-HPA	S700021862-HPA	S700023082-HPA	S700023216-HPA	S700023249-HPA	S700023307-HPA	S700023406-HPA	S700023463-HPA	S700023517-HPA	S700023678-HPA	S700023774-HPA	S700023831-HPA	S700023888-HPA	S700023954-HPA	S700024011-HPA	S700024052-HPA	S700024115-HPA	S700024171-HPA	S700024219-HPA	S700024278-HPA	S700024326-HPA	S700024365-HPA	S700024419-HPA	S700024478-HPA	S700024527-HPA	S700024574-HPA	S700024623-HPA	S700024659-HPA	S700024719-HPA	S700024776-HPA	S700024813-HPA	S700024890-HPA	S700024934-HPA	S700024984-HPA	S700024999-HPA	S700033002-HPA	S700033459-HPA	S700033763-HPA	S700037060-HPA	S700037208-HPA	S700037456-HPA	S700037568-HPA	S700037720-HPA	S700038039-HPA	S700038372-HPA	S700038458-HPA	S700038506-HPA	S700038554-HPA	S700038602-HPA	S700038710-HPA	S700038769-HPA	S700038986-HPA	S700095386-HPA	S700095443-HPA	S700097267-HPA	S700097327-HPA	S700097664-HPA	S700098303-HPA	S700098395-HPA	S700098968-HPA	S700099035-HPA	S700099095-HPA	S700099623-HPA	S700099779-HPA	S700100263-HPA	S700101671-HPA	S700102275-HPA	S700102621-HPA	S700102938-HPA	S700103249-HPA	S700103313-HPA	S700103454-HPA	S700103593-HPA	S700103629-HPA	S700103680-HPA	S700105189-HPA	S700105246-HPA	S700105380-HPA	S700105425-HPA	S700105598-HPA	S700105654-HPA	S700105693-HPA	S700105747-HPA	S700105814-HPA	S700105864-HPA	S700105912-HPA	S700106026-HPA	S700106101-HPA	S700106368-HPA	S700106420-HPA	S700106528-HPA	S700106587-HPA	S700106623-HPA	S700106671-HPA	S700106845-HPA	S700106884-HPA	S700106954-HPA	S700109419-HPA	S700110620-HPA	S700113043-HPA	S700113079-HPA	S700113511-HPA	S700113586-HPA	S700113624-HPA	S700113682-HPA	S700113826-HPA	S700113940-HPA	S700114025-HPA	S700114074-HPA	S700114131-HPA	S700114197-HPA	S700114311-HPA	S700114359-HPA	S700114395-HPA	S700114466-HPA	S700114525-HPA	S700114566-HPA	S700114623-HPA	S700114687-HPA	S700114735-HPA	S700114785-HPA	S700114842-HPA	S700114890-HPA	S700114947-HPA	S700114995-HPA	S700116225-HPA	S700116312-HPA	S700116366-HPA	S700116576-HPA	S700116627-HPA	S700116786-HPA	S700116846-HPA	S700117008-HPA	S700117668-HPA	S700117725-HPA	S700117836-HPA	S700117962-HPA	S700118446-HPA
Bacteria	domain				99.614	99.178	99.364	99.754	96.896	95.324	98.338	98.549	99.244	99.235	99.982	97.093	99.083	99.434	98.726	97.828	99.352	96.767	99.609	95.4	99.4	97.901	98.932	99.73	99.417	96.761	97.838	95.638	99.079	98.783	99.601	96.314	99.67	96.626	96.505	97.91	99.819	99.183	94.285	97.289	98.945	99.114	97.866	95.091	98.507	96.483	99.247	93.32	99.066	99.457	97.262	99.664	96.513	99.887	97.129	99.061	99.523	96.348	99.302	81.408	98.963	99.903	96.413	99.718	98.052	84.751	97.372	99.427	99.327	98.682	99.15	99.185	99.572	99.743	99.472	99.119	98.685	99.843	99.565	98.957	99.534	99.745	94.061	99.74	99.882	99.817	99.062	96.768	98.647	100.0	100.0	98.802	99.397	99.681	99.747	97.483	98.959	99.357	98.501	99.478	99.348	97.537	99.381	99.938	93.428	99.113	98.531	99.336	97.182	94.606	97.081	99.825	99.73	98.093	99.332	99.087	99.895	98.195	98.94	99.1	98.865	95.118	99.385	97.191	98.268	99.701	97.758	98.718	99.213	98.406	99.499	98.385	99.02	96.496	95.971	97.116	99.636	98.807	99.933	97.057	99.865	99.642	99.539	98.487	99.714	99.72	98.712	99.918	99.599
Bacteria;Patescibacteria	phylum				0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.041	0.0	0.126	0.0	0.0	1.23	0.011	0.0	0.235	0.0	0.0	0.0	0.024	0.0	0.016	0.0	0.0	0.0	0.174	0.0	0.737	0.026	0.0	0.067	0.0	0.0	0.743	0.429	0.0	0.0	0.012	0.39	0.015	0.0	0.0	0.826	0.019	0.03	0.622	0.0	0.371	0.168	0.0	0.56	0.0	0.158	0.0	0.087	0.0	0.0	0.658	0.0	0.873	0.054	0.0	0.0	0.0	0.446	0.663	0.021	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.86	0.0	0.0	0.016	0.0	0.0	0.0	0.543	0.0	0.024	0.0	0.0	0.634	0.0	0.0	0.0	2.932	0.028	4.23	0.0	0.03	0.0	0.352	0.009	0.024	0.0	0.809	0.027	0.025	1.581	0.063	0.0	0.0	0.183	0.0	0.038	0.0	0.0	0.0	0.037	0.0	0.0	0.139	0.012	0.0	0.199	0.0	0.077	0.023	0.0	0.0	0.0	0.033	0.0	0.058	0.0	0.135	0.0	0.624	0.021	0.189	0.0	0.42	0.0	0.052	0.0	0.024	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinomycetota	phylum				6.326	2.95	19.952	10.474	14.671	6.999	2.152	7.228	8.275	8.704	4.223	21.422	16.439	4.628	0.757	10.239	12.459	8.095	11.971	12.844	7.375	10.922	9.191	15.017	4.778	9.368	13.762	5.795	6.747	14.958	0.825	12.113	12.889	3.085	6.872	6.412	15.805	13.004	2.77	10.408	15.77	30.068	5.988	4.983	8.776	8.686	5.229	2.272	13.051	16.136	9.772	23.013	3.302	14.036	4.684	12.105	20.573	4.423	17.606	5.739	4.465	9.316	4.431	8.076	11.523	8.678	5.829	15.082	18.244	10.472	9.279	14.086	3.234	6.945	7.418	11.913	7.692	5.528	33.173	12.698	0.011	37.315	2.336	6.108	4.691	0.0	16.262	2.43	2.645	0.0	8.606	6.48	0.0	3.113	10.266	7.493	1.605	12.882	25.345	2.41	28.258	16.484	23.803	6.381	5.426	0.008	5.2	12.183	2.765	2.733	4.602	13.465	3.013	3.351	25.947	13.556	11.252	12.01	9.443	3.744	8.023	16.608	5.337	16.327	4.252	4.342	10.338	9.775	10.291	7.407	2.366	8.251	4.03	4.183	6.242	6.525	9.039	14.636	8.948	4.162	18.165	22.993	14.06	16.299	16.014	14.68	15.445	7.388	12.981
Bacteria;Bacteroidota	phylum				11.09	1.36	10.528	6.951	11.562	12.352	3.519	19.845	15.227	9.595	3.045	20.821	16.238	15.971	0.796	6.282	7.467	9.778	20.562	13.149	8.916	12.576	4.825	15.902	1.472	11.074	2.15	17.856	7.707	10.617	1.105	8.832	11.728	23.004	7.914	3.721	18.156	15.478	16.902	13.192	17.256	4.196	18.1	7.484	9.203	17.397	5.55	18.396	7.935	17.246	16.347	13.896	20.718	21.993	19.386	18.382	15.507	19.097	8.974	18.871	26.06	10.63	5.314	8.223	13.424	12.467	7.524	14.881	5.48	10.935	6.969	16.818	2.736	8.471	3.775	13.024	5.288	4.551	7.396	6.161	0.954	12.0	9.868	1.235	16.704	20.897	12.303	16.172	6.263	19.549	14.861	17.862	14.127	18.117	22.888	18.54	0.83	5.569	4.71	2.707	17.165	12.331	17.819	5.357	23.295	10.482	23.693	3.773	18.419	19.453	10.734	18.608	3.844	2.87	17.52	12.933	19.279	12.635	23.127	9.009	19.574	3.697	5.967	12.677	9.568	5.309	9.652	19.015	14.105	9.143	3.678	16.799	6.471	13.788	5.856	16.328	11.725	20.689	6.861	15.828	5.531	14.266	7.42	16.111	12.036	9.779	9.42	1.441	17.327
Bacteria;Bacillota	phylum				73.714	85.345	59.544	78.934	65.668	68.85	88.925	54.381	60.233	56.077	89.525	27.773	44.71	55.417	94.186	45.399	64.851	72.268	57.941	56.595	70.96	64.038	50.248	57.216	87.194	62.085	62.315	47.312	74.776	68.109	94.276	59.991	66.953	48.791	60.001	77.296	53.526	60.524	60.051	61.793	56.243	55.275	51.566	70.952	69.633	49.765	86.03	58.167	69.277	53.787	49.88	38.776	57.896	48.621	53.722	58.39	38.276	51.35	33.83	33.785	53.822	72.172	75.906	82.437	49.801	35.527	67.995	56.055	57.08	70.045	67.065	51.119	78.496	63.906	83.923	55.159	68.587	78.384	52.75	69.221	82.95	45.114	69.781	85.932	51.131	61.777	63.236	70.218	78.514	65.247	72.59	58.71	64.913	65.283	60.93	38.798	92.726	67.656	48.552	86.455	36.271	30.99	50.256	83.325	38.667	70.453	58.179	78.291	27.185	46.242	61.079	63.509	89.771	81.141	43.17	52.41	62.579	37.313	52.102	79.561	54.395	68.484	74.562	56.454	69.839	86.726	39.007	30.584	60.019	62.722	88.344	46.736	84.914	67.498	79.802	54.169	72.076	36.013	77.087	63.469	68.885	54.29	58.49	51.377	62.342	69.628	68.477	89.175	50.339
Bacteria;Fusobacteriota	phylum				3.5	0.916	3.682	1.465	1.147	0.823	1.346	4.339	4.836	6.14	0.471	9.858	5.234	15.753	0.478	9.229	2.695	1.71	4.582	1.461	2.376	2.719	4.901	7.171	1.306	6.477	3.17	11.006	3.218	2.881	1.118	6.094	3.826	4.835	6.636	0.475	4.448	2.206	3.025	2.274	1.427	2.978	2.495	3.779	3.276	9.752	0.09	7.063	4.238	1.209	3.817	4.082	7.211	6.999	5.687	1.067	9.621	6.509	3.926	17.199	5.292	3.673	0.595	0.061	6.454	8.336	2.289	0.774	3.413	1.425	4.367	7.932	0.428	8.92	1.901	5.243	0.59	0.956	0.917	0.682	0.249	2.617	4.653	4.711	3.886	8.566	3.667	3.304	3.783	9.753	0.837	5.691	11.785	0.0	2.309	13.831	1.063	2.54	3.449	0.451	1.674	8.592	3.739	1.148	11.518	10.819	1.87	1.196	4.905	7.156	7.611	1.314	0.157	0.749	4.9	14.569	1.201	15.116	7.067	2.924	8.36	0.472	5.937	2.971	2.572	0.264	3.101	18.212	5.471	3.82	1.399	11.967	0.684	4.325	0.574	5.232	2.424	23.21	1.199	1.846	1.169	1.692	6.563	11.148	1.408	1.859	1.423	0.597	2.388
Bacteria;Pseudomonadota	phylum				4.229	8.607	4.567	1.1	1.828	6.301	2.396	12.106	10.495	17.883	2.718	16.967	14.136	5.983	2.469	25.931	11.584	4.916	4.414	10.267	9.586	6.439	29.367	2.37	4.542	5.766	16.428	12.44	6.215	2.123	2.196	9.163	3.536	14.618	14.468	9.072	6.329	7.508	10.851	9.227	7.952	6.521	16.156	7.021	7.283	9.067	2.258	6.634	3.664	9.771	16.547	19.616	6.886	7.731	13.0	9.095	12.468	13.609	34.405	3.9	8.782	3.941	7.807	0.859	15.466	18.78	12.526	10.328	13.372	2.796	10.925	5.269	14.608	11.258	1.558	9.711	16.319	10.337	4.988	9.597	15.359	2.389	6.373	0.78	22.545	7.457	2.511	3.483	7.176	4.472	3.108	6.685	5.864	8.939	3.037	17.489	2.724	9.103	15.577	7.431	15.98	27.629	2.152	3.357	7.793	6.496	8.184	3.202	43.465	18.554	12.098	2.59	2.945	9.982	6.477	4.942	5.331	20.358	7.104	3.598	7.823	5.825	7.09	8.451	11.78	3.059	35.568	18.825	7.888	15.205	3.557	14.188	2.921	4.657	3.1	14.247	3.666	2.759	5.817	11.51	6.115	6.246	12.611	3.008	7.589	3.384	2.669	1.235	16.563
Bacteria;Candidatus Saccharimonadota	phylum				0.754	0.0	1.035	0.831	2.015	0.0	0.0	0.58	0.177	0.628	0.0	0.253	1.096	1.67	0.04	0.374	0.296	0.0	0.14	1.06	0.188	1.192	0.4	2.055	0.125	1.785	0.012	0.491	0.363	0.095	0.013	0.12	0.739	1.536	0.185	0.934	1.555	0.451	0.296	0.364	0.297	0.077	2.65	0.815	0.305	1.168	0.09	0.4	0.733	1.308	0.26	0.282	0.343	0.507	0.551	0.021	2.904	0.544	0.561	0.947	0.488	0.17	2.359	0.061	0.868	0.289	1.187	2.307	1.674	3.01	0.544	3.926	0.069	0.243	0.898	3.188	0.209	0.087	0.311	0.598	0.011	0.309	0.507	0.975	0.9	1.06	1.083	0.527	0.267	0.98	0.0	0.441	2.525	0.0	0.316	1.214	0.011	1.255	0.86	0.0	0.0	0.611	1.587	0.346	4.936	0.792	1.396	0.691	0.261	0.36	0.905	0.338	0.0	0.0	1.244	0.679	0.253	0.555	0.085	0.0	0.445	0.033	0.261	0.276	0.257	0.0	0.092	2.251	1.439	0.05	0.155	0.31	0.0	1.381	0.376	0.426	0.707	1.022	0.022	0.192	0.0	0.13	0.395	0.545	0.326	0.389	1.278	0.082	0.0
Bacteria;Spirochaetota	phylum				0.0	0.0	0.056	0.0	0.0	0.0	0.0	0.028	0.0	0.082	0.0	0.0	0.0	0.0	0.0	0.138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.032	0.0	0.0	0.026	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.086	0.037	0.0	0.025	0.0	0.017	0.0	0.0	0.08	0.0	0.0	0.0	0.012	0.0	0.174	0.159	0.0	0.093	0.0	0.0	0.0	0.0	0.07	0.011	0.0	0.0	0.066	0.0	0.0	0.023	0.0	0.0	0.0	0.021	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.061	0.0	0.0	0.0	0.0	0.0	0.0	0.154	0.0	0.0	0.089	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.213	0.0	0.009	0.0	0.0	0.108	0.013	0.0	0.0	0.0	0.037	0.0	0.0	0.069	0.0	0.265	0.046	0.0	0.154	0.012	0.0	0.0	0.0	0.022	0.0	0.0	0.0	0.0	0.0	0.039	0.0	0.0	0.0	0.057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Patescibacteria;Patescibacteria [C1]	class				0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.041	0.0	0.126	0.0	0.0	1.23	0.011	0.0	0.235	0.0	0.0	0.0	0.024	0.0	0.016	0.0	0.0	0.0	0.174	0.0	0.737	0.026	0.0	0.067	0.0	0.0	0.743	0.429	0.0	0.0	0.012	0.39	0.015	0.0	0.0	0.826	0.019	0.03	0.622	0.0	0.371	0.168	0.0	0.56	0.0	0.158	0.0	0.087	0.0	0.0	0.658	0.0	0.873	0.054	0.0	0.0	0.0	0.446	0.663	0.021	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.86	0.0	0.0	0.016	0.0	0.0	0.0	0.543	0.0	0.024	0.0	0.0	0.634	0.0	0.0	0.0	2.932	0.028	4.23	0.0	0.03	0.0	0.352	0.009	0.024	0.0	0.809	0.027	0.025	1.581	0.063	0.0	0.0	0.183	0.0	0.038	0.0	0.0	0.0	0.037	0.0	0.0	0.139	0.012	0.0	0.199	0.0	0.077	0.023	0.0	0.0	0.0	0.033	0.0	0.058	0.0	0.135	0.0	0.624	0.021	0.189	0.0	0.42	0.0	0.052	0.0	0.024	0.0	0.0	0.0	0.0	0.0	0.0	0.0
