Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700015003-LAF	S700015295-LAF	S700015971-LAF	S700016092-LAF	S700016174-LAF	S700016229-LAF	S700016658-LAF	S700021830-LAF	S700023013-LAF	S700023108-LAF	S700023273-LAF	S700023426-LAF	S700023483-LAF	S700023537-LAF	S700023584-LAF	S700023627-LAF	S700023660-LAF	S700023794-LAF	S700023851-LAF	S700023908-LAF	S700023942-LAF	S700023993-LAF	S700024260-LAF	S700024312-LAF	S700024431-LAF	S700024515-LAF	S700024560-LAF	S700024609-LAF	S700024705-LAF	S700024835-LAF	S700024872-LAF	S700024924-LAF	S700024972-LAF	S700032119-LAF	S700033029-LAF	S700033185-LAF	S700033713-LAF	S700033781-LAF	S700034688-LAF	S700034889-LAF	S700037022-LAF	S700037048-LAF	S700037116-LAF	S700037169-LAF	S700037278-LAF	S700037383-LAF	S700037431-LAF	S700037474-LAF	S700037554-LAF	S700037706-LAF	S700037783-LAF	S700037840-LAF	S700037874-LAF	S700037922-LAF	S700038027-LAF	S700038152-LAF	S700038360-LAF	S700038408-LAF	S700038478-LAF	S700038526-LAF	S700038572-LAF	S700038620-LAF	S700038728-LAF	S700038896-LAF	S700038944-LAF	S700038972-LAF	S700095267-LAF	S700095404-LAF	S700095461-LAF	S700097285-LAF	S700097345-LAF	S700097682-LAF	S700098413-LAF	S700098593-LAF	S700098986-LAF	S700099053-LAF	S700099113-LAF	S700099797-LAF	S700099854-LAF	S700100073-LAF	S700100281-LAF	S700101185-LAF	S700101398-LAF	S700101632-LAF	S700101689-LAF	S700102293-LAF	S700102407-LAF	S700102639-LAF	S700102956-LAF	S700103267-LAF	S700103647-LAF	S700105007-LAF	S700105169-LAF	S700105898-LAF	S700106320-LAF	S700106510-LAF	S700106567-LAF	S700106689-LAF	S700106717-LAF	S700106924-LAF	S700106972-LAF	S700112806-LAF	S700113099-LAF	S700113150-LAF	S700113529-LAF	S700113568-LAF	S700113642-LAF	S700113670-LAF	S700113741-LAF	S700113846-LAF	S700114043-LAF	S700114185-LAF	S700114240-LAF	S700114293-LAF	S700114345-LAF	S700114413-LAF	S700114511-LAF	S700114584-LAF	S700114641-LAF	S700114675-LAF	S700114723-LAF	S700114773-LAF	S700114878-LAF	S700114927-LAF	S700114983-LAF	S700116102-LAF	S700116281-LAF	S700116384-LAF	S700116804-LAF	S700117220-LAF	S700117631-LAF	S700117688-LAF	S700117854-LAF	S700118464-LAF	S700122398-LAF	S700161500-LAF	S700161624-LAF	S700161730-LAF	S700161844-LAF	S700163547-LAF	S700163654-LAF	S700163760-LAF	S700164076-LAF	S700164185-LAF	S700164275-LAF	S700164345-LAF	S700164493-LAF	S700164544-LAF	S700164761-LAF	S700164858-LAF	S700165040-LAF	S700165138-LAF	S700165193-LAF	S700165402-LAF	S700165660-LAF	S700165708-LAF	S700165804-LAF	S700165901-LAF	S700171108-LAF	S700171141-LAF	S700171416-LAF	S700171519-LAF	S700171567-LAF	S700171620-LAF	S700171722-LAF	S700171922-LAF	S700172056-LAF	S700172647-LAF	S700173018-LAF	S700173066-LAF	S700173315-LAF	S700173476-LAF	S700173622-LAF	S700173826-LAF
Bacteria	domain				86.907	19.546	94.938	41.323	10.556	27.687	95.88	41.846	81.224	76.919	67.298	28.494	65.059	95.906	55.34	65.097	52.504	64.713	83.575	78.992	89.225	76.346	92.606	91.428	92.986	92.423	95.184	74.777	97.057	68.955	86.713	89.677	98.872	99.946	80.073	66.514	96.091	90.494	74.515	96.04	81.033	98.537	80.083	78.474	81.729	85.304	94.735	87.793	94.181	61.183	92.23	95.933	85.722	96.82	97.158	86.011	47.479	94.576	94.708	63.081	97.544	99.353	96.537	86.337	96.304	98.935	99.227	97.714	80.878	76.513	97.701	88.919	71.211	90.963	45.47	92.843	95.227	88.348	98.684	98.617	80.509	67.552	96.669	86.296	91.396	99.439	94.686	72.443	95.748	78.462	99.02	93.436	78.658	98.25	94.437	63.336	81.833	89.026	94.347	93.693	91.925	82.234	97.759	24.099	69.178	27.366	97.714	95.775	97.577	99.913	97.851	74.549	36.747	73.037	91.778	64.33	90.366	76.178	65.801	92.924	70.253	85.448	94.686	81.246	48.592	97.344	95.825	98.714	55.852	99.543	11.617	64.326	76.567	43.017	98.096	76.907	89.836	92.425	92.973	97.066	87.903	33.196	93.316	75.495	76.359	68.412	91.603	91.442	81.399	62.803	90.06	90.279	95.205	80.059	98.692	94.909	89.664	91.982	97.563	95.235	98.759	69.694	63.372	94.067	75.728	89.255	17.707	78.817	98.626	98.607	99.092	99.068	98.417	91.353
Bacteria;Actinomycetota	phylum				26.121	5.328	75.342	24.828	3.598	6.823	93.162	20.13	32.541	32.567	12.729	14.435	22.497	5.419	13.195	15.457	0.0	6.01	15.906	46.555	60.096	51.495	80.835	78.544	41.844	77.157	49.134	71.006	92.723	51.07	45.328	76.679	89.317	1.577	23.967	15.574	88.716	69.714	62.608	82.22	49.517	95.905	52.017	39.738	38.344	67.343	45.998	50.085	25.991	32.031	62.26	85.249	54.539	94.997	66.004	63.227	43.094	83.88	87.901	49.022	79.377	84.242	59.795	70.16	82.178	73.568	2.2	74.075	72.99	49.119	28.578	11.989	21.302	24.225	12.768	50.985	7.334	22.112	89.381	89.743	26.195	7.854	77.737	37.804	79.076	94.343	85.001	42.552	77.853	47.235	92.477	48.603	58.69	46.411	75.335	49.628	39.804	75.978	30.994	82.523	21.624	58.681	86.612	6.443	2.093	7.752	34.862	19.23	48.512	5.261	70.119	26.774	16.208	43.926	71.099	41.817	80.505	41.035	15.801	27.105	39.342	60.86	89.538	59.257	12.932	94.139	77.192	91.515	35.542	92.511	2.798	7.27	70.877	21.069	95.417	39.244	81.01	62.491	72.565	33.411	83.076	12.657	76.375	62.252	64.629	59.24	79.339	56.739	38.163	39.384	68.248	81.627	38.884	37.391	74.538	68.264	79.351	54.928	92.547	61.486	53.119	46.776	56.718	71.816	9.596	39.415	7.844	49.6	20.032	77.768	94.624	16.234	83.297	70.754
Bacteria;Bacteroidota	phylum				3.437	0.0	0.589	0.0	0.297	0.0	0.068	0.0	6.378	0.899	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.471	0.042	0.013	0.0	0.057	0.53	1.814	0.332	0.003	0.0	0.075	0.339	1.416	0.108	0.115	0.129	2.571	0.076	0.329	0.0	0.539	1.113	0.202	0.107	0.665	0.0	1.779	0.0	0.365	1.308	0.202	0.0	0.0	0.0	1.252	0.0	1.047	0.63	0.0	0.319	0.0	1.771	0.316	0.225	0.0	2.122	1.13	0.13	0.0	0.0	0.151	1.026	0.021	0.705	1.821	1.604	0.0	1.318	0.21	1.227	0.0	0.334	0.509	0.479	0.264	0.4	0.0	0.0	0.411	1.375	0.115	0.0	0.368	3.282	0.0	15.261	4.933	0.0	0.0	0.026	0.0	0.0	0.897	2.085	0.324	0.051	0.0	0.0	0.161	0.222	1.701	0.262	4.298	2.742	0.234	0.889	0.676	0.135	0.0	3.023	4.719	1.131	3.733	0.609	0.028	5.902	2.049	0.0	0.261	0.091	1.39	0.246	0.0	1.877	0.362	0.744	0.0	1.787	0.0	0.146	2.906	0.0	0.122	0.337	0.223	0.0	0.421	1.086	0.397	1.712	0.384	2.634	0.095	0.238	2.616	1.01	0.419	1.488	0.0	0.752	0.047	1.466	0.223	0.388	0.145	1.918	13.299	0.594	0.0	1.159	0.481	0.539	0.131	0.36	0.055	0.0
Bacteria;Bacillota	phylum				21.698	13.705	12.189	4.897	2.557	5.888	1.555	10.085	34.592	36.239	15.436	1.669	15.89	86.506	3.388	2.216	10.465	8.445	38.375	23.992	14.331	21.307	7.623	9.544	32.911	5.199	45.098	2.724	3.131	14.643	27.924	6.176	8.401	98.208	44.353	47.993	4.174	11.08	10.237	8.747	20.404	2.052	23.077	10.516	32.391	16.46	46.972	31.037	65.88	16.954	20.278	9.635	17.504	1.259	25.233	12.601	3.38	8.584	3.129	2.675	16.573	5.343	35.914	3.928	7.621	23.89	97.027	22.679	6.661	20.926	68.328	74.842	36.83	58.914	29.576	35.259	87.082	46.308	7.386	7.442	21.471	55.568	12.551	40.858	7.968	4.376	7.86	25.773	16.452	25.013	5.219	15.433	0.0	14.612	9.761	11.561	37.021	1.969	61.335	2.174	60.879	19.259	9.746	0.152	59.969	18.892	60.208	75.327	42.592	93.931	7.91	28.747	7.171	24.148	10.398	18.711	7.671	24.949	24.602	34.628	17.563	17.563	3.792	5.632	30.09	2.976	16.284	6.679	15.126	3.586	8.677	52.091	4.924	18.91	2.438	29.66	6.695	16.315	12.616	63.346	2.737	12.75	16.065	12.505	8.516	2.327	8.364	30.509	38.038	14.022	19.513	6.856	35.92	40.218	12.871	16.43	8.984	33.853	3.609	26.245	42.743	18.653	5.609	11.975	30.91	46.228	8.841	14.508	77.793	18.784	2.628	81.68	13.921	18.93
Bacteria;Fusobacteriota	phylum				17.07	0.0	0.828	0.0	0.059	0.0	0.094	0.0	0.325	0.706	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.717	0.798	0.0	1.86	0.0	0.0	0.711	0.0	0.052	0.186	0.0	0.0	0.523	0.413	0.249	0.0	0.0	0.0	0.411	0.459	0.323	1.139	0.0	0.0	0.0	0.0	0.844	0.049	0.38	0.379	0.126	2.029	0.53	0.0	0.0	0.0	1.496	0.204	0.373	0.0	0.0	0.0	0.0	0.155	0.188	0.67	1.512	0.024	0.0	0.0	0.137	0.616	0.0	0.331	0.319	0.321	0.725	0.665	0.168	0.17	0.0	0.0	0.849	0.111	0.0	2.29	0.0	0.025	0.0	0.633	0.038	0.0	0.355	14.385	0.0	21.809	0.0	0.0	0.0	0.053	0.0	0.133	0.628	0.436	0.0	0.101	0.0	0.0	0.272	0.133	0.468	0.175	0.13	2.718	0.0	1.407	1.466	0.0	0.0	1.025	1.22	2.564	3.412	2.222	0.0	2.337	0.32	0.0	0.0	0.13	0.0	0.246	0.0	1.176	0.095	0.169	0.0	1.787	0.061	1.092	0.767	0.0	0.031	1.629	0.0	0.35	0.0	0.0	0.231	0.086	0.077	0.132	0.405	0.066	0.785	0.054	0.0	0.0	0.225	0.056	0.0	0.587	0.0	0.367	0.0	3.799	2.416	0.914	0.0	1.559	0.206	0.315	0.0	0.199	0.286	0.0
Bacteria;Patescibacteria	phylum				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota	phylum				14.063	0.513	5.99	11.598	4.044	14.976	1.002	11.631	7.387	6.508	39.133	12.39	26.672	3.982	38.757	47.424	42.039	50.259	27.107	7.605	14.784	1.683	4.09	2.81	15.616	9.735	0.897	0.861	1.127	2.903	11.523	6.302	0.79	0.032	9.183	2.871	2.29	9.241	0.808	2.821	10.909	0.473	4.324	28.22	8.371	1.451	0.822	4.878	1.919	10.168	9.162	1.049	12.427	0.564	3.102	9.349	0.632	1.793	3.678	9.613	1.269	9.389	0.641	9.456	3.451	1.323	0.0	0.96	0.925	4.826	0.774	1.052	10.348	5.899	1.759	4.356	0.434	18.291	1.917	1.097	31.344	3.54	6.116	4.071	4.352	0.695	1.414	2.109	1.231	6.214	0.6	11.732	19.968	0.118	4.408	2.147	5.008	11.0	2.017	8.863	7.896	1.773	1.076	17.352	7.117	0.722	2.212	0.818	3.497	0.196	15.395	11.523	13.133	2.667	8.139	3.667	2.189	6.148	12.619	27.407	5.62	3.566	1.329	8.119	3.201	0.229	2.088	0.299	3.795	2.954	0.101	1.651	0.309	2.091	0.241	4.292	2.069	9.614	4.12	0.309	1.937	5.823	0.653	0.388	2.794	5.759	3.174	2.396	4.583	6.631	1.799	1.465	17.001	1.28	10.865	8.727	1.104	2.394	1.312	5.451	2.61	3.51	0.9	4.522	19.034	2.103	1.023	11.99	0.114	1.187	1.708	0.583	0.825	1.669
Bacteria;Candidatus Saccharimonadota	phylum				4.517	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.171	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.198	0.105	0.063	0.0	0.0	0.0	0.0	0.0	0.276	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.412	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.592	0.0	0.641	0.259	0.0	0.239	0.0	0.0	0.141	0.0	0.0	0.872	0.0	0.0	0.0	0.0	0.058	0.0	0.0	0.0	0.0	0.039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.044	0.808	0.087	0.0	0.842	0.0	0.0	0.0	0.0	0.0	0.0	6.84	0.09	0.582	0.627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.261	0.0	0.034	0.0	0.137	0.0	2.768	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.099	0.0	0.154	0.0	0.0	0.026	0.0	0.108	0.0	0.0	0.0	0.0	0.047	0.0	0.064	0.0	0.0	0.0	0.474	0.0	0.0	0.0	0.0	0.015	0.0	0.012	0.033	0.0
Bacteria;Actinomycetota;Actinomycetes	class				26.121	5.289	75.342	24.828	3.598	6.823	93.157	20.13	32.541	32.567	12.729	14.435	22.497	5.419	13.195	15.457	0.0	6.01	15.906	41.513	60.096	50.963	80.835	78.544	41.028	77.157	49.023	70.843	92.623	51.07	45.328	76.679	89.317	1.577	23.967	15.574	88.646	69.714	62.608	82.22	49.517	95.905	52.017	39.738	38.344	67.343	45.998	49.928	25.991	32.031	62.26	85.103	54.539	94.997	65.939	63.227	43.094	83.88	87.901	49.022	79.377	84.242	59.795	70.16	82.178	73.568	2.2	74.075	72.99	49.119	28.513	11.989	20.733	24.171	12.768	50.973	7.208	22.112	89.381	89.743	26.195	7.854	77.737	37.804	79.076	94.343	84.841	42.552	77.853	47.235	92.477	48.603	58.69	46.411	75.335	49.628	39.804	75.374	30.994	82.523	21.624	57.903	86.612	6.443	2.093	2.596	34.862	19.23	48.427	4.999	70.119	26.774	16.208	43.926	71.099	41.817	80.505	41.035	15.801	27.105	38.719	60.86	89.538	59.257	12.932	94.139	77.192	91.515	35.542	92.511	2.778	6.082	70.877	20.9	95.417	39.107	81.01	60.452	72.565	33.411	83.076	12.657	76.323	62.252	64.629	59.24	79.174	56.739	37.048	39.12	67.342	81.627	37.663	37.108	74.538	68.264	79.351	54.928	92.547	61.364	52.419	46.776	56.718	71.816	9.596	39.186	7.844	49.6	20.009	77.768	94.624	16.122	83.297	70.754
Bacteria;Actinomycetota;Coriobacteriia	class				0.0	0.039	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.042	0.0	0.532	0.0	0.0	0.816	0.0	0.111	0.162	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.157	0.0	0.0	0.0	0.145	0.0	0.0	0.065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.064	0.0	0.569	0.053	0.0	0.012	0.126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.604	0.0	0.0	0.0	0.778	0.0	0.0	0.0	5.157	0.0	0.0	0.085	0.262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.622	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	1.188	0.0	0.169	0.0	0.137	0.0	2.039	0.0	0.0	0.0	0.0	0.052	0.0	0.0	0.0	0.165	0.0	1.115	0.263	0.906	0.0	1.221	0.283	0.0	0.0	0.0	0.0	0.0	0.122	0.7	0.0	0.0	0.0	0.0	0.229	0.0	0.0	0.023	0.0	0.0	0.112	0.0	0.0
