Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700015295-LAF	S700015908-LAF	S700016092-LAF	S700016174-LAF	S700016339-LAF	S700016658-LAF	S700016758-LAF	S700023273-LAF	S700023537-LAF	S700023584-LAF	S700023627-LAF	S700023794-LAF	S700023851-LAF	S700024260-LAF	S700024312-LAF	S700024515-LAF	S700024609-LAF	S700024705-LAF	S700024758-LAF	S700024872-LAF	S700024924-LAF	S700024972-LAF	S700032276-LAF	S700032370-LAF	S700032462-LAF	S700032976-LAF	S700033185-LAF	S700033250-LAF	S700033609-LAF	S700033781-LAF	S700034075-LAF	S700034132-LAF	S700034220-LAF	S700035208-LAF	S700035629-LAF	S700037022-LAF	S700037048-LAF	S700037278-LAF	S700037383-LAF	S700037431-LAF	S700037474-LAF	S700037840-LAF	S700037922-LAF	S700038027-LAF	S700038098-LAF	S700038152-LAF	S700038360-LAF	S700038572-LAF	S700038620-LAF	S700038728-LAF	S700038972-LAF	S700095404-LAF	S700095461-LAF	S700095518-LAF	S700095575-LAF	S700095701-LAF	S700095768-LAF	S700095882-LAF	S700097228-LAF	S700097742-LAF	S700099053-LAF	S700099339-LAF	S700099940-LAF	S700100591-LAF	S700100651-LAF	S700101127-LAF	S700101185-LAF	S700101566-LAF	S700101948-LAF	S700102293-LAF	S700102464-LAF	S700102639-LAF	S700102899-LAF	S700103581-LAF	S700103647-LAF	S700105802-LAF	S700105898-LAF	S700106689-LAF	S700106924-LAF	S700107429-LAF	S700107540-LAF	S700107597-LAF	S700107810-LAF	S700108149-LAF	S700108272-LAF	S700108947-LAF	S700109224-LAF	S700109557-LAF	S700109675-LAF	S700109975-LAF	S700110800-LAF	S700111210-LAF	S700111799-LAF	S700112806-LAF	S700113099-LAF	S700113150-LAF	S700113529-LAF	S700113568-LAF	S700113642-LAF	S700113670-LAF	S700113795-LAF	S700113846-LAF	S700114043-LAF	S700114185-LAF	S700114240-LAF	S700114293-LAF	S700114413-LAF	S700114641-LAF	S700114675-LAF	S700114723-LAF	S700114773-LAF	S700114878-LAF	S700114927-LAF	S700114983-LAF	S700116102-LAF	S700116384-LAF	S700116953-LAF	S700117631-LAF	S700117854-LAF	S700118464-LAF	S700119216-LAF	S700119616-LAF	S700119790-LAF	S700120091-LAF	S700122398-LAF	S700163705-LAF	S700163760-LAF	S700163914-LAF	S700164185-LAF	S700164275-LAF	S700164345-LAF	S700164493-LAF	S700164761-LAF	S700164818-LAF	S700164858-LAF	S700165040-LAF	S700165138-LAF	S700165402-LAF	S700171060-LAF	S700171519-LAF	S700171567-LAF	S700171828-LAF	S700172056-LAF	S700173066-LAF	S700173476-LAF
Bacteria	domain				7.296	62.908	45.792	16.652	60.823	95.359	41.046	82.111	72.523	90.971	81.112	88.161	84.151	83.107	88.81	90.767	33.057	95.91	41.304	84.807	90.745	99.735	93.801	97.548	58.092	96.473	56.825	93.013	69.83	92.767	93.199	74.252	31.537	87.134	89.034	86.814	99.645	71.283	97.566	84.167	83.591	97.781	99.447	95.614	92.297	90.862	96.934	99.317	99.258	93.889	99.263	97.22	84.776	95.929	87.026	69.383	57.066	47.716	68.112	96.665	93.111	65.22	85.809	66.583	81.589	96.787	25.245	97.524	99.182	99.091	70.706	63.91	98.764	88.688	99.666	47.566	93.435	89.703	95.47	97.732	90.165	98.665	91.636	93.739	91.302	80.231	95.765	98.052	94.707	90.521	77.974	18.215	37.258	75.055	100.0	99.866	99.783	95.899	9.867	100.0	97.195	87.841	97.8	99.914	99.609	93.753	6.771	99.928	99.942	99.923	99.841	99.194	99.907	89.706	95.373	97.997	61.884	7.704	67.424	39.961	95.58	65.806	82.93	14.668	96.067	53.75	30.15	92.369	79.204	66.154	45.798	91.465	80.999	86.982	69.231	90.709	89.271	74.383	99.938	81.831	56.612	21.038	6.217	93.103	96.749
Bacteria;Actinomycetota	phylum				4.87	53.741	4.698	0.227	6.619	93.021	4.924	2.718	5.415	7.659	13.855	8.616	15.343	50.421	72.754	56.603	23.474	90.301	19.151	49.081	77.872	97.489	88.241	94.711	23.044	88.6	16.024	79.134	44.059	82.448	86.255	57.382	20.042	80.13	74.65	56.643	98.917	31.184	82.491	68.438	59.562	93.909	98.364	78.321	71.154	58.695	83.163	86.894	86.103	87.25	70.686	95.177	81.46	89.214	78.061	55.362	52.435	37.394	56.91	78.846	76.293	47.866	43.983	41.37	72.456	94.854	8.895	93.126	95.788	97.288	46.507	54.522	50.048	58.624	97.448	5.295	61.751	74.714	91.516	89.869	65.671	88.35	83.273	43.43	72.558	59.147	87.598	94.155	64.311	14.467	70.649	8.701	19.65	61.704	48.278	7.146	0.399	15.843	2.88	24.617	80.365	39.206	73.935	7.622	33.166	55.213	1.815	32.703	3.049	6.369	15.032	9.988	42.8	56.127	86.622	90.95	37.568	2.928	65.822	17.316	95.088	54.839	56.828	9.321	95.549	32.188	16.644	87.392	74.263	61.352	38.487	81.738	43.702	34.281	31.446	80.405	85.127	46.407	99.845	64.504	55.639	18.472	3.723	78.461	81.579
Bacteria;Bacteroidota	phylum				0.0	2.529	0.0	0.0	0.0	0.006	0.577	2.086	0.0	0.793	0.018	1.786	4.163	2.006	2.076	1.597	0.0	0.735	0.932	3.722	0.142	0.124	0.0	0.0	6.592	0.428	0.0	3.976	0.039	0.0	0.114	1.223	0.506	0.081	0.586	0.819	0.0	0.0	1.03	0.0	0.641	0.094	0.0	0.773	0.0	0.774	0.077	0.049	0.0	0.566	0.0	0.0	0.0	1.566	0.948	0.24	0.12	0.423	0.987	3.606	1.249	1.33	0.913	5.294	0.0	0.071	0.065	0.296	0.0	0.0	5.442	0.258	1.381	4.172	0.053	1.11	0.571	0.114	0.461	0.454	0.092	0.0	1.364	0.661	1.07	1.476	0.302	0.077	2.133	0.723	0.0	0.813	1.677	0.841	22.417	26.591	0.906	4.382	0.0	7.403	3.44	0.744	0.137	29.974	1.063	5.719	0.0	4.896	47.232	22.329	14.846	35.546	24.624	2.533	0.0	0.148	0.0	0.039	0.058	0.543	0.0	0.0	0.881	0.774	0.0	1.25	0.682	0.066	0.0	0.0	0.109	0.231	0.633	0.579	0.0	0.676	0.035	0.165	0.023	0.0	0.0	0.0	0.0	0.5	0.774
Bacteria;Bacillota	phylum				1.738	2.424	11.992	11.168	0.0	0.243	0.789	3.54	2.419	9.065	4.156	5.394	15.091	7.961	6.033	2.688	7.832	2.792	11.387	16.2	2.66	0.778	3.403	0.665	12.165	3.42	18.398	4.964	3.858	3.525	4.809	1.781	1.459	5.619	5.402	13.236	0.337	17.007	5.524	4.583	14.296	2.266	0.464	7.226	11.216	6.205	6.694	9.439	1.335	3.848	2.559	1.179	1.787	2.47	3.426	7.43	0.782	4.822	5.923	6.4	11.633	4.689	7.469	6.673	3.56	0.526	10.399	1.848	2.255	0.314	2.239	4.852	16.602	10.151	1.197	8.881	5.614	10.011	1.804	3.075	3.263	7.888	3.636	35.45	10.791	5.193	5.989	3.358	18.063	72.038	4.416	7.247	5.979	6.657	5.38	23.163	16.274	61.854	1.707	14.5	3.07	6.452	1.045	12.075	7.662	21.073	4.827	31.929	16.702	12.91	21.076	32.816	14.732	9.722	0.613	1.039	2.629	3.274	0.539	10.212	0.0	2.581	6.167	1.899	0.432	14.062	1.774	3.119	1.106	0.826	0.218	4.921	27.375	3.55	8.123	4.561	1.523	22.326	0.023	8.435	0.181	0.741	0.831	1.849	8.359
Bacteria;Fusobacteriota	phylum				0.0	2.107	0.0	0.824	20.081	0.32	0.327	3.54	2.535	4.812	4.139	4.483	4.386	2.006	3.665	0.0	0.0	0.441	0.0	5.56	0.851	0.442	0.505	0.0	6.324	1.176	9.125	1.6	0.0	0.513	0.256	0.204	0.238	0.163	0.0	4.619	0.018	5.493	1.966	1.979	1.962	0.0	0.022	3.676	0.5	0.983	1.456	0.171	0.247	0.0	0.194	0.0	0.0	0.835	0.656	1.678	0.0	0.592	0.815	3.591	0.632	0.07	1.079	6.046	0.36	0.085	0.523	0.0	0.0	0.0	1.891	0.115	2.109	6.151	0.739	22.972	17.507	0.0	0.192	0.302	0.046	0.0	0.545	1.764	0.837	2.973	0.0	0.077	2.133	0.998	0.416	0.518	6.307	0.549	11.127	17.72	0.109	1.348	0.053	5.257	1.111	1.985	0.357	30.945	2.349	3.74	0.0	5.382	16.178	19.221	37.831	6.203	4.454	3.35	0.111	0.297	0.11	0.116	0.116	0.345	0.0	0.0	2.148	0.246	0.0	0.0	0.614	0.0	0.0	0.0	0.109	0.231	0.0	0.617	0.308	0.507	0.212	0.658	0.0	0.0	0.0	0.114	0.1	0.55	3.096
Bacteria;Pseudomonadota	phylum				0.689	2.107	29.102	4.433	34.123	1.77	34.43	70.228	62.154	68.643	58.944	67.881	45.168	20.712	4.282	29.879	1.75	1.641	9.834	10.245	9.22	0.902	1.651	2.172	9.968	2.85	13.279	3.34	21.875	6.281	1.764	13.662	9.291	1.14	8.396	11.497	0.373	17.599	6.554	9.167	7.129	1.511	0.597	5.618	9.426	24.206	5.544	2.764	11.573	2.226	25.824	0.864	1.529	1.844	3.936	4.673	3.728	4.484	3.476	4.222	3.305	11.267	32.365	7.2	5.214	1.251	5.363	2.254	1.138	1.488	14.628	4.163	28.623	9.591	0.229	9.308	7.992	4.863	1.497	4.032	21.094	2.427	2.818	12.434	6.047	11.441	1.875	0.385	8.068	2.295	2.494	0.937	3.646	5.304	12.798	25.246	82.095	12.472	5.227	48.223	9.209	39.454	22.326	19.298	55.369	8.007	0.128	25.018	16.78	39.095	11.055	14.64	13.296	17.974	8.027	5.564	21.577	1.348	0.888	11.544	0.491	8.387	16.905	2.427	0.086	6.25	10.437	1.792	3.835	3.976	6.875	4.344	9.289	47.955	29.354	4.561	2.373	4.827	0.046	8.892	0.793	1.71	1.562	11.744	2.941
Bacteria;Actinomycetota;Actinomycetes	class				4.87	53.214	4.698	0.227	6.619	93.015	4.866	2.718	5.415	7.659	13.855	8.616	14.645	50.421	72.754	56.603	23.474	90.301	19.151	49.081	77.872	97.489	88.241	94.711	20.257	88.6	16.024	79.134	44.059	82.448	86.255	57.382	20.042	78.99	74.65	56.643	98.917	31.184	82.491	68.438	59.562	93.909	98.364	78.321	71.154	58.695	83.163	86.894	86.103	87.25	70.686	95.177	81.46	89.214	78.061	55.362	52.435	37.394	56.91	78.846	76.293	47.866	43.983	41.37	72.168	94.854	8.895	92.868	95.788	97.288	46.507	54.522	50.048	58.624	97.448	5.295	61.751	74.714	91.516	89.869	65.671	88.35	83.273	43.43	72.558	58.619	87.598	94.155	64.311	14.467	69.195	8.701	19.65	60.936	48.278	7.146	0.399	15.281	1.653	24.617	80.365	39.206	73.935	7.622	33.166	55.213	0.299	32.703	3.049	6.369	15.032	9.988	42.8	56.127	86.622	90.95	37.568	2.928	65.822	17.316	95.088	54.839	56.828	9.321	95.549	32.188	16.644	87.392	74.263	61.352	38.487	81.738	43.702	34.281	31.446	80.405	85.127	46.407	99.845	64.504	55.593	18.472	3.723	78.461	81.579
Bacteria;Actinomycetota;Coriobacteriia	class				0.0	0.527	0.0	0.0	0.0	0.006	0.058	0.0	0.0	0.0	0.0	0.0	0.699	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.787	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.288	0.0	0.0	0.259	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.528	0.0	0.0	0.0	0.0	1.455	0.0	0.0	0.768	0.0	0.0	0.0	0.562	1.227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia	class				0.0	2.213	0.0	0.0	0.0	0.006	0.231	2.086	0.0	0.793	0.018	1.786	4.103	2.006	2.076	1.597	0.0	0.735	0.932	3.415	0.142	0.0	0.0	0.0	1.447	0.428	0.0	0.329	0.039	0.0	0.114	0.313	0.447	0.081	0.586	0.819	0.0	0.0	1.03	0.0	0.264	0.0	0.0	0.125	0.0	0.774	0.077	0.049	0.0	0.566	0.0	0.0	0.0	0.418	0.948	0.24	0.06	0.423	0.129	0.601	0.867	0.21	0.83	3.864	0.0	0.071	0.0	0.111	0.0	0.0	4.979	0.258	0.921	3.14	0.0	1.11	0.571	0.114	0.0	0.454	0.0	0.0	0.545	0.353	0.93	0.916	0.302	0.026	0.976	0.574	0.0	0.567	0.766	0.658	3.668	18.548	0.0	3.596	0.0	4.11	0.344	0.496	0.137	25.264	0.895	4.927	0.0	0.45	37.677	19.701	11.294	30.893	1.463	0.0	0.0	0.148	0.0	0.039	0.044	0.395	0.0	0.0	0.165	0.739	0.0	1.25	0.0	0.0	0.0	0.0	0.073	0.038	0.563	0.566	0.0	0.338	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.35	0.0
Bacteria;Bacteroidota;Flavobacteriia	class				0.0	0.316	0.0	0.0	0.0	0.0	0.346	0.0	0.0	0.0	0.0	0.0	0.059	0.0	0.0	0.0	0.0	0.0	0.0	0.306	0.0	0.124	0.0	0.0	5.145	0.0	0.0	3.646	0.0	0.0	0.0	0.911	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.377	0.094	0.0	0.647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.148	0.0	0.0	0.06	0.0	0.858	3.005	0.382	1.12	0.083	1.43	0.0	0.0	0.065	0.185	0.0	0.0	0.463	0.0	0.46	1.032	0.053	0.0	0.0	0.0	0.461	0.0	0.092	0.0	0.818	0.309	0.14	0.56	0.0	0.051	1.156	0.15	0.0	0.246	0.911	0.183	18.749	8.042	0.906	0.787	0.0	3.293	3.096	0.248	0.0	4.71	0.168	0.792	0.0	4.446	9.555	2.628	3.552	4.653	23.162	2.533	0.0	0.0	0.0	0.0	0.015	0.148	0.0	0.0	0.716	0.035	0.0	0.0	0.682	0.066	0.0	0.0	0.036	0.192	0.07	0.013	0.0	0.338	0.035	0.165	0.008	0.0	0.0	0.0	0.0	0.15	0.774
Bacteria;Bacillota;Bacilli	class				0.541	1.054	7.153	4.859	0.0	0.059	0.173	2.149	0.173	4.974	1.543	2.732	13.559	3.689	2.108	2.688	7.81	1.984	6.832	12.741	1.702	0.424	2.898	0.665	9.914	2.423	6.083	3.552	2.932	3.086	0.171	0.938	0.983	3.99	4.133	8.642	0.231	11.184	1.966	2.188	11.694	1.558	0.332	3.634	1.934	3.948	1.916	8.358	0.544	3.169	0.349	0.864	0.991	1.844	2.478	5.992	0.722	1.777	2.146	1.397	8.431	2.799	2.075	3.813	0.791	0.512	4.382	1.306	1.497	0.182	1.853	4.134	9.525	6.237	0.352	1.537	2.284	3.661	1.152	2.167	1.195	7.403	1.909	30.115	8.233	2.812	2.662	0.538	13.027	69.893	4.052	5.546	2.88	5.048	4.483	6.407	14.752	56.742	0.693	11.003	2.408	2.978	0.577	2.027	5.593	12.319	0.107	10.277	1.068	4.7	1.432	11.6	12.751	6.127	0.056	0.668	0.876	0.116	0.379	8.288	0.0	1.935	3.744	0.528	0.086	14.062	1.569	3.119	1.106	0.357	0.109	2.999	17.312	1.852	7.754	3.716	0.496	20.845	0.0	6.128	0.023	0.057	0.266	1.449	4.954
Bacteria;Bacillota;Clostridia	class				0.623	0.843	0.0	1.591	0.0	0.071	0.0	1.391	2.247	1.928	1.157	1.926	0.0	0.906	1.816	0.0	0.022	0.245	2.899	1.226	0.0	0.212	0.472	0.0	0.0	0.677	0.0	0.0	0.733	0.0	4.382	0.136	0.476	0.489	0.228	0.695	0.035	1.612	0.843	0.521	0.792	0.378	0.088	2.757	8.526	0.757	1.559	0.447	0.495	0.604	2.133	0.274	0.797	0.348	0.0	0.18	0.0	1.692	1.545	0.0	0.72	0.91	4.066	0.376	0.18	0.014	3.793	0.468	0.619	0.066	0.0	0.172	3.757	0.989	0.229	0.0	0.0	5.606	0.614	0.454	1.654	0.243	0.273	4.409	0.884	0.883	3.146	2.538	3.957	0.524	0.312	0.025	0.146	0.475	0.0	0.0	0.0	0.056	0.96	0.0	0.0	0.993	0.385	0.0	0.056	2.728	4.72	0.0	0.019	0.038	0.027	0.0	0.0	0.49	0.167	0.371	0.329	3.159	0.087	0.395	0.0	0.645	0.0	0.317	0.281	0.0	0.0	0.0	0.0	0.428	0.0	0.192	5.982	0.36	0.308	0.0	0.921	0.439	0.0	1.971	0.159	0.684	0.565	0.15	2.012
Bacteria;Bacillota;Negativicutes	class				0.574	0.527	4.839	4.717	0.0	0.112	0.616	0.0	0.0	2.163	1.456	0.736	1.531	3.366	2.108	0.0	0.0	0.563	1.656	2.233	0.957	0.141	0.034	0.0	2.251	0.321	12.315	1.411	0.193	0.439	0.256	0.707	0.0	1.14	1.041	3.899	0.071	4.211	2.715	1.875	1.811	0.331	0.044	0.835	0.756	1.499	3.219	0.634	0.297	0.075	0.078	0.042	0.0	0.278	0.948	1.258	0.06	1.354	2.232	5.003	2.482	0.98	1.328	2.484	2.589	0.0	2.224	0.074	0.14	0.066	0.386	0.546	3.32	2.925	0.616	7.344	3.33	0.744	0.038	0.454	0.414	0.243	1.455	0.926	1.674	1.498	0.181	0.282	1.079	1.621	0.052	1.676	2.953	1.134	0.897	16.756	1.522	5.056	0.053	3.497	0.662	2.481	0.082	10.049	2.013	6.027	0.0	21.652	15.615	8.172	19.618	21.216	1.981	3.105	0.39	0.0	1.424	0.0	0.073	1.529	0.0	0.0	2.423	1.055	0.065	0.0	0.205	0.0	0.0	0.041	0.109	1.73	4.082	1.338	0.062	0.845	0.106	1.042	0.023	0.336	0.0	0.0	0.0	0.25	1.393
