Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700016099-MVA	S700016504-MVA	S700016604-MVA	S700021930-MVA	S700023100-MVA	S700023202-MVA	S700023281-MVA	S700023434-MVA	S700023491-MVA	S700023668-MVA	S700023802-MVA	S700023859-MVA	S700023916-MVA	S700024001-MVA	S700024078-MVA	S700024161-MVA	S700024268-MVA	S700024393-MVA	S700024766-MVA	S700024843-MVA	S700024880-MVA	S700033041-MVA	S700033193-MVA	S700033498-MVA	S700033789-MVA	S700037234-MVA	S700037714-MVA	S700038736-MVA	S700038795-MVA	S700097353-MVA	S700098329-MVA	S700098421-MVA	S700098994-MVA	S700099121-MVA	S700099350-MVA	S700100289-MVA	S700102647-MVA	S700103303-MVA	S700103706-MVA	S700105120-MVA	S700105177-MVA	S700105234-MVA	S700105451-MVA	S700105644-MVA	S700105719-MVA	S700105794-MVA	S700105996-MVA	S700106052-MVA	S700106089-MVA	S700106120-MVA	S700106518-MVA	S700106575-MVA	S700106833-MVA	S700106910-MVA	S700113158-MVA	S700113537-MVA	S700113576-MVA	S700113854-MVA	S700113968-MVA	S700114159-MVA	S700114232-MVA	S700114301-MVA	S700114456-MVA	S700114503-MVA	S700114592-MVA	S700114649-MVA	S700114935-MVA	S700116215-MVA	S700116340-MVA	S700116655-MVA	S700116996-MVA	S700117696-MVA	S700117751-MVA	S700117952-MVA
Bacteria	domain				90.444	99.388	60.008	99.793	98.894	99.826	79.852	99.554	98.295	94.384	97.898	98.911	97.538	85.036	97.727	98.998	96.795	97.335	92.518	91.329	99.272	99.779	99.265	99.036	94.489	99.461	93.035	99.915	99.629	61.556	93.98	88.418	96.337	78.478	99.958	99.987	98.37	76.898	94.281	92.238	98.918	97.251	99.853	98.533	94.67	97.32	99.096	98.087	99.566	97.285	96.066	85.621	89.051	93.157	98.906	94.38	98.475	97.045	96.25	77.925	93.699	99.407	99.441	93.387	96.636	99.281	99.964	96.04	71.395	99.958	93.496	96.691	99.74	97.266
Bacteria;Actinomycetota	phylum				1.024	0.008	26.865	0.013	0.588	0.058	0.159	0.178	0.0	0.093	0.077	0.026	0.0	0.599	0.0	0.0	0.024	0.0	0.018	13.451	0.064	0.441	0.092	0.0	0.069	0.093	0.201	0.012	0.097	10.567	7.545	0.201	0.014	0.885	0.042	1.832	0.056	1.779	0.0	0.098	0.049	0.0	0.024	0.0	0.244	0.015	0.0	0.063	0.008	0.0	0.085	10.006	0.0	0.0	0.073	0.105	0.09	0.058	4.018	0.24	0.0	0.014	0.0	0.103	0.266	2.453	0.009	0.458	3.063	0.021	0.026	0.0	0.009	0.142
Bacteria;Bacteroidota	phylum				0.062	0.0	0.0	0.0	0.03	0.029	0.0	0.149	0.0	0.031	0.0	0.246	0.0	0.082	0.0	0.0	0.0	0.0	0.0	0.062	0.107	0.0	0.0	0.0	0.028	0.0	1.084	0.0	0.0	0.911	0.74	0.067	0.014	0.602	0.084	23.228	0.0	24.007	0.1	1.744	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.057	0.0	0.009	0.124	0.875	0.135	0.0	0.386	0.0	0.0	0.0	0.0	0.0	0.0	0.587	1.946	0.0	0.0	0.009	0.021	0.06	0.0	0.0	0.0
Bacteria;Bacillota	phylum				82.222	99.186	31.149	99.78	98.261	99.71	78.187	99.109	98.295	93.35	96.553	98.6	97.331	81.241	96.395	98.51	93.908	96.913	90.883	76.988	99.015	99.338	98.621	92.849	91.967	99.239	90.947	99.873	99.532	31.468	85.128	88.128	96.223	76.885	99.579	74.887	98.301	49.67	92.842	90.326	98.762	96.907	99.829	98.521	94.183	97.29	99.073	97.914	99.433	97.285	95.669	75.557	88.931	92.998	97.958	94.141	98.385	96.601	89.092	65.146	92.535	99.379	99.361	93.13	95.783	94.85	99.956	95.582	68.134	99.916	93.41	96.691	99.731	97.124
Bacteria;Fusobacteriota	phylum				5.244	0.0	1.994	0.0	0.0	0.0	0.0	0.059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.056	0.0	0.0	0.0	18.194	0.151	0.0	0.0	0.106	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.227	0.0	0.0	0.0	0.0	0.0	0.0	0.058	0.0	0.0	0.0	0.0	0.0	0.0	3.141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota	phylum				0.993	0.194	0.0	0.0	0.015	0.029	1.107	0.0	0.0	0.91	1.267	0.039	0.207	3.102	1.332	0.488	2.752	0.422	1.617	0.828	0.086	0.0	0.551	6.187	2.425	0.074	0.803	0.03	0.0	0.416	0.415	0.0	0.086	0.0	0.252	0.04	0.014	1.442	1.289	0.07	0.107	0.344	0.0	0.013	0.016	0.015	0.012	0.11	0.125	0.0	0.255	0.0	0.112	0.035	0.0	0.0	0.0	0.0	0.0	2.388	1.164	0.014	0.08	0.154	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Synergistota	phylum				0.9	0.0	0.0	0.0	0.0	0.0	0.398	0.059	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinomycetota;Actinomycetes	class				0.186	0.008	0.908	0.013	0.538	0.058	0.04	0.178	0.0	0.093	0.077	0.013	0.0	0.599	0.0	0.0	0.024	0.0	0.018	0.016	0.064	0.361	0.092	0.0	0.069	0.0	0.141	0.012	0.097	6.091	2.455	0.134	0.014	0.814	0.042	0.226	0.056	1.779	0.0	0.098	0.049	0.0	0.024	0.0	0.244	0.015	0.0	0.063	0.008	0.0	0.085	0.014	0.0	0.0	0.055	0.105	0.09	0.039	3.896	0.12	0.0	0.014	0.0	0.103	0.266	2.453	0.009	0.458	0.06	0.021	0.026	0.0	0.009	0.142
Bacteria;Actinomycetota;Coriobacteriia	class				0.838	0.0	25.957	0.0	0.05	0.0	0.119	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.435	0.0	0.08	0.0	0.0	0.0	0.093	0.06	0.0	0.0	4.477	5.091	0.067	0.0	0.071	0.0	1.606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.991	0.0	0.0	0.018	0.0	0.0	0.019	0.122	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.003	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia	class				0.062	0.0	0.0	0.0	0.03	0.029	0.0	0.149	0.0	0.031	0.0	0.246	0.0	0.082	0.0	0.0	0.0	0.0	0.0	0.062	0.107	0.0	0.0	0.0	0.028	0.0	1.084	0.0	0.0	0.911	0.74	0.067	0.014	0.602	0.084	23.228	0.0	24.007	0.1	1.744	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.057	0.0	0.009	0.124	0.875	0.135	0.0	0.386	0.0	0.0	0.0	0.0	0.0	0.0	0.587	1.946	0.0	0.0	0.009	0.021	0.06	0.0	0.0	0.0
