HOT-ID	Notes	S700016101-PFO	S700016506-PFO	S700016606-PFO	S700021932-PFO	S700023102-PFO	S700023204-PFO	S700023283-PFO	S700023436-PFO	S700023493-PFO	S700023670-PFO	S700023804-PFO	S700023861-PFO	S700023918-PFO	S700024003-PFO	S700024080-PFO	S700024163-PFO	S700024270-PFO	S700024395-PFO	S700024768-PFO	S700024845-PFO	S700024882-PFO	S700033044-PFO	S700033195-PFO	S700033501-PFO	S700033791-PFO	S700037014-PFO	S700037236-PFO	S700037716-PFO	S700038738-PFO	S700038797-PFO	S700097355-PFO	S700098331-PFO	S700098423-PFO	S700098996-PFO	S700099123-PFO	S700099352-PFO	S700100291-PFO	S700102649-PFO	S700103305-PFO	S700103708-PFO	S700105065-PFO	S700105179-PFO	S700105236-PFO	S700105453-PFO	S700105494-PFO	S700105646-PFO	S700105721-PFO	S700105796-PFO	S700105998-PFO	S700106054-PFO	S700106091-PFO	S700106520-PFO	S700106835-PFO	S700106912-PFO	S700113160-PFO	S700113539-PFO	S700113578-PFO	S700113856-PFO	S700113970-PFO	S700114104-PFO	S700114161-PFO	S700114234-PFO	S700114303-PFO	S700114458-PFO	S700114505-PFO	S700114594-PFO	S700114651-PFO	S700114834-PFO	S700114937-PFO	S700116217-PFO	S700116342-PFO	S700116657-PFO	S700116998-PFO	S700117698-PFO	S700117753-PFO	S700117954-PFO
HMT-830		0.005125051250512505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01194885888397658	0.0	0.0	0.0	0.0	0.0	0.011811953697141508	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.251067463706233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021958717610891524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008981498113885397	0.0	0.0	0.0	0.0	0.0
HMT-829		0.0	0.0	0.23168259484506226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06253908692933083	0.0	0.0	0.0	0.0	0.00783944810285356	0.0	0.0	0.0	0.0	0.0	0.19214346712211786	0.5216236722306525	0.0	0.0	0.0	0.0	0.0	0.0	0.8740692780835222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01478633742422002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.83514596451059	0.0	0.0	0.0	0.0	0.0	0.1899635903118569	0.0	0.0	0.0245188181929631	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMT-723		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7637474541751528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.020977554017201593	0.03816065636328945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMT-814		0.0	0.0	16.101940341731826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.01563477173233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0708795900939365	1.5838391502276177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.371337501532426	0.0	0.0	1.7064846416382253	0.0	0.0	0.0	0.0	0.0
HMT-556		0.015375153751537515	0.0	0.0	0.0	0.015804446317564006	0.0	0.0	0.0	0.0	0.055258795358261184	0.013815971262779773	0.1792328832596487	0.0	0.014009526478005045	0.0	0.0	0.0	0.0	0.0	0.0	0.1210946960523129	0.0	0.025406504065040653	0.0	0.00783944810285356	0.0	0.0	0.029859659599880562	0.0	0.0	0.32023911187019644	0.24658573596358116	0.0	0.0	0.051163980557687394	0.0	0.059402579769178544	0.0	24.23114276464875	0.20613556444767797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03581661891117478	0.0	0.0	0.0	0.0	0.012873326467559216	0.0	0.0	0.0	0.0	0.0	0.04913401302051345	0.0	0.490376363859262	0.0	0.0	0.0	0.015030813166992335	0.012124151309408342	0.0	0.0	0.0
HMT-562		0.18962689626896267	0.0	0.0	0.0	0.005268148772521335	0.0	0.0	0.0	0.0	0.0	0.0	0.03584657665192974	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04269854824935952	0.009484066767830045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04850248575239481	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0283245999150262	0.0	0.0	0.02387774594078319	0.0	0.0	0.0	0.019080328181644724	0.0	0.010979358805445762	0.0	0.0	0.0	0.0	0.0	0.0	0.01225940909648155	0.0	0.0	0.0	0.0	0.0	0.0	0.010169836265636122	0.0
HMT-291		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.270536320434488	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMT-604		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9631019387116949	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1387443635102324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMT-817		83.66646166461665	98.7480935434672	0.0	0.1294269914107542	95.6010957749447	0.037264766163592325	0.04603627658594973	99.79001399906673	97.12940636123551	0.0	92.64990328820116	92.84263352849803	0.0	0.0	99.15275049115914	97.77864380358535	97.58435582822086	98.87786439877155	0.0	17.78611632270169	97.96560910632114	0.015603058199407084	51.95630081300813	24.748490945674046	0.00783944810285356	0.0	98.99396378269618	0.0	98.54380713534503	0.0	0.0	0.0	0.0	79.94911750675783	0.0	0.0	0.0	0.0	0.0	45.19219109979387	99.8627551895694	99.18723215605144	0.2605135839225903	98.37454848569047	87.62687288545192	99.58232282403665	0.0	0.0	0.4351069119840875	0.0	97.2814394680227	0.0	0.0	50.14698428788647	82.6766953199618	90.98472243230978	99.52900631820792	95.93035452066289	0.019080328181644724	0.0	0.0	87.117329269982	0.0	99.14630942999737	38.70508152604084	0.006141751627564181	95.75728466218379	29.03028074046831	98.10725552050474	0.008462384700008463	0.0	97.6401623327822	99.1149369544132	97.11405416090136	96.79650157632463	97.78034682080926
HMT-615		0.005125051250512505	0.0	0.0	0.09412872102600306	0.0	0.0	0.0	0.0	0.011482374555057986	98.21329895008289	0.0	0.19118174214362527	3.512396694214876	0.02801905295601009	0.0	0.0	0.0	0.0	0.13054830287206268	25.19074421513446	0.16953257447323808	0.007801529099703542	47.39583333333333	0.4024144869215292	94.00282220131703	0.0	0.0	0.0	0.0	0.0	0.0	0.2940060698027314	1.8960374946740521	0.0	0.0	0.01734304543877905	68.35539714867616	0.0	20.78342505665264	0.06062810719049351	0.0	0.0	0.0	0.0	0.04833252779120348	0.0	55.53038105046344	87.57947656365518	0.0	0.0	0.0	99.7734032006798	14.50282942603072	0.0	1.6236867239732569	0.0	0.0	0.0	47.3955352032055	99.97425334706487	0.0	1.3575287435932955	0.0	0.0	0.007915149596327371	1.1055152929615526	0.0	8.655142822115975	0.0	11.271896420411272	0.0	0.0	0.40009699321047526	0.0	0.0	0.0
