Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700016101-PFO	S700016506-PFO	S700016606-PFO	S700021932-PFO	S700023102-PFO	S700023204-PFO	S700023283-PFO	S700023436-PFO	S700023493-PFO	S700023670-PFO	S700023804-PFO	S700023861-PFO	S700023918-PFO	S700024003-PFO	S700024080-PFO	S700024163-PFO	S700024270-PFO	S700024395-PFO	S700024768-PFO	S700024845-PFO	S700024882-PFO	S700032286-PFO	S700032380-PFO	S700032477-PFO	S700032677-PFO	S700033044-PFO	S700033195-PFO	S700033501-PFO	S700033791-PFO	S700034230-PFO	S700034296-PFO	S700034836-PFO	S700035699-PFO	S700035995-PFO	S700037014-PFO	S700037177-PFO	S700037236-PFO	S700037339-PFO	S700037716-PFO	S700037850-PFO	S700037983-PFO	S700038320-PFO	S700038738-PFO	S700038797-PFO	S700095277-PFO	S700095711-PFO	S700097355-PFO	S700097752-PFO	S700097901-PFO	S700098331-PFO	S700098423-PFO	S700098996-PFO	S700099123-PFO	S700099352-PFO	S700099950-PFO	S700100291-PFO	S700100538-PFO	S700101222-PFO	S700101288-PFO	S700101579-PFO	S700102649-PFO	S700103305-PFO	S700103515-PFO	S700103708-PFO	S700105065-PFO	S700105122-PFO	S700105179-PFO	S700105236-PFO	S700105453-PFO	S700105494-PFO	S700105646-PFO	S700105721-PFO	S700105796-PFO	S700105998-PFO	S700106054-PFO	S700106091-PFO	S700106520-PFO	S700106912-PFO	S700107439-PFO	S700108159-PFO	S700108282-PFO	S700108405-PFO	S700108594-PFO	S700108660-PFO	S700109685-PFO	S700109985-PFO	S700110153-PFO	S700110810-PFO	S700111220-PFO	S700111286-PFO	S700111360-PFO	S700111638-PFO	S700111809-PFO	S700113160-PFO	S700113211-PFO	S700113539-PFO	S700113578-PFO	S700113751-PFO	S700113856-PFO	S700113913-PFO	S700113970-PFO	S700113997-PFO	S700114161-PFO	S700114234-PFO	S700114458-PFO	S700114505-PFO	S700114594-PFO	S700114651-PFO	S700114834-PFO	S700116112-PFO	S700116217-PFO	S700116342-PFO	S700116447-PFO	S700116484-PFO	S700116657-PFO	S700116714-PFO	S700116963-PFO	S700116998-PFO	S700117151-PFO	S700117230-PFO	S700117641-PFO	S700117698-PFO	S700117753-PFO	S700117812-PFO	S700117954-PFO	S700119106-PFO	S700119626-PFO	S700119860-PFO	S700120051-PFO	S700121054-PFO	S700121703-PFO	S700122829-PFO	S700123626-PFO	S700161056-PFO	S700161113-PFO	S700161218-PFO	S700161510-PFO	S700161685-PFO	S700161740-PFO	S700161854-PFO	S700161961-PFO	S700163046-PFO	S700163217-PFO	S700163274-PFO	S700163590-PFO	S700163715-PFO	S700163770-PFO	S700163790-PFO	S700163867-PFO	S700163924-PFO	S700163979-PFO	S700164086-PFO	S700164141-PFO	S700164228-PFO	S700164285-PFO	S700164554-PFO	S700164609-PFO	S700164648-PFO	S700164771-PFO	S700164828-PFO	S700164868-PFO	S700165050-PFO	S700165203-PFO	S700165491-PFO	S700165911-PFO	S700165968-PFO	S700166089-PFO	S700166839-PFO	S700167823-PFO	S700171151-PFO	S700171226-PFO	S700171477-PFO	S700171630-PFO	S700171763-PFO	S700171838-PFO	S700171895-PFO	S700171932-PFO	S700171991-PFO	S700172066-PFO	S700172258-PFO	S700172335-PFO	S700172477-PFO	S700172554-PFO	S700172762-PFO	S700173175-PFO	S700173433-PFO	S700173683-PFO	S700173932-PFO	S700173967-PFO	S700175122-PFO	S700175207-PFO
Bacteria	domain				98.876	99.984	56.94	100.0	99.972	99.961	99.973	99.957	98.915	99.977	99.288	99.602	99.188	99.533	99.817	99.987	99.648	99.91	99.004	94.609	99.494	100.0	100.0	100.0	100.0	99.92	100.0	99.586	98.702	62.723	100.0	100.0	100.0	100.0	100.0	99.85	99.937	98.961	97.842	99.938	98.298	99.561	99.879	99.979	99.988	91.601	60.69	98.021	99.97	97.021	98.649	98.913	99.945	99.983	57.908	100.0	100.0	100.0	99.98	98.912	99.252	97.04	99.769	98.634	99.997	99.221	99.897	99.873	99.661	99.611	99.905	100.0	99.633	99.914	99.913	99.97	99.962	99.492	99.986	100.0	99.872	89.347	99.984	99.982	81.732	100.0	99.912	99.793	99.832	99.977	99.948	94.009	99.969	99.986	99.851	99.853	99.808	99.273	98.764	100.0	99.983	99.936	96.78	99.911	99.93	98.423	99.794	99.93	99.676	95.011	99.828	89.74	100.0	99.565	99.866	99.878	99.853	99.085	99.483	99.744	99.864	99.543	99.917	98.405	99.274	100.0	99.736	100.0	77.839	98.875	99.377	87.94	100.0	100.0	98.802	100.0	98.944	99.927	99.892	100.0	99.681	100.0	48.489	99.43	99.912	99.976	100.0	99.976	99.7	99.967	76.376	99.254	96.782	99.888	99.937	99.808	96.405	99.643	86.492	99.636	99.958	96.147	99.313	99.957	64.921	99.956	99.995	99.882	100.0	99.531	96.249	98.736	99.834	99.974	99.484	100.0	99.654	99.437	74.312	74.904	100.0	99.974	98.76	99.845	98.792	100.0	99.965	99.569	99.838	94.665	100.0
Bacteria;Actinomycetota	phylum				0.056	0.024	35.483	0.0	0.007	0.193	0.175	0.065	0.0	0.164	0.887	0.119	0.07	0.18	0.024	0.04	0.0	0.023	0.032	57.926	0.084	0.024	0.015	0.0	0.0	0.739	0.503	0.032	0.793	14.532	0.0	0.0	0.0	0.0	0.014	18.388	0.016	5.868	0.0	0.974	0.0	0.0	0.0	0.0	0.187	0.28	27.244	0.0	0.0	21.332	0.225	0.0	0.092	0.612	14.427	9.155	6.502	0.0	0.01	5.259	0.045	63.575	0.024	0.294	0.003	0.0	0.015	0.028	0.016	2.787	0.012	74.904	2.528	0.011	0.043	0.01	0.0	0.0	0.0	0.0	0.0	0.044	0.04	0.018	43.116	0.0	0.102	0.454	0.188	0.035	0.0	93.833	0.016	0.0	0.0	0.037	0.045	0.663	0.0	0.0	76.092	0.0	0.016	0.015	0.0	45.584	94.449	0.0	6.115	16.288	0.0	8.237	0.0	0.011	0.013	0.0	0.021	0.016	6.036	0.433	0.068	0.0	0.014	0.0	0.0	0.0	0.0	0.0	33.366	0.0	0.005	15.708	0.057	0.02	0.014	0.0	0.594	0.0	0.0	0.151	0.0	0.0	38.272	0.0	0.0	23.985	0.02	0.0	0.0	0.0	17.568	0.021	0.051	0.0	0.0	0.026	0.344	0.024	6.914	0.026	0.127	0.0	1.482	53.099	47.762	0.044	0.0	0.235	0.0	0.056	16.178	9.839	0.124	0.69	0.03	0.0	0.277	0.147	0.0	52.484	0.0	0.077	32.867	0.052	0.067	0.082	0.177	0.054	0.0	33.957	0.0
Bacteria;Bacteroidota	phylum				0.0	0.0	0.793	0.0	0.007	0.026	0.0	0.0	0.0	0.023	0.0	0.04	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	1.123	0.0	0.046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.105	0.0	0.311	0.0	0.0	0.222	0.0	0.0	0.018	0.0	1.553	20.272	0.0	0.0	0.0	0.0	0.0	11.608	0.0	0.132	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.028	0.0	0.371	0.0	0.015	0.0	0.0	0.0	0.0	0.044	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.485	0.0	0.0	0.182	0.0	0.0	0.0	0.829	0.273	0.0	0.0	0.0	0.783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.791	0.085	0.0	46.491	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.035	0.0	0.085	0.0	0.0	0.0	0.08	0.0	0.0	0.0	1.414	0.0	0.0	0.0	0.0	0.038	0.038	0.0	0.192	0.0	0.0	0.0	0.0	0.0	7.461	0.0	0.007	0.039	0.0	0.019	0.05	1.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024	0.0
Bacteria;Bacillota	phylum				98.82	99.96	15.32	99.981	99.915	99.743	99.784	99.892	98.915	99.671	98.401	99.443	99.095	99.263	99.768	99.947	99.648	99.887	98.891	36.673	99.375	99.976	99.985	100.0	100.0	99.181	99.486	99.533	97.909	5.489	100.0	99.954	100.0	100.0	99.986	81.462	99.921	93.092	97.842	98.965	98.298	99.561	99.864	99.979	99.696	91.321	10.457	98.021	99.97	75.467	98.424	98.913	99.834	99.37	9.931	70.573	93.498	100.0	99.971	93.654	99.207	21.858	99.726	98.209	99.992	99.115	99.883	99.831	99.644	96.824	99.893	25.096	97.106	99.892	99.87	99.96	99.962	99.482	99.986	100.0	99.872	89.303	99.915	99.964	33.64	100.0	99.796	99.339	99.644	99.942	99.948	0.132	99.953	99.959	99.851	99.816	99.763	98.589	98.764	100.0	23.891	99.936	96.748	99.897	99.93	51.104	5.212	99.918	92.591	78.68	99.78	80.654	100.0	99.553	99.852	99.049	99.559	99.07	93.424	99.311	99.012	99.543	99.903	98.405	99.274	100.0	99.736	100.0	11.541	98.79	99.372	20.142	99.943	99.98	98.788	100.0	98.35	99.927	99.892	99.849	99.54	100.0	10.132	99.43	99.868	75.992	99.9	99.976	99.7	99.967	51.614	99.233	96.731	99.888	99.937	99.732	96.023	99.619	79.289	99.61	99.831	96.147	97.831	46.857	9.699	99.912	99.985	99.608	100.0	99.456	78.01	87.848	99.71	99.284	98.604	99.979	99.377	99.29	74.312	7.771	100.0	99.897	65.893	99.793	98.501	99.852	99.788	99.515	99.838	60.683	100.0
Bacteria;Fusobacteriota	phylum				0.0	0.0	5.343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.604	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.485	0.0	0.0	0.666	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.141	0.0	0.0	5.599	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.779	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota	phylum				0.0	0.0	0.0	0.019	0.042	0.0	0.013	0.0	0.0	0.117	0.0	0.0	0.023	0.09	0.012	0.0	0.0	0.0	0.08	0.01	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.003	0.006	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.016	0.0	0.0	1.735	0.133	0.0	0.0	0.043	0.047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.106	0.0	0.0	0.0	0.044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.85	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.224	0.066	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinomycetota;Actinomycetes	class				0.056	0.024	21.666	0.0	0.007	0.193	0.175	0.065	0.0	0.164	0.887	0.08	0.07	0.18	0.024	0.04	0.0	0.023	0.032	29.582	0.084	0.024	0.015	0.0	0.0	0.739	0.503	0.032	0.793	3.035	0.0	0.0	0.0	0.0	0.014	18.388	0.016	5.437	0.0	0.974	0.0	0.0	0.0	0.0	0.175	0.28	26.025	0.0	0.0	20.777	0.225	0.0	0.092	0.612	3.489	9.155	6.41	0.0	0.01	5.259	0.045	63.575	0.024	0.279	0.003	0.0	0.015	0.028	0.016	2.787	0.012	74.904	2.528	0.011	0.043	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.018	16.56	0.0	0.073	0.454	0.188	0.035	0.0	93.833	0.016	0.0	0.0	0.037	0.045	0.663	0.0	0.0	76.092	0.0	0.016	0.015	0.0	45.584	94.449	0.0	3.931	16.288	0.0	6.638	0.0	0.011	0.013	0.0	0.021	0.016	6.036	0.433	0.068	0.0	0.014	0.0	0.0	0.0	0.0	0.0	8.257	0.0	0.005	0.101	0.057	0.02	0.014	0.0	0.594	0.0	0.0	0.151	0.0	0.0	24.266	0.0	0.0	23.985	0.02	0.0	0.0	0.0	5.626	0.021	0.051	0.0	0.0	0.026	0.268	0.024	0.992	0.026	0.127	0.0	1.193	53.099	22.864	0.044	0.0	0.235	0.0	0.056	6.481	4.608	0.124	0.69	0.03	0.0	0.277	0.147	0.0	52.484	0.0	0.077	24.136	0.052	0.067	0.082	0.177	0.054	0.0	3.525	0.0
Bacteria;Actinomycetota;Coriobacteriia	class				0.0	0.0	13.818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.432	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	1.22	0.0	0.0	0.555	0.0	0.0	0.0	0.0	10.938	0.0	0.092	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.044	0.0	0.0	26.556	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.184	0.0	0.0	1.599	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.108	0.0	0.0	15.607	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.943	0.0	0.0	0.0	0.0	0.0	0.076	0.0	5.922	0.0	0.0	0.0	0.289	0.0	24.898	0.0	0.0	0.0	0.0	0.0	9.697	5.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.731	0.0	0.0	0.0	0.0	0.0	0.0	30.433	0.0
Bacteria;Bacteroidota;Bacteroidia	class				0.0	0.0	0.793	0.0	0.007	0.026	0.0	0.0	0.0	0.023	0.0	0.04	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	1.123	0.0	0.046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.105	0.0	0.311	0.0	0.0	0.222	0.0	0.0	0.018	0.0	1.553	20.272	0.0	0.0	0.0	0.0	0.0	11.608	0.0	0.132	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.028	0.0	0.371	0.0	0.015	0.0	0.0	0.0	0.0	0.044	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.485	0.0	0.0	0.182	0.0	0.0	0.0	0.829	0.273	0.0	0.0	0.0	0.783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.791	0.085	0.0	46.491	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.035	0.0	0.085	0.0	0.0	0.0	0.08	0.0	0.0	0.0	1.414	0.0	0.0	0.0	0.0	0.038	0.038	0.0	0.192	0.0	0.0	0.0	0.0	0.0	7.461	0.0	0.007	0.039	0.0	0.019	0.05	1.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024	0.0
Bacteria;Bacillota;Bacilli	class				98.08	99.96	3.11	99.981	99.908	99.653	99.784	99.892	98.915	99.507	98.32	99.323	99.095	99.155	99.744	99.947	99.648	99.887	98.891	36.003	99.291	99.976	99.985	100.0	99.98	99.092	99.476	99.501	97.901	0.146	99.919	99.886	100.0	100.0	99.986	81.462	99.921	93.044	97.842	98.965	98.298	99.561	99.864	99.979	99.685	91.293	2.465	98.01	99.97	75.467	98.392	98.913	99.815	98.863	2.042	68.273	93.436	100.0	99.961	93.612	99.207	18.911	99.726	97.988	99.992	99.067	99.883	99.803	99.644	96.814	99.893	19.561	97.085	99.892	99.804	99.96	99.962	99.482	99.986	100.0	99.774	87.627	99.903	99.964	27.358	100.0	99.679	99.339	99.56	99.919	99.948	0.0	99.859	98.329	99.851	99.816	99.763	98.589	98.764	100.0	18.051	99.936	96.748	99.586	99.93	51.104	4.813	99.895	91.524	78.606	99.78	1.296	100.0	99.553	99.839	97.562	99.538	99.07	93.354	99.301	98.933	99.543	99.903	98.405	99.274	100.0	99.736	100.0	0.683	98.79	99.369	0.0	99.943	99.922	98.773	100.0	98.35	99.927	99.892	99.849	99.54	100.0	0.681	99.43	99.868	75.992	99.72	99.902	99.7	99.934	7.409	99.233	96.731	99.888	99.937	99.706	96.023	99.619	7.362	99.61	99.831	96.147	97.831	46.424	1.843	99.868	99.985	99.569	100.0	99.438	70.876	46.938	99.71	99.284	98.604	99.979	98.649	99.29	74.312	5.732	99.984	99.743	65.867	99.793	98.501	99.852	99.788	99.515	99.838	2.516	100.0
