Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700015277-PTO	S700015653-PTO	S700016162-PTO	S700016327-PTO	S700016368-PTO	S700016584-PTO	S700016640-PTO	S700016941-PTO	S700021868-PTO	S700021906-PTO	S700023005-PTO	S700023261-PTO	S700023315-PTO	S700023412-PTO	S700023469-PTO	S700023570-PTO	S700023684-PTO	S700023780-PTO	S700023837-PTO	S700023894-PTO	S700023960-PTO	S700024017-PTO	S700024058-PTO	S700024121-PTO	S700024179-PTO	S700024225-PTO	S700024284-PTO	S700024332-PTO	S700024371-PTO	S700024427-PTO	S700024484-PTO	S700024533-PTO	S700024580-PTO	S700024629-PTO	S700024665-PTO	S700024725-PTO	S700024782-PTO	S700024819-PTO	S700024896-PTO	S700024940-PTO	S700024990-PTO	S700033011-PTO	S700033173-PTO	S700033468-PTO	S700033769-PTO	S700037066-PTO	S700037214-PTO	S700037462-PTO	S700037574-PTO	S700037726-PTO	S700038045-PTO	S700038241-PTO	S700038378-PTO	S700038464-PTO	S700038512-PTO	S700038560-PTO	S700038608-PTO	S700038716-PTO	S700038992-PTO	S700095392-PTO	S700095449-PTO	S700096305-PTO	S700097273-PTO	S700097333-PTO	S700097670-PTO	S700098309-PTO	S700098401-PTO	S700098974-PTO	S700099041-PTO	S700099101-PTO	S700099629-PTO	S700099785-PTO	S700100269-PTO	S700101677-PTO	S700102281-PTO	S700102627-PTO	S700102944-PTO	S700103255-PTO	S700103319-PTO	S700103460-PTO	S700103529-PTO	S700103599-PTO	S700103635-PTO	S700103686-PTO	S700105025-PTO	S700105079-PTO	S700105138-PTO	S700105195-PTO	S700105252-PTO	S700105298-PTO	S700105386-PTO	S700105431-PTO	S700105506-PTO	S700105660-PTO	S700105699-PTO	S700105753-PTO	S700105820-PTO	S700105918-PTO	S700106032-PTO	S700106107-PTO	S700106374-PTO	S700106426-PTO	S700106534-PTO	S700106593-PTO	S700106629-PTO	S700106677-PTO	S700106737-PTO	S700106851-PTO	S700106890-PTO	S700106960-PTO	S700113001-PTO	S700113049-PTO	S700113085-PTO	S700113132-PTO	S700113517-PTO	S700113592-PTO	S700113630-PTO	S700113688-PTO	S700113832-PTO	S700113946-PTO	S700114031-PTO	S700114080-PTO	S700114139-PTO	S700114203-PTO	S700114260-PTO	S700114317-PTO	S700114365-PTO	S700114401-PTO	S700114531-PTO	S700114572-PTO	S700114629-PTO	S700114693-PTO	S700114741-PTO	S700114791-PTO	S700114848-PTO	S700114896-PTO	S700114953-PTO	S700116231-PTO	S700116318-PTO	S700116372-PTO	S700116582-PTO	S700116633-PTO	S700116792-PTO	S700116852-PTO	S700117014-PTO	S700117674-PTO	S700117731-PTO	S700117842-PTO	S700117968-PTO	S700118452-PTO
Bacteria	domain				98.979	99.232	99.663	99.285	99.507	98.832	98.501	98.5	97.947	99.718	95.153	98.03	99.184	98.482	97.582	97.803	99.53	97.922	97.464	98.847	99.714	97.419	97.449	82.143	96.571	95.11	96.539	97.691	97.915	95.636	93.267	98.781	98.455	99.058	97.107	96.143	98.268	97.957	96.109	97.06	96.607	98.037	99.184	95.608	98.562	96.438	98.798	98.718	91.958	97.158	96.534	96.443	98.641	98.73	94.99	97.002	97.287	98.094	97.987	98.617	97.559	99.496	95.768	97.181	97.375	97.05	94.756	98.597	98.776	99.034	99.867	99.629	97.039	98.151	97.044	98.807	98.587	94.763	99.13	97.385	99.206	99.694	98.162	98.507	99.703	98.517	98.612	97.911	98.067	99.276	97.115	99.423	98.652	99.529	98.666	98.659	96.513	98.76	98.364	98.637	99.933	99.212	99.314	99.172	98.332	96.321	99.622	98.318	80.549	85.245	96.72	98.677	98.786	97.623	97.021	96.991	98.173	99.506	97.588	96.489	93.711	98.992	97.011	99.456	98.527	96.739	97.874	97.198	98.307	98.184	98.025	99.029	97.436	98.329	98.107	80.834	98.368	98.211	97.303	97.824	97.855	99.77	98.306	98.94	98.102	99.434	95.934	96.933	97.739	95.041
Bacteria;Patescibacteria	phylum				0.0	0.018	0.0	0.0	0.0	0.032	0.0	0.0	0.874	0.015	0.0	0.791	1.815	0.017	0.0	0.64	0.751	0.093	0.063	0.013	0.129	0.084	0.0	0.654	0.062	0.0	0.331	0.0	0.0	1.517	1.565	0.0	0.0	5.336	0.136	0.176	0.0	0.0	0.159	0.049	0.112	0.0	0.019	1.291	0.19	0.0	0.172	0.0	0.476	0.11	0.321	0.301	0.0	0.0	6.964	0.0	4.995	0.243	0.025	0.0	0.089	0.0	1.099	0.154	0.046	0.0	0.0	0.0	0.048	0.432	0.0	0.0	0.102	0.053	0.011	0.092	0.0	0.0	0.0	0.768	0.067	0.0	0.0	0.014	0.049	0.0	0.147	0.0	1.395	6.422	0.007	0.0	0.0	0.038	0.0	0.513	0.0	0.0	0.207	0.121	0.312	0.0	0.653	0.0	0.0	5.083	0.0	0.133	0.011	0.015	0.542	0.873	0.0	0.0	0.0	0.311	0.0	0.025	0.0	0.135	0.0	0.035	0.01	0.0	0.0	0.0	0.315	0.028	0.0	0.08	0.0	0.163	1.006	0.709	0.098	0.695	3.701	0.016	0.443	0.0	0.412	0.0	0.0	0.242	0.0	0.0	0.039	0.0	0.0	0.0
Bacteria;Actinomycetota	phylum				4.962	9.693	22.843	3.264	2.627	2.48	5.176	4.063	6.127	16.35	3.607	5.088	4.366	18.434	8.067	14.47	6.716	9.146	8.787	14.548	12.443	13.669	19.94	1.697	7.258	1.048	6.653	4.94	12.327	3.637	4.219	5.219	6.373	4.626	11.152	4.825	8.261	9.477	10.025	10.053	17.151	20.293	1.559	2.82	4.625	19.635	7.141	3.349	0.68	9.644	2.711	9.842	20.64	10.927	5.478	8.222	8.204	8.233	11.55	6.858	4.128	14.856	5.304	4.647	10.317	3.069	7.471	7.448	16.687	3.188	6.181	1.938	11.947	2.562	7.567	4.878	8.616	3.045	28.039	0.0	6.274	8.616	4.796	0.0	16.797	14.714	9.462	14.124	0.494	0.647	0.0	0.208	9.262	0.0	6.895	0.012	13.048	6.365	6.587	5.978	0.401	9.105	3.843	23.537	0.0	2.045	10.932	3.271	0.0	5.194	3.937	7.501	6.44	8.034	10.788	6.734	7.116	4.753	9.498	11.058	8.767	3.574	10.146	1.865	1.951	2.609	2.415	0.995	4.624	6.379	11.385	3.282	3.634	2.38	8.186	0.912	4.414	4.721	12.337	8.909	5.866	5.426	14.287	18.757	17.703	24.42	19.778	22.581	9.823	5.966
Bacteria;Bacteroidota	phylum				7.47	7.304	10.216	3.176	14.786	10.386	14.778	6.107	28.651	12.407	31.853	21.455	22.739	15.261	21.174	8.977	23.482	21.83	19.631	23.672	7.174	19.935	8.88	30.247	20.324	25.22	21.75	10.275	25.276	34.525	27.43	14.397	28.863	25.958	15.564	26.635	18.021	12.966	20.903	13.469	9.953	8.25	2.561	30.64	22.555	20.176	22.773	34.281	35.82	19.655	31.121	20.889	20.491	19.861	29.507	24.701	13.43	22.998	20.986	14.491	9.365	7.84	12.263	14.116	26.615	6.446	27.77	15.713	11.837	19.888	19.444	5.644	9.905	11.278	5.982	21.058	5.79	26.771	19.375	35.236	19.023	19.313	16.004	21.844	10.432	14.958	15.622	11.043	41.599	34.063	17.172	13.226	8.747	27.742	10.426	14.471	25.902	8.014	15.203	18.703	10.639	20.281	19.441	6.919	13.313	30.848	10.371	21.156	24.864	16.632	36.988	21.123	24.562	19.967	8.028	18.413	20.044	27.697	31.549	13.548	19.893	29.51	21.912	15.873	38.931	18.094	30.23	37.803	23.189	30.977	20.61	26.45	29.244	31.904	13.618	29.672	37.241	25.77	22.451	13.343	21.346	27.069	32.775	25.353	18.73	21.354	21.693	15.13	18.551	15.736
Bacteria;Bacillota	phylum				60.695	68.032	64.303	90.094	72.413	75.244	63.942	58.786	33.963	51.749	24.549	38.877	52.547	44.111	53.628	48.239	35.708	40.832	31.705	30.924	75.043	25.355	55.074	19.702	38.305	24.292	26.01	38.804	31.449	29.546	19.904	61.086	34.736	28.171	31.758	45.688	34.544	40.65	31.39	33.739	46.71	58.234	90.351	31.389	33.074	35.691	44.294	27.495	20.105	43.638	39.431	37.83	49.784	40.294	27.746	20.438	30.036	36.454	39.758	75.581	40.036	37.185	31.403	55.891	24.766	60.276	38.145	52.598	53.037	67.811	27.181	84.094	50.647	60.116	58.635	52.714	75.979	54.307	37.985	19.808	31.3	45.234	39.668	20.516	39.57	31.497	56.812	50.0	22.442	25.818	25.592	63.335	68.843	62.756	57.069	39.319	42.419	53.128	36.454	33.299	38.358	22.863	24.472	43.485	69.075	28.345	49.915	38.309	47.9	37.601	30.322	25.851	42.532	57.973	71.613	24.317	33.18	27.481	47.142	31.718	28.955	45.58	43.865	23.315	30.542	21.018	19.386	24.954	37.229	20.019	42.772	38.242	30.178	23.439	52.495	26.633	29.241	46.443	31.907	63.077	37.168	47.14	37.292	20.083	28.57	40.773	34.184	34.432	40.141	30.232
Bacteria;Fusobacteriota	phylum				4.909	6.468	1.227	1.041	4.181	2.144	4.282	10.969	19.66	10.836	21.754	12.907	9.291	13.778	5.412	14.281	19.818	16.316	25.986	23.189	2.52	30.934	5.616	19.194	20.371	36.938	10.225	16.507	16.576	12.415	13.518	6.53	10.682	20.337	12.095	7.7	13.491	23.306	11.992	19.169	7.142	2.445	1.781	16.86	34.502	7.817	12.982	23.497	26.797	5.886	8.084	15.659	3.78	16.864	13.432	22.089	32.302	15.33	10.267	0.111	27.896	31.224	20.144	11.87	23.145	6.47	17.31	17.07	9.508	3.739	37.277	2.509	8.918	3.117	2.846	9.252	0.645	1.585	8.806	31.464	9.518	19.153	17.663	23.125	16.612	18.657	9.041	13.709	17.834	24.302	31.85	14.968	5.181	2.815	12.305	12.395	9.632	3.694	12.655	16.96	3.275	23.945	23.256	1.527	1.625	12.699	11.786	23.822	5.945	11.978	10.899	29.637	12.694	4.796	1.616	12.499	20.616	33.705	3.056	17.104	26.815	11.992	14.806	4.216	23.885	10.183	15.474	17.444	7.616	11.247	7.342	11.952	12.637	25.709	8.825	11.374	7.586	16.409	24.437	1.656	22.809	13.87	7.368	23.552	18.008	7.03	8.2	11.56	14.399	10.436
Bacteria;Pseudomonadota	phylum				20.62	7.273	0.682	1.191	5.253	7.473	10.222	18.213	2.836	6.952	11.835	17.778	5.653	6.242	8.135	10.287	10.567	5.51	8.693	4.301	1.489	4.508	7.127	4.074	7.273	7.058	30.441	26.651	9.561	10.534	26.372	8.252	17.152	4.012	25.27	9.651	21.319	9.427	18.935	16.869	14.714	8.184	2.394	11.282	3.157	6.399	4.982	9.094	5.099	17.693	13.374	11.138	3.763	4.043	10.267	20.251	4.333	12.583	3.372	1.493	15.335	7.519	24.837	5.549	2.26	19.957	2.114	2.899	6.002	3.378	7.139	4.076	13.445	20.206	21.817	7.662	6.835	6.405	2.739	8.083	32.445	5.807	16.936	21.961	15.057	17.826	4.878	7.201	1.206	2.819	19.275	7.167	5.873	4.241	10.062	31.343	3.346	27.164	10.481	20.022	46.357	20.776	24.756	18.715	13.819	11.089	15.898	9.481	1.18	10.838	12.272	9.992	7.771	6.275	4.976	33.956	7.084	2.953	5.649	21.845	9.04	6.086	5.274	53.993	1.882	44.688	24.947	6.207	25.444	28.663	14.37	12.314	19.778	13.335	13.766	3.712	11.402	3.618	3.881	9.99	9.53	4.63	4.23	10.111	11.398	4.572	9.82	6.478	14.382	32.602
Bacteria;Candidatus Saccharimonadota	phylum				0.125	0.387	0.392	0.291	0.086	0.72	0.101	0.327	5.74	0.815	0.609	0.977	0.696	0.552	0.068	0.844	0.329	2.917	2.536	2.065	0.745	0.94	0.656	0.881	0.436	0.012	0.97	0.478	2.606	3.286	0.136	3.298	0.571	0.974	1.132	0.645	0.033	2.119	2.691	3.647	0.731	0.566	0.482	0.984	0.45	6.686	5.988	0.25	0.321	0.495	1.132	0.573	0.099	6.682	1.541	0.656	3.639	2.162	10.871	0.028	0.71	0.871	0.678	4.955	8.719	0.809	1.748	2.483	1.561	0.064	0.455	0.998	1.991	0.713	0.172	2.936	0.691	2.65	0.388	1.557	0.363	1.572	3.026	10.929	1.127	0.815	2.544	1.812	0.523	0.852	3.129	0.346	0.39	1.605	1.712	0.606	2.095	0.395	14.789	3.511	0.59	0.557	0.385	4.969	0.478	6.098	0.708	1.981	0.649	2.987	1.43	3.603	0.202	0.33	0.0	0.726	10.054	0.317	0.083	0.915	0.218	1.512	0.876	0.194	0.259	0.126	3.07	0.042	0.205	0.819	1.181	0.84	0.871	0.536	0.16	0.26	4.667	0.392	1.719	0.849	0.611	0.817	0.0	0.6	3.692	0.442	2.151	6.372	0.389	0.046
Bacteria;Spirochaetota	phylum				0.036	0.043	0.0	0.203	0.099	0.064	0.0	0.036	0.055	0.489	0.09	0.124	0.432	0.086	1.015	0.015	0.72	0.852	0.063	0.054	0.158	1.669	0.1	2.486	1.59	0.542	0.16	0.036	0.12	0.138	0.123	0.0	0.078	9.538	0.0	0.66	2.598	0.013	0.014	0.066	0.075	0.05	0.037	0.333	0.01	0.034	0.466	0.295	1.389	0.037	0.233	0.196	0.05	0.039	0.055	0.609	0.331	0.007	0.73	0.028	0.0	0.0	0.041	0.0	1.141	0.0	0.141	0.386	0.096	0.509	0.057	0.2	0.068	0.079	0.013	0.122	0.015	0.0	0.835	0.439	0.135	0.0	0.06	0.117	0.059	0.033	0.105	0.0	11.788	4.31	0.081	0.058	0.177	0.331	0.197	0.0	0.07	0.0	1.595	0.0	0.0	1.685	1.74	0.018	0.014	0.099	0.012	0.0	0.0	0.0	0.296	0.099	0.759	0.165	0.0	0.023	0.064	0.799	0.595	0.165	0.011	0.495	0.101	0.0	1.078	0.021	2.0	8.673	0.0	0.0	0.172	3.492	0.064	0.284	0.725	7.358	0.046	0.825	0.115	0.0	0.099	0.775	2.354	0.21	0.0	0.801	0.059	0.38	0.035	0.023
Bacteria;Synergistota	phylum				0.107	0.0	0.0	0.026	0.0	0.032	0.0	0.0	0.0	0.089	0.045	0.016	0.0	0.0	0.085	0.0	0.031	0.013	0.0	0.0	0.014	0.042	0.029	0.584	0.623	0.0	0.0	0.0	0.0	0.038	0.0	0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.005	0.0	0.0	0.0	0.457	0.068	0.0	0.057	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.046	0.0	0.0	0.0	0.0	0.0	0.0	0.114	0.0	0.026	0.0	0.015	0.0	0.0	0.353	0.0	0.0	0.0	0.009	0.0	0.0	0.016	0.0	0.0	0.552	0.034	0.0	0.0	0.035	0.0	0.0	0.0	0.0	0.0	0.083	0.0	0.0	0.0	0.602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.014	0.0	0.0	0.0	0.013	0.017	0.0	0.0	0.209	0.0	0.0	0.0	0.0	0.013	1.051	0.0	0.0	0.043	1.403	0.0	0.0	0.147	0.217	0.0	0.0	0.0	0.0	0.014	0.042	0.0	0.016	0.0	0.041	0.0	0.0	0.0	0.0
