Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700015006-RAF	S700015298-RAF	S700016085-RAF	S700016176-RAF	S700016661-RAF	S700021884-RAF	S700023275-RAF	S700023428-RAF	S700023485-RAF	S700023535-RAF	S700023629-RAF	S700023662-RAF	S700023796-RAF	S700023853-RAF	S700023944-RAF	S700023995-RAF	S700024103-RAF	S700024155-RAF	S700024262-RAF	S700024314-RAF	S700024433-RAF	S700024517-RAF	S700024562-RAF	S700024611-RAF	S700024681-RAF	S700024707-RAF	S700024760-RAF	S700024874-RAF	S700024926-RAF	S700024974-RAF	S700032040-RAF	S700032978-RAF	S700033032-RAF	S700033187-RAF	S700033489-RAF	S700033554-RAF	S700033611-RAF	S700033716-RAF	S700033783-RAF	S700034077-RAF	S700034134-RAF	S700034222-RAF	S700034828-RAF	S700034891-RAF	S700035210-RAF	S700037024-RAF	S700037050-RAF	S700037118-RAF	S700037171-RAF	S700037228-RAF	S700037331-RAF	S700037385-RAF	S700037433-RAF	S700037476-RAF	S700037556-RAF	S700037657-RAF	S700037708-RAF	S700037785-RAF	S700037842-RAF	S700037876-RAF	S700037924-RAF	S700038029-RAF	S700038154-RAF	S700038185-RAF	S700038255-RAF	S700038362-RAF	S700038410-RAF	S700038574-RAF	S700038622-RAF	S700038730-RAF	S700038898-RAF	S700038974-RAF	S700095269-RAF	S700095406-RAF	S700095463-RAF	S700095520-RAF	S700095703-RAF	S700095770-RAF	S700097287-RAF	S700097347-RAF	S700097684-RAF	S700098415-RAF	S700098595-RAF	S700098988-RAF	S700099055-RAF	S700099115-RAF	S700099799-RAF	S700099856-RAF	S700100075-RAF	S700100283-RAF	S700100346-RAF	S700100593-RAF	S700101277-RAF	S700101343-RAF	S700101568-RAF	S700101634-RAF	S700101691-RAF	S700101950-RAF	S700102295-RAF	S700102409-RAF	S700102641-RAF	S700102958-RAF	S700103297-RAF	S700103583-RAF	S700103649-RAF	S700105171-RAF	S700105330-RAF	S700105640-RAF	S700105900-RAF	S700106046-RAF	S700106322-RAF	S700106569-RAF	S700106719-RAF	S700106792-RAF	S700106904-RAF	S700106926-RAF	S700106974-RAF	S700107003-RAF	S700107093-RAF	S700112099-RAF	S700112808-RAF	S700113031-RAF	S700113101-RAF	S700113152-RAF	S700113531-RAF	S700113570-RAF	S700113644-RAF	S700113672-RAF	S700113743-RAF	S700113797-RAF	S700113848-RAF	S700114045-RAF	S700114187-RAF	S700114242-RAF	S700114295-RAF	S700114347-RAF	S700114415-RAF	S700114450-RAF	S700114513-RAF	S700114586-RAF	S700114643-RAF	S700114677-RAF	S700114725-RAF	S700114775-RAF	S700114826-RAF	S700114880-RAF	S700114929-RAF	S700116209-RAF	S700116334-RAF	S700116386-RAF	S700116476-RAF	S700116806-RAF	S700116836-RAF	S700116896-RAF	S700117633-RAF	S700117745-RAF	S700117856-RAF	S700118466-RAF	S700119098-RAF	S700119218-RAF	S700119618-RAF	S700120043-RAF	S700120093-RAF	S700121695-RAF	S700122400-RAF	S700123618-RAF	S700161626-RAF	S700161846-RAF	S700161900-RAF	S700161953-RAF	S700163038-RAF	S700163209-RAF	S700163549-RAF	S700163656-RAF	S700163707-RAF	S700163782-RAF	S700163916-RAF	S700163971-RAF	S700164078-RAF	S700164187-RAF	S700164220-RAF	S700164277-RAF	S700164347-RAF	S700164399-RAF	S700164495-RAF	S700164546-RAF	S700164763-RAF	S700164860-RAF	S700165140-RAF	S700165308-RAF	S700165404-RAF	S700165452-RAF	S700165662-RAF	S700165806-RAF	S700166081-RAF	S700166639-RAF	S700166831-RAF	S700171110-RAF	S700171143-RAF	S700171418-RAF	S700171469-RAF	S700171521-RAF	S700171569-RAF	S700171676-RAF	S700171887-RAF	S700171924-RAF	S700171983-RAF	S700172546-RAF	S700172705-RAF	S700172810-RAF	S700173020-RAF	S700173068-RAF	S700173317-RAF	S700173478-RAF	S700173574-RAF	S700173624-RAF	S700175301-RAF
Bacteria	domain				71.954	13.802	57.51	6.511	97.636	39.191	32.677	90.887	65.803	70.884	81.423	16.803	62.312	83.557	97.388	86.929	96.175	76.354	89.341	93.02	86.813	87.929	94.144	82.828	92.93	65.051	52.549	82.598	63.96	95.149	95.008	96.803	64.541	86.426	60.886	14.171	90.689	88.513	94.19	93.103	99.361	84.291	89.247	94.05	90.902	73.624	94.606	91.334	78.194	92.891	27.324	99.281	93.126	91.678	95.729	83.784	77.152	77.403	92.755	93.943	97.547	96.507	93.785	78.574	83.179	95.678	97.038	91.722	99.339	94.987	94.01	98.969	96.244	98.853	37.205	96.473	61.081	87.344	99.058	92.06	84.813	74.646	95.26	71.509	92.894	98.814	99.324	98.724	99.731	89.05	85.282	74.453	97.822	52.645	89.314	98.307	81.597	98.661	99.653	96.741	76.802	99.153	80.247	86.534	97.412	99.877	95.739	87.991	92.315	84.549	90.369	71.584	91.911	72.278	92.971	95.356	97.759	9.665	95.499	98.522	83.505	96.712	97.088	62.223	43.523	30.408	99.164	95.58	93.569	93.434	96.006	97.162	75.076	87.817	72.111	91.289	80.567	61.441	96.678	84.567	70.976	84.644	89.766	89.582	87.216	66.361	94.01	49.978	82.629	99.263	62.136	63.021	99.985	97.536	34.119	81.804	73.677	27.461	52.402	99.06	94.098	87.787	72.167	96.101	91.174	77.039	93.894	84.606	73.786	90.199	100.0	99.459	99.224	91.52	82.186	77.659	98.115	94.72	95.367	99.279	58.285	95.705	61.137	76.069	94.498	98.571	93.506	75.098	93.776	84.478	95.841	96.419	99.801	98.544	96.019	96.712	87.61	95.13	73.251	96.792	98.967	75.006	98.888	95.111	95.059	98.105	95.714	64.293	99.551	99.354	95.588	97.235	98.412	99.116	99.177	98.636	99.715
Bacteria;Patescibacteria	phylum				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.054	0.054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.194	0.0	0.0	0.782	0.0	0.034	0.27	0.0	0.0	0.035	0.0	0.0	0.0	0.0	0.0	0.0	1.521	0.0	0.034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.319	0.0	0.0	0.07	0.0	0.0	0.254	0.0	0.0	0.0	0.278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.594	0.024	0.0	0.0	0.0	0.066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.273	0.0	0.0	0.036	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.0
Bacteria;Actinomycetota	phylum				54.277	6.274	21.678	1.726	95.942	9.229	2.226	86.876	5.613	38.812	32.467	6.881	4.978	9.673	88.108	42.567	20.506	12.718	79.602	74.243	73.809	49.547	70.598	80.566	90.017	40.266	25.357	75.25	54.36	85.414	77.52	72.354	24.865	11.607	35.498	1.566	68.284	78.657	86.224	70.128	93.555	39.348	60.171	87.752	11.054	34.097	88.648	58.414	48.485	53.229	10.298	81.11	59.859	64.811	34.203	36.106	41.477	54.699	82.1	78.324	93.774	63.371	71.758	59.632	67.576	87.382	89.559	81.059	85.222	76.566	73.154	87.804	92.434	70.745	9.194	78.575	37.236	69.887	21.612	1.65	9.616	15.53	17.666	30.805	30.604	7.268	2.724	95.573	95.693	55.636	42.435	39.715	18.304	33.407	78.627	89.03	68.241	83.723	92.32	90.053	51.531	92.517	57.176	53.192	88.904	93.893	64.736	67.36	53.973	57.518	71.298	38.666	77.09	58.607	16.793	85.744	41.833	6.386	57.62	85.603	56.157	77.023	75.433	25.69	13.768	10.474	6.742	21.977	66.352	77.843	21.844	60.578	47.659	50.063	30.523	73.156	57.038	31.455	91.609	43.538	26.046	24.57	56.834	66.723	34.41	47.411	86.006	5.539	56.974	92.073	14.115	51.215	6.546	91.33	28.714	52.833	67.378	17.54	43.479	98.026	12.799	72.734	6.536	59.617	68.327	57.093	88.832	65.587	42.988	44.666	3.978	29.74	10.197	83.373	42.181	44.071	89.082	67.74	48.682	92.599	25.901	93.984	53.341	61.286	81.724	83.553	47.956	38.95	86.279	65.373	67.096	94.947	62.255	91.554	1.29	91.324	66.905	90.119	17.585	56.264	45.256	60.074	92.081	62.19	71.814	58.77	49.571	32.692	41.68	96.796	35.405	76.61	93.609	33.505	86.382	88.391	23.441
Bacteria;Bacteroidota	phylum				0.0	0.0	0.677	0.0	0.029	0.0	0.0	0.602	0.0	0.115	0.0	0.024	0.0	0.0	0.0	0.399	0.37	0.0	0.301	0.574	0.046	0.0	0.0	0.0	0.228	0.156	0.043	0.0	0.0	0.135	0.0	0.886	1.892	0.0	5.166	0.0	0.0	0.0	0.0	0.158	0.0	0.521	0.79	1.879	0.48	0.0	0.051	1.475	0.188	1.204	0.974	0.111	0.742	0.634	0.012	1.232	1.639	0.183	0.0	0.0	0.081	1.062	0.215	0.232	0.0	0.334	0.0	0.135	0.394	0.0	0.962	0.0	0.0	0.076	0.0	2.208	1.862	0.0	6.716	0.0	0.189	4.321	0.708	0.527	10.154	0.026	0.131	0.016	0.021	1.208	5.743	2.029	0.0	0.867	0.0	0.0	0.096	0.701	0.027	0.233	1.194	0.022	2.469	2.585	0.237	0.246	1.53	0.0	6.308	0.731	1.831	8.08	0.0	0.0	0.236	0.0	0.0	0.0	2.721	0.0	3.56	1.411	0.015	5.208	0.074	0.0	4.788	0.115	0.549	1.181	0.666	4.452	0.438	2.105	1.862	1.093	0.0	1.23	0.0	0.795	0.0	1.249	0.62	2.461	3.796	0.0	0.9	0.822	1.099	0.037	0.373	0.058	15.332	0.0	0.13	0.0	0.403	0.281	0.0	0.0	0.728	4.395	9.494	0.252	0.0	0.039	0.08	0.399	2.933	3.426	1.266	0.0	0.0	0.097	4.587	0.967	0.642	0.565	0.3	0.368	0.203	0.155	0.635	1.042	0.392	0.953	0.409	1.916	0.24	0.776	0.815	0.0	3.648	0.042	0.197	0.0	0.0	0.343	8.245	0.0	0.564	0.554	0.851	1.173	3.245	0.664	0.0	1.998	0.682	0.024	0.081	0.079	0.476	4.053	0.423	0.097	21.248
Bacteria;Bacillota	phylum				14.126	0.69	26.901	3.655	1.109	16.814	1.71	0.178	3.238	15.591	28.809	6.156	3.518	36.824	6.492	42.422	73.382	53.868	5.355	11.442	10.622	6.475	19.442	1.5	2.021	21.423	17.872	2.469	1.519	8.264	5.458	22.7	28.486	63.622	13.506	0.524	17.613	6.455	3.056	15.296	1.336	14.472	24.665	3.305	76.342	32.204	4.943	27.548	5.513	33.791	8.882	17.561	31.657	21.19	59.63	44.554	21.699	18.92	6.76	13.029	2.938	27.93	16.91	12.312	6.074	7.268	5.978	9.379	6.582	17.701	11.921	8.793	3.488	27.364	28.011	7.192	18.214	16.567	26.133	89.198	73.145	42.765	63.366	37.847	30.471	90.747	95.548	2.214	3.355	26.973	34.629	20.894	75.891	17.112	8.955	9.097	4.696	13.907	6.856	4.868	21.081	5.833	20.525	22.59	6.478	4.194	22.387	15.627	25.217	17.566	13.483	15.293	9.473	13.108	71.884	4.552	52.623	0.0	25.663	12.033	21.748	15.678	19.639	24.213	17.617	19.823	82.011	72.081	25.637	8.578	71.4	5.232	21.796	27.857	19.389	11.019	21.136	17.828	3.994	30.071	34.854	19.693	25.23	12.913	42.248	2.677	3.477	43.012	23.085	6.854	46.453	9.896	34.925	5.404	3.87	23.464	5.587	8.361	1.843	0.923	79.421	7.39	33.848	34.257	22.497	13.684	4.713	16.084	11.274	27.016	91.23	68.908	88.872	6.87	22.371	26.005	7.106	17.122	45.427	5.812	28.023	1.365	4.584	6.976	7.966	12.364	41.426	28.262	5.971	14.432	27.395	0.583	25.904	6.532	94.248	1.507	20.705	3.309	44.822	38.326	50.798	11.313	4.955	25.684	13.783	36.885	15.095	20.745	55.232	2.166	59.322	18.63	2.303	47.654	11.266	9.575	20.994
Bacteria;Fusobacteriota	phylum				1.478	0.0	1.461	0.0	0.068	0.0	0.0	0.0	0.0	0.0	0.0	0.724	0.0	0.0	0.0	0.381	0.0	0.0	0.0	0.0	0.41	0.0	0.0	0.011	0.028	0.078	0.0	0.0	0.0	0.124	0.287	0.0	1.946	0.496	0.0	0.0	0.603	0.0	0.108	0.0	0.0	3.411	0.417	0.0	0.0	0.623	0.062	0.0	0.0	0.652	0.0	0.0	0.09	0.303	0.0	0.0	0.998	0.107	0.141	0.4	0.0	0.615	0.0	0.286	0.0	0.111	0.0	0.0	0.0	0.0	0.844	0.0	0.0	0.029	0.0	3.957	0.0	0.0	12.129	0.361	0.189	0.912	0.681	0.119	1.134	0.0	0.0	0.0	0.021	0.242	0.0	1.712	3.586	0.051	0.0	0.0	0.0	0.0	0.013	0.0	0.326	0.0	0.0	2.455	0.474	0.0	3.413	0.0	5.55	3.142	0.0	0.976	0.597	0.0	0.417	0.307	1.046	0.0	1.556	0.0	0.362	0.615	0.284	0.0	0.0	0.0	1.629	0.031	0.395	1.229	0.789	0.081	0.703	4.625	1.264	1.284	0.84	0.0	0.0	0.753	0.0	4.361	3.877	4.754	2.734	0.0	1.138	0.0	0.0	0.065	0.075	0.174	8.288	0.0	0.0	0.559	0.027	0.153	0.028	0.0	0.0	1.167	9.007	1.36	0.0	0.0	0.0	0.461	0.092	1.648	0.0	0.473	0.155	0.0	4.796	0.916	0.0	0.153	0.02	0.044	0.0	0.016	0.013	0.124	0.266	0.0	0.144	0.39	0.108	1.156	0.024	0.0	0.995	0.0	0.0	0.0	0.0	0.078	0.41	0.0	0.07	0.162	0.096	0.326	0.474	0.137	0.0	2.543	0.0	0.036	0.0	0.251	0.476	2.702	0.089	0.0	14.212
Bacteria;Pseudomonadota	phylum				2.074	6.838	6.793	1.13	0.488	13.148	28.742	3.231	56.952	16.365	20.146	3.018	53.816	37.06	2.789	1.16	1.917	9.768	4.083	6.759	1.927	31.906	4.104	0.75	0.636	3.127	9.277	4.879	8.082	1.213	11.743	0.864	7.351	10.7	6.716	12.081	4.189	3.4	4.802	7.52	4.47	26.539	3.204	1.113	3.026	6.7	0.902	3.897	23.857	4.015	7.17	0.498	0.778	4.74	1.884	1.892	11.339	3.494	3.755	2.19	0.701	3.276	4.786	5.986	9.529	0.584	1.501	1.149	7.141	0.721	7.129	2.372	0.322	0.63	0.0	3.846	3.769	0.89	31.686	0.851	1.589	10.847	12.839	2.007	20.14	0.773	0.922	0.921	0.642	4.992	2.476	6.998	0.041	1.174	1.732	0.181	8.564	0.33	0.437	1.587	2.638	0.782	0.077	3.463	1.302	1.544	3.672	5.004	1.267	5.572	3.757	8.568	4.75	0.564	3.641	4.752	2.258	3.279	7.547	0.887	1.635	1.899	1.717	7.112	12.065	0.111	3.867	1.376	0.637	4.602	1.307	26.819	4.481	3.167	19.073	4.737	1.203	10.929	1.075	9.41	9.506	34.771	2.603	1.349	4.029	16.203	2.489	0.606	1.217	0.233	1.12	1.678	34.573	0.772	1.405	4.948	0.282	1.125	7.051	0.11	1.15	2.1	13.282	0.584	0.35	5.218	0.268	2.063	16.499	13.443	3.526	0.338	0.0	1.181	8.251	5.14	1.284	9.141	0.938	0.397	4.157	0.186	2.499	6.482	4.119	1.701	3.571	5.58	1.177	1.304	0.488	0.888	6.998	0.416	0.219	3.881	0.0	1.28	1.504	2.202	2.255	2.834	0.906	5.737	5.287	1.65	31.047	6.208	1.939	0.332	0.78	1.618	1.548	11.177	1.017	0.573	19.821
Bacteria;Candidatus Saccharimonadota	phylum				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.199	0.116	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.051	0.0	0.0	0.204	0.354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.033	0.0	0.0	2.249	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043	0.085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.044	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.56	0.0	0.0	0.0	0.059	0.0	0.0	0.065	0.159	0.031	0.0	0.0	0.0	0.0	0.842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.684	0.0	0.023	0.069	0.0	0.0	0.182	0.0	0.0	0.073	0.018	0.0	0.0	0.047	0.0	0.0	0.0	0.0	0.0
Bacteria;Spirochaetota	phylum				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Synergistota	phylum				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
