Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700015298-RAF	S700015974-RAF	S700016085-RAF	S700016095-RAF	S700016176-RAF	S700016661-RAF	S700016759-RAF	S700023110-RAF	S700023485-RAF	S700023853-RAF	S700023944-RAF	S700024262-RAF	S700024314-RAF	S700024562-RAF	S700024681-RAF	S700024707-RAF	S700024874-RAF	S700024926-RAF	S700024974-RAF	S700032184-RAF	S700032278-RAF	S700032465-RAF	S700033187-RAF	S700033253-RAF	S700033416-RAF	S700033783-RAF	S700034288-RAF	S700034960-RAF	S700035631-RAF	S700035987-RAF	S700037024-RAF	S700037050-RAF	S700037118-RAF	S700037171-RAF	S700037228-RAF	S700037331-RAF	S700037385-RAF	S700037433-RAF	S700037708-RAF	S700037842-RAF	S700037924-RAF	S700038029-RAF	S700038154-RAF	S700038255-RAF	S700038362-RAF	S700038410-RAF	S700038574-RAF	S700038622-RAF	S700038730-RAF	S700038974-RAF	S700095406-RAF	S700095463-RAF	S700095577-RAF	S700095884-RAF	S700097287-RAF	S700099055-RAF	S700099115-RAF	S700099799-RAF	S700099942-RAF	S700100466-RAF	S700101691-RAF	S700102295-RAF	S700102901-RAF	S700102958-RAF	S700103649-RAF	S700105171-RAF	S700105228-RAF	S700105900-RAF	S700106046-RAF	S700106455-RAF	S700106926-RAF	S700106974-RAF	S700107431-RAF	S700107542-RAF	S700107599-RAF	S700107812-RAF	S700107926-RAF	S700108151-RAF	S700108214-RAF	S700108274-RAF	S700108892-RAF	S700109226-RAF	S700109559-RAF	S700109977-RAF	S700110802-RAF	S700111212-RAF	S700111801-RAF	S700112038-RAF	S700112808-RAF	S700113031-RAF	S700113101-RAF	S700113152-RAF	S700113531-RAF	S700113570-RAF	S700113644-RAF	S700113672-RAF	S700113797-RAF	S700113848-RAF	S700114045-RAF	S700114187-RAF	S700114242-RAF	S700114295-RAF	S700114450-RAF	S700114513-RAF	S700114643-RAF	S700114677-RAF	S700114725-RAF	S700114775-RAF	S700114826-RAF	S700114929-RAF	S700114985-RAF	S700116386-RAF	S700116706-RAF	S700116758-RAF	S700116806-RAF	S700116836-RAF	S700116896-RAF	S700117856-RAF	S700119218-RAF	S700119618-RAF	S700119792-RAF	S700120093-RAF	S700161732-RAF	S700163656-RAF	S700163971-RAF	S700164078-RAF	S700164187-RAF	S700164220-RAF	S700164277-RAF	S700164347-RAF	S700164399-RAF	S700164495-RAF	S700164763-RAF	S700164820-RAF	S700165140-RAF	S700165308-RAF	S700165404-RAF	S700165452-RAF	S700165483-RAF	S700165854-RAF	S700165903-RAF	S700166081-RAF	S700166639-RAF	S700171469-RAF	S700171521-RAF	S700171569-RAF	S700171924-RAF	S700172211-RAF	S700173269-RAF	S700173478-RAF
Bacteria	domain				48.168	94.735	22.077	71.039	17.222	96.702	49.822	84.333	84.723	81.958	96.094	76.863	86.768	95.501	92.971	62.119	93.112	78.846	96.936	97.898	99.338	75.932	74.865	94.438	66.857	86.685	93.78	94.587	98.879	32.773	80.791	96.274	93.929	89.136	91.51	60.79	99.549	78.853	86.381	98.178	98.707	97.366	93.109	91.311	98.04	92.391	90.899	94.74	99.026	98.506	99.39	11.222	95.608	94.928	99.548	93.211	93.901	77.023	86.579	93.209	79.942	99.976	89.055	99.092	97.647	98.694	80.391	94.942	86.489	93.019	98.165	94.99	98.973	90.789	97.927	95.113	82.99	96.689	75.963	91.331	97.532	93.629	99.626	54.769	99.669	5.189	59.708	98.821	81.836	99.868	99.942	95.139	84.214	94.05	98.393	99.975	93.617	46.064	97.599	99.862	99.9	88.401	2.213	99.88	82.559	99.899	99.782	1.544	99.893	99.246	75.073	97.976	98.38	91.569	42.125	99.279	98.3	66.078	95.59	62.691	92.556	61.229	90.23	91.422	83.841	95.205	98.826	41.091	92.335	47.032	75.193	92.637	92.317	93.689	94.043	92.249	96.24	97.635	70.85	97.36	85.522	59.036	98.775	96.305	75.404	98.679	99.04	91.646	99.389	99.054
Bacteria;Actinomycetota	phylum				3.927	76.27	7.615	4.926	2.371	94.809	14.26	46.689	1.403	8.418	72.525	35.005	71.948	83.743	89.943	40.168	84.607	46.078	93.517	97.782	97.266	33.075	38.6	87.981	7.19	78.485	48.819	83.482	94.766	6.549	58.443	90.708	61.479	46.924	43.041	20.08	90.734	54.63	51.524	94.169	96.318	76.702	75.676	75.106	89.284	84.728	80.88	79.553	89.819	75.374	97.686	4.306	88.106	86.393	23.734	44.331	77.668	43.931	41.732	88.447	78.468	99.314	66.524	97.609	89.007	91.176	51.622	73.071	64.982	37.843	90.581	80.762	93.884	64.21	87.083	89.299	72.757	52.933	69.695	72.732	74.266	81.652	96.351	25.333	79.796	3.653	40.699	89.165	68.103	14.015	0.988	39.936	49.357	8.455	22.93	0.712	85.982	13.848	55.753	11.353	1.729	55.145	0.093	2.477	23.839	55.968	7.645	0.502	2.273	46.418	17.722	92.892	88.592	87.193	31.274	7.965	94.656	61.702	93.001	52.294	84.837	10.042	7.375	83.114	51.578	29.457	91.292	28.17	90.641	40.202	57.825	80.534	50.906	44.525	88.242	72.93	82.195	96.305	36.078	94.291	70.734	18.072	93.137	80.172	62.861	96.274	83.682	79.381	9.424	50.522
Bacteria;Bacteroidota	phylum				0.0	0.037	1.009	0.0	1.063	0.042	0.0	0.124	0.0	1.294	0.0	3.174	0.298	0.0	0.112	1.296	0.0	0.0	0.025	0.0	0.049	4.814	0.0	0.896	0.905	0.0	0.903	0.893	0.0	2.734	0.0	0.069	0.883	0.0	1.397	0.951	0.066	2.592	0.0	0.046	0.274	1.669	0.228	0.781	0.497	0.543	0.053	0.548	0.301	0.0	0.078	0.0	0.457	0.0	9.042	16.665	0.0	0.0	0.27	0.479	0.0	0.0	0.341	0.01	1.066	0.096	2.433	1.31	0.0	10.207	0.367	0.0	0.312	0.23	0.14	0.385	0.066	6.055	0.173	0.202	0.94	0.148	0.072	3.077	0.004	0.0	1.056	0.351	0.483	8.197	0.0	0.545	0.429	2.192	4.203	0.139	0.0	0.0	0.686	15.977	21.303	1.888	0.0	1.278	6.836	3.945	10.179	0.0	22.821	18.684	0.487	0.099	0.0	0.0	0.075	12.386	0.0	0.161	0.0	0.0	0.158	6.017	0.0	0.0	0.163	0.0	0.587	0.08	0.084	0.0	0.0	0.598	0.375	3.724	0.089	1.116	0.086	0.0	1.83	0.246	0.724	0.0	1.072	0.246	0.286	0.0	0.087	0.071	0.0	12.435
Bacteria;Bacillota	phylum				5.672	2.41	6.094	7.774	4.567	0.354	0.917	13.584	4.17	15.21	1.756	9.66	6.153	3.359	0.685	9.909	1.311	0.509	1.266	0.117	1.129	11.801	12.567	3.024	57.048	1.523	15.636	8.482	2.555	6.579	10.546	3.381	16.336	1.898	32.294	21.287	7.553	3.283	22.349	2.141	1.293	6.845	5.066	3.319	5.358	2.5	7.311	2.549	7.247	3.082	1.11	6.916	4.3	6.2	12.794	19.848	7.623	18.931	5.392	2.437	0.781	0.402	12.844	1.074	3.971	2.389	11.546	7.969	3.125	13.625	6.3	11.423	2.812	3.934	7.033	2.765	5.581	22.517	4.083	12.601	10.341	9.58	2.845	17.641	16.735	0.706	11.454	5.142	8.458	12.869	98.919	50.522	19.429	51.357	32.2	19.278	1.189	6.122	4.74	19.669	25.965	21.156	2.027	32.321	29.097	14.228	16.208	0.298	12.028	7.645	26.582	1.728	5.423	1.921	3.693	18.877	1.538	0.763	0.575	1.529	3.111	17.161	1.341	5.216	2.884	57.113	1.468	4.013	0.411	0.784	4.299	6.489	35.041	18.429	2.623	9.043	11.711	0.074	22.614	1.535	8.376	15.663	3.002	10.468	3.888	1.226	7.941	3.057	0.061	12.728
Bacteria;Fusobacteriota	phylum				0.0	0.26	4.14	16.677	0.0	0.046	0.089	9.698	0.0	1.022	0.461	4.462	4.962	0.0	0.351	1.448	1.924	0.0	0.279	0.0	0.117	2.64	0.0	0.0	0.0	0.156	4.378	0.335	0.0	1.202	2.574	0.207	0.0	0.589	0.269	1.207	0.159	4.077	0.0	0.364	0.0	1.948	0.89	3.645	0.288	1.739	0.159	0.059	0.313	0.187	0.0	0.0	1.464	0.886	18.535	1.137	0.0	0.723	0.509	0.014	0.0	0.024	0.384	0.0	0.257	0.0	8.731	9.716	3.401	12.277	0.0	0.0	0.268	0.23	0.28	0.5	0.399	7.427	0.345	0.756	1.645	0.203	0.072	2.462	0.0	0.071	2.193	1.129	0.0	34.949	0.0	0.0	0.0	1.357	3.523	3.741	0.313	3.207	0.437	18.254	5.313	0.963	0.023	9.389	5.083	1.18	20.315	0.298	51.298	16.764	7.108	0.197	0.493	0.0	1.206	9.909	0.729	0.442	0.0	0.0	0.315	5.508	0.862	0.0	0.435	0.0	0.294	0.08	0.092	0.0	0.258	0.138	0.0	2.872	0.178	1.938	0.086	0.0	0.0	0.123	0.207	0.602	1.072	0.369	0.123	0.377	0.175	0.0	0.02	4.993
Bacteria;Pseudomonadota	phylum				38.569	15.758	3.22	41.662	9.221	1.451	34.556	14.237	79.15	56.014	21.352	24.563	3.407	8.398	1.881	9.299	5.27	32.258	1.849	0.0	0.778	23.602	23.698	2.538	1.714	6.521	24.044	1.395	1.558	15.71	9.228	1.909	15.232	39.725	14.508	17.264	1.035	14.271	12.508	1.458	0.823	10.202	11.249	8.461	2.614	2.88	2.496	12.031	1.345	19.863	0.516	0.0	1.281	1.449	35.443	11.229	8.61	13.439	38.676	1.832	0.693	0.236	8.961	0.4	3.346	5.033	6.059	2.875	14.982	19.066	0.917	2.806	1.696	22.184	3.39	2.165	4.186	7.758	1.668	5.04	10.341	2.045	0.287	6.256	3.134	0.759	4.305	3.035	4.793	29.837	0.035	4.134	15.0	30.689	35.538	76.105	6.133	22.886	35.984	34.61	45.589	9.249	0.07	54.415	17.704	24.579	45.435	0.446	11.473	9.736	23.174	3.06	3.873	2.455	5.878	50.141	1.377	3.011	2.013	8.869	4.135	22.5	80.651	3.091	28.781	8.636	5.186	8.748	1.107	6.047	12.812	4.878	5.996	24.14	2.912	7.223	2.161	1.256	10.327	1.166	5.481	24.699	0.49	5.049	8.246	0.802	7.155	9.136	89.884	18.375
Bacteria;Actinomycetota;Actinomycetes	class				3.927	76.27	7.615	4.926	2.371	94.79	14.26	46.689	1.403	8.418	72.525	35.005	71.948	83.743	89.943	40.168	84.607	46.078	93.517	97.782	97.266	33.075	38.6	87.981	7.19	78.231	47.741	83.482	94.766	6.549	58.443	90.708	61.479	46.924	43.041	20.08	90.734	54.63	51.524	94.169	96.318	76.702	75.676	73.121	89.284	84.728	80.88	79.553	89.819	75.374	97.686	4.306	88.106	86.393	23.734	44.331	77.668	43.931	41.732	88.447	78.468	99.314	66.524	97.609	89.007	91.176	51.145	73.071	64.982	37.843	90.581	80.762	93.884	64.21	87.083	89.299	72.757	52.933	69.695	72.732	73.913	81.566	96.351	25.333	79.796	3.653	40.699	89.165	67.821	14.015	0.988	39.936	49.357	7.098	22.93	0.712	85.982	13.848	55.753	11.353	1.729	55.145	0.047	2.477	23.839	55.968	7.645	0.502	2.273	46.418	17.722	92.892	88.592	87.193	31.274	7.965	94.656	61.702	93.001	52.294	84.837	10.042	7.375	83.114	51.578	29.457	91.292	28.17	90.641	40.202	57.825	80.534	50.906	44.525	88.242	72.93	82.195	96.305	36.078	94.291	70.734	18.072	93.137	80.172	62.861	96.274	83.682	79.381	9.424	50.522
Bacteria;Actinomycetota;Coriobacteriia	class				0.0	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.254	1.077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.477	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.353	0.086	0.0	0.0	0.0	0.0	0.0	0.0	0.282	0.0	0.0	0.0	0.0	1.357	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia	class				0.0	0.037	1.009	0.0	1.063	0.035	0.0	0.124	0.0	1.294	0.0	3.174	0.298	0.0	0.112	1.296	0.0	0.0	0.025	0.0	0.049	2.329	0.0	0.0	0.905	0.0	0.903	0.893	0.0	2.223	0.0	0.069	0.883	0.0	1.397	0.914	0.066	2.592	0.0	0.046	0.274	0.927	0.228	0.781	0.497	0.543	0.053	0.133	0.151	0.0	0.078	0.0	0.457	0.0	7.776	16.448	0.0	0.0	0.27	0.479	0.0	0.0	0.235	0.01	1.066	0.0	2.433	1.237	0.0	5.585	0.245	0.0	0.312	0.134	0.084	0.152	0.0	4.021	0.115	0.05	0.705	0.148	0.014	3.077	0.004	0.0	0.975	0.301	0.443	6.214	0.0	0.545	0.429	1.879	3.708	0.049	0.0	0.0	0.624	15.562	18.195	1.233	0.0	1.278	2.366	1.045	8.737	0.0	22.57	1.714	0.0	0.099	0.0	0.0	0.075	8.623	0.0	0.161	0.0	0.0	0.158	2.754	0.0	0.0	0.0	0.0	0.489	0.08	0.0	0.0	0.0	0.506	0.375	3.724	0.044	0.94	0.086	0.0	0.392	0.184	0.414	0.0	1.072	0.246	0.286	0.0	0.087	0.036	0.0	0.098
Bacteria;Bacteroidota;Flavobacteriia	class				0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.484	0.0	0.896	0.0	0.0	0.0	0.0	0.0	0.511	0.0	0.0	0.0	0.0	0.0	0.037	0.0	0.0	0.0	0.0	0.0	0.742	0.0	0.0	0.0	0.0	0.0	0.415	0.151	0.0	0.0	0.0	0.0	0.0	1.266	0.217	0.0	0.0	0.0	0.0	0.0	0.0	0.107	0.0	0.0	0.096	0.0	0.073	0.0	4.622	0.122	0.0	0.0	0.096	0.056	0.233	0.066	2.034	0.058	0.151	0.235	0.0	0.057	0.0	0.0	0.0	0.081	0.05	0.04	1.983	0.0	0.0	0.0	0.313	0.494	0.09	0.0	0.0	0.062	0.414	3.108	0.655	0.0	0.0	4.47	2.9	1.442	0.0	0.251	16.969	0.487	0.0	0.0	0.0	0.0	3.763	0.0	0.0	0.0	0.0	0.0	3.263	0.0	0.0	0.163	0.0	0.098	0.0	0.084	0.0	0.0	0.092	0.0	0.0	0.044	0.176	0.0	0.0	1.438	0.061	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.036	0.0	12.337
