Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700014994-SUBP	S700015286-SUBP	S700015662-SUBP	S700016077-SUBP	S700016168-SUBP	S700016333-SUBP	S700016374-SUBP	S700016590-SUBP	S700016948-SUBP	S700021912-SUBP	S700023021-SUBP	S700023078-SUBP	S700023208-SUBP	S700023259-SUBP	S700023331-SUBP	S700023418-SUBP	S700023475-SUBP	S700023529-SUBP	S700023576-SUBP	S700023690-SUBP	S700023786-SUBP	S700023843-SUBP	S700023900-SUBP	S700023966-SUBP	S700024023-SUBP	S700024064-SUBP	S700024127-SUBP	S700024185-SUBP	S700024231-SUBP	S700024290-SUBP	S700024338-SUBP	S700024377-SUBP	S700024443-SUBP	S700024490-SUBP	S700024539-SUBP	S700024586-SUBP	S700024635-SUBP	S700024671-SUBP	S700024731-SUBP	S700024788-SUBP	S700024825-SUBP	S700024902-SUBP	S700024946-SUBP	S700024996-SUBP	S700033020-SUBP	S700033179-SUBP	S700033477-SUBP	S700033775-SUBP	S700037220-SUBP	S700037468-SUBP	S700037580-SUBP	S700037732-SUBP	S700038051-SUBP	S700038247-SUBP	S700038384-SUBP	S700038470-SUBP	S700038518-SUBP	S700038566-SUBP	S700038614-SUBP	S700038722-SUBP	S700038781-SUBP	S700038938-SUBP	S700038998-SUBP	S700095398-SUBP	S700095455-SUBP	S700097279-SUBP	S700097339-SUBP	S700097676-SUBP	S700098315-SUBP	S700098407-SUBP	S700099047-SUBP	S700099107-SUBP	S700099635-SUBP	S700099791-SUBP	S700100275-SUBP	S700101683-SUBP	S700102287-SUBP	S700102633-SUBP	S700102950-SUBP	S700103261-SUBP	S700103325-SUBP	S700103466-SUBP	S700103535-SUBP	S700103605-SUBP	S700103692-SUBP	S700105085-SUBP	S700105201-SUBP	S700105304-SUBP	S700105354-SUBP	S700105392-SUBP	S700105437-SUBP	S700105512-SUBP	S700105610-SUBP	S700105666-SUBP	S700105705-SUBP	S700105759-SUBP	S700105828-SUBP	S700105876-SUBP	S700105924-SUBP	S700106038-SUBP	S700106113-SUBP	S700106380-SUBP	S700106540-SUBP	S700106599-SUBP	S700106635-SUBP	S700106683-SUBP	S700106743-SUBP	S700106857-SUBP	S700106896-SUBP	S700106916-SUBP	S700106966-SUBP	S700107234-SUBP	S700113007-SUBP	S700113055-SUBP	S700113091-SUBP	S700113138-SUBP	S700113523-SUBP	S700113598-SUBP	S700113636-SUBP	S700113694-SUBP	S700113838-SUBP	S700113952-SUBP	S700114037-SUBP	S700114088-SUBP	S700114145-SUBP	S700114209-SUBP	S700114266-SUBP	S700114323-SUBP	S700114407-SUBP	S700114478-SUBP	S700114537-SUBP	S700114578-SUBP	S700114635-SUBP	S700114699-SUBP	S700114747-SUBP	S700114797-SUBP	S700114854-SUBP	S700114902-SUBP	S700114959-SUBP	S700116237-SUBP	S700116324-SUBP	S700116378-SUBP	S700116588-SUBP	S700116639-SUBP	S700116798-SUBP	S700116858-SUBP	S700117020-SUBP	S700117680-SUBP	S700117737-SUBP	S700117848-SUBP	S700117974-SUBP
Bacteria	domain				98.556	99.44	98.371	99.679	98.417	98.849	94.312	88.452	98.185	99.946	99.938	98.679	98.189	98.927	93.232	95.553	97.827	98.445	94.7	98.966	96.883	94.262	98.529	97.948	89.636	98.107	96.982	98.111	96.64	92.993	95.014	97.312	97.55	92.175	97.604	91.795	97.251	97.041	97.108	97.459	97.078	86.384	95.802	94.875	99.811	96.831	96.424	96.581	96.335	96.808	95.453	97.796	95.006	94.689	93.728	98.957	99.348	98.83	95.832	99.376	99.546	98.467	95.489	96.756	98.767	95.982	93.688	98.757	98.039	98.509	98.838	99.638	97.552	99.523	97.637	99.441	98.29	99.747	97.843	95.661	98.486	96.513	96.244	97.856	97.467	99.634	98.881	98.796	98.368	98.746	99.24	99.843	96.952	97.884	99.064	88.627	99.534	98.778	97.19	92.215	98.879	99.471	94.454	98.68	98.698	97.735	96.498	99.127	98.53	96.261	98.131	99.756	98.366	99.509	97.325	99.437	97.064	86.523	97.794	97.978	99.172	96.861	91.437	98.495	95.239	97.928	97.99	99.425	98.408	98.164	98.627	93.449	96.689	98.219	95.099	98.032	98.204	97.145	97.353	94.865	96.321	97.351	96.687	99.792	97.088	97.659	98.393	98.443	97.534	96.885	97.841
Bacteria;Patescibacteria	phylum				0.007	0.034	0.224	0.0	0.0	0.084	0.118	1.266	0.026	0.0	0.0	0.035	0.146	0.195	0.846	0.0	0.009	0.282	0.29	0.0	1.294	0.516	0.0	0.0	0.477	0.0	0.018	0.0	0.0	1.179	0.135	0.026	0.848	0.483	0.453	0.487	0.0	0.0	0.027	0.04	0.287	0.0	0.066	0.483	0.0	0.459	0.149	0.59	0.178	0.012	0.028	0.0	1.52	0.436	0.143	0.007	0.0	0.462	0.369	0.106	0.0	0.062	0.0	0.0	0.074	0.441	0.989	0.0	0.621	0.0	0.025	0.0	0.0	0.553	1.812	0.13	0.88	0.101	0.044	0.212	0.0	1.539	0.022	0.033	0.053	0.0	0.041	0.0	0.117	0.027	0.0	0.0	0.077	0.0	0.136	0.0	0.058	0.14	0.107	0.522	1.321	0.02	0.329	0.0	1.162	0.446	0.115	0.196	0.123	0.0	0.0	0.031	0.0	0.014	0.0	0.762	0.014	1.642	0.015	0.049	0.066	0.105	0.187	0.246	0.57	0.022	0.0	0.0	0.415	0.036	0.0	0.0	0.836	0.214	0.129	0.0	0.058	0.0	0.0	0.047	0.251	0.437	0.091	0.0	0.098	0.853	0.428	0.104	0.37	1.466	0.081
Bacteria;Actinomycetota	phylum				3.554	17.634	30.584	20.932	36.174	24.068	16.483	11.913	24.156	23.021	3.333	14.244	30.838	33.668	13.201	54.827	32.89	20.463	23.756	40.665	12.086	29.228	26.084	30.43	6.796	40.359	32.674	28.913	24.583	35.05	30.668	15.645	32.94	31.591	23.963	19.996	49.859	25.671	13.461	9.033	46.854	39.763	22.956	27.695	16.635	16.514	14.139	41.78	15.887	39.55	10.292	54.554	14.629	16.495	42.639	22.587	40.639	18.177	15.677	5.684	58.299	26.979	42.451	18.294	18.175	7.46	1.521	15.054	14.743	18.001	23.739	3.387	22.338	17.538	11.684	2.691	22.627	9.886	25.874	16.757	43.854	8.561	46.233	15.515	2.639	57.005	35.793	13.718	40.967	0.009	17.171	18.631	10.675	0.0	8.461	16.016	52.321	33.206	32.025	6.287	14.578	0.083	29.498	14.265	0.0	25.434	26.163	6.586	21.451	21.146	40.806	1.956	51.159	38.242	47.868	8.584	47.248	10.801	38.698	17.571	10.268	21.775	12.252	0.006	0.257	31.009	21.89	12.494	12.15	34.563	41.512	40.55	11.959	33.045	35.741	16.272	29.761	31.238	27.315	48.726	17.57	24.617	13.539	14.846	25.974	21.028	31.719	12.584	37.576	12.598	23.239
Bacteria;Bacteroidota	phylum				36.386	21.288	17.802	18.019	24.722	23.551	27.711	21.542	21.549	2.848	1.697	19.631	16.931	13.991	15.664	5.695	17.985	17.108	18.865	9.827	28.613	17.73	9.487	15.326	27.591	15.982	4.145	3.616	21.117	16.987	18.263	30.063	21.033	22.747	21.936	17.754	4.39	20.45	11.981	19.199	11.865	12.06	22.803	24.477	9.293	28.617	25.464	16.745	27.991	9.396	26.274	4.554	19.055	24.272	15.027	3.214	17.302	12.05	26.116	27.866	0.974	20.845	1.422	22.408	23.058	27.404	28.441	24.11	28.593	20.644	15.579	17.702	19.155	15.276	26.625	33.203	22.203	22.281	26.858	11.331	8.575	35.187	6.181	17.601	28.149	5.776	13.557	30.571	8.159	41.973	11.319	11.985	23.113	17.036	29.571	7.201	8.657	27.16	6.993	33.595	17.842	35.304	16.647	26.213	42.434	13.048	13.791	26.69	12.696	18.657	3.08	32.885	6.212	4.226	10.238	15.572	8.562	27.379	5.987	9.619	29.832	11.849	32.364	48.826	39.136	18.554	4.331	35.707	29.471	19.442	6.8	18.117	26.555	22.252	22.571	22.15	21.904	10.685	19.778	11.717	28.439	14.581	13.98	24.901	22.314	22.061	14.028	29.878	18.171	28.113	28.947
Bacteria;Bacillota	phylum				11.641	14.71	15.796	23.262	27.248	16.021	13.959	16.459	19.018	56.373	89.464	29.609	26.488	18.325	25.986	14.57	19.048	10.813	18.967	19.072	13.792	12.121	38.212	27.255	13.441	20.005	36.739	51.943	13.252	12.862	13.252	13.218	13.47	10.049	12.673	22.755	24.686	23.806	32.735	24.177	22.006	18.609	14.342	9.423	53.697	16.973	13.841	15.401	13.352	29.963	22.443	27.786	24.478	9.853	22.643	16.41	19.776	22.8	17.3	27.326	38.174	18.608	20.414	11.237	22.441	13.757	12.167	27.121	13.229	48.796	20.895	14.619	19.553	29.221	11.172	16.693	20.925	22.307	23.363	34.463	29.817	12.485	24.02	39.002	22.168	20.085	30.542	24.621	29.254	41.252	55.236	44.233	29.093	63.545	22.319	54.441	25.055	13.211	41.506	11.843	19.274	31.133	12.607	40.157	10.928	19.518	21.779	27.909	20.886	15.71	40.591	11.033	26.067	32.177	26.927	56.715	22.532	6.779	23.283	27.607	16.632	21.34	12.998	11.176	13.998	22.396	36.096	17.666	13.307	14.977	31.445	8.469	14.644	14.56	5.403	26.463	19.363	34.853	31.015	17.001	19.17	22.418	31.925	20.299	24.262	15.471	25.785	13.116	16.474	14.589	16.14
Bacteria;Fusobacteriota	phylum				28.679	10.347	21.194	30.112	2.998	17.689	16.985	13.505	16.769	12.133	1.718	18.639	5.935	12.598	5.432	0.195	12.32	12.368	7.055	3.724	18.144	13.733	8.374	15.768	20.319	0.486	2.271	1.337	19.304	4.842	11.766	24.922	6.781	5.001	12.995	4.343	11.381	4.126	6.772	4.069	1.693	5.414	13.511	11.17	3.675	17.938	22.517	13.49	9.727	3.739	15.264	2.689	8.277	17.24	3.604	4.185	2.357	6.574	18.185	19.314	0.13	22.296	1.552	28.161	19.014	17.837	24.664	8.268	23.256	6.986	24.135	27.052	13.739	25.804	18.616	31.929	12.615	28.948	3.407	3.344	3.488	15.699	0.996	14.041	21.916	4.289	9.522	9.024	1.573	8.423	5.641	2.638	13.17	11.012	29.401	0.0	5.951	11.366	1.877	15.691	4.707	21.885	4.146	11.198	22.688	14.193	5.726	16.988	7.625	2.169	0.889	38.661	1.368	3.257	6.172	1.996	1.27	18.847	1.312	19.287	22.246	30.275	13.525	27.084	24.347	13.33	2.377	23.638	19.901	20.828	2.73	7.478	16.219	10.289	11.135	4.908	14.968	7.171	10.298	8.235	15.438	10.984	9.041	23.783	12.938	16.258	9.163	17.112	15.08	15.18	14.103
Bacteria;Pseudomonadota	phylum				8.067	34.902	8.209	4.44	5.237	4.678	10.883	8.057	8.87	4.038	3.705	14.224	16.365	11.831	31.513	20.226	9.497	27.259	24.25	23.054	15.615	16.978	7.62	8.135	13.809	21.263	20.766	12.302	16.238	21.932	13.007	12.409	21.881	20.22	20.267	26.459	3.53	22.952	29.692	38.82	14.356	10.002	20.595	15.858	14.729	8.169	9.421	7.1	25.971	14.088	18.84	7.607	26.235	20.463	6.577	52.337	19.124	35.009	12.689	8.3	1.255	4.331	1.336	9.264	11.665	16.281	18.834	21.72	12.137	3.872	8.754	4.849	10.894	7.915	27.255	7.813	15.378	10.976	15.929	28.927	11.76	17.754	17.948	10.547	12.953	12.456	6.551	9.604	18.182	6.217	9.563	21.886	15.897	4.91	3.899	10.969	4.903	12.384	14.554	10.484	38.015	9.979	31.184	2.853	14.299	23.373	27.607	11.697	32.903	38.566	12.274	9.749	13.501	20.497	4.914	9.056	17.261	19.242	27.82	23.735	11.044	9.521	14.491	8.534	13.585	9.412	28.709	3.973	16.362	6.283	14.8	18.26	13.101	16.63	16.925	27.977	6.717	13.19	6.137	7.021	13.244	20.389	27.124	11.096	10.124	8.715	15.62	15.244	7.843	18.995	11.471
Bacteria;Candidatus Saccharimonadota	phylum				5.324	0.468	2.149	1.065	2.038	4.7	1.686	1.822	6.825	0.198	0.021	1.435	0.825	2.536	0.566	0.02	5.014	6.123	1.517	2.625	4.97	1.44	7.695	0.635	3.255	0.012	0.367	0.0	2.093	0.128	0.933	0.6	0.49	1.025	3.946	0.0	3.349	0.0	2.042	2.12	0.016	0.535	0.962	2.275	0.72	4.433	8.46	1.344	2.595	0.06	1.226	0.509	0.795	1.686	2.912	0.201	0.15	2.687	0.516	6.18	0.714	5.118	28.315	6.722	3.576	1.041	4.284	2.485	3.822	0.209	5.49	29.078	11.873	1.608	0.315	4.316	3.055	1.521	2.356	0.249	0.993	4.188	0.844	0.861	2.7	0.022	2.142	10.687	0.117	0.116	0.311	0.293	3.383	1.381	5.039	0.0	2.168	1.235	0.129	9.544	3.142	1.033	0.032	3.816	6.56	1.06	0.754	8.716	2.846	0.013	0.49	0.153	0.058	1.011	1.086	6.679	0.178	1.611	0.432	0.074	5.022	1.261	4.15	1.095	1.333	3.195	4.587	1.999	4.528	1.296	1.31	0.366	7.33	0.445	1.189	0.079	5.111	0.008	0.575	1.737	2.056	2.345	0.608	0.909	0.797	8.353	1.607	6.668	1.508	5.551	2.78
Bacteria;Spirochaetota	phylum				3.953	0.057	2.118	1.004	0.0	7.762	5.333	11.702	0.946	1.334	0.0	0.842	0.437	5.741	0.01	0.02	1.063	2.829	0.0	0.0	1.926	0.752	0.868	0.399	2.056	0.0	0.0	0.0	0.053	0.013	4.028	0.404	0.106	0.786	0.93	0.0	0.057	0.036	0.398	0.0	0.0	0.0	0.372	2.597	0.961	3.208	1.507	0.131	0.555	0.0	1.009	0.048	0.012	2.925	0.163	0.014	0.0	1.069	2.545	4.555	0.0	0.207	0.0	0.635	0.099	11.65	2.484	0.0	1.539	0.0	0.173	2.822	0.0	1.281	0.158	2.418	0.579	1.622	0.011	0.378	0.0	1.081	0.0	0.215	5.477	0.0	0.29	0.563	0.0	0.667	0.0	0.136	1.531	0.0	0.0	0.0	0.422	0.076	0.0	3.971	0.0	0.02	0.011	0.178	0.626	0.518	0.562	0.339	0.0	0.0	0.0	3.392	0.0	0.084	0.119	0.073	0.0	0.203	0.216	0.037	4.036	0.736	1.295	1.494	1.838	0.011	0.0	1.749	1.532	0.432	0.032	0.086	4.742	0.338	1.72	0.184	0.321	0.0	2.226	0.383	0.076	1.58	0.319	3.692	0.58	3.237	0.029	3.684	0.436	0.365	1.08
Bacteria;Synergistota	phylum				0.459	0.0	0.275	0.342	0.0	0.137	0.739	1.496	0.026	0.0	0.0	0.02	0.226	0.028	0.0	0.0	0.0	1.041	0.0	0.0	0.323	1.762	0.189	0.0	0.981	0.0	0.0	0.0	0.0	0.0	2.911	0.026	0.0	0.274	0.393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.175	0.873	0.102	0.375	0.927	0.0	0.079	0.0	0.066	0.048	0.006	1.239	0.02	0.0	0.0	0.0	2.435	0.04	0.0	0.021	0.0	0.033	0.666	0.098	0.203	0.0	0.05	0.0	0.049	0.014	0.0	0.327	0.0	0.208	0.025	1.926	0.0	0.0	0.0	0.0	0.0	0.041	1.396	0.0	0.0	0.009	0.0	0.0	0.0	0.042	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.244	0.0	0.013	0.0	0.0	0.0	0.145	0.0	0.008	0.0	0.0	0.0	1.039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026	0.0	0.132	0.035	0.11	0.0	0.0	2.199	0.712	0.306	0.0	0.0	1.27	0.445	0.043	0.0	0.0	0.0	0.008	0.0	0.076	0.0	0.061	0.265	0.0	1.684	0.0	0.052	0.047	0.029	0.0
