Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700014991-SUPP	S700015283-SUPP	S700015659-SUPP	S700016075-SUPP	S700016166-SUPP	S700016331-SUPP	S700016372-SUPP	S700016588-SUPP	S700016646-SUPP	S700016946-SUPP	S700021856-SUPP	S700021910-SUPP	S700023019-SUPP	S700023076-SUPP	S700023206-SUPP	S700023257-SUPP	S700023329-SUPP	S700023416-SUPP	S700023473-SUPP	S700023527-SUPP	S700023574-SUPP	S700023688-SUPP	S700023784-SUPP	S700023841-SUPP	S700023898-SUPP	S700023964-SUPP	S700024021-SUPP	S700024062-SUPP	S700024125-SUPP	S700024183-SUPP	S700024229-SUPP	S700024288-SUPP	S700024336-SUPP	S700024375-SUPP	S700024441-SUPP	S700024488-SUPP	S700024537-SUPP	S700024584-SUPP	S700024633-SUPP	S700024669-SUPP	S700024729-SUPP	S700024786-SUPP	S700024823-SUPP	S700024900-SUPP	S700024944-SUPP	S700024994-SUPP	S700033017-SUPP	S700033176-SUPP	S700033473-SUPP	S700033773-SUPP	S700037070-SUPP	S700037218-SUPP	S700037466-SUPP	S700037578-SUPP	S700038049-SUPP	S700038245-SUPP	S700038382-SUPP	S700038468-SUPP	S700038516-SUPP	S700038564-SUPP	S700038612-SUPP	S700038720-SUPP	S700038779-SUPP	S700095396-SUPP	S700097277-SUPP	S700097337-SUPP	S700097674-SUPP	S700098313-SUPP	S700098978-SUPP	S700099045-SUPP	S700099105-SUPP	S700099633-SUPP	S700099789-SUPP	S700100273-SUPP	S700101681-SUPP	S700102285-SUPP	S700102631-SUPP	S700102948-SUPP	S700103259-SUPP	S700103323-SUPP	S700103464-SUPP	S700103533-SUPP	S700103603-SUPP	S700103690-SUPP	S700105083-SUPP	S700105142-SUPP	S700105199-SUPP	S700105256-SUPP	S700105302-SUPP	S700105390-SUPP	S700105435-SUPP	S700105510-SUPP	S700105608-SUPP	S700105664-SUPP	S700105703-SUPP	S700105826-SUPP	S700105874-SUPP	S700105922-SUPP	S700105954-SUPP	S700106036-SUPP	S700106111-SUPP	S700106378-SUPP	S700106538-SUPP	S700106597-SUPP	S700106633-SUPP	S700106681-SUPP	S700106741-SUPP	S700106855-SUPP	S700106894-SUPP	S700106918-SUPP	S700106964-SUPP	S700106997-SUPP	S700108328-SUPP	S700113005-SUPP	S700113053-SUPP	S700113089-SUPP	S700113136-SUPP	S700113521-SUPP	S700113596-SUPP	S700113634-SUPP	S700113692-SUPP	S700113836-SUPP	S700113950-SUPP	S700114035-SUPP	S700114086-SUPP	S700114143-SUPP	S700114207-SUPP	S700114264-SUPP	S700114405-SUPP	S700114476-SUPP	S700114535-SUPP	S700114576-SUPP	S700114633-SUPP	S700114697-SUPP	S700114745-SUPP	S700114795-SUPP	S700114852-SUPP	S700114900-SUPP	S700114957-SUPP	S700116235-SUPP	S700116322-SUPP	S700116376-SUPP	S700116586-SUPP	S700116637-SUPP	S700116796-SUPP	S700116856-SUPP	S700117018-SUPP	S700117678-SUPP	S700117735-SUPP	S700117846-SUPP	S700117972-SUPP
Bacteria	domain				99.134	98.256	97.443	97.701	93.136	98.894	93.947	96.822	98.397	96.732	95.221	99.789	93.63	96.271	98.52	95.666	91.459	94.607	97.325	96.71	93.427	95.199	95.437	90.338	99.029	96.043	89.818	95.741	91.05	99.337	95.362	92.983	89.152	97.428	95.09	88.924	92.655	95.523	90.482	92.923	97.747	94.428	96.024	91.504	89.913	91.085	94.42	94.835	94.445	96.726	93.017	96.047	92.746	92.142	94.397	95.275	89.985	92.981	99.586	95.412	90.39	96.229	89.177	94.425	89.828	94.92	95.724	95.015	97.768	99.213	96.987	95.18	97.977	98.084	95.36	99.141	93.428	98.99	92.639	97.787	98.721	97.436	95.185	93.218	98.766	98.818	97.166	96.798	98.627	94.513	99.443	99.95	99.4	97.637	96.736	98.614	95.457	96.156	97.052	92.556	98.969	90.528	96.105	99.27	98.826	88.165	99.2	98.32	98.651	92.025	94.605	99.226	98.4	94.684	96.401	93.835	95.049	92.543	90.746	92.06	93.606	96.833	91.346	95.511	98.001	97.022	86.825	88.811	95.76	99.516	98.808	94.915	96.414	94.455	92.476	92.766	97.934	93.634	91.858	94.656	91.366	95.418	94.44	99.419	95.059	93.775	95.722	97.726	97.044	96.397	94.382
Bacteria;Patescibacteria	phylum				0.0	0.0	0.378	0.0	0.035	0.107	0.359	1.141	0.011	0.264	0.0	0.016	0.0	0.01	0.057	1.107	0.056	0.0	0.172	1.259	0.088	0.0	0.321	0.151	0.188	0.0	1.104	0.0	0.007	0.0	0.0	0.308	0.016	0.013	0.346	1.363	0.452	0.494	0.0	0.036	0.394	0.0	0.643	0.0	0.079	0.126	0.0	0.223	0.058	0.708	0.024	0.173	0.362	0.057	0.421	0.074	0.039	0.0	0.015	0.025	0.163	0.062	0.0	0.0	0.541	0.049	0.0	1.899	0.0	0.087	0.0	0.0	0.914	1.555	1.031	1.259	3.337	0.757	0.136	0.025	2.629	0.0	0.038	0.495	0.0	0.0	0.545	0.085	0.0	0.656	0.0	0.0	0.0	0.227	0.5	0.0	0.547	0.0	0.021	1.008	1.031	0.089	0.066	0.0	0.085	1.007	0.0	0.106	0.009	0.0	0.0	0.0	0.029	0.012	0.0	0.0	0.209	0.0	1.678	0.0	0.0	0.131	0.181	0.0	0.498	0.185	0.107	0.0	0.734	0.276	0.0	0.0	1.048	0.04	0.254	0.0	0.0	0.274	0.0	0.0	0.136	0.0	0.0	0.0	0.478	0.485	0.236	0.467	0.064	0.788	0.068
Bacteria;Actinomycetota	phylum				7.76	12.679	26.584	33.758	66.452	32.188	15.027	13.902	23.228	18.971	43.128	37.778	43.503	14.659	31.298	35.08	14.587	60.451	34.707	19.167	27.54	40.398	26.612	46.821	20.179	47.755	16.979	51.024	26.849	41.089	25.318	35.251	37.961	28.277	35.795	30.771	19.533	26.223	49.295	24.935	29.935	19.381	40.043	39.577	31.306	42.516	37.632	26.157	20.366	32.484	17.327	15.23	36.161	11.858	18.226	30.656	32.767	17.899	29.097	25.354	38.176	10.538	51.125	28.773	18.636	11.738	18.977	24.69	17.788	13.377	6.95	29.406	16.998	11.239	19.297	21.063	28.183	24.139	16.523	42.142	4.594	65.025	15.06	0.348	59.784	43.53	38.649	13.221	18.862	0.0	24.889	18.822	31.136	40.429	18.682	54.969	26.701	40.787	24.147	16.296	0.0	0.421	27.323	24.546	24.66	15.78	21.072	13.262	11.086	26.415	35.726	60.837	26.493	45.828	36.11	35.751	29.111	59.592	14.907	61.374	15.998	22.026	42.264	29.874	0.0	0.0	28.624	6.315	17.34	24.088	75.899	46.071	13.437	34.421	54.963	39.242	40.926	24.541	31.672	47.094	21.04	34.004	16.286	46.612	29.069	37.592	27.436	21.744	45.469	22.355	41.393
Bacteria;Bacteroidota	phylum				27.83	11.28	19.392	8.68	8.426	16.137	28.234	23.957	23.239	17.973	6.787	6.31	10.297	15.741	5.389	11.977	8.425	0.932	18.383	15.145	18.489	7.344	16.313	10.394	17.818	15.296	21.713	2.682	9.564	2.61	19.418	24.901	3.518	29.293	19.713	16.266	19.509	11.647	3.449	17.431	14.889	8.931	9.261	7.118	14.794	14.716	5.629	16.835	22.915	17.195	13.679	30.784	14.004	20.516	19.21	12.744	22.462	10.957	5.527	12.719	16.741	22.593	1.337	16.259	20.442	4.735	9.389	21.393	14.812	19.213	14.582	19.689	21.393	24.807	21.188	24.001	20.365	28.574	9.995	8.573	41.846	1.591	18.351	24.776	6.985	5.194	14.006	28.667	29.851	58.999	1.857	14.179	8.009	5.975	17.257	6.313	29.12	3.298	13.442	25.297	31.669	25.466	13.584	12.968	20.15	13.633	3.572	21.792	9.813	9.074	0.129	5.791	11.775	6.218	10.346	17.12	25.462	5.726	26.637	0.488	15.253	28.011	4.41	7.192	28.113	38.897	16.712	14.74	20.77	16.658	0.337	14.722	28.016	19.165	9.688	6.838	18.87	19.777	6.466	2.438	18.052	6.005	14.437	10.201	23.504	14.956	16.048	26.818	20.748	17.846	8.47
Bacteria;Bacillota	phylum				11.366	26.035	10.522	33.51	13.593	15.75	16.388	26.532	7.786	23.021	22.172	49.051	14.225	29.878	36.83	19.876	27.039	21.817	14.478	10.146	22.794	25.477	25.733	13.724	34.003	19.89	16.902	32.426	16.209	48.017	15.643	10.68	28.918	11.066	11.266	10.813	13.157	33.891	28.01	24.02	27.966	30.281	29.627	20.961	12.454	11.753	28.808	16.981	13.108	17.3	32.709	14.366	21.06	16.659	23.282	19.965	10.652	11.386	17.039	23.127	16.599	31.688	33.447	30.734	13.305	40.358	45.008	14.139	27.815	15.082	11.372	14.308	22.675	7.424	15.219	19.784	19.026	21.904	38.841	29.536	16.043	17.939	25.776	28.696	13.388	35.428	27.783	30.948	25.232	2.774	66.716	47.179	39.156	33.629	28.581	24.216	9.275	36.731	15.344	21.16	24.333	30.272	28.283	30.673	30.956	18.048	23.008	26.353	30.693	16.578	43.595	25.76	15.061	28.983	28.258	25.327	19.489	15.189	10.036	18.368	17.834	11.371	26.008	26.431	39.432	17.888	17.975	19.227	13.973	29.186	18.21	17.115	17.769	18.341	9.151	33.355	14.862	28.17	44.829	31.655	25.873	35.138	26.509	21.817	14.481	15.384	23.866	13.447	17.427	22.746	33.863
Bacteria;Fusobacteriota	phylum				29.113	3.363	22.195	10.339	0.686	20.389	19.854	14.7	23.479	17.425	6.731	1.363	0.538	12.879	1.408	7.494	0.776	0.343	16.352	3.181	3.761	1.071	6.726	0.908	14.74	6.759	14.831	1.927	3.408	0.028	23.874	3.63	0.903	18.583	3.226	2.578	5.86	1.117	1.014	2.28	10.682	0.3	1.345	12.416	3.292	4.997	0.438	14.762	25.168	19.119	1.896	8.231	3.94	14.116	3.294	9.48	4.824	2.626	0.901	4.471	4.368	10.934	0.085	5.743	13.514	1.332	2.292	14.534	14.279	31.781	15.157	14.129	19.207	19.007	13.46	14.968	5.089	8.04	4.989	5.614	20.769	1.226	22.997	19.27	2.264	1.882	10.168	8.113	11.515	14.983	1.412	1.132	6.581	7.13	13.216	5.375	8.655	2.114	3.53	10.439	18.278	10.086	7.46	14.535	12.287	2.737	0.719	16.281	1.862	2.041	0.114	0.817	0.114	0.926	4.539	10.697	10.936	0.226	12.48	0.142	4.748	9.269	2.634	1.998	22.329	22.916	5.587	2.125	15.125	21.134	0.0	3.513	9.711	2.688	2.299	0.519	13.941	8.616	1.212	0.985	11.909	4.269	10.413	4.259	12.733	6.844	3.23	12.905	5.345	12.205	4.337
Bacteria;Pseudomonadota	phylum				14.381	44.68	10.489	11.234	2.545	4.831	9.543	10.479	19.182	15.282	15.3	5.239	25.059	20.091	21.77	17.027	40.556	11.064	9.914	41.085	20.51	19.973	15.978	17.154	6.355	6.255	15.117	7.655	34.848	7.591	10.505	17.312	17.276	9.457	24.636	26.552	30.446	22.15	6.292	24.187	11.501	35.46	15.034	11.317	27.671	12.079	21.736	15.049	9.61	8.186	27.046	25.383	17.153	28.774	28.649	21.264	7.912	50.099	46.993	23.621	13.917	19.615	1.316	12.477	23.133	36.462	19.881	13.163	17.522	6.973	46.972	12.446	13.527	33.296	21.539	14.269	17.182	12.151	22.137	8.737	10.63	7.753	12.62	16.633	16.264	11.384	5.922	10.291	8.005	11.524	4.569	18.389	14.476	7.904	9.899	6.901	16.237	12.119	34.746	10.75	21.931	23.122	19.245	12.861	10.432	36.632	50.829	11.785	42.225	37.917	12.597	6.021	44.784	12.669	16.358	4.845	7.042	11.808	23.493	6.396	39.752	20.099	13.079	30.015	7.311	14.786	15.128	46.36	22.795	7.793	4.362	12.654	14.951	19.631	15.42	12.712	8.974	12.255	7.604	12.149	12.594	15.932	26.604	12.345	12.694	17.31	16.314	16.488	7.541	17.116	6.165
Bacteria;Candidatus Saccharimonadota	phylum				7.454	0.219	4.085	0.179	1.4	6.41	2.934	4.547	1.112	3.767	1.103	0.032	0.0	2.543	1.767	1.404	0.02	0.0	3.262	5.982	0.246	0.937	3.712	1.186	5.241	0.074	3.159	0.027	0.165	0.0	0.534	0.737	0.109	0.712	0.096	0.567	2.962	0.0	2.423	0.036	2.269	0.075	0.071	0.115	0.093	3.315	0.162	4.757	3.209	1.455	0.336	1.771	0.066	0.143	1.315	1.093	11.289	0.006	0.0	5.978	0.406	0.724	1.868	0.42	0.233	0.247	0.176	4.273	4.974	11.213	1.923	5.203	2.654	0.593	3.602	2.418	0.206	3.425	0.009	3.161	2.077	3.902	0.312	2.034	0.082	1.4	0.085	5.399	5.063	0.241	0.0	0.25	0.041	2.342	8.591	0.826	4.922	1.108	5.823	6.628	1.728	1.072	0.143	2.387	0.255	0.298	0.0	8.287	2.964	0.0	2.443	0.0	0.143	0.03	0.763	0.082	2.336	0.0	1.466	5.293	0.02	5.693	2.769	0.0	0.069	1.886	2.692	0.045	5.025	0.38	0.0	0.578	10.503	0.139	0.702	0.101	0.349	0.0	0.045	0.326	1.671	0.035	0.177	3.976	1.66	0.695	8.592	5.602	0.439	3.34	0.034
Bacteria;Spirochaetota	phylum				1.159	0.0	3.305	0.0	0.0	3.071	1.461	1.271	0.36	0.029	0.0	0.0	0.0	0.47	0.0	1.094	0.0	0.0	0.057	0.559	0.0	0.0	0.042	0.0	0.508	0.015	0.013	0.0	0.0	0.0	0.068	0.165	0.016	0.026	0.012	0.013	0.597	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.079	1.155	0.016	0.051	0.006	0.278	0.0	0.108	0.0	0.019	0.0	0.0	0.039	0.006	0.015	0.117	0.0	0.074	0.0	0.019	0.025	0.0	0.0	0.739	0.333	1.443	0.03	0.0	0.522	0.163	0.024	1.359	0.01	0.0	0.009	0.0	0.133	0.0	0.031	0.889	0.0	0.0	0.009	0.066	0.099	0.256	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.979	0.0	0.0	0.0	0.908	0.0	0.03	0.0	0.455	0.0	0.0	0.0	0.0	0.0	0.018	0.027	0.014	0.407	0.0	0.049	0.0	0.0	0.234	0.0	0.0	0.249	0.402	0.0	0.0	0.0	0.0	0.0	0.117	0.885	0.02	0.0	0.0	0.012	0.0	0.03	0.008	0.06	0.035	0.014	0.194	0.439	0.351	0.0	0.256	0.011	0.0	0.051
Bacteria;Synergistota	phylum				0.007	0.0	0.493	0.0	0.0	0.0	0.05	0.114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.216	0.0	0.0	0.0	0.141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.405	0.0	0.0	0.0	0.129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.132	0.427	0.0	0.019	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.079	0.244	0.044	0.0	0.0	0.086	0.0	0.0	0.02	0.031	0.0	0.0	0.0	0.0	0.0	0.0	0.077	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.047	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.159	0.0	0.0	0.0	0.0	0.0
