Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700014973-TDO	S700015265-TDO	S700015641-TDO	S700015999-TDO	S700016063-TDO	S700016154-TDO	S700016319-TDO	S700016360-TDO	S700016576-TDO	S700016628-TDO	S700021687-TDO	S700021697-TDO	S700021860-TDO	S700023080-TDO	S700023214-TDO	S700023247-TDO	S700023305-TDO	S700023404-TDO	S700023461-TDO	S700023515-TDO	S700023562-TDO	S700023676-TDO	S700023772-TDO	S700023829-TDO	S700023886-TDO	S700023952-TDO	S700024009-TDO	S700024050-TDO	S700024169-TDO	S700024215-TDO	S700024276-TDO	S700024324-TDO	S700024363-TDO	S700024417-TDO	S700024476-TDO	S700024525-TDO	S700024572-TDO	S700024621-TDO	S700024657-TDO	S700024717-TDO	S700024774-TDO	S700024811-TDO	S700024888-TDO	S700024932-TDO	S700024982-TDO	S700033164-TDO	S700033455-TDO	S700033761-TDO	S700037058-TDO	S700037206-TDO	S700037454-TDO	S700037566-TDO	S700037582-TDO	S700037718-TDO	S700038037-TDO	S700038233-TDO	S700038370-TDO	S700038456-TDO	S700038504-TDO	S700038552-TDO	S700038600-TDO	S700038708-TDO	S700038767-TDO	S700038984-TDO	S700095384-TDO	S700095441-TDO	S700097265-TDO	S700097325-TDO	S700097662-TDO	S700098301-TDO	S700098393-TDO	S700099033-TDO	S700099093-TDO	S700099621-TDO	S700099777-TDO	S700100261-TDO	S700101669-TDO	S700102273-TDO	S700102619-TDO	S700102936-TDO	S700103247-TDO	S700103311-TDO	S700103452-TDO	S700103521-TDO	S700103627-TDO	S700103678-TDO	S700105017-TDO	S700105071-TDO	S700105130-TDO	S700105187-TDO	S700105244-TDO	S700105290-TDO	S700105340-TDO	S700105378-TDO	S700105423-TDO	S700105498-TDO	S700105596-TDO	S700105652-TDO	S700105691-TDO	S700105745-TDO	S700105812-TDO	S700105862-TDO	S700105910-TDO	S700105942-TDO	S700106024-TDO	S700106099-TDO	S700106366-TDO	S700106418-TDO	S700106526-TDO	S700106585-TDO	S700106621-TDO	S700106669-TDO	S700106843-TDO	S700106882-TDO	S700106952-TDO	S700108989-TDO	S700113041-TDO	S700113077-TDO	S700113124-TDO	S700113509-TDO	S700113584-TDO	S700113622-TDO	S700113680-TDO	S700113824-TDO	S700113938-TDO	S700114023-TDO	S700114072-TDO	S700114133-TDO	S700114195-TDO	S700114252-TDO	S700114309-TDO	S700114357-TDO	S700114523-TDO	S700114564-TDO	S700114621-TDO	S700114685-TDO	S700114733-TDO	S700114783-TDO	S700114840-TDO	S700114888-TDO	S700114945-TDO	S700114993-TDO	S700116223-TDO	S700116310-TDO	S700116364-TDO	S700116574-TDO	S700116625-TDO	S700116784-TDO	S700116844-TDO	S700117006-TDO	S700117666-TDO	S700117723-TDO	S700117834-TDO	S700117960-TDO	S700117998-TDO
Bacteria	domain				95.32	98.155	99.029	94.255	93.775	94.115	97.07	97.279	95.298	95.643	98.478	91.81	94.634	94.035	98.542	97.633	96.864	93.767	92.49	92.975	93.843	90.288	97.034	94.097	95.757	94.447	92.492	91.932	95.184	88.528	92.471	87.854	95.679	89.684	89.799	96.222	95.389	93.713	94.63	90.436	92.309	96.472	92.708	93.265	93.349	97.209	90.282	93.039	94.262	93.04	93.03	88.869	90.883	94.524	91.88	91.55	92.628	97.029	91.884	93.932	94.227	92.237	93.938	92.081	94.47	93.362	92.595	92.477	93.565	96.062	96.03	91.973	96.653	95.778	97.527	92.791	95.005	93.916	91.794	98.211	93.707	94.264	94.414	94.879	97.003	92.263	98.647	97.711	98.023	94.673	94.122	96.106	95.557	89.302	98.154	97.915	99.84	93.181	96.764	94.255	95.772	93.717	94.129	99.94	92.859	95.673	96.227	97.431	93.129	93.238	94.161	88.332	95.3	91.548	93.963	98.001	94.514	94.895	95.776	93.495	94.011	90.736	97.311	93.829	93.855	92.489	91.97	93.524	92.923	95.294	95.887	93.764	94.715	93.111	93.789	95.944	96.214	95.271	95.919	95.276	94.819	91.386	91.661	90.04	92.347	95.463	96.181	94.003	90.324	92.548	97.352	91.996	93.366	93.292	91.557
Bacteria;Patescibacteria	phylum				0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.025	0.103	0.0	0.0	0.0	2.917	0.022	0.0	0.234	0.022	0.0	0.0	0.0	0.467	0.0	0.0	0.0	0.0	0.0	0.042	0.0	0.012	0.0	0.227	0.015	0.012	3.0	0.185	0.0	0.0	0.0	0.137	0.012	0.0	0.0	0.575	0.081	0.0	0.0	0.368	0.276	0.0	0.098	0.0	0.744	0.841	0.0	0.248	0.213	0.0	0.0	1.88	0.0	2.592	0.037	0.0	0.0	0.0	0.193	1.194	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.3	0.0	0.0	0.012	0.0	0.0	0.0	1.179	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.213	0.015	0.481	0.0	0.0	0.0	0.0	0.718	0.046	1.84	0.0	0.0	0.0	0.0	0.065	0.021	0.008	0.0	1.068	0.0	0.0	1.496	0.082	0.0	0.0	0.0	0.066	0.0	0.0	0.0	0.123	0.0	0.0	0.0	0.063	0.0	0.0	0.018	0.0	0.0	0.113	0.0	0.0	0.017	0.0	0.087	0.078	0.225	0.008	15.329	0.184	0.054	0.0	0.411	0.0	0.0	0.0	0.0	0.036	0.01	0.0	0.0	0.008	0.0	0.0
Bacteria;Actinomycetota	phylum				10.611	14.589	19.445	24.274	27.306	23.114	25.257	11.678	10.927	5.163	24.55	9.043	9.59	10.249	16.59	16.557	11.209	29.063	19.926	18.547	17.908	13.606	22.493	16.613	24.26	16.915	16.848	21.552	12.395	23.397	9.409	15.799	29.503	7.124	5.764	13.043	21.579	19.302	10.876	9.662	10.719	20.952	4.955	16.141	19.358	16.992	3.492	6.644	17.654	17.802	25.64	7.348	14.329	25.527	7.149	13.566	15.056	12.944	4.912	26.901	10.926	10.858	16.421	19.044	14.798	11.192	5.868	10.145	12.443	24.065	13.552	20.136	7.39	12.516	13.195	14.214	5.855	11.819	14.509	23.583	0.042	42.927	4.8	14.232	5.74	15.166	20.511	11.446	19.589	19.919	4.029	10.537	12.051	13.216	0.0	14.015	25.17	3.985	15.414	4.708	25.919	4.062	7.805	10.828	15.018	12.197	7.886	43.933	8.57	20.809	12.683	1.886	17.025	6.914	27.643	10.892	8.063	22.795	19.65	22.468	10.004	6.169	14.078	16.432	11.686	0.052	1.313	12.89	12.516	20.332	9.07	3.123	7.397	13.432	17.348	10.229	12.404	9.495	11.481	1.598	10.37	9.331	17.615	15.991	13.383	16.512	12.295	25.003	7.784	19.341	40.562	29.826	40.702	25.406	12.4
Bacteria;Bacteroidota	phylum				20.295	5.398	12.585	13.231	6.088	15.996	12.881	14.664	22.94	27.234	6.137	17.592	18.053	14.606	8.912	8.547	15.009	11.423	12.046	13.168	10.38	12.593	11.667	8.608	17.462	10.617	14.765	4.077	14.98	6.311	15.752	3.961	16.882	25.688	29.813	16.565	14.198	8.218	15.054	22.053	9.859	13.302	23.525	12.601	6.858	15.958	27.529	21.035	17.672	16.02	9.716	31.985	14.648	16.004	20.937	13.779	17.275	14.511	24.731	15.205	11.498	14.497	12.198	13.36	17.435	6.294	10.619	8.87	15.995	1.969	21.298	8.429	4.26	10.032	8.66	13.878	11.873	10.461	15.49	10.019	13.538	9.185	25.504	9.376	16.514	12.946	11.709	15.103	9.883	15.357	28.239	15.947	11.333	8.879	14.327	4.131	23.27	19.6	10.125	17.68	20.703	16.236	3.185	7.775	11.131	12.547	9.829	14.407	13.697	20.512	8.91	18.896	11.792	14.484	3.678	2.815	19.312	22.139	16.042	5.624	12.402	21.741	15.66	25.737	16.198	21.145	14.337	16.61	15.905	17.039	9.326	30.439	9.595	23.043	7.792	15.726	13.905	22.321	15.866	24.36	32.879	20.375	5.981	18.782	12.992	20.507	18.124	13.538	16.359	13.869	12.167	14.851	4.377	4.356	11.476
Bacteria;Bacillota	phylum				31.199	32.379	53.651	50.811	58.234	50.342	50.345	53.006	46.345	31.497	58.151	20.972	28.196	22.546	36.795	40.862	34.492	44.725	41.867	43.583	41.328	44.148	41.785	35.489	37.451	51.825	30.341	62.924	45.534	57.703	30.533	36.539	32.315	23.058	20.948	43.952	23.826	52.071	24.022	36.829	38.868	34.738	22.209	30.987	42.638	32.326	17.959	34.619	40.238	37.265	27.822	17.232	20.98	35.268	31.855	32.932	50.779	35.257	18.688	27.91	29.564	31.376	53.796	53.212	60.394	35.768	21.669	45.553	46.248	46.997	48.868	48.655	80.961	34.616	64.05	33.045	61.826	48.555	45.312	50.57	63.923	36.941	19.576	30.704	40.536	38.538	52.631	27.582	61.08	50.055	40.48	36.357	32.28	38.561	61.056	73.958	46.322	39.656	36.5	33.367	43.266	30.962	47.441	44.638	32.373	32.354	39.981	27.699	21.801	36.158	58.29	38.044	38.191	45.836	54.735	44.62	25.285	45.246	53.897	55.006	27.313	25.466	40.496	47.257	28.751	38.907	49.153	45.92	24.795	42.434	27.599	21.649	23.151	16.019	38.83	39.583	46.403	26.875	56.582	30.682	24.208	28.302	62.679	32.24	50.854	41.423	42.044	47.419	37.422	28.226	36.241	32.276	32.709	56.558	34.283
Bacteria;Fusobacteriota	phylum				19.89	5.632	6.62	0.223	0.715	1.222	6.432	5.905	2.351	14.335	2.75	20.591	14.99	33.573	11.977	14.52	9.173	1.979	11.512	9.53	15.087	6.088	8.609	14.105	10.008	11.34	13.339	0.335	10.782	0.199	7.996	11.853	9.956	13.454	17.335	5.6	12.914	2.201	6.754	4.708	1.996	20.39	3.065	17.516	9.541	16.303	27.345	19.504	5.426	9.866	3.485	23.964	21.628	10.092	10.36	15.652	1.687	26.334	17.92	6.523	31.314	17.685	5.812	1.481	0.051	12.095	18.367	8.111	0.587	1.611	3.918	3.897	0.326	26.0	4.968	4.09	4.647	2.299	3.287	3.34	2.212	2.937	23.522	7.071	6.684	8.017	5.094	13.68	1.012	5.03	10.507	20.709	4.905	14.252	13.389	1.197	0.276	18.279	23.092	7.803	2.208	17.117	3.284	0.596	9.969	14.154	2.745	0.49	14.765	12.237	2.001	15.57	14.552	6.498	0.868	0.342	17.775	0.749	2.829	0.057	10.881	18.18	20.031	0.556	16.537	20.035	12.333	9.467	1.49	2.25	15.463	8.919	6.12	18.833	7.957	6.321	6.045	18.366	2.234	1.806	4.898	9.392	2.938	19.174	3.385	6.065	5.477	0.863	8.87	20.018	2.762	7.435	0.653	1.59	4.323
Bacteria;Pseudomonadota	phylum				11.065	40.103	5.921	5.477	1.157	1.143	1.33	11.686	11.444	17.367	6.678	23.141	15.287	9.821	22.497	15.731	26.497	6.436	7.14	6.083	8.269	13.639	7.9	17.536	2.233	3.149	14.947	2.869	10.544	0.917	27.898	19.453	5.55	15.317	15.688	11.786	19.181	10.927	37.015	16.275	30.523	6.292	34.943	10.932	13.83	11.394	11.497	6.624	8.726	7.399	25.921	7.109	16.485	6.409	18.651	14.601	7.776	3.375	21.566	14.708	3.578	16.655	5.577	0.889	1.767	27.046	34.447	17.349	10.28	20.525	1.927	10.006	3.717	12.019	4.0	24.229	9.851	20.736	12.167	7.075	12.502	1.637	18.996	32.983	24.899	16.93	8.669	29.09	4.58	3.125	10.159	10.362	33.895	13.089	7.928	4.44	4.787	8.456	7.353	27.184	3.356	22.929	32.386	34.078	18.401	14.992	35.568	10.902	32.551	1.075	11.826	9.041	11.997	11.785	5.915	39.332	20.695	3.7	2.829	10.325	32.657	16.038	6.261	3.819	19.226	12.194	12.916	8.386	38.18	9.206	32.14	28.088	48.422	17.718	20.165	23.944	17.0	17.33	9.46	6.125	15.475	21.098	2.15	2.304	11.241	9.13	17.923	7.124	19.79	8.527	5.604	5.419	14.281	5.316	29.065
Bacteria;Candidatus Saccharimonadota	phylum				2.259	0.055	0.707	0.238	0.274	2.298	0.817	0.265	1.059	0.047	0.213	0.337	5.602	3.22	1.741	0.729	0.463	0.14	0.0	2.063	0.387	0.214	4.58	1.734	4.341	0.59	2.167	0.175	0.913	0.0	0.631	0.234	1.461	2.0	0.05	5.275	3.691	0.993	0.773	0.897	0.344	0.796	3.436	4.895	1.101	4.236	1.844	4.327	4.546	4.322	0.446	0.472	1.934	1.199	2.38	0.457	0.055	4.603	1.957	2.686	4.564	1.128	0.132	4.027	0.026	0.752	0.432	2.45	7.984	0.895	6.466	0.835	0.0	0.596	2.644	3.035	0.953	0.046	1.017	3.625	1.491	0.637	0.803	0.324	2.63	0.658	0.033	0.81	1.88	1.187	0.494	2.158	0.518	1.298	1.454	0.174	0.015	2.085	4.117	1.613	0.32	2.321	0.028	2.026	5.772	9.409	0.211	0.0	0.586	2.447	0.443	3.269	1.565	6.017	1.124	0.0	3.163	0.265	0.515	0.014	0.617	3.119	0.784	0.029	1.03	0.156	1.693	0.234	0.037	4.033	1.937	1.535	0.031	3.922	1.631	0.054	0.379	0.661	0.263	15.225	6.804	2.664	0.298	1.109	0.492	1.826	0.318	0.056	0.058	2.557	0.016	2.189	0.637	0.066	0.01
Bacteria;Spirochaetota	phylum				0.0	0.0	0.068	0.0	0.0	0.0	0.008	0.033	0.039	0.0	0.0	0.135	0.0	0.0	0.03	0.454	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.012	0.0	0.011	0.042	0.0	0.012	0.0	0.025	0.0	0.0	0.027	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.111	0.023	0.0	0.237	0.01	0.0	0.269	0.0	0.016	0.039	0.012	0.237	0.35	0.0	0.005	0.211	0.0	0.159	0.0	0.0	0.067	0.0	0.021	0.0	0.0	0.027	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.152	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.015	0.061	0.007	0.0	0.0	0.0	0.216	0.116	0.058	0.0	0.09	0.0	0.0	0.103	0.0	0.0	0.0	0.075	0.0	0.007	0.098	0.0	0.015	0.0	0.0	0.133	0.0	0.0	0.0	0.014	0.023	0.0	0.0	0.364	0.0	0.225	0.0	0.0	0.0	0.239	0.011	0.0	0.127	0.049	0.0	0.0	0.0	0.025	0.151	0.0	0.169	0.0	0.019	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Mycoplasmatota	phylum				0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.017	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.014	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.062	0.0	0.0	0.0	0.019	0.0	0.032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.033	0.0	0.0	0.0	0.0	0.185	0.0	0.0	0.0	0.0	0.0	0.0	0.026	0.0	0.0	0.0	0.015	0.0	0.0	0.033	0.096	0.0	0.0	0.0	0.022	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
