Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700016097-VIN	S700016502-VIN	S700016602-VIN	S700021928-VIN	S700023098-VIN	S700023200-VIN	S700023279-VIN	S700023432-VIN	S700023489-VIN	S700023666-VIN	S700023800-VIN	S700023857-VIN	S700023914-VIN	S700023999-VIN	S700024076-VIN	S700024159-VIN	S700024266-VIN	S700024391-VIN	S700024841-VIN	S700024878-VIN	S700033038-VIN	S700033191-VIN	S700033495-VIN	S700033787-VIN	S700037010-VIN	S700037232-VIN	S700037712-VIN	S700038734-VIN	S700097351-VIN	S700098327-VIN	S700098419-VIN	S700098992-VIN	S700099119-VIN	S700099348-VIN	S700100287-VIN	S700103301-VIN	S700103704-VIN	S700105175-VIN	S700105232-VIN	S700105449-VIN	S700105717-VIN	S700105792-VIN	S700105994-VIN	S700106050-VIN	S700106087-VIN	S700106516-VIN	S700106573-VIN	S700106831-VIN	S700106908-VIN	S700113156-VIN	S700113535-VIN	S700113574-VIN	S700113852-VIN	S700113966-VIN	S700114100-VIN	S700114157-VIN	S700114230-VIN	S700114299-VIN	S700114454-VIN	S700114501-VIN	S700114590-VIN	S700114647-VIN	S700114830-VIN	S700114933-VIN	S700116213-VIN	S700116338-VIN	S700116653-VIN	S700116994-VIN	S700117694-VIN	S700117749-VIN	S700117950-VIN
Bacteria	domain				95.08	99.322	54.152	99.853	97.663	99.661	96.313	99.1	95.963	92.484	97.552	90.73	97.996	84.011	99.48	97.173	91.239	89.987	87.664	92.917	99.429	97.704	99.338	81.359	99.873	85.928	84.254	98.904	54.691	53.965	81.188	91.113	89.134	99.696	93.224	73.879	75.476	91.961	93.523	97.416	66.752	94.021	82.055	96.474	98.846	98.649	86.681	83.445	97.887	97.597	94.686	98.789	97.246	49.544	83.417	82.184	89.536	99.87	96.712	82.708	93.017	99.174	95.102	99.904	89.943	60.968	99.978	99.52	99.372	99.422	96.736
Bacteria;Actinomycetota	phylum				0.386	0.039	26.79	0.0	0.274	0.016	0.11	0.0	0.044	0.368	0.063	0.232	0.0	0.313	0.0	0.0	0.012	0.118	9.315	0.347	2.989	0.034	0.023	0.372	0.018	0.0	0.0	0.075	12.461	5.094	0.83	0.206	0.239	0.152	1.653	1.062	0.0	0.0	0.0	0.016	2.073	0.231	1.205	0.498	0.026	0.252	9.935	0.098	0.01	0.117	0.253	0.161	0.233	2.478	0.082	0.228	0.067	0.0	0.31	0.192	0.013	0.157	0.394	0.048	0.0	3.576	0.0	0.052	0.0	0.009	0.0
Bacteria;Bacteroidota	phylum				0.47	0.006	0.012	0.0	0.091	0.016	0.066	0.155	0.0	1.146	0.0	1.421	0.0	0.029	0.027	0.024	0.0	0.0	0.0	1.204	0.0	0.534	0.0	0.054	0.0	0.0	0.0	0.0	0.644	5.617	1.142	0.051	0.388	0.627	20.15	17.15	1.097	0.0	0.0	0.016	0.029	0.0	0.901	0.0	0.0	0.074	0.017	0.211	0.191	0.844	0.039	0.0	0.042	0.772	3.472	0.027	0.0	0.0	0.0	0.0	0.971	0.0	0.171	0.0	0.011	0.0	0.022	0.157	0.0	0.0	0.0
Bacteria;Bacillota	phylum				94.172	98.082	24.318	99.824	97.276	99.548	95.829	98.945	95.298	88.504	97.086	87.532	97.819	81.326	98.961	96.379	87.191	88.253	76.445	90.774	96.414	68.231	99.024	73.382	99.855	85.205	82.162	98.356	21.479	32.847	79.139	90.787	84.866	98.879	71.421	55.524	68.367	89.133	93.373	97.303	61.692	93.741	79.109	95.663	98.755	98.144	76.613	82.332	97.675	96.635	94.374	98.627	96.95	41.454	79.58	81.234	88.334	99.87	96.294	82.311	92.032	98.742	93.947	99.855	89.772	57.097	99.955	99.302	99.372	99.385	96.736
Bacteria;Fusobacteriota	phylum				0.031	0.0	3.032	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.061	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	19.462	4.268	0.0	0.0	0.03	0.0	0.0	0.0	0.053	0.0	0.0	0.0	2.959	0.0	0.0	0.0	0.0	0.0	0.116	0.0	0.01	0.0	0.019	0.0	0.021	4.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.066	0.0	0.0	0.281	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota	phylum				0.021	1.195	0.0	0.029	0.016	0.081	0.308	0.0	0.622	2.466	0.404	1.545	0.178	2.342	0.493	0.77	4.036	1.616	1.905	0.531	0.027	28.885	0.29	7.551	0.0	0.722	2.092	0.473	0.644	6.14	0.078	0.069	3.612	0.038	0.0	0.143	5.959	2.828	0.149	0.08	0.0	0.05	0.84	0.313	0.065	0.178	0.0	0.805	0.0	0.0	0.0	0.0	0.0	0.0	0.283	0.696	1.135	0.0	0.108	0.206	0.0	0.275	0.525	0.0	0.161	0.014	0.0	0.009	0.0	0.028	0.0
Bacteria;Actinomycetota;Actinomycetes	class				0.021	0.039	0.195	0.0	0.253	0.016	0.077	0.0	0.033	0.368	0.063	0.093	0.0	0.307	0.0	0.0	0.012	0.094	0.074	0.347	0.204	0.034	0.023	0.372	0.018	0.0	0.0	0.075	8.121	0.138	0.0	0.189	0.239	0.152	0.007	1.062	0.0	0.0	0.0	0.016	1.001	0.231	1.205	0.498	0.026	0.252	0.05	0.03	0.0	0.035	0.253	0.161	0.191	1.73	0.082	0.201	0.067	0.0	0.31	0.192	0.013	0.157	0.0	0.048	0.0	0.042	0.0	0.035	0.0	0.009	0.0
Bacteria;Actinomycetota;Coriobacteriia	class				0.366	0.0	26.595	0.0	0.021	0.0	0.033	0.0	0.011	0.0	0.0	0.139	0.0	0.006	0.0	0.0	0.0	0.024	9.241	0.0	2.785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.341	4.956	0.83	0.017	0.0	0.0	1.646	0.0	0.0	0.0	0.0	0.0	1.072	0.0	0.0	0.0	0.0	0.0	9.886	0.068	0.01	0.082	0.0	0.0	0.042	0.748	0.0	0.027	0.0	0.0	0.0	0.0	0.0	0.0	0.394	0.0	0.0	3.534	0.0	0.017	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia	class				0.47	0.006	0.012	0.0	0.091	0.016	0.066	0.155	0.0	1.146	0.0	1.421	0.0	0.029	0.027	0.024	0.0	0.0	0.0	1.204	0.0	0.534	0.0	0.054	0.0	0.0	0.0	0.0	0.644	5.617	1.142	0.051	0.388	0.627	20.15	17.15	1.097	0.0	0.0	0.016	0.029	0.0	0.901	0.0	0.0	0.074	0.017	0.211	0.191	0.844	0.039	0.0	0.042	0.772	3.472	0.027	0.0	0.0	0.0	0.0	0.971	0.0	0.171	0.0	0.011	0.0	0.022	0.157	0.0	0.0	0.0
Bacteria;Bacillota;Bacilli	class				93.702	98.018	4.104	99.824	96.04	99.371	95.213	98.48	95.189	82.113	96.922	82.233	97.297	80.863	98.921	95.97	87.055	87.888	76.381	89.263	95.87	68.042	98.896	73.292	99.837	85.172	82.162	98.295	7.561	24.146	77.167	89.913	84.358	97.644	63.886	44.064	54.334	89.133	93.361	97.223	41.166	93.46	77.806	93.63	98.444	97.906	45.132	78.278	97.212	94.127	94.082	98.154	96.717	17.045	75.569	77.968	87.707	99.702	96.186	82.206	91.793	98.604	93.356	99.855	89.772	2.466	99.955	98.997	99.372	98.797	96.736
