Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700016097-VIN	S700016502-VIN	S700016602-VIN	S700021928-VIN	S700023098-VIN	S700023200-VIN	S700023279-VIN	S700023432-VIN	S700023489-VIN	S700023666-VIN	S700023800-VIN	S700023857-VIN	S700023914-VIN	S700024076-VIN	S700024159-VIN	S700024266-VIN	S700024391-VIN	S700024841-VIN	S700024878-VIN	S700032282-VIN	S700032376-VIN	S700032471-VIN	S700032673-VIN	S700033038-VIN	S700033191-VIN	S700033495-VIN	S700033787-VIN	S700034226-VIN	S700034292-VIN	S700034832-VIN	S700035695-VIN	S700035991-VIN	S700037010-VIN	S700037173-VIN	S700037232-VIN	S700037333-VIN	S700037712-VIN	S700037846-VIN	S700037979-VIN	S700038734-VIN	S700095273-VIN	S700095707-VIN	S700097351-VIN	S700097748-VIN	S700097897-VIN	S700098327-VIN	S700098419-VIN	S700098992-VIN	S700099119-VIN	S700099348-VIN	S700099946-VIN	S700100287-VIN	S700100534-VIN	S700101218-VIN	S700101284-VIN	S700101575-VIN	S700103301-VIN	S700103704-VIN	S700105118-VIN	S700105175-VIN	S700105232-VIN	S700105449-VIN	S700105717-VIN	S700105792-VIN	S700105994-VIN	S700106050-VIN	S700106087-VIN	S700106516-VIN	S700106573-VIN	S700106908-VIN	S700107435-VIN	S700108155-VIN	S700108278-VIN	S700108401-VIN	S700108590-VIN	S700108656-VIN	S700109681-VIN	S700109981-VIN	S700110149-VIN	S700110806-VIN	S700111216-VIN	S700111282-VIN	S700111356-VIN	S700111634-VIN	S700111805-VIN	S700113207-VIN	S700113535-VIN	S700113574-VIN	S700113747-VIN	S700113852-VIN	S700113909-VIN	S700113966-VIN	S700113993-VIN	S700114157-VIN	S700114230-VIN	S700114299-VIN	S700114454-VIN	S700114590-VIN	S700114647-VIN	S700114830-VIN	S700116108-VIN	S700116213-VIN	S700116338-VIN	S700116443-VIN	S700116480-VIN	S700116653-VIN	S700116710-VIN	S700116959-VIN	S700116994-VIN	S700117147-VIN	S700117226-VIN	S700117637-VIN	S700117749-VIN	S700117808-VIN	S700117950-VIN	S700119102-VIN	S700119622-VIN	S700119856-VIN	S700120047-VIN	S700121050-VIN	S700121699-VIN	S700123622-VIN	S700161052-VIN	S700161109-VIN	S700161214-VIN	S700161506-VIN	S700161681-VIN	S700161736-VIN	S700161850-VIN	S700161957-VIN	S700163042-VIN	S700163213-VIN	S700163270-VIN	S700163586-VIN	S700163711-VIN	S700163766-VIN	S700163786-VIN	S700163863-VIN	S700164082-VIN	S700164137-VIN	S700164224-VIN	S700164281-VIN	S700164550-VIN	S700164605-VIN	S700164644-VIN	S700164767-VIN	S700164824-VIN	S700164864-VIN	S700165046-VIN	S700165487-VIN	S700165907-VIN	S700165964-VIN	S700166085-VIN	S700171147-VIN	S700171222-VIN	S700171473-VIN	S700171626-VIN	S700171759-VIN	S700171891-VIN	S700171928-VIN	S700171987-VIN	S700172062-VIN	S700172215-VIN	S700172331-VIN	S700172473-VIN	S700172758-VIN	S700172865-VIN	S700173171-VIN	S700173429-VIN	S700173679-VIN	S700173928-VIN	S700173963-VIN	S700175118-VIN	S700175203-VIN
Bacteria	domain				98.412	99.945	70.929	99.982	99.452	99.873	96.463	99.62	97.835	94.343	99.488	94.397	99.003	99.751	98.776	98.816	96.023	93.391	93.403	100.0	99.853	100.0	99.951	99.615	99.892	99.395	94.562	55.899	98.092	95.182	99.16	99.422	100.0	89.857	90.661	94.918	90.241	99.657	94.247	99.75	76.16	89.407	71.178	97.144	99.829	61.4	95.152	91.405	98.403	99.904	67.417	99.264	99.854	99.979	98.003	98.083	96.097	84.522	61.892	96.646	97.775	98.53	76.325	99.029	88.348	90.451	99.553	98.777	89.287	99.443	99.867	99.989	86.053	96.56	66.405	99.912	62.042	99.929	87.047	99.006	98.915	98.902	86.386	81.616	99.683	96.527	96.303	99.015	99.877	98.641	100.0	72.416	99.874	83.48	91.687	99.4	98.099	99.904	99.95	99.462	97.956	100.0	86.232	98.076	99.23	99.985	98.539	97.928	99.944	98.928	95.11	99.75	99.706	96.443	98.658	99.983	98.675	99.892	67.476	95.98	96.32	99.944	99.861	89.482	100.0	99.33	99.256	94.857	99.436	99.213	98.038	59.391	98.25	90.339	97.535	92.961	99.6	99.611	99.66	94.798	99.967	95.693	97.248	88.691	94.592	92.601	97.426	99.718	95.369	71.785	61.565	90.813	99.978	76.883	90.865	83.748	77.006	93.437	99.963	99.818	93.103	99.381	95.759	99.9	99.813	91.615	99.896	96.012	97.616	96.924	98.83	98.977	92.343	96.184
Bacteria;Actinomycetota	phylum				0.718	0.071	51.281	0.08	0.337	0.182	0.95	1.246	0.471	0.856	0.051	0.493	0.183	0.052	0.077	0.0	0.193	11.184	0.442	0.036	0.011	0.0	0.073	27.188	3.903	1.557	13.95	14.4	0.05	1.019	0.0	0.069	0.076	40.534	0.244	2.515	0.121	20.103	0.09	0.167	5.601	0.948	36.7	0.101	0.39	10.904	0.58	0.55	1.319	4.869	20.58	0.573	7.27	0.021	0.064	4.278	72.663	12.445	0.31	0.322	0.044	0.075	23.371	4.669	0.609	0.955	0.398	0.099	16.5	0.107	0.036	0.032	0.219	0.355	2.076	0.035	30.621	0.159	5.908	1.952	0.308	2.045	0.239	79.591	0.174	0.487	6.208	0.42	0.287	0.017	0.016	38.152	0.0	0.549	0.029	0.138	0.069	85.629	0.236	0.312	41.931	0.126	15.979	0.0	0.0	0.0	0.025	1.436	0.042	2.48	0.509	0.026	0.0	0.0	0.017	0.0	0.026	0.271	25.876	0.0	0.898	0.335	0.06	0.0	0.396	0.548	0.198	0.0	0.445	0.036	0.416	48.731	0.1	21.414	31.177	0.086	0.036	0.0	0.076	0.0	0.099	0.483	0.11	0.0	0.089	8.015	0.0	0.023	0.0	16.395	42.173	0.353	0.041	23.993	22.735	9.293	20.295	3.785	0.0	0.291	0.0	0.0	0.178	0.05	0.679	0.097	0.015	0.726	0.265	3.054	0.0	0.141	36.055	0.0
Bacteria;Bacteroidota	phylum				0.144	0.0	0.0	0.0	0.112	0.036	0.101	0.013	0.0	1.009	0.0	1.062	0.0	0.026	0.038	0.0	0.059	0.021	1.24	0.0	0.0	0.0	0.0	0.0	0.461	0.0	0.042	0.635	0.11	1.853	0.039	0.0	0.0	0.04	0.0	0.142	0.015	0.017	0.289	0.0	13.368	0.027	0.669	0.0	0.024	6.858	0.719	0.16	0.139	0.328	1.754	24.1	0.0	0.021	0.365	0.135	5.798	0.671	10.672	0.0	0.0	0.0	0.133	0.0	0.372	0.0	0.0	0.182	0.0	0.064	0.0	0.0	3.192	0.13	22.257	0.0	1.107	0.018	1.155	0.018	0.049	0.151	0.109	0.231	0.048	0.022	0.27	0.039	0.0	0.017	0.031	0.298	0.0	0.188	0.014	0.0	0.0	0.096	0.0	0.104	1.342	0.0	0.009	0.0	0.0	0.0	14.235	7.815	0.084	0.048	0.0	0.052	0.016	0.0	0.034	0.0	0.026	0.0	0.735	0.266	0.0	0.0	1.071	0.0	0.0	0.061	0.794	0.0	0.0	0.715	0.357	0.277	0.0	0.1	0.031	18.226	0.036	0.0	0.038	0.0	0.016	0.0	2.363	0.042	0.03	0.0	0.084	0.07	0.0	2.335	6.348	1.307	0.687	8.326	0.037	7.496	1.943	0.141	0.0	0.036	0.0	0.0	0.305	0.017	0.0	0.032	0.0	0.059	0.227	0.0	0.019	0.013	0.0	0.0
Bacteria;Bacillota	phylum				97.475	99.171	14.235	99.894	98.956	99.546	95.371	98.348	97.275	91.59	99.27	92.503	98.698	99.554	98.585	98.816	95.608	81.974	91.422	99.023	99.79	97.867	99.417	72.428	72.727	97.462	77.465	6.985	97.932	89.654	99.121	98.59	99.878	48.764	90.303	92.191	90.044	79.503	93.831	99.571	55.976	81.279	14.546	97.043	95.901	36.617	93.807	90.626	96.852	94.707	10.298	74.591	92.584	99.936	97.563	93.277	17.621	69.188	50.829	96.324	97.687	98.417	50.941	94.244	87.299	87.674	99.089	98.496	72.68	99.239	99.83	99.957	81.187	96.075	41.235	99.26	24.909	99.735	79.513	97.036	98.558	95.949	75.282	1.634	99.446	92.168	89.802	98.536	99.535	98.608	99.953	31.283	99.874	82.335	91.514	99.242	98.008	12.052	99.63	98.906	54.408	99.831	69.998	98.076	99.23	99.985	84.253	88.677	99.819	96.257	94.601	99.63	99.674	96.414	98.59	99.965	98.623	99.62	15.946	95.714	95.422	99.525	98.73	89.482	99.604	98.721	98.016	94.857	95.224	98.391	96.968	10.152	98.15	68.426	66.328	74.621	99.527	99.611	99.547	94.772	99.852	94.207	94.765	86.955	94.474	84.439	95.523	99.624	93.053	52.874	12.975	87.191	99.25	43.851	62.437	65.975	54.3	89.048	99.945	99.49	91.71	99.381	93.068	99.816	99.111	87.195	99.881	95.093	96.897	93.869	98.756	98.824	56.268	96.184
Bacteria;Fusobacteriota	phylum				0.0	0.0	5.413	0.0	0.0	0.0	0.0	0.013	0.013	0.031	0.0	0.0	0.081	0.0	0.0	0.0	0.0	0.021	0.028	0.0	0.032	0.0	0.0	0.0	0.0	0.01	0.0	33.675	0.0	0.031	0.0	0.0	0.046	0.0	0.0	0.035	0.015	0.017	0.0	0.0	0.0	0.027	19.1	0.0	0.0	3.055	0.0	0.0	0.046	0.0	34.76	0.0	0.0	0.0	0.011	0.041	0.0	0.084	0.013	0.0	0.0	0.019	1.862	0.023	0.0	0.0	0.0	0.0	0.108	0.021	0.0	0.0	0.0	0.0	0.506	0.018	2.885	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.827	0.0	0.0	0.0	0.0	0.0	2.683	0.0	0.0	0.014	0.0	0.0	0.526	0.034	0.139	0.015	0.028	0.246	0.0	0.0	0.0	0.0	0.0	0.0	0.064	0.0	0.009	0.016	0.03	0.0	0.0	0.0	0.0	24.372	0.0	0.0	0.084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.297	0.0	0.0	0.05	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.147	0.0	0.0	0.0	0.0	0.0	0.035	0.0	0.52	5.656	0.0	0.0	0.02	0.0	0.0	0.261	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.095	0.0	0.0	0.0	0.02	0.0
Bacteria;Pseudomonadota	phylum				0.076	0.702	0.0	0.009	0.046	0.109	0.04	0.0	0.076	0.856	0.166	0.339	0.041	0.118	0.077	0.0	0.163	0.191	0.271	0.941	0.021	2.133	0.461	0.0	22.801	0.367	3.106	0.205	0.0	2.625	0.0	0.763	0.0	0.518	0.115	0.035	0.046	0.017	0.036	0.012	1.215	7.125	0.163	0.0	3.513	3.965	0.046	0.069	0.046	0.0	0.024	0.0	0.0	0.0	0.0	0.352	0.014	2.134	0.067	0.0	0.044	0.019	0.019	0.092	0.068	1.823	0.066	0.0	0.0	0.011	0.0	0.0	1.454	0.0	0.331	0.599	2.52	0.0	0.47	0.0	0.0	0.757	10.756	0.16	0.016	0.022	0.023	0.019	0.055	0.0	0.0	0.0	0.0	0.408	0.116	0.02	0.023	1.602	0.05	0.0	0.259	0.014	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.08	0.0	0.034	0.0	0.0	0.017	0.017	0.0	0.0	0.547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.248	0.0	3.767	0.072	0.0	0.231	0.0	0.349	0.0	0.0	0.0	0.0	0.0	0.026	0.0	1.003	0.01	1.694	0.0	0.0	1.819	0.0	2.316	0.181	0.07	1.926	0.0	0.192	0.0	0.983	0.468	0.443	0.018	0.0	1.131	0.0	2.209	0.017	0.023	4.29	0.0	0.133	0.132	0.0	0.056	0.0	0.0	0.0
Bacteria;Actinomycetota;Actinomycetes	class				0.532	0.071	29.606	0.08	0.337	0.182	0.95	1.246	0.471	0.856	0.051	0.416	0.183	0.052	0.077	0.0	0.193	6.609	0.442	0.036	0.011	0.0	0.073	25.745	3.903	1.557	13.95	6.555	0.05	1.019	0.0	0.069	0.076	40.534	0.244	2.072	0.121	20.103	0.09	0.167	3.614	0.948	34.08	0.101	0.39	8.396	0.093	0.55	1.319	4.869	7.902	0.573	5.781	0.021	0.064	4.278	72.663	8.584	0.31	0.322	0.044	0.075	23.371	4.669	0.575	0.955	0.398	0.099	7.68	0.107	0.036	0.032	0.219	0.331	2.076	0.035	10.847	0.159	3.363	1.952	0.308	2.045	0.239	79.591	0.174	0.487	6.208	0.42	0.287	0.017	0.016	38.152	0.0	0.549	0.029	0.138	0.069	85.629	0.236	0.087	41.931	0.126	11.837	0.0	0.0	0.0	0.025	1.436	0.042	2.48	0.509	0.026	0.0	0.0	0.017	0.0	0.026	0.271	11.16	0.0	0.898	0.335	0.06	0.0	0.396	0.548	0.198	0.0	0.445	0.036	0.416	34.841	0.1	21.414	31.177	0.086	0.036	0.0	0.076	0.0	0.099	0.483	0.11	0.0	0.089	1.321	0.0	0.023	0.0	16.395	24.517	0.353	0.041	23.993	14.214	8.187	20.295	3.785	0.0	0.291	0.0	0.0	0.178	0.05	0.679	0.097	0.015	0.726	0.265	3.054	0.0	0.128	10.507	0.0
Bacteria;Actinomycetota;Coriobacteriia	class				0.186	0.0	21.675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.077	0.0	0.0	0.0	0.0	0.0	4.575	0.0	0.0	0.0	0.0	0.0	1.443	0.0	0.0	0.0	7.845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.443	0.0	0.0	0.0	0.0	1.987	0.0	2.62	0.0	0.0	2.509	0.487	0.0	0.0	0.0	12.678	0.0	1.489	0.0	0.0	0.0	0.0	3.86	0.0	0.0	0.0	0.0	0.0	0.0	0.034	0.0	0.0	0.0	8.819	0.0	0.0	0.0	0.0	0.024	0.0	0.0	19.774	0.0	2.546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.226	0.0	0.0	4.142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.694	0.0	0.0	0.0	0.0	17.657	0.0	0.0	0.0	8.521	1.106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	25.548	0.0
Bacteria;Bacteroidota;Bacteroidia	class				0.144	0.0	0.0	0.0	0.112	0.036	0.101	0.013	0.0	1.009	0.0	1.062	0.0	0.026	0.038	0.0	0.059	0.021	1.24	0.0	0.0	0.0	0.0	0.0	0.461	0.0	0.042	0.635	0.11	1.853	0.039	0.0	0.0	0.04	0.0	0.142	0.015	0.017	0.289	0.0	13.368	0.027	0.669	0.0	0.024	6.858	0.719	0.16	0.139	0.328	1.754	24.1	0.0	0.021	0.365	0.135	5.798	0.671	10.672	0.0	0.0	0.0	0.133	0.0	0.372	0.0	0.0	0.182	0.0	0.064	0.0	0.0	3.192	0.13	22.257	0.0	1.107	0.018	1.155	0.018	0.049	0.151	0.109	0.231	0.048	0.022	0.27	0.039	0.0	0.017	0.031	0.298	0.0	0.188	0.014	0.0	0.0	0.096	0.0	0.104	1.342	0.0	0.009	0.0	0.0	0.0	14.235	7.815	0.084	0.048	0.0	0.052	0.016	0.0	0.034	0.0	0.026	0.0	0.735	0.266	0.0	0.0	1.071	0.0	0.0	0.061	0.794	0.0	0.0	0.715	0.357	0.277	0.0	0.1	0.031	18.226	0.036	0.0	0.038	0.0	0.016	0.0	2.363	0.042	0.03	0.0	0.084	0.07	0.0	2.335	6.348	1.307	0.687	8.326	0.037	7.496	1.943	0.141	0.0	0.036	0.0	0.0	0.305	0.017	0.0	0.032	0.0	0.059	0.227	0.0	0.019	0.013	0.0	0.0
Bacteria;Bacillota;Bacilli	class				96.647	99.116	3.475	99.894	97.707	99.274	93.451	98.033	97.02	85.26	99.193	86.345	98.23	99.554	98.317	98.79	94.866	81.953	90.111	99.023	99.569	97.771	99.223	72.235	72.6	96.669	77.35	0.43	95.02	87.616	99.121	98.151	99.878	47.927	90.303	91.624	90.029	79.194	93.361	99.446	48.484	78.786	4.843	97.013	95.34	13.413	90.095	89.159	95.718	93.764	0.633	69.684	92.438	99.871	97.005	92.324	12.7	52.104	30.387	96.278	97.629	98.379	40.49	93.782	86.335	86.198	97.797	98.249	42.389	98.736	99.406	99.83	66.536	92.588	26.269	99.242	15.711	99.594	70.74	95.988	98.202	92.162	39.689	0.0	99.24	89.889	89.109	97.657	99.494	98.144	99.89	10.703	99.874	77.304	91.065	98.849	97.951	11.669	99.461	98.368	50.183	99.817	2.747	98.019	99.207	99.954	76.493	85.477	99.763	95.457	94.601	99.302	99.445	96.325	98.573	99.843	98.155	99.566	3.435	95.596	93.447	99.414	97.698	89.435	99.264	98.356	97.768	94.857	95.046	98.177	95.303	1.892	97.8	57.719	66.328	59.428	99.418	99.611	99.452	94.772	99.736	94.059	90.956	86.955	94.178	45.89	94.684	98.379	92.667	6.758	1.537	72.208	99.196	4.136	52.521	32.75	7.503	86.209	99.908	97.268	91.71	99.212	91.925	99.466	98.549	87.098	99.851	94.323	92.887	93.64	98.682	98.683	3.793	96.168
