Taxonomy	Rank	HMT	Notes	Max	AKE-mean	AKE-10p	AKE-90p	AKE-sd	AKE-prev
Bacteria	domain			96.502	96.502	92.585	99.719	3.315	100.0
Bacteria;Actinomycetota	phylum			2.844	2.844	0.118	6.58	4.687	97.203
Bacteria;Bacteroidota	phylum			11.366	11.366	1.047	28.59	10.948	100.0
Bacteria;Bacillota	phylum			66.268	66.268	42.29	87.109	16.903	100.0
Bacteria;Fusobacteriota	phylum			3.116	3.116	0.068	8.514	4.668	97.203
Bacteria;Pseudomonadota	phylum			12.371	12.371	2.26	24.873	9.185	100.0
Bacteria;Candidatus Saccharimonadota	phylum			0.536	0.536	0.0	1.162	1.679	70.629
Bacteria;Mycoplasmatota	phylum			0.002	0.002	0.0	0.0	0.013	3.497
Bacteria;Actinomycetota;Actinomycetes	klass			2.826	2.826	0.118	6.58	4.669	97.203
Bacteria;Actinomycetota;Coriobacteriia	klass			0.018	0.018	0.0	0.039	0.058	24.476
Bacteria;Bacteroidota;Bacteroidia	klass			9.336	9.336	0.147	27.432	10.786	97.902
Bacteria;Bacteroidota;Flavobacteriia	klass			2.03	2.03	0.23	4.831	2.291	97.902
Bacteria;Bacillota;Bacilli	klass			60.192	60.192	36.327	85.07	19.046	100.0
Bacteria;Bacillota;Clostridia	klass			0.198	0.198	0.0	0.566	0.373	72.727
Bacteria;Bacillota;Negativicutes	klass			5.877	5.877	0.271	16.269	6.403	99.301
Bacteria;Fusobacteriota;Fusobacteriia	klass			3.116	3.116	0.068	8.514	4.668	97.203
Bacteria;Pseudomonadota;Alphaproteobacteria	klass			0.029	0.029	0.0	0.0	0.296	6.294
Bacteria;Pseudomonadota;Betaproteobacteria	klass			3.902	3.902	0.054	11.075	5.84	98.601
Bacteria;Pseudomonadota;Epsilonproteobacteria	klass			1.728	1.728	0.011	4.079	3.479	90.909
Bacteria;Pseudomonadota;Gammaproteobacteria	klass			6.711	6.711	0.217	16.8	7.138	99.301
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1]	klass			0.536	0.536	0.0	1.162	1.679	70.629
Bacteria;Mycoplasmatota;Mollicutes	klass			0.002	0.002	0.0	0.0	0.013	3.497
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales	order			1.467	1.467	0.019	4.563	2.303	94.406
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales	order			0.415	0.415	0.0	0.602	1.946	42.657
Bacteria;Actinomycetota;Actinomycetes;Micrococcales	order			0.882	0.882	0.001	2.927	1.78	89.51
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales	order			0.062	0.062	0.0	0.1	0.253	41.259
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales	order			0.018	0.018	0.0	0.039	0.058	24.476
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales	order			9.336	9.336	0.147	27.432	10.786	97.902
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales	order			2.03	2.03	0.23	4.831	2.291	97.902
Bacteria;Bacillota;Bacilli;Caryophanales	order			5.396	5.396	0.744	10.389	4.438	100.0
Bacteria;Bacillota;Bacilli;Lactobacillales	order			54.796	54.796	30.447	77.612	18.62	100.0
Bacteria;Bacillota;Clostridia;Eubacteriales	order			0.198	0.198	0.0	0.566	0.373	72.727
Bacteria;Bacillota;Negativicutes;Selenomonadales	order			0.275	0.275	0.0	0.337	1.765	44.056
Bacteria;Bacillota;Negativicutes;Veillonellales	order			5.602	5.602	0.271	16.114	6.115	99.301
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales	order			3.116	3.116	0.068	8.514	4.668	97.203
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales	order			0.029	0.029	0.0	0.0	0.296	6.294
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales	order			0.342	0.342	0.0	0.437	1.492	74.825
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales	order			3.56	3.56	0.027	10.331	5.299	96.503
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales	order			1.728	1.728	0.011	4.079	3.479	90.909
Bacteria;Pseudomonadota;Gammaproteobacteria;Cardiobacteriales	order			0.021	0.021	0.0	0.016	0.11	14.685
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales	order			6.691	6.691	0.217	16.8	7.123	99.301
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1]	order			0.536	0.536	0.0	1.162	1.679	70.629
Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales	order			0.002	0.002	0.0	0.0	0.013	3.497
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae	family			1.467	1.467	0.019	4.563	2.303	94.406
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae	family			0.415	0.415	0.0	0.602	1.946	42.657
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae	family			0.882	0.882	0.001	2.927	1.78	89.51
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae	family			0.062	0.062	0.0	0.1	0.253	41.259
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae	family			0.018	0.018	0.0	0.039	0.058	24.476
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae	family			2.719	2.719	0.001	8.382	4.16	89.51
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae	family			6.615	6.615	0.073	22.866	8.976	95.804
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae	family			0.002	0.002	0.0	0.0	0.016	3.497
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae	family			0.81	0.81	0.0	2.433	1.715	83.217
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae	family			1.22	1.22	0.137	2.577	1.417	96.503
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae	family			5.396	5.396	0.744	10.389	4.438	100.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae	family			0.195	0.195	0.0	0.262	0.665	49.65
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae	family			2.37	2.37	0.061	5.8	2.9	97.902
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae	family			52.232	52.232	26.522	76.204	19.696	100.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae	family			0.185	0.185	0.0	0.515	0.363	72.727
Bacteria;Bacillota;Clostridia;Eubacteriales;Anaerovoracaceae	family			0.007	0.007	0.0	0.02	0.02	19.58
