Taxonomy	Rank	HMT	Notes	Max	ANA-mean	ANA-10p	ANA-90p	ANA-sd	ANA-prev
Bacteria	domain			96.761	96.761	94.216	99.696	7.383	100.0
Bacteria;Patescibacteria	phylum			0.004	0.004	0.0	0.0	0.033	3.333
Bacteria;Actinomycetota	phylum			62.297	62.297	30.553	86.726	21.694	99.0
Bacteria;Bacteroidota	phylum			0.501	0.501	0.0	1.216	1.224	78.667
Bacteria;Bacillota	phylum			26.876	26.876	8.209	46.913	17.095	100.0
Bacteria;Fusobacteriota	phylum			0.182	0.182	0.0	0.383	0.711	59.0
Bacteria;Pseudomonadota	phylum			6.881	6.881	0.13	23.085	10.622	99.333
Bacteria;Candidatus Saccharimonadota	phylum			0.019	0.019	0.0	0.031	0.103	18.333
Bacteria;Patescibacteria;Patescibacteria [C1]	klass			0.004	0.004	0.0	0.0	0.033	3.333
Bacteria;Actinomycetota;Actinomycetes	klass			62.267	62.267	30.553	86.726	21.717	99.0
Bacteria;Actinomycetota;Coriobacteriia	klass			0.03	0.03	0.0	0.021	0.334	14.667
Bacteria;Bacteroidota;Bacteroidia	klass			0.455	0.455	0.0	1.167	1.216	70.333
Bacteria;Bacteroidota;Flavobacteriia	klass			0.047	0.047	0.0	0.145	0.106	39.333
Bacteria;Bacillota;Bacilli	klass			23.7	23.7	6.099	44.707	16.952	100.0
Bacteria;Bacillota;Clostridia	klass			2.896	2.896	0.022	7.422	3.462	92.667
Bacteria;Bacillota;Erysipelotrichia	klass			0.008	0.008	0.0	0.0	0.05	7.667
Bacteria;Bacillota;Negativicutes	klass			0.272	0.272	0.0	0.724	0.652	70.667
Bacteria;Fusobacteriota;Fusobacteriia	klass			0.182	0.182	0.0	0.383	0.711	59.0
Bacteria;Pseudomonadota;Alphaproteobacteria	klass			0.111	0.111	0.0	0.182	0.496	48.333
Bacteria;Pseudomonadota;Betaproteobacteria	klass			5.031	5.031	0.042	13.474	9.134	96.667
Bacteria;Pseudomonadota;Epsilonproteobacteria	klass			0.327	0.327	0.0	0.366	2.362	21.333
Bacteria;Pseudomonadota;Gammaproteobacteria	klass			1.412	1.412	0.0	2.059	5.705	76.0
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1]	klass			0.019	0.019	0.0	0.031	0.103	18.333
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales	order			0.004	0.004	0.0	0.0	0.033	3.333
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales	order			0.182	0.182	0.0	0.444	0.38	66.333
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales	order			38.295	38.295	8.979	69.009	22.429	99.0
Bacteria;Actinomycetota;Actinomycetes;Micrococcales	order			0.227	0.227	0.0	0.472	0.625	70.333
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales	order			23.564	23.564	6.702	45.626	16.103	99.0
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales	order			0.009	0.009	0.0	0.01	0.042	11.0
Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales	order			0.021	0.021	0.0	0.0	0.332	4.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales	order			0.455	0.455	0.0	1.167	1.216	70.333
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales	order			0.047	0.047	0.0	0.145	0.106	39.333
Bacteria;Bacillota;Bacilli;Caryophanales	order			16.21	16.21	2.7	35.069	14.771	99.333
