Taxonomy	Rank	HMT	Notes	Max	AKE-mean	AKE-10p	AKE-90p	AKE-sd	AKE-prev	ANA-mean	ANA-10p	ANA-90p	ANA-sd	ANA-prev	BMU-mean	BMU-10p	BMU-90p	BMU-sd	BMU-prev	HPA-mean	HPA-10p	HPA-90p	HPA-sd	HPA-prev	LAF-mean	LAF-10p	LAF-90p	LAF-sd	LAF-prev	LRC-mean	LRC-10p	LRC-90p	LRC-sd	LRC-prev	MVA-mean	MVA-10p	MVA-90p	MVA-sd	MVA-prev	PFO-mean	PFO-10p	PFO-90p	PFO-sd	PFO-prev	PTO-mean	PTO-10p	PTO-90p	PTO-sd	PTO-prev	RAF-mean	RAF-10p	RAF-90p	RAF-sd	RAF-prev	RRC-mean	RRC-10p	RRC-90p	RRC-sd	RRC-prev	SAL-mean	SAL-10p	SAL-90p	SAL-sd	SAL-prev	STO-mean	STO-10p	STO-90p	STO-sd	STO-prev	SUBP-mean	SUBP-10p	SUBP-90p	SUBP-sd	SUBP-prev	SUPP-mean	SUPP-10p	SUPP-90p	SUPP-sd	SUPP-prev	THR-mean	THR-10p	THR-90p	THR-sd	THR-prev	TDO-mean	TDO-10p	TDO-90p	TDO-sd	TDO-prev	VIN-mean	VIN-10p	VIN-90p	VIN-sd	VIN-prev
Bacteria	domain			99.114	98.195	96.355	99.866	2.767	100.0	97.025	94.462	99.927	8.151	100.0	98.355	97.826	99.934	5.914	100.0	98.724	97.261	100.0	5.202	100.0	79.031	40.395	99.544	24.864	100.0	96.76	94.431	99.956	10.78	100.0	97.357	93.468	100.0	5.799	100.0	97.302	95.011	100.0	8.141	100.0	98.86	97.821	99.923	2.173	100.0	85.073	59.641	99.389	20.989	100.0	97.209	91.725	99.97	6.683	100.0	98.837	97.176	99.909	1.646	100.0	6.391	0.816	12.574	10.342	100.0	98.696	97.025	99.934	2.978	100.0	98.53	96.863	99.818	1.781	100.0	99.114	98.695	100.0	3.094	100.0	97.322	94.625	99.289	1.774	100.0	93.945	82.175	99.944	9.63	100.0
Bacteria;Actinomycetota	phylum			79.409	5.408	0.045	12.033	12.024	93.333	74.193	43.632	94.99	20.653	100.0	10.866	1.834	22.021	12.52	100.0	13.719	3.994	24.919	11.557	99.744	54.146	6.83	93.084	31.39	100.0	79.409	29.455	99.257	26.737	100.0	6.015	0.0	20.282	15.653	83.607	6.001	0.0	18.388	16.482	67.016	8.073	1.463	17.832	7.944	99.027	57.719	7.357	93.554	31.95	100.0	78.425	28.546	99.377	27.574	100.0	6.747	1.752	12.23	9.269	99.702	2.324	0.0	5.004	8.599	83.942	24.529	7.233	46.371	16.32	100.0	30.957	12.756	53.396	16.219	100.0	12.423	2.48	24.905	11.031	100.0	15.319	4.179	27.726	12.074	100.0	6.102	0.0	22.339	14.318	86.782
Bacteria;Bacteroidota	phylum			21.447	20.81	1.594	48.945	18.23	100.0	0.26	0.0	0.452	0.903	54.023	12.121	2.31	24.941	9.741	100.0	13.153	4.417	23.604	7.724	99.744	2.393	0.0	4.298	6.716	73.793	1.072	0.0	1.517	3.78	57.643	0.38	0.0	0.316	2.3	35.519	0.586	0.0	0.182	3.921	25.654	21.092	8.785	34.352	10.294	100.0	1.664	0.0	4.264	3.995	70.667	0.706	0.0	0.855	2.658	52.16	21.447	10.676	34.108	9.075	100.0	0.0	0.0	0.0	0.0	0.0	21.413	7.896	33.448	9.864	100.0	16.328	5.024	27.023	8.135	100.0	16.477	6.158	29.023	9.106	100.0	12.148	3.817	22.827	7.792	100.0	1.045	0.0	1.63	3.458	64.368
Bacteria;Bacillota	phylum			89.894	30.238	10.081	55.162	17.815	100.0	13.395	2.087	29.973	12.555	100.0	33.988	14.759	55.091	15.713	100.0	35.346	20.32	52.712	12.646	100.0	7.602	0.756	16.471	9.787	98.621	10.072	0.281	27.621	15.053	100.0	89.538	65.704	99.951	21.724	100.0	89.894	60.683	99.986	24.312	100.0	29.277	15.868	45.413	11.556	100.0	9.989	1.058	21.393	12.965	100.0	10.763	0.229	31.863	17.302	99.074	36.223	20.018	54.444	13.253	100.0	3.871	0.354	7.992	5.08	99.757	17.343	9.016	28.184	8.834	100.0	17.182	8.994	27.868	7.843	100.0	32.073	15.957	49.291	12.857	100.0	30.438	15.808	48.57	12.359	100.0	85.396	51.521	99.661	23.652	100.0
Bacteria;Fusobacteriota	phylum			19.479	4.717	0.24	12.097	5.892	97.284	0.241	0.0	0.603	0.665	65.9	6.61	1.282	13.652	5.635	99.752	8.13	2.039	16.286	5.99	100.0	2.547	0.0	5.852	5.557	78.621	1.032	0.0	1.386	3.546	63.057	0.669	0.0	0.0	4.0	7.104	0.801	0.0	0.0	4.755	6.806	19.479	7.636	33.346	9.835	100.0	2.446	0.0	5.668	6.161	76.0	0.856	0.0	1.738	2.907	58.642	8.57	2.634	17.06	5.763	100.0	0.043	0.0	0.022	0.473	17.762	17.031	4.26	29.109	9.979	100.0	11.501	1.585	23.819	8.946	100.0	15.637	3.942	30.132	10.645	99.377	13.403	2.398	25.857	9.377	99.757	0.812	0.0	0.145	4.362	33.908
Bacteria;Pseudomonadota	phylum			37.022	37.022	6.881	74.059	24.509	100.0	8.936	0.205	23.956	14.864	97.318	34.769	13.03	60.926	18.006	100.0	28.36	10.772	46.628	14.334	100.0	12.343	1.139	31.371	16.07	100.0	5.176	0.042	12.651	12.655	96.178	0.671	0.0	0.609	4.077	47.541	0.02	0.0	0.017	0.141	16.754	19.757	4.148	40.525	14.49	100.0	13.255	0.908	35.452	16.94	98.667	6.458	0.048	19.621	14.89	96.605	25.075	10.814	41.255	12.293	100.0	0.153	0.0	0.218	0.745	48.662	15.782	5.352	29.894	10.024	100.0	21.953	8.689	39.914	12.145	100.0	22.217	5.223	45.858	18.368	100.0	25.935	5.766	49.587	16.549	100.0	0.589	0.0	1.666	2.093	62.069
Bacteria;Actinomycetota;Actinomycetes	klass			79.362	5.374	0.044	12.027	12.002	93.333	74.193	43.632	94.99	20.653	100.0	10.679	1.776	21.45	12.498	100.0	12.879	3.746	22.741	11.269	99.744	54.064	6.83	92.956	31.436	100.0	79.362	29.455	99.25	26.845	100.0	4.714	0.0	11.962	13.677	83.607	4.695	0.0	9.155	14.992	66.492	7.406	1.21	16.484	7.649	99.027	57.679	7.181	93.554	31.957	100.0	78.425	28.546	99.377	27.574	100.0	5.979	1.31	10.77	9.187	99.702	0.966	0.0	0.206	8.246	54.988	24.362	6.931	46.2	16.346	100.0	30.957	12.756	53.396	16.219	100.0	11.477	2.277	23.01	10.735	99.688	14.263	3.9	25.693	11.595	100.0	5.035	0.0	15.741	12.969	86.782
Bacteria;Actinomycetota;Coriobacteriia	klass			1.358	0.033	0.0	0.067	0.127	19.012	0.0	0.0	0.0	0.0	0.0	0.187	0.0	0.417	0.671	61.787	0.84	0.0	2.121	1.185	87.212	0.082	0.0	0.004	0.335	10.345	0.047	0.0	0.006	0.483	10.828	1.301	0.0	0.636	5.033	15.301	1.305	0.0	0.432	4.935	14.66	0.667	0.023	1.684	0.929	91.727	0.04	0.0	0.0	0.22	6.667	0.0	0.0	0.0	0.0	0.0	0.768	0.046	1.712	0.889	92.56	1.358	0.0	4.355	2.885	68.613	0.167	0.0	0.406	0.437	68.889	0.0	0.0	0.0	0.0	0.0	0.945	0.015	2.491	1.132	90.966	1.056	0.052	2.82	1.289	95.377	1.067	0.0	1.838	3.829	16.667
Bacteria;Bacteroidota;Bacteroidia	klass			19.123	17.598	0.273	46.504	18.446	96.296	0.26	0.0	0.452	0.903	54.023	8.731	1.101	19.559	8.22	99.752	12.226	3.472	22.065	7.546	99.744	1.55	0.0	2.769	5.081	64.828	0.719	0.0	0.63	2.882	48.726	0.38	0.0	0.316	2.3	35.519	0.586	0.0	0.182	3.921	25.654	18.833	7.23	31.815	10.108	100.0	1.195	0.0	2.608	3.229	66.667	0.443	0.0	0.551	1.663	46.605	19.123	8.458	32.326	9.09	100.0	0.0	0.0	0.0	0.0	0.0	12.655	1.335	27.102	10.002	100.0	5.294	0.209	13.16	5.461	98.537	14.823	5.173	26.905	8.43	100.0	11.211	3.137	20.879	7.319	100.0	1.045	0.0	1.63	3.458	64.368
Bacteria;Bacteroidota;Flavobacteriia	klass			11.034	3.212	0.342	6.55	4.909	98.025	0.0	0.0	0.0	0.0	0.0	3.39	0.547	6.963	4.613	99.504	0.927	0.095	2.05	0.975	93.862	0.843	0.0	2.092	2.784	48.966	0.352	0.0	0.269	1.436	33.758	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.259	0.089	5.713	3.353	97.81	0.469	0.0	0.757	1.859	36.0	0.263	0.0	0.218	1.446	25.926	2.323	0.552	4.76	2.275	99.107	0.0	0.0	0.0	0.0	0.0	8.758	1.572	16.293	6.266	99.753	11.034	3.489	19.422	6.165	100.0	1.653	0.025	3.99	2.991	91.589	0.938	0.038	2.604	1.38	94.647	0.0	0.0	0.0	0.0	0.0
