Taxonomy	Rank	HMT	Notes	Max	BMU-mean	BMU-10p	BMU-90p	BMU-sd	BMU-prev
Bacteria	domain			97.157	97.157	93.93	99.708	2.601	100.0
Bacteria;Patescibacteria	phylum			0.045	0.045	0.0	0.117	0.101	50.685
Bacteria;Actinomycetota	phylum			9.078	9.078	1.163	25.033	8.701	97.26
Bacteria;Bacteroidota	phylum			6.344	6.344	0.884	13.052	5.308	99.315
Bacteria;Bacillota	phylum			67.913	67.913	47.792	87.75	14.88	100.0
Bacteria;Fusobacteriota	phylum			3.553	3.553	0.475	7.568	3.578	99.315
Bacteria;Pseudomonadota	phylum			9.769	9.769	1.906	18.26	7.174	100.0
Bacteria;Candidatus Saccharimonadota	phylum			0.455	0.455	0.0	0.879	1.012	85.616
Bacteria;Patescibacteria;Patescibacteria [C1]	klass			0.045	0.045	0.0	0.117	0.101	50.685
Bacteria;Actinomycetota;Actinomycetes	klass			9.007	9.007	1.163	24.813	8.691	97.26
Bacteria;Actinomycetota;Coriobacteriia	klass			0.071	0.071	0.0	0.144	0.144	63.699
Bacteria;Bacteroidota;Bacteroidia	klass			4.555	4.555	0.534	10.164	4.773	98.63
Bacteria;Bacteroidota;Flavobacteriia	klass			1.789	1.789	0.202	3.636	2.011	96.575
Bacteria;Bacillota;Bacilli	klass			62.79	62.79	40.678	86.083	16.691	100.0
Bacteria;Bacillota;Clostridia	klass			0.681	0.681	0.037	1.583	0.927	93.151
Bacteria;Bacillota;Erysipelotrichia	klass			0.032	0.032	0.0	0.085	0.058	54.795
Bacteria;Bacillota;Negativicutes	klass			4.411	4.411	0.712	8.738	4.357	100.0
Bacteria;Fusobacteriota;Fusobacteriia	klass			3.553	3.553	0.475	7.568	3.578	99.315
Bacteria;Pseudomonadota;Alphaproteobacteria	klass			0.038	0.038	0.0	0.004	0.394	10.274
Bacteria;Pseudomonadota;Betaproteobacteria	klass			5.447	5.447	0.492	12.891	5.531	98.63
Bacteria;Pseudomonadota;Epsilonproteobacteria	klass			0.424	0.424	0.012	0.943	0.511	91.096
Bacteria;Pseudomonadota;Gammaproteobacteria	klass			3.86	3.86	0.224	9.194	4.628	97.945
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1]	klass			0.455	0.455	0.0	0.879	1.012	85.616
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales	order			0.036	0.036	0.0	0.113	0.086	43.151
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales	order			3.188	3.188	0.193	7.788	3.904	95.89
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales	order			0.23	0.23	0.0	0.474	0.435	84.247
Bacteria;Actinomycetota;Actinomycetes;Micrococcales	order			5.297	5.297	0.466	13.902	7.032	96.575
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales	order			0.292	0.292	0.0	0.218	1.657	56.164
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales	order			0.071	0.071	0.0	0.144	0.144	63.699
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales	order			4.555	4.555	0.534	10.164	4.773	98.63
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales	order			1.789	1.789	0.202	3.636	2.011	96.575
Bacteria;Bacillota;Bacilli;Caryophanales	order			8.266	8.266	1.664	15.904	6.978	97.945
Bacteria;Bacillota;Bacilli;Lactobacillales	order			54.523	54.523	35.846	75.297	15.333	100.0
Bacteria;Bacillota;Clostridia;Eubacteriales	order			0.681	0.681	0.037	1.583	0.927	93.151
Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales	order			0.032	0.032	0.0	0.085	0.058	54.795
Bacteria;Bacillota;Negativicutes;Veillonellales	order			4.411	4.411	0.712	8.738	4.357	100.0
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales	order			3.553	3.553	0.475	7.568	3.578	99.315
Bacteria;Patescibacteria;Patescibacteria [C1];Patescibacteria [C1 O1]	order			0.008	0.008	0.0	0.014	0.038	17.123
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales	order			0.005	0.005	0.0	0.0	0.027	6.849
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales	order			0.033	0.033	0.0	0.0	0.394	3.425
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales	order			0.939	0.939	0.0	1.916	1.895	89.041
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales	order			4.508	4.508	0.381	11.144	4.575	97.26
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales	order			0.424	0.424	0.012	0.943	0.511	91.096
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales	order			3.826	3.826	0.185	9.194	4.637	97.945
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales	order			0.034	0.034	0.0	0.0	0.389	4.795
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1]	order			0.455	0.455	0.0	0.879	1.012	85.616
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales;Absconditicoccaceae	family			0.036	0.036	0.0	0.113	0.086	43.151
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae	family			3.188	3.188	0.193	7.788	3.904	95.89
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae	family			0.23	0.23	0.0	0.474	0.435	84.247
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae	family			5.297	5.297	0.466	13.902	7.032	96.575
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae	family			0.292	0.292	0.0	0.218	1.657	56.164
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae	family			0.071	0.071	0.0	0.144	0.144	63.699
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidales [F2]	family			0.023	0.023	0.0	0.023	0.182	23.973
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae	family			2.436	2.436	0.085	5.498	3.415	96.575
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae	family			2.052	2.052	0.184	4.589	2.484	97.26
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae	family			0.043	0.043	0.0	0.102	0.117	45.205
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae	family			1.0	1.0	0.074	2.215	1.751	95.205
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae	family			0.789	0.789	0.061	1.779	0.916	94.521
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae	family			8.245	8.245	1.664	15.904	6.962	97.945
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae	family			0.021	0.021	0.0	0.0	0.25	1.37
Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae	family			0.569	0.569	0.0	2.247	1.044	71.233
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae	family			1.83	1.83	0.228	3.899	1.616	97.26
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae	family			0.086	0.086	0.0	0.071	0.542	39.041
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae	family			52.039	52.039	32.36	74.536	16.076	100.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae	family			0.578	0.578	0.026	1.33	0.794	92.466
Bacteria;Bacillota;Clostridia;Eubacteriales;Anaerovoracaceae	family			0.021	0.021	0.0	0.056	0.04	45.205
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae	family			0.055	0.055	0.0	0.141	0.129	49.315
Bacteria;Bacillota;Clostridia;Eubacteriales;Ruminococcaceae	family			0.027	0.027	0.0	0.076	0.058	45.89
