Taxonomy	Rank	HMT	Notes	Max	HPA-mean	HPA-10p	HPA-90p	HPA-sd	HPA-prev
Bacteria	domain			98.724	98.724	97.261	100.0	5.202	100.0
Bacteria;Actinomycetota	phylum			13.719	13.719	3.994	24.919	11.557	99.744
Bacteria;Bacteroidota	phylum			13.153	13.153	4.417	23.604	7.724	99.744
Bacteria;Bacillota	phylum			35.346	35.346	20.32	52.712	12.646	100.0
Bacteria;Fusobacteriota	phylum			8.13	8.13	2.039	16.286	5.99	100.0
Bacteria;Pseudomonadota	phylum			28.36	28.36	10.772	46.628	14.334	100.0
Bacteria;Candidatus Saccharimonadota	phylum			0.016	0.016	0.0	0.049	0.042	25.32
Bacteria;Actinomycetota;Actinomycetes	klass			12.879	12.879	3.746	22.741	11.269	99.744
Bacteria;Actinomycetota;Coriobacteriia	klass			0.84	0.84	0.0	2.121	1.185	87.212
Bacteria;Bacteroidota;Bacteroidia	klass			12.226	12.226	3.472	22.065	7.546	99.744
Bacteria;Bacteroidota;Flavobacteriia	klass			0.927	0.927	0.095	2.05	0.975	93.862
Bacteria;Bacillota;Bacilli	klass			15.476	15.476	4.612	30.503	11.366	100.0
Bacteria;Bacillota;Clostridia	klass			6.676	6.676	1.856	11.978	4.208	99.744
Bacteria;Bacillota;Erysipelotrichia	klass			0.024	0.024	0.0	0.084	0.048	34.527
Bacteria;Bacillota;Negativicutes	klass			13.171	13.171	4.481	25.13	8.736	100.0
Bacteria;Fusobacteriota;Fusobacteriia	klass			8.13	8.13	2.039	16.286	5.99	100.0
Bacteria;Pseudomonadota;Alphaproteobacteria	klass			0.09	0.09	0.0	0.04	0.615	14.066
Bacteria;Pseudomonadota;Betaproteobacteria	klass			9.154	9.154	0.821	22.116	8.698	99.488
Bacteria;Pseudomonadota;Epsilonproteobacteria	klass			0.765	0.765	0.085	1.808	0.825	93.862
Bacteria;Pseudomonadota;Gammaproteobacteria	klass			18.35	18.35	5.722	32.992	11.784	100.0
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1]	klass			0.016	0.016	0.0	0.049	0.042	25.32
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales	order			7.523	7.523	1.802	14.615	6.088	99.233
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales	order			0.024	0.024	0.0	0.037	0.138	12.532
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales	order			0.596	0.596	0.0	1.111	3.164	76.726
Bacteria;Actinomycetota;Actinomycetes;Micrococcales	order			3.593	3.593	0.431	8.961	3.968	99.233
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales	order			1.144	1.144	0.0	0.319	8.409	52.43
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales	order			0.806	0.806	0.0	1.914	1.075	86.445
Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales	order			0.034	0.034	0.0	0.0	0.535	6.394
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales	order			12.226	12.226	3.472	22.065	7.546	99.744
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales	order			0.927	0.927	0.095	2.05	0.975	93.862
Bacteria;Bacillota;Bacilli;Caryophanales	order			7.902	7.902	1.204	18.182	8.27	99.744
Bacteria;Bacillota;Bacilli;Lactobacillales	order			7.574	7.574	2.36	14.801	5.693	99.744
Bacteria;Bacillota;Clostridia;Eubacteriales	order			6.676	6.676	1.856	11.978	4.208	99.744
Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales	order			0.024	0.024	0.0	0.084	0.048	34.527
Bacteria;Bacillota;Negativicutes;Selenomonadales	order			0.494	0.494	0.0	1.39	0.727	82.353
Bacteria;Bacillota;Negativicutes;Veillonellales	order			12.677	12.677	4.302	23.932	8.442	99.744
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales	order			8.13	8.13	2.039	16.286	5.99	100.0
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales	order			0.09	0.09	0.0	0.04	0.615	14.066
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales	order			0.611	0.611	0.0	1.574	1.475	80.818
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales	order			8.544	8.544	0.625	21.096	8.536	98.465
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales	order			0.765	0.765	0.085	1.808	0.825	93.862
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales	order			0.076	0.076	0.0	0.048	0.553	15.345
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales	order			18.126	18.126	5.634	32.968	11.656	100.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales	order			0.049	0.049	0.0	0.061	0.267	16.368
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales	order			0.099	0.099	0.0	0.0	1.194	4.092
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1]	order			0.016	0.016	0.0	0.049	0.042	25.32
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae	family			7.523	7.523	1.802	14.615	6.088	99.233
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae	family			0.024	0.024	0.0	0.037	0.138	12.532
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae	family			0.588	0.588	0.0	1.11	3.153	76.215
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae	family			0.008	0.008	0.0	0.0	0.061	3.836
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae	family			3.593	3.593	0.431	8.961	3.968	99.233
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae	family			1.144	1.144	0.0	0.319	8.409	52.43
