Taxonomy	Rank	HMT	Notes	Max	LAF-mean	LAF-10p	LAF-90p	LAF-sd	LAF-prev
Bacteria	domain			79.031	79.031	40.395	99.544	24.864	100.0
Bacteria;Actinomycetota	phylum			54.146	54.146	6.83	93.084	31.39	100.0
Bacteria;Bacteroidota	phylum			2.393	2.393	0.0	4.298	6.716	73.793
Bacteria;Bacillota	phylum			7.602	7.602	0.756	16.471	9.787	98.621
Bacteria;Fusobacteriota	phylum			2.547	2.547	0.0	5.852	5.557	78.621
Bacteria;Pseudomonadota	phylum			12.343	12.343	1.139	31.371	16.07	100.0
Bacteria;Actinomycetota;Actinomycetes	klass			54.064	54.064	6.83	92.956	31.436	100.0
Bacteria;Actinomycetota;Coriobacteriia	klass			0.082	0.082	0.0	0.004	0.335	10.345
Bacteria;Bacteroidota;Bacteroidia	klass			1.55	1.55	0.0	2.769	5.081	64.828
Bacteria;Bacteroidota;Flavobacteriia	klass			0.843	0.843	0.0	2.092	2.784	48.966
Bacteria;Bacillota;Bacilli	klass			4.741	4.741	0.202	11.112	8.348	97.931
Bacteria;Bacillota;Clostridia	klass			0.874	0.874	0.0	2.652	1.367	75.862
Bacteria;Bacillota;Negativicutes	klass			1.987	1.987	0.0	4.159	3.763	86.207
Bacteria;Fusobacteriota;Fusobacteriia	klass			2.547	2.547	0.0	5.852	5.557	78.621
Bacteria;Pseudomonadota;Alphaproteobacteria	klass			1.503	1.503	0.0	4.02	3.514	81.379
Bacteria;Pseudomonadota;Betaproteobacteria	klass			5.566	5.566	0.101	12.27	12.143	95.172
Bacteria;Pseudomonadota;Epsilonproteobacteria	klass			0.126	0.126	0.0	0.0	1.099	3.448
Bacteria;Pseudomonadota;Gammaproteobacteria	klass			5.147	5.147	0.296	11.857	9.613	97.241
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales	order			1.383	1.383	0.0	2.973	2.634	83.448
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales	order			0.145	0.145	0.0	0.236	0.564	26.207
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales	order			9.201	9.201	0.059	25.142	11.581	92.414
Bacteria;Actinomycetota;Actinomycetes;Micrococcales	order			0.8	0.8	0.0	1.321	2.313	67.586
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales	order			42.534	42.534	1.709	87.566	30.78	97.931
Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales	order			0.082	0.082	0.0	0.004	0.335	10.345
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales	order			1.55	1.55	0.0	2.769	5.081	64.828
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales	order			0.843	0.843	0.0	2.092	2.784	48.966
Bacteria;Bacillota;Bacilli;Caryophanales	order			1.428	1.428	0.02	2.754	3.508	90.345
Bacteria;Bacillota;Bacilli;Lactobacillales	order			3.313	3.313	0.0	8.493	7.051	88.966
Bacteria;Bacillota;Clostridia;Eubacteriales	order			0.874	0.874	0.0	2.652	1.367	75.862
Bacteria;Bacillota;Negativicutes;Selenomonadales	order			0.263	0.263	0.0	0.494	1.008	28.276
Bacteria;Bacillota;Negativicutes;Veillonellales	order			1.724	1.724	0.0	3.589	3.279	80.0
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales	order			2.547	2.547	0.0	5.852	5.557	78.621
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales	order			0.276	0.276	0.0	0.564	1.08	31.034
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales	order			0.581	0.581	0.0	1.93	1.285	60.69
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales	order			0.646	0.646	0.0	1.112	2.847	55.862
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales	order			3.664	3.664	0.005	4.448	11.083	89.655
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales	order			1.903	1.903	0.0	4.611	5.399	79.31
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales	order			0.126	0.126	0.0	0.0	1.099	3.448
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales	order			1.153	1.153	0.0	2.118	3.919	66.207
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales	order			2.524	2.524	0.0	3.905	8.357	80.69
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales	order			1.409	1.409	0.0	3.004	3.71	77.931
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales	order			0.061	0.061	0.0	0.07	0.249	16.552
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae	family			1.383	1.383	0.0	2.973	2.634	83.448
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae	family			0.145	0.145	0.0	0.236	0.564	26.207
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae	family			8.515	8.515	0.029	24.691	11.299	91.034
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Dietziaceae	family			0.113	0.113	0.0	0.0	0.878	8.276
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae	family			0.573	0.573	0.0	1.739	0.859	66.207
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Intrasporangiaceae	family			0.126	0.126	0.0	0.226	0.457	27.586
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae	family			0.674	0.674	0.0	1.005	2.287	60.0
