Taxonomy	Rank	HMT	Notes	Max	LRC-mean	LRC-10p	LRC-90p	LRC-sd	LRC-prev
Bacteria	domain			97.064	97.064	95.397	99.877	7.973	100.0
Bacteria;Actinomycetota	phylum			69.905	69.905	33.585	95.998	24.565	100.0
Bacteria;Bacteroidota	phylum			0.378	0.378	0.0	0.59	1.534	66.092
Bacteria;Bacillota	phylum			24.179	24.179	2.293	56.894	21.573	99.713
Bacteria;Fusobacteriota	phylum			0.295	0.295	0.0	0.293	1.52	49.713
Bacteria;Patescibacteria	phylum			0.007	0.007	0.0	0.0	0.111	1.437
Bacteria;Pseudomonadota	phylum			2.256	2.256	0.016	3.221	9.059	92.529
Bacteria;Candidatus Saccharimonadota	phylum			0.044	0.044	0.0	0.028	0.255	21.264
Bacteria;Actinomycetota;Actinomycetes	klass			69.888	69.888	33.585	95.975	24.58	100.0
Bacteria;Actinomycetota;Coriobacteriia	klass			0.017	0.017	0.0	0.028	0.103	16.954
Bacteria;Bacteroidota;Bacteroidia	klass			0.234	0.234	0.0	0.392	1.069	55.172
Bacteria;Bacteroidota;Flavobacteriia	klass			0.145	0.145	0.0	0.138	0.814	39.943
Bacteria;Bacillota;Bacilli	klass			22.25	22.25	2.081	55.028	21.142	99.713
Bacteria;Bacillota;Clostridia	klass			1.745	1.745	0.0	5.385	5.151	75.0
Bacteria;Bacillota;Erysipelotrichia	klass			0.001	0.001	0.0	0.0	0.017	0.287
Bacteria;Bacillota;Negativicutes	klass			0.184	0.184	0.0	0.252	0.842	53.736
Bacteria;Fusobacteriota;Fusobacteriia	klass			0.295	0.295	0.0	0.293	1.52	49.713
Bacteria;Patescibacteria;Patescibacteria [C1]	klass			0.007	0.007	0.0	0.0	0.111	1.437
Bacteria;Pseudomonadota;Alphaproteobacteria	klass			0.121	0.121	0.0	0.23	0.622	52.011
Bacteria;Pseudomonadota;Betaproteobacteria	klass			1.928	1.928	0.0	2.183	8.961	85.345
Bacteria;Pseudomonadota;Epsilonproteobacteria	klass			0.082	0.082	0.0	0.04	0.458	18.103
Bacteria;Pseudomonadota;Gammaproteobacteria	klass			0.125	0.125	0.0	0.261	0.413	57.184
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1]	klass			0.044	0.044	0.0	0.028	0.255	21.264
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales	order			0.135	0.135	0.0	0.218	0.657	47.989
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales	order			7.715	7.715	0.22	24.069	12.871	96.839
Bacteria;Actinomycetota;Actinomycetes;Micrococcales	order			0.162	0.162	0.0	0.35	0.516	66.667
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales	order			61.877	61.877	12.41	94.409	29.737	100.0
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales	order			0.011	0.011	0.0	0.018	0.048	13.506
Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales	order			0.006	0.006	0.0	0.0	0.092	3.736
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales	order			0.234	0.234	0.0	0.392	1.069	55.172
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales	order			0.145	0.145	0.0	0.138	0.814	39.943
Bacteria;Bacillota;Bacilli;Caryophanales	order			20.843	20.843	1.583	52.763	20.711	99.138
Bacteria;Bacillota;Bacilli;Lactobacillales	order			1.407	1.407	0.024	4.202	2.517	94.253
