Taxonomy	Rank	HMT	Notes	Max	MVA-mean	MVA-10p	MVA-90p	MVA-sd	MVA-prev
Bacteria	domain			94.362	94.362	85.212	99.789	8.267	100.0
Bacteria;Actinomycetota	phylum			1.202	1.202	0.0	2.267	3.892	78.378
Bacteria;Bacteroidota	phylum			0.779	0.779	0.0	0.699	3.85	44.595
Bacteria;Bacillota	phylum			91.36	91.36	76.916	99.565	13.707	100.0
Bacteria;Fusobacteriota	phylum			0.398	0.398	0.0	0.092	2.223	16.216
Bacteria;Pseudomonadota	phylum			0.466	0.466	0.0	1.319	0.965	66.216
Bacteria;Synergistota	phylum			0.157	0.157	0.0	0.0	1.183	9.459
Bacteria;Actinomycetota;Actinomycetes	klass			0.32	0.32	0.0	0.581	0.928	77.027
Bacteria;Actinomycetota;Coriobacteriia	klass			0.881	0.881	0.0	0.623	3.617	27.027
Bacteria;Bacteroidota;Bacteroidia	klass			0.779	0.779	0.0	0.699	3.85	44.595
Bacteria;Bacillota;Bacilli	klass			88.518	88.518	72.94	99.492	20.434	100.0
Bacteria;Bacillota;Clostridia	klass			1.822	1.822	0.0	2.336	7.746	77.027
Bacteria;Bacillota;Negativicutes	klass			1.019	1.019	0.0	0.845	3.585	45.946
Bacteria;Fusobacteriota;Fusobacteriia	klass			0.398	0.398	0.0	0.092	2.223	16.216
Bacteria;Pseudomonadota;Alphaproteobacteria	klass			0.034	0.034	0.0	0.042	0.113	24.324
Bacteria;Pseudomonadota;Betaproteobacteria	klass			0.133	0.133	0.0	0.136	0.661	31.081
Bacteria;Pseudomonadota;Epsilonproteobacteria	klass			0.077	0.077	0.0	0.042	0.33	18.919
Bacteria;Pseudomonadota;Gammaproteobacteria	klass			0.222	0.222	0.0	0.722	0.498	47.297
Bacteria;Synergistota;Synergistia	klass			0.157	0.157	0.0	0.0	1.183	9.459
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales	order			0.069	0.069	0.0	0.0	0.569	9.459
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales	order			0.14	0.14	0.0	0.034	0.581	16.216
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales	order			0.065	0.065	0.0	0.076	0.294	37.838
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales	order			0.046	0.046	0.0	0.147	0.094	56.757
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales	order			0.881	0.881	0.0	0.623	3.617	27.027
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales	order			0.779	0.779	0.0	0.699	3.85	44.595
Bacteria;Bacillota;Bacilli;Caryophanales	order			0.153	0.153	0.0	0.118	0.638	59.459
Bacteria;Bacillota;Bacilli;Lactobacillales	order			88.365	88.365	72.931	99.367	20.48	100.0
Bacteria;Bacillota;Clostridia;Eubacteriales	order			1.822	1.822	0.0	2.336	7.746	77.027
Bacteria;Bacillota;Negativicutes;Veillonellales	order			1.019	1.019	0.0	0.845	3.585	45.946
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales	order			0.398	0.398	0.0	0.092	2.223	16.216
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales	order			0.01	0.01	0.0	0.0	0.054	8.108
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales	order			0.024	0.024	0.0	0.039	0.089	22.973
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales	order			0.133	0.133	0.0	0.136	0.661	31.081
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales	order			0.077	0.077	0.0	0.042	0.33	18.919
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales	order			0.159	0.159	0.0	0.555	0.408	37.838
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales	order			0.063	0.063	0.0	0.177	0.171	29.73
Bacteria;Synergistota;Synergistia;Synergistales	order			0.157	0.157	0.0	0.0	1.183	9.459
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae	family			0.069	0.069	0.0	0.0	0.569	9.459
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae	family			0.14	0.14	0.0	0.034	0.581	16.216
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae	family			0.065	0.065	0.0	0.076	0.294	37.838
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae	family			0.046	0.046	0.0	0.147	0.094	56.757
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae	family			0.872	0.872	0.0	0.441	3.618	17.568
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae	family			0.01	0.01	0.0	0.017	0.036	12.162
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae	family			0.779	0.779	0.0	0.699	3.85	44.595
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae	family			0.153	0.153	0.0	0.118	0.638	59.459
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae	family			87.864	87.864	72.14	99.284	20.503	100.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae	family			0.501	0.501	0.008	0.708	1.97	90.541
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae	family			1.238	1.238	0.0	0.069	7.699	25.676
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae	family			0.031	0.031	0.0	0.013	0.221	12.162
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae	family			1.019	1.019	0.0	0.845	3.585	45.946
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae	family			0.554	0.554	0.0	1.114	1.295	72.973
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	family			0.121	0.121	0.0	0.021	0.703	10.811
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae	family			0.277	0.277	0.0	0.0	2.124	8.108
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae	family			0.01	0.01	0.0	0.0	0.054	8.108
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae	family			0.024	0.024	0.0	0.039	0.089	22.973
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae	family			0.106	0.106	0.0	0.071	0.619	24.324
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae	family			0.027	0.027	0.0	0.072	0.078	14.865
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae	family			0.077	0.077	0.0	0.042	0.33	18.919
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae	family			0.159	0.159	0.0	0.555	0.408	37.838
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae	family			0.063	0.063	0.0	0.177	0.171	29.73
Bacteria;Synergistota;Synergistia;Synergistales;Dethiosulfovibrionaceae	family			0.157	0.157	0.0	0.0	1.183	9.459
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Mobiluncus	genus			0.069	0.069	0.0	0.0	0.569	9.459
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Gardnerella	genus			0.14	0.14	0.0	0.034	0.581	16.216
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium	genus			0.065	0.065	0.0	0.076	0.294	37.838
