Taxonomy	Rank	HMT	Notes	Max	PFO-mean	PFO-10p	PFO-90p	PFO-sd	PFO-prev
Bacteria	domain			95.911	95.911	91.598	99.942	9.562	100.0
Bacteria;Actinomycetota	phylum			1.157	1.157	0.0	0.819	5.674	22.368
Bacteria;Bacteroidota	phylum			0.591	0.591	0.0	0.163	3.459	34.211
Bacteria;Bacillota	phylum			93.657	93.657	86.721	99.938	15.496	100.0
Bacteria;Fusobacteriota	phylum			0.398	0.398	0.0	0.028	2.77	11.842
Bacteria;Pseudomonadota	phylum			0.098	0.098	0.0	0.264	0.245	44.737
Bacteria;Synergistota	phylum			0.01	0.01	0.0	0.0	0.056	3.947
Bacteria;Actinomycetota;Actinomycetes	klass			0.227	0.227	0.0	0.024	1.38	19.737
Bacteria;Actinomycetota;Coriobacteriia	klass			0.93	0.93	0.0	0.03	5.467	11.842
Bacteria;Bacteroidota;Bacteroidia	klass			0.591	0.591	0.0	0.163	3.459	34.211
Bacteria;Bacillota;Bacilli	klass			91.317	91.317	77.568	99.917	21.187	100.0
Bacteria;Bacillota;Clostridia	klass			1.213	1.213	0.0	0.98	7.202	32.895
Bacteria;Bacillota;Negativicutes	klass			1.127	1.127	0.0	0.908	4.132	28.947
Bacteria;Fusobacteriota;Fusobacteriia	klass			0.398	0.398	0.0	0.028	2.77	11.842
Bacteria;Pseudomonadota;Alphaproteobacteria	klass			0.003	0.003	0.0	0.0	0.011	7.895
Bacteria;Pseudomonadota;Betaproteobacteria	klass			0.009	0.009	0.0	0.012	0.046	11.842
Bacteria;Pseudomonadota;Epsilonproteobacteria	klass			0.032	0.032	0.0	0.012	0.179	13.158
Bacteria;Pseudomonadota;Gammaproteobacteria	klass			0.054	0.054	0.0	0.154	0.169	26.316
Bacteria;Synergistota;Synergistia	klass			0.01	0.01	0.0	0.0	0.056	3.947
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales	order			0.149	0.149	0.0	0.0	1.29	7.895
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales	order			0.078	0.078	0.0	0.02	0.453	13.158
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales	order			0.93	0.93	0.0	0.03	5.467	11.842
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales	order			0.591	0.591	0.0	0.163	3.459	34.211
Bacteria;Bacillota;Bacilli;Lactobacillales	order			91.317	91.317	77.568	99.917	21.187	100.0
Bacteria;Bacillota;Clostridia;Eubacteriales	order			1.213	1.213	0.0	0.98	7.202	32.895
Bacteria;Bacillota;Negativicutes;Veillonellales	order			1.127	1.127	0.0	0.908	4.132	28.947
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales	order			0.398	0.398	0.0	0.028	2.77	11.842
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales	order			0.003	0.003	0.0	0.0	0.011	7.895
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales	order			0.009	0.009	0.0	0.012	0.046	11.842
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales	order			0.032	0.032	0.0	0.012	0.179	13.158
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales	order			0.054	0.054	0.0	0.154	0.169	26.316
Bacteria;Synergistota;Synergistia;Synergistales	order			0.01	0.01	0.0	0.0	0.056	3.947
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae	family			0.149	0.149	0.0	0.0	1.29	7.895
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae	family			0.078	0.078	0.0	0.02	0.453	13.158
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae	family			0.93	0.93	0.0	0.03	5.467	11.842
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae	family			0.591	0.591	0.0	0.163	3.459	34.211
Bacteria;Bacillota;Bacilli;Lactobacillales;Enterococcaceae	family			0.014	0.014	0.0	0.0	0.111	2.632
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae	family			91.073	91.073	77.212	99.87	21.219	100.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae	family			0.23	0.23	0.0	0.32	0.894	53.947
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae	family			0.99	0.99	0.0	0.066	7.131	19.737
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae	family			0.044	0.044	0.0	0.006	0.282	10.526
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae	family			1.127	1.127	0.0	0.908	4.132	28.947
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae	family			0.18	0.18	0.0	0.074	0.951	17.105
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	family			0.028	0.028	0.0	0.0	0.212	7.895
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae	family			0.37	0.37	0.0	0.0	2.763	7.895
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae	family			0.003	0.003	0.0	0.0	0.011	7.895
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae	family			0.009	0.009	0.0	0.012	0.046	11.842
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae	family			0.032	0.032	0.0	0.012	0.179	13.158
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae	family			0.054	0.054	0.0	0.154	0.169	26.316
