Taxonomy	Rank	HMT	Notes	Max	PTO-mean	PTO-10p	PTO-90p	PTO-sd	PTO-prev
Bacteria	domain			97.487	97.487	95.755	99.46	2.903	100.0
Bacteria;Patescibacteria	phylum			0.39	0.39	0.0	0.799	1.105	57.333
Bacteria;Actinomycetota	phylum			7.778	7.778	1.508	16.698	5.842	96.0
Bacteria;Bacteroidota	phylum			19.767	19.767	8.697	30.991	8.455	100.0
Bacteria;Bacillota	phylum			41.622	41.622	24.314	63.396	15.769	100.0
Bacteria;Fusobacteriota	phylum			13.722	13.722	2.843	24.564	8.627	100.0
Bacteria;Pseudomonadota	phylum			11.75	11.75	3.137	24.848	9.378	100.0
Bacteria;Candidatus Saccharimonadota	phylum			1.663	1.663	0.135	3.651	2.321	98.667
Bacteria;Spirochaetota	phylum			0.597	0.597	0.0	1.409	1.615	84.0
Bacteria;Synergistota	phylum			0.051	0.051	0.0	0.083	0.176	33.333
Bacteria;Mycoplasmatota	phylum			0.147	0.147	0.0	0.284	0.485	49.333
Bacteria;Patescibacteria;Patescibacteria [C1]	klass			0.39	0.39	0.0	0.799	1.105	57.333
Bacteria;Actinomycetota;Actinomycetes	klass			7.272	7.272	1.228	16.116	5.628	96.0
Bacteria;Actinomycetota;Coriobacteriia	klass			0.505	0.505	0.012	1.035	0.812	90.667
Bacteria;Bacteroidota;Bacteroidia	klass			17.761	17.761	7.196	28.897	8.343	100.0
Bacteria;Bacteroidota;Flavobacteriia	klass			2.005	2.005	0.085	5.606	2.849	97.333
Bacteria;Bacillota;Bacilli	klass			24.476	24.476	7.461	51.945	17.616	100.0
Bacteria;Bacillota;Clostridia	klass			5.375	5.375	1.498	9.179	3.299	100.0
Bacteria;Bacillota;Erysipelotrichia	klass			0.386	0.386	0.012	0.863	0.407	91.333
Bacteria;Bacillota;Negativicutes	klass			11.386	11.386	4.371	18.763	6.217	100.0
Bacteria;Fusobacteriota;Fusobacteriia	klass			13.722	13.722	2.843	24.564	8.627	100.0
Bacteria;Pseudomonadota;Betaproteobacteria	klass			6.677	6.677	0.223	19.318	9.007	99.333
Bacteria;Pseudomonadota;Epsilonproteobacteria	klass			3.5	3.5	0.686	7.041	3.156	100.0
Bacteria;Pseudomonadota;Gammaproteobacteria	klass			1.573	1.573	0.025	3.879	2.519	95.333
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1]	klass			1.663	1.663	0.135	3.651	2.321	98.667
Bacteria;Spirochaetota;Spirochaetia	klass			0.597	0.597	0.0	1.409	1.615	84.0
Bacteria;Synergistota;Synergistia	klass			0.051	0.051	0.0	0.083	0.176	33.333
Bacteria;Mycoplasmatota;Mollicutes	klass			0.147	0.147	0.0	0.284	0.485	49.333
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales	order			0.39	0.39	0.0	0.799	1.105	57.333
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales	order			5.679	5.679	0.629	13.357	4.964	95.333
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales	order			0.043	0.043	0.0	0.032	0.411	34.667
Bacteria;Actinomycetota;Actinomycetes;Micrococcales	order			1.515	1.515	0.087	3.782	2.063	94.0
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales	order			0.034	0.034	0.0	0.053	0.152	27.333
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales	order			0.49	0.49	0.012	1.035	0.744	90.667
Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales	order			0.015	0.015	0.0	0.0	0.178	2.667
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales	order			17.761	17.761	7.196	28.897	8.343	100.0
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales	order			2.005	2.005	0.085	5.606	2.849	97.333
Bacteria;Bacillota;Bacilli;Caryophanales	order			1.838	1.838	0.177	3.626	2.303	99.333
Bacteria;Bacillota;Bacilli;Lactobacillales	order			22.638	22.638	6.857	45.117	16.214	100.0
Bacteria;Bacillota;Clostridia;Eubacteriales	order			5.375	5.375	1.498	9.179	3.299	100.0
Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales	order			0.386	0.386	0.012	0.863	0.407	91.333
Bacteria;Bacillota;Negativicutes;Selenomonadales	order			1.002	1.002	0.005	2.661	1.748	90.0
Bacteria;Bacillota;Negativicutes;Veillonellales	order			10.384	10.384	3.987	17.626	6.186	100.0
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales	order			13.722	13.722	2.843	24.564	8.627	100.0
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales	order			0.093	0.093	0.0	0.265	0.195	60.667
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales	order			6.584	6.584	0.158	19.318	9.019	98.0
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales	order			3.5	3.5	0.686	7.041	3.156	100.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales	order			1.57	1.57	0.025	3.879	2.52	95.333
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales	order			0.003	0.003	0.0	0.0	0.032	1.333
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1]	order			1.663	1.663	0.135	3.651	2.321	98.667
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales	order			0.597	0.597	0.0	1.409	1.615	84.0
Bacteria;Synergistota;Synergistia;Synergistales	order			0.051	0.051	0.0	0.083	0.176	33.333
Bacteria;Mycoplasmatota;Mollicutes;Mollicutes [O1]	order			0.006	0.006	0.0	0.0	0.051	3.333
Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales	order			0.141	0.141	0.0	0.284	0.464	48.667
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales;Absconditicoccaceae	family			0.39	0.39	0.0	0.799	1.105	57.333
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae	family			5.679	5.679	0.629	13.357	4.964	95.333
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae	family			0.043	0.043	0.0	0.032	0.411	34.667
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae	family			1.515	1.515	0.087	3.782	2.063	94.0
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae	family			0.034	0.034	0.0	0.053	0.152	27.333
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae	family			0.49	0.49	0.012	1.035	0.744	90.667
Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae	family			0.015	0.015	0.0	0.0	0.178	2.667
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae	family			0.186	0.186	0.0	0.306	0.675	45.333
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae	family			0.028	0.028	0.0	0.0	0.27	1.333
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidales [F2]	family			0.178	0.178	0.0	0.071	1.245	33.333
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae	family			3.618	3.618	0.246	9.746	3.913	98.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae	family			13.525	13.525	4.605	24.32	7.373	100.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae	family			0.226	0.226	0.0	0.598	0.447	73.333
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae	family			1.581	1.581	0.022	5.188	2.554	95.333
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae	family			0.425	0.425	0.012	0.838	0.747	91.333
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae	family			1.824	1.824	0.177	3.558	2.295	99.333
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae	family			0.013	0.013	0.0	0.019	0.059	25.333
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae	family			1.63	1.63	0.19	3.542	1.607	99.333
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae	family			21.008	21.008	6.371	42.622	15.61	100.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae	family			3.858	3.858	0.996	7.047	2.533	100.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae	family			0.062	0.062	0.0	0.17	0.104	62.667
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae	family			0.634	0.634	0.037	1.479	0.883	96.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Anaerovoracaceae	family			0.185	0.185	0.012	0.387	0.197	90.667
