Taxonomy	Rank	HMT	Notes	Max	RRC-mean	RRC-10p	RRC-90p	RRC-sd	RRC-prev
Bacteria	domain			97.124	97.124	94.119	99.885	7.053	100.0
Bacteria;Actinomycetota	phylum			69.77	69.77	33.274	96.137	25.093	100.0
Bacteria;Bacteroidota	phylum			0.189	0.189	0.0	0.324	1.035	56.091
Bacteria;Bacillota	phylum			24.177	24.177	2.14	58.026	22.6	99.717
Bacteria;Fusobacteriota	phylum			0.119	0.119	0.0	0.154	0.605	41.36
Bacteria;Patescibacteria	phylum			0.001	0.001	0.0	0.0	0.016	0.567
Bacteria;Pseudomonadota	phylum			2.839	2.839	0.018	4.504	10.223	94.618
Bacteria;Candidatus Saccharimonadota	phylum			0.027	0.027	0.0	0.01	0.21	11.331
Bacteria;Actinomycetota;Actinomycetes	klass			69.741	69.741	33.274	96.137	25.118	100.0
Bacteria;Actinomycetota;Coriobacteriia	klass			0.03	0.03	0.0	0.027	0.186	14.164
Bacteria;Bacteroidota;Bacteroidia	klass			0.088	0.088	0.0	0.149	0.512	45.042
Bacteria;Bacteroidota;Flavobacteriia	klass			0.101	0.101	0.0	0.125	0.572	34.561
Bacteria;Bacillota;Bacilli	klass			21.934	21.934	2.063	55.053	21.685	99.717
Bacteria;Bacillota;Clostridia	klass			2.136	2.136	0.0	5.49	6.419	66.856
Bacteria;Bacillota;Negativicutes	klass			0.107	0.107	0.0	0.24	0.384	46.742
Bacteria;Fusobacteriota;Fusobacteriia	klass			0.119	0.119	0.0	0.154	0.605	41.36
Bacteria;Patescibacteria;Patescibacteria [C1]	klass			0.001	0.001	0.0	0.0	0.016	0.567
Bacteria;Pseudomonadota;Alphaproteobacteria	klass			0.163	0.163	0.0	0.208	0.69	50.992
Bacteria;Pseudomonadota;Betaproteobacteria	klass			2.495	2.495	0.0	3.539	10.071	87.819
Bacteria;Pseudomonadota;Epsilonproteobacteria	klass			0.052	0.052	0.0	0.0	0.45	9.915
Bacteria;Pseudomonadota;Gammaproteobacteria	klass			0.13	0.13	0.0	0.281	0.487	58.64
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1]	klass			0.027	0.027	0.0	0.01	0.21	11.331
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales	order			0.103	0.103	0.0	0.174	0.384	36.261
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales	order			6.496	6.496	0.126	16.43	12.336	96.601
Bacteria;Actinomycetota;Actinomycetes;Micrococcales	order			0.169	0.169	0.0	0.279	1.039	56.374
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales	order			62.973	62.973	17.542	94.975	28.839	100.0
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales	order			0.019	0.019	0.0	0.008	0.136	10.765
Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales	order			0.01	0.01	0.0	0.0	0.096	4.249
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales	order			0.088	0.088	0.0	0.149	0.512	45.042
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales	order			0.101	0.101	0.0	0.125	0.572	34.561
Bacteria;Bacillota;Bacilli;Caryophanales	order			20.553	20.553	1.557	53.97	21.246	99.717
Bacteria;Bacillota;Bacilli;Lactobacillales	order			1.381	1.381	0.017	2.945	3.665	92.068
Bacteria;Bacillota;Clostridia;Eubacteriales	order			2.136	2.136	0.0	5.49	6.419	66.856
Bacteria;Bacillota;Negativicutes;Veillonellales	order			0.107	0.107	0.0	0.24	0.384	46.742
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales	order			0.119	0.119	0.0	0.154	0.605	41.36
Bacteria;Patescibacteria;Patescibacteria [C1];Patescibacteria [C1 O1]	order			0.001	0.001	0.0	0.0	0.016	0.567
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales	order			0.03	0.03	0.0	0.032	0.206	20.68
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales	order			0.076	0.076	0.0	0.064	0.462	27.479
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales	order			0.006	0.006	0.0	0.007	0.055	10.765
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales	order			0.004	0.004	0.0	0.0	0.029	3.683
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales	order			0.046	0.046	0.0	0.02	0.371	18.13
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales	order			0.643	0.643	0.0	0.908	2.688	77.054
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales	order			1.851	1.851	0.0	1.174	9.751	57.507
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales	order			0.052	0.052	0.0	0.0	0.45	9.915
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales	order			0.034	0.034	0.0	0.0	0.368	7.082
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales	order			0.049	0.049	0.0	0.092	0.196	37.677
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales	order			0.043	0.043	0.0	0.056	0.198	31.445
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales	order			0.004	0.004	0.0	0.0	0.033	5.099
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1]	order			0.027	0.027	0.0	0.01	0.21	11.331
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae	family			0.103	0.103	0.0	0.174	0.384	36.261
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae	family			5.895	5.895	0.046	15.716	12.163	94.051
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae	family			0.601	0.601	0.0	1.326	1.923	79.037
