Taxonomy	Rank	HMT	Notes	Max	SAL-mean	SAL-10p	SAL-90p	SAL-sd	SAL-prev
Bacteria	domain			96.417	96.417	93.217	99.628	8.16	100.0
Bacteria;Patescibacteria	phylum			1.332	1.332	0.0	3.585	2.738	76.923
Bacteria;Actinomycetota	phylum			6.134	6.134	1.305	12.64	5.75	97.692
Bacteria;Bacteroidota	phylum			18.997	18.997	9.512	31.548	8.285	99.231
Bacteria;Bacillota	phylum			39.947	39.947	25.064	54.309	12.496	100.0
Bacteria;Fusobacteriota	phylum			5.054	5.054	1.136	11.447	3.899	97.692
Bacteria;Pseudomonadota	phylum			15.379	15.379	6.036	27.008	8.729	100.0
Bacteria;Candidatus Saccharimonadota	phylum			9.474	9.474	0.834	22.106	10.101	98.462
Bacteria;Mycoplasmatota	phylum			0.099	0.099	0.0	0.221	0.309	35.385
Bacteria;Patescibacteria;Patescibacteria [C1]	klass			1.332	1.332	0.0	3.585	2.738	76.923
Bacteria;Actinomycetota;Actinomycetes	klass			5.53	5.53	0.915	12.205	5.669	97.692
Bacteria;Actinomycetota;Coriobacteriia	klass			0.603	0.603	0.0	1.436	0.748	79.231
Bacteria;Bacteroidota;Bacteroidia	klass			17.012	17.012	8.281	27.295	8.341	99.231
Bacteria;Bacteroidota;Flavobacteriia	klass			1.985	1.985	0.341	4.559	1.776	93.846
Bacteria;Bacillota;Bacilli	klass			17.975	17.975	4.69	31.032	11.288	99.231
Bacteria;Bacillota;Clostridia	klass			6.192	6.192	1.498	11.604	4.83	96.923
Bacteria;Bacillota;Erysipelotrichia	klass			0.277	0.277	0.0	0.666	0.368	77.692
Bacteria;Bacillota;Negativicutes	klass			15.503	15.503	5.648	27.341	8.22	99.231
Bacteria;Fusobacteriota;Fusobacteriia	klass			5.054	5.054	1.136	11.447	3.899	97.692
Bacteria;Pseudomonadota;Alphaproteobacteria	klass			0.134	0.134	0.0	0.103	0.816	23.077
Bacteria;Pseudomonadota;Betaproteobacteria	klass			6.988	6.988	0.865	15.123	7.26	99.231
Bacteria;Pseudomonadota;Epsilonproteobacteria	klass			5.734	5.734	1.134	10.333	4.576	96.923
Bacteria;Pseudomonadota;Gammaproteobacteria	klass			2.523	2.523	0.07	6.447	4.267	95.385
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1]	klass			9.474	9.474	0.834	22.106	10.101	98.462
Bacteria;Mycoplasmatota;Mollicutes	klass			0.099	0.099	0.0	0.221	0.309	35.385
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales	order			1.261	1.261	0.0	3.523	2.728	68.462
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales	order			2.799	2.799	0.519	7.122	2.865	96.923
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales	order			0.095	0.095	0.0	0.194	0.216	60.0
Bacteria;Actinomycetota;Actinomycetes;Micrococcales	order			2.033	2.033	0.037	4.453	3.116	90.769
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales	order			0.604	0.604	0.0	0.609	3.196	60.769
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales	order			0.603	0.603	0.0	1.436	0.748	79.231
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales	order			17.012	17.012	8.281	27.295	8.341	99.231
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales	order			1.985	1.985	0.341	4.559	1.776	93.846
Bacteria;Bacillota;Bacilli;Caryophanales	order			1.236	1.236	0.098	2.162	2.742	92.308
Bacteria;Bacillota;Bacilli;Lactobacillales	order			16.739	16.739	4.073	29.714	10.75	99.231
Bacteria;Bacillota;Clostridia;Eubacteriales	order			6.192	6.192	1.498	11.604	4.83	96.923
Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales	order			0.277	0.277	0.0	0.666	0.368	77.692
Bacteria;Bacillota;Negativicutes;Selenomonadales	order			2.363	2.363	0.122	5.837	2.828	93.077
Bacteria;Bacillota;Negativicutes;Veillonellales	order			13.139	13.139	5.124	23.591	7.463	98.462
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales	order			5.054	5.054	1.136	11.447	3.899	97.692
Bacteria;Patescibacteria;Patescibacteria [C1];Patescibacteria [C1 O1]	order			0.072	0.072	0.0	0.172	0.171	43.077
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales	order			0.127	0.127	0.0	0.07	0.816	19.231
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales	order			0.007	0.007	0.0	0.0	0.054	4.615
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales	order			1.891	1.891	0.042	4.228	4.304	93.077
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales	order			5.097	5.097	0.469	11.457	5.514	98.462
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales	order			5.734	5.734	1.134	10.333	4.576	96.923
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales	order			0.033	0.033	0.0	0.017	0.27	13.077
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales	order			2.45	2.45	0.034	6.447	4.282	92.308
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales	order			0.041	0.041	0.0	0.0	0.345	1.538
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1]	order			9.474	9.474	0.834	22.106	10.101	98.462
Bacteria;Mycoplasmatota;Mollicutes;Mollicutes [O1]	order			0.023	0.023	0.0	0.0	0.164	3.846
Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales	order			0.076	0.076	0.0	0.198	0.217	35.385
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales;Absconditicoccaceae	family			1.261	1.261	0.0	3.523	2.728	68.462
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae	family			2.799	2.799	0.519	7.122	2.865	96.923
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae	family			0.095	0.095	0.0	0.194	0.216	60.0
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae	family			2.033	2.033	0.037	4.453	3.116	90.769
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae	family			0.604	0.604	0.0	0.609	3.196	60.769
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae	family			0.603	0.603	0.0	1.436	0.748	79.231
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae	family			0.06	0.06	0.0	0.113	0.191	27.692
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidales [F2]	family			0.07	0.07	0.0	0.191	0.151	44.615
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae	family			3.95	3.95	0.252	8.619	4.299	95.385
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae	family			12.847	12.847	4.678	22.539	7.584	97.692
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae	family			0.085	0.085	0.0	0.164	0.217	52.308
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae	family			1.43	1.43	0.058	3.389	1.462	92.308
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae	family			0.556	0.556	0.0	1.393	0.738	87.692
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae	family			0.94	0.94	0.046	2.007	0.904	90.769
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae	family			0.296	0.296	0.0	0.082	2.552	33.846
Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae	family			0.136	0.136	0.0	0.332	0.458	49.231
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae	family			1.604	1.604	0.167	3.531	1.699	91.538
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae	family			0.04	0.04	0.0	0.112	0.128	27.692
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae	family			14.96	14.96	3.998	27.501	9.724	99.231
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae	family			3.791	3.791	0.707	8.558	4.016	95.385
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae	family			0.027	0.027	0.0	0.052	0.103	29.231
Bacteria;Bacillota;Clostridia;Eubacteriales;Anaerovoracaceae	family			0.139	0.139	0.0	0.359	0.212	70.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae	family			0.399	0.399	0.0	1.004	0.645	78.462
Bacteria;Bacillota;Clostridia;Eubacteriales;Ruminococcaceae	family			1.836	1.836	0.0	4.13	2.91	89.231
Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae	family			0.277	0.277	0.0	0.666	0.368	77.692
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae	family			2.363	2.363	0.122	5.837	2.828	93.077
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae	family			13.139	13.139	5.124	23.591	7.463	98.462
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	family			3.879	3.879	0.49	9.818	3.488	96.923
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae	family			1.175	1.175	0.039	2.902	1.3	92.308
Bacteria;Patescibacteria;Patescibacteria [C1];Patescibacteria [C1 O1];Patescibacteria [C1 O1 F1]	family			0.072	0.072	0.0	0.172	0.171	43.077
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae	family			0.127	0.127	0.0	0.07	0.816	19.231
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae	family			0.005	0.005	0.0	0.0	0.047	3.077
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae	family			0.002	0.002	0.0	0.0	0.027	1.538
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae	family			1.852	1.852	0.009	3.644	4.292	90.0
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae	family			0.039	0.039	0.0	0.034	0.159	20.769
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae	family			5.097	5.097	0.469	11.457	5.514	98.462
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae	family			5.734	5.734	1.134	10.333	4.576	96.923
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae	family			0.033	0.033	0.0	0.017	0.27	13.077
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae	family			2.45	2.45	0.034	6.447	4.282	92.308
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae	family			0.041	0.041	0.0	0.0	0.345	1.538
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1]	family			9.474	9.474	0.834	22.106	10.101	98.462
Bacteria;Mycoplasmatota;Mollicutes;Mollicutes [O1];Mollicutes [O1 F1]	family			0.023	0.023	0.0	0.0	0.164	3.846
Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales;Metamycoplasmataceae	family			0.076	0.076	0.0	0.198	0.217	35.385
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales;Absconditicoccaceae;Absconditicoccaceae [G1]	genus			1.261	1.261	0.0	3.523	2.728	68.462
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces	genus			0.766	0.766	0.0	1.801	1.107	87.692
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia	genus			2.033	2.033	0.282	4.611	2.163	96.923
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium	genus			0.095	0.095	0.0	0.194	0.216	60.0
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia	genus			2.033	2.033	0.037	4.453	3.116	90.769
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium	genus			0.604	0.604	0.0	0.609	3.196	60.769
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella	genus			0.603	0.603	0.0	1.436	0.748	79.231
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacteraceae [G3]	genus			0.012	0.012	0.0	0.033	0.044	14.615
