Taxonomy	Rank	HMT	Notes	Max	STO-mean	STO-10p	STO-90p	STO-sd	STO-prev
Bacteria	domain			24.261	24.261	6.678	46.972	16.455	100.0
Bacteria;Actinomycetota	phylum			0.637	0.637	0.0	1.816	1.324	68.627
Bacteria;Bacteroidota	phylum			0.022	0.022	0.0	0.0	0.271	0.654
Bacteria;Bacillota	phylum			23.599	23.599	5.504	46.882	16.653	100.0
Bacteria;Fusobacteriota	phylum			0.003	0.003	0.0	0.0	0.035	1.307
Bacteria;Actinomycetota;Coriobacteriia	klass			0.637	0.637	0.0	1.816	1.324	68.627
Bacteria;Bacteroidota;Bacteroidia	klass			0.022	0.022	0.0	0.0	0.271	0.654
Bacteria;Bacillota;Bacilli	klass			21.149	21.149	3.314	43.69	16.734	100.0
Bacteria;Bacillota;Negativicutes	klass			1.337	1.337	0.0	2.474	5.529	34.641
Bacteria;Bacillota;Clostridia	klass			1.113	1.113	0.0	3.703	2.515	50.327
Bacteria;Fusobacteriota;Fusobacteriia	klass			0.003	0.003	0.0	0.0	0.035	1.307
Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales	order			0.637	0.637	0.0	1.816	1.324	68.627
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales	order			0.022	0.022	0.0	0.0	0.271	0.654
Bacteria;Bacillota;Bacilli;Lactobacillales	order			21.149	21.149	3.314	43.69	16.734	100.0
Bacteria;Bacillota;Negativicutes;Veillonellales	order			1.337	1.337	0.0	2.474	5.529	34.641
Bacteria;Bacillota;Clostridia;Eubacteriales	order			1.113	1.113	0.0	3.703	2.515	50.327
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales	order			0.003	0.003	0.0	0.0	0.035	1.307
Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae	family			0.637	0.637	0.0	1.816	1.324	68.627
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae	family			0.022	0.022	0.0	0.0	0.271	0.654
Bacteria;Bacillota;Bacilli;Lactobacillales;Enterococcaceae	family			0.645	0.645	0.0	1.741	2.355	50.98
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae	family			20.504	20.504	1.583	43.624	16.877	100.0
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae	family			1.337	1.337	0.0	2.474	5.529	34.641
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae	family			1.113	1.113	0.0	3.703	2.515	50.327
