Taxonomy	Rank	HMT	Notes	Max	SUBP-mean	SUBP-10p	SUBP-90p	SUBP-sd	SUBP-prev
Bacteria	domain			97.142	97.142	94.312	99.441	2.495	100.0
Bacteria;Patescibacteria	phylum			0.245	0.245	0.0	0.836	0.389	70.861
Bacteria;Actinomycetota	phylum			23.347	23.347	6.586	41.78	13.863	98.675
Bacteria;Bacteroidota	phylum			19.144	19.144	6.181	29.832	9.372	100.0
Bacteria;Bacillota	phylum			23.216	23.216	12.167	38.212	12.347	100.0
Bacteria;Fusobacteriota	phylum			12.117	12.117	1.996	23.783	8.425	99.338
Bacteria;Pseudomonadota	phylum			15.063	15.063	4.914	27.259	8.784	100.0
Bacteria;Candidatus Saccharimonadota	phylum			2.663	2.663	0.079	6.18	3.88	97.351
Bacteria;Spirochaetota	phylum			1.091	1.091	0.0	3.237	1.876	76.821
Bacteria;Synergistota	phylum			0.213	0.213	0.0	0.739	0.499	47.682
Bacteria;Mycoplasmatota	phylum			0.044	0.044	0.0	0.116	0.139	28.477
Bacteria;Patescibacteria;Patescibacteria [C1]	klass			0.245	0.245	0.0	0.836	0.389	70.861
Bacteria;Actinomycetota;Actinomycetes	klass			23.223	23.223	6.405	41.78	13.891	98.675
Bacteria;Actinomycetota;Coriobacteriia	klass			0.124	0.124	0.0	0.238	0.364	63.576
Bacteria;Bacteroidota;Bacteroidia	klass			9.823	9.823	0.726	20.496	8.091	100.0
Bacteria;Bacteroidota;Flavobacteriia	klass			9.32	9.32	2.178	16.115	6.069	99.338
Bacteria;Bacillota;Bacilli	klass			15.552	15.552	5.257	28.965	12.026	100.0
Bacteria;Bacillota;Clostridia	klass			1.511	1.511	0.158	3.396	1.339	97.351
Bacteria;Bacillota;Erysipelotrichia	klass			0.05	0.05	0.0	0.114	0.144	47.682
Bacteria;Bacillota;Negativicutes	klass			6.103	6.103	1.185	13.955	5.571	100.0
Bacteria;Fusobacteriota;Fusobacteriia	klass			12.117	12.117	1.996	23.783	8.425	99.338
Bacteria;Pseudomonadota;Betaproteobacteria	klass			11.369	11.369	1.688	23.019	9.218	100.0
Bacteria;Pseudomonadota;Epsilonproteobacteria	klass			2.494	2.494	0.416	5.116	2.095	99.338
Bacteria;Pseudomonadota;Gammaproteobacteria	klass			1.2	1.2	0.061	2.613	1.915	96.689
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1]	klass			2.663	2.663	0.079	6.18	3.88	97.351
Bacteria;Spirochaetota;Spirochaetia	klass			1.091	1.091	0.0	3.237	1.876	76.821
Bacteria;Synergistota;Synergistia	klass			0.213	0.213	0.0	0.739	0.499	47.682
Bacteria;Mycoplasmatota;Mollicutes	klass			0.044	0.044	0.0	0.116	0.139	28.477
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales	order			0.147	0.147	0.0	0.462	0.293	58.94
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales	order			10.438	10.438	1.801	21.329	9.547	96.026
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales	order			5.894	5.894	0.29	13.643	5.593	94.702
Bacteria;Actinomycetota;Actinomycetes;Micrococcales	order			5.808	5.808	0.354	13.636	5.99	95.364
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales	order			1.083	1.083	0.024	2.891	1.812	94.04
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales	order			0.124	0.124	0.0	0.238	0.364	63.576
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales	order			9.823	9.823	0.726	20.496	8.091	100.0
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales	order			9.32	9.32	2.178	16.115	6.069	99.338
Bacteria;Bacillota;Bacilli;Caryophanales	order			0.749	0.749	0.064	1.632	1.456	95.364
Bacteria;Bacillota;Bacilli;Lactobacillales	order			14.803	14.803	5.128	27.978	11.145	100.0
Bacteria;Bacillota;Clostridia;Eubacteriales	order			1.511	1.511	0.158	3.396	1.339	97.351
Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales	order			0.05	0.05	0.0	0.114	0.144	47.682
Bacteria;Bacillota;Negativicutes;Selenomonadales	order			1.733	1.733	0.023	4.378	2.12	94.04
Bacteria;Bacillota;Negativicutes;Veillonellales	order			4.37	4.37	0.46	10.887	4.993	100.0
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales	order			12.117	12.117	1.996	23.783	8.425	99.338
Bacteria;Patescibacteria;Patescibacteria [C1];Patescibacteria [C1 O1]	order			0.098	0.098	0.0	0.339	0.225	45.695
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales	order			2.998	2.998	0.044	8.032	4.008	92.715
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales	order			8.371	8.371	1.365	17.268	7.735	100.0
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales	order			2.494	2.494	0.416	5.116	2.095	99.338
Bacteria;Pseudomonadota;Gammaproteobacteria;Cardiobacteriales	order			0.201	0.201	0.0	0.51	0.292	82.119
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales	order			1.0	1.0	0.02	2.294	1.868	93.377
