Taxonomy	Rank	HMT	Notes	Max	TDO-mean	TDO-10p	TDO-90p	TDO-sd	TDO-prev
Bacteria	domain			94.21	94.21	91.549	97.399	2.4	100.0
Bacteria;Patescibacteria	phylum			0.266	0.266	0.0	0.445	1.312	41.935
Bacteria;Actinomycetota	phylum			14.764	14.764	5.394	25.103	8.11	99.355
Bacteria;Bacteroidota	phylum			14.47	14.47	6.301	22.692	6.205	100.0
Bacteria;Bacillota	phylum			39.58	39.58	23.904	55.937	12.213	100.0
Bacteria;Fusobacteriota	phylum			9.221	9.221	0.865	19.736	7.427	100.0
Bacteria;Pseudomonadota	phylum			14.182	14.182	3.232	29.95	10.081	100.0
Bacteria;Candidatus Saccharimonadota	phylum			1.688	1.688	0.046	4.325	2.088	96.774
Bacteria;Spirochaetota	phylum			0.034	0.034	0.0	0.131	0.077	39.355
Bacteria;Mycoplasmatota	phylum			0.005	0.005	0.0	0.014	0.02	15.484
Bacteria;Patescibacteria;Patescibacteria [C1]	klass			0.266	0.266	0.0	0.445	1.312	41.935
Bacteria;Actinomycetota;Actinomycetes	klass			13.939	13.939	4.796	23.936	7.793	99.355
Bacteria;Actinomycetota;Coriobacteriia	klass			0.825	0.825	0.03	2.08	0.953	95.484
Bacteria;Bacteroidota;Bacteroidia	klass			13.647	13.647	6.006	21.184	5.835	100.0
Bacteria;Bacteroidota;Flavobacteriia	klass			0.823	0.823	0.014	2.857	1.325	93.548
Bacteria;Bacillota;Bacilli	klass			22.309	22.309	8.793	39.788	11.727	100.0
Bacteria;Bacillota;Clostridia	klass			4.768	4.768	1.058	9.043	3.241	100.0
Bacteria;Bacillota;Erysipelotrichia	klass			0.359	0.359	0.017	0.86	0.369	94.194
Bacteria;Bacillota;Negativicutes	klass			12.143	12.143	6.506	18.125	4.79	100.0
Bacteria;Fusobacteriota;Fusobacteriia	klass			9.221	9.221	0.865	19.736	7.427	100.0
Bacteria;Pseudomonadota;Betaproteobacteria	klass			9.174	9.174	0.124	24.441	9.778	99.355
Bacteria;Pseudomonadota;Epsilonproteobacteria	klass			3.154	3.154	0.666	6.125	2.846	100.0
Bacteria;Pseudomonadota;Gammaproteobacteria	klass			1.854	1.854	0.029	5.164	3.554	96.129
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1]	klass			1.688	1.688	0.046	4.325	2.088	96.774
Bacteria;Spirochaetota;Spirochaetia	klass			0.034	0.034	0.0	0.131	0.077	39.355
Bacteria;Mycoplasmatota;Mollicutes	klass			0.005	0.005	0.0	0.014	0.02	15.484
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales	order			0.266	0.266	0.0	0.445	1.312	41.935
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales	order			9.826	9.826	2.354	18.437	7.181	98.71
Bacteria;Actinomycetota;Actinomycetes;Micrococcales	order			4.098	4.098	0.232	10.543	5.051	96.129
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales	order			0.015	0.015	0.0	0.032	0.064	23.226
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales	order			0.825	0.825	0.03	2.08	0.953	95.484
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales	order			13.647	13.647	6.006	21.184	5.835	100.0
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales	order			0.823	0.823	0.014	2.857	1.325	93.548
Bacteria;Bacillota;Bacilli;Caryophanales	order			0.855	0.855	0.11	2.19	0.872	99.355
