Taxonomy	Rank	HMT	Notes	Max	VIN-mean	VIN-10p	VIN-90p	VIN-sd	VIN-prev
Bacteria	domain			93.945	93.945	82.175	99.944	9.63	100.0
Bacteria;Actinomycetota	phylum			6.102	6.102	0.0	22.339	14.318	86.782
Bacteria;Bacteroidota	phylum			1.045	1.045	0.0	1.63	3.458	64.368
Bacteria;Bacillota	phylum			85.396	85.396	51.521	99.661	23.652	100.0
Bacteria;Fusobacteriota	phylum			0.812	0.812	0.0	0.145	4.362	33.908
Bacteria;Pseudomonadota	phylum			0.589	0.589	0.0	1.666	2.093	62.069
Bacteria;Actinomycetota;Actinomycetes	klass			5.035	5.035	0.0	15.741	12.969	86.782
Bacteria;Actinomycetota;Coriobacteriia	klass			1.067	1.067	0.0	1.838	3.829	16.667
Bacteria;Bacteroidota;Bacteroidia	klass			1.045	1.045	0.0	1.63	3.458	64.368
Bacteria;Bacillota;Bacilli	klass			80.914	80.914	18.878	99.536	29.819	99.425
Bacteria;Bacillota;Clostridia	klass			3.37	3.37	0.017	9.787	8.43	90.805
Bacteria;Bacillota;Negativicutes	klass			1.111	1.111	0.0	3.341	3.223	64.368
Bacteria;Fusobacteriota;Fusobacteriia	klass			0.812	0.812	0.0	0.145	4.362	33.908
Bacteria;Pseudomonadota;Alphaproteobacteria	klass			0.015	0.015	0.0	0.028	0.093	17.241
Bacteria;Pseudomonadota;Betaproteobacteria	klass			0.263	0.263	0.0	0.466	1.246	32.759
Bacteria;Pseudomonadota;Epsilonproteobacteria	klass			0.153	0.153	0.0	0.154	0.904	25.287
Bacteria;Pseudomonadota;Gammaproteobacteria	klass			0.159	0.159	0.0	0.284	0.721	25.862
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales	order			3.788	3.788	0.0	10.742	11.007	47.701
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales	order			0.728	0.728	0.0	0.763	3.136	68.391
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales	order			0.519	0.519	0.0	0.076	6.397	39.08
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales	order			1.067	1.067	0.0	1.838	3.829	16.667
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales	order			1.045	1.045	0.0	1.63	3.458	64.368
Bacteria;Bacillota;Bacilli;Lactobacillales	order			80.914	80.914	18.878	99.536	29.819	99.425
Bacteria;Bacillota;Clostridia;Eubacteriales	order			3.37	3.37	0.017	9.787	8.43	90.805
Bacteria;Bacillota;Negativicutes;Veillonellales	order			1.111	1.111	0.0	3.341	3.223	64.368
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales	order			0.812	0.812	0.0	0.145	4.362	33.908
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales	order			0.015	0.015	0.0	0.028	0.093	17.241
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales	order			0.259	0.259	0.0	0.454	1.247	31.034
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales	order			0.003	0.003	0.0	0.0	0.033	2.874
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales	order			0.153	0.153	0.0	0.154	0.904	25.287
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales	order			0.159	0.159	0.0	0.284	0.721	25.862
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae	family			3.788	3.788	0.0	10.742	11.007	47.701
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae	family			0.674	0.674	0.0	0.482	3.117	62.644
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae	family			0.025	0.025	0.0	0.058	0.092	24.138
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae	family			0.028	0.028	0.0	0.05	0.122	20.115
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae	family			0.519	0.519	0.0	0.076	6.397	39.08
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae	family			1.067	1.067	0.0	1.838	3.829	16.667
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae	family			1.045	1.045	0.0	1.63	3.458	64.368
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae	family			80.787	80.787	18.878	99.486	29.785	99.425
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae	family			0.127	0.127	0.0	0.013	0.937	11.494
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae	family			0.828	0.828	0.0	0.143	5.187	31.034
Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae	family			0.028	0.028	0.0	0.0	0.253	6.322
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae	family			0.091	0.091	0.0	0.121	0.313	25.287
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae	family			1.111	1.111	0.0	3.341	3.223	64.368
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae	family			2.424	2.424	0.0	4.595	6.612	87.931
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	family			0.092	0.092	0.0	0.035	0.456	27.586
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae	family			0.72	0.72	0.0	0.0	4.3	9.77
