Taxonomy	Rank	HMT	Notes	Max	AKE-mean	AKE-10p	AKE-90p	AKE-sd	AKE-prev	ANA-mean	ANA-10p	ANA-90p	ANA-sd	ANA-prev	BMU-mean	BMU-10p	BMU-90p	BMU-sd	BMU-prev	HPA-mean	HPA-10p	HPA-90p	HPA-sd	HPA-prev	LAF-mean	LAF-10p	LAF-90p	LAF-sd	LAF-prev	LRC-mean	LRC-10p	LRC-90p	LRC-sd	LRC-prev	MVA-mean	MVA-10p	MVA-90p	MVA-sd	MVA-prev	PFO-mean	PFO-10p	PFO-90p	PFO-sd	PFO-prev	PTO-mean	PTO-10p	PTO-90p	PTO-sd	PTO-prev	RAF-mean	RAF-10p	RAF-90p	RAF-sd	RAF-prev	RRC-mean	RRC-10p	RRC-90p	RRC-sd	RRC-prev	SAL-mean	SAL-10p	SAL-90p	SAL-sd	SAL-prev	STO-mean	STO-10p	STO-90p	STO-sd	STO-prev	SUBP-mean	SUBP-10p	SUBP-90p	SUBP-sd	SUBP-prev	SUPP-mean	SUPP-10p	SUPP-90p	SUPP-sd	SUPP-prev	THR-mean	THR-10p	THR-90p	THR-sd	THR-prev	TDO-mean	TDO-10p	TDO-90p	TDO-sd	TDO-prev	VIN-mean	VIN-10p	VIN-90p	VIN-sd	VIN-prev
Bacteria	domain			98.286	96.502	92.585	99.719	3.315	100.0	96.761	94.216	99.696	7.383	100.0	97.157	93.93	99.708	2.601	100.0	98.286	96.4	99.767	2.314	100.0	81.624	55.494	98.586	19.87	100.0	97.064	95.397	99.877	7.973	100.0	94.362	85.212	99.789	8.267	100.0	95.911	91.598	99.942	9.562	100.0	97.487	95.755	99.46	2.903	100.0	84.063	61.319	99.059	19.093	100.0	97.124	94.119	99.885	7.053	100.0	96.417	93.217	99.628	8.16	100.0	24.261	6.678	46.972	16.455	100.0	97.142	94.312	99.441	2.495	100.0	95.287	91.05	98.99	2.965	100.0	97.758	95.94	99.712	5.064	100.0	94.21	91.549	97.399	2.4	100.0	90.291	75.476	99.52	12.234	100.0
Bacteria;Actinomycetota	phylum			69.905	2.844	0.118	6.58	4.687	97.203	62.297	30.553	86.726	21.694	99.0	9.078	1.163	25.033	8.701	97.26	9.798	2.715	16.808	6.792	97.987	50.82	10.314	87.514	28.092	99.425	69.905	33.585	95.998	24.565	100.0	1.202	0.0	2.267	3.892	78.378	1.157	0.0	0.819	5.674	22.368	7.778	1.508	16.698	5.842	96.0	54.3	10.258	90.079	28.499	100.0	69.77	33.274	96.137	25.093	100.0	6.134	1.305	12.64	5.75	97.692	0.637	0.0	1.816	1.324	68.627	23.347	6.586	41.78	13.863	98.675	28.551	12.679	46.821	14.791	97.351	9.502	2.538	18.085	6.671	99.702	14.764	5.394	25.103	8.11	99.355	1.216	0.0	2.478	3.816	78.873
Bacteria;Bacteroidota	phylum			19.767	11.366	1.047	28.59	10.948	100.0	0.501	0.0	1.216	1.224	78.667	6.344	0.884	13.052	5.308	99.315	11.771	3.693	19.472	6.194	100.0	0.877	0.0	2.074	1.836	72.414	0.378	0.0	0.59	1.534	66.092	0.779	0.0	0.699	3.85	44.595	0.591	0.0	0.163	3.459	34.211	19.767	8.697	30.991	8.455	100.0	1.093	0.0	3.058	2.385	71.889	0.189	0.0	0.324	1.035	56.091	18.997	9.512	31.548	8.285	99.231	0.022	0.0	0.0	0.271	0.654	19.144	6.181	29.832	9.372	100.0	15.414	4.735	26.818	9.054	100.0	19.168	8.024	29.882	8.454	99.702	14.47	6.301	22.692	6.205	100.0	0.846	0.0	1.142	3.173	59.155
Bacteria;Bacillota	phylum			93.657	66.268	42.29	87.109	16.903	100.0	26.876	8.209	46.913	17.095	100.0	67.913	47.792	87.75	14.88	100.0	62.291	42.337	84.121	15.167	100.0	22.537	3.13	54.525	21.602	99.425	24.179	2.293	56.894	21.573	99.713	91.36	76.916	99.565	13.707	100.0	93.657	86.721	99.938	15.496	100.0	41.622	24.314	63.396	15.769	100.0	22.231	3.165	53.121	21.602	99.539	24.177	2.14	58.026	22.6	99.717	39.947	25.064	54.309	12.496	100.0	23.599	5.504	46.882	16.653	100.0	23.216	12.167	38.212	12.347	100.0	23.04	11.372	34.003	9.97	100.0	44.098	26.553	64.776	15.338	100.0	39.58	23.904	55.937	12.213	100.0	86.548	68.231	99.372	17.662	100.0
Bacteria;Fusobacteriota	phylum			13.722	3.116	0.068	8.514	4.668	97.203	0.182	0.0	0.383	0.711	59.0	3.553	0.475	7.568	3.578	99.315	4.39	0.597	9.752	4.078	99.329	0.697	0.0	1.487	2.398	59.77	0.295	0.0	0.293	1.52	49.713	0.398	0.0	0.092	2.223	16.216	0.398	0.0	0.028	2.77	11.842	13.722	2.843	24.564	8.627	100.0	0.688	0.0	1.637	1.754	56.682	0.119	0.0	0.154	0.605	41.36	5.054	1.136	11.447	3.899	97.692	0.003	0.0	0.0	0.035	1.307	12.117	1.996	23.783	8.425	99.338	8.175	0.817	19.119	7.227	99.338	10.424	2.139	21.74	8.453	99.405	9.221	0.865	19.736	7.427	100.0	0.497	0.0	0.066	2.452	23.944
Bacteria;Pseudomonadota	phylum			17.617	12.371	2.26	24.873	9.185	100.0	6.881	0.13	23.085	10.622	99.333	9.769	1.906	18.26	7.174	100.0	9.168	2.574	16.644	7.015	100.0	6.554	0.61	14.918	8.784	99.425	2.256	0.016	3.221	9.059	92.529	0.466	0.0	1.319	0.965	66.216	0.098	0.0	0.264	0.245	44.737	11.75	3.137	24.848	9.378	100.0	5.669	0.488	12.963	8.495	98.618	2.839	0.018	4.504	10.223	94.618	15.379	6.036	27.008	8.729	100.0	0.0	0.0	0.0	0.0	0.0	15.063	4.914	27.259	8.784	100.0	17.617	6.973	34.848	10.787	100.0	12.657	2.748	27.559	12.753	100.0	14.182	3.232	29.95	10.081	100.0	1.184	0.0	2.466	3.655	74.648
Bacteria;Patescibacteria	phylum			10.807	0.536	0.0	1.162	1.679	70.629	0.023	0.0	0.036	0.113	20.0	0.5	0.006	1.092	1.03	89.726	0.849	0.011	2.028	0.998	90.604	0.139	0.0	0.166	0.678	24.138	0.05	0.0	0.028	0.308	21.552	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.053	0.193	6.175	2.643	98.667	0.065	0.0	0.112	0.244	21.659	0.028	0.0	0.01	0.224	11.331	10.807	1.072	25.557	11.416	98.462	0.0	0.0	0.0	0.0	0.0	2.908	0.183	6.722	3.914	98.013	2.234	0.041	5.759	2.575	93.377	1.758	0.088	4.153	1.921	95.238	1.954	0.046	4.566	3.004	96.774	0.0	0.0	0.0	0.0	0.0
Bacteria;Mycoplasmatota	phylum			0.147	0.002	0.0	0.0	0.013	3.497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.147	0.0	0.284	0.485	49.333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.099	0.0	0.221	0.309	35.385	0.0	0.0	0.0	0.0	0.0	0.044	0.0	0.116	0.139	28.477	0.042	0.0	0.009	0.415	11.258	0.029	0.0	0.062	0.118	23.512	0.005	0.0	0.014	0.02	15.484	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinomycetota;Actinomycetes	klass			69.888	2.826	0.118	6.58	4.669	97.203	62.267	30.553	86.726	21.717	99.0	9.007	1.163	24.813	8.691	97.26	9.385	2.577	16.75	6.62	97.987	50.68	10.314	87.514	28.162	99.425	69.888	33.585	95.975	24.58	100.0	0.32	0.0	0.581	0.928	77.027	0.227	0.0	0.024	1.38	19.737	7.272	1.228	16.116	5.628	96.0	54.155	9.635	90.079	28.598	100.0	69.741	33.274	96.137	25.118	100.0	5.53	0.915	12.205	5.669	97.692	0.0	0.0	0.0	0.0	0.0	23.223	6.405	41.78	13.891	98.675	28.533	12.679	46.821	14.793	97.351	8.855	2.297	17.2	6.414	99.702	13.939	4.796	23.936	7.793	99.355	0.274	0.0	0.368	0.991	74.648
Bacteria;Actinomycetota;Coriobacteriia	klass			0.942	0.018	0.0	0.039	0.058	24.476	0.03	0.0	0.021	0.334	14.667	0.071	0.0	0.144	0.144	63.699	0.413	0.0	1.086	0.587	83.221	0.141	0.0	0.211	0.596	23.563	0.017	0.0	0.028	0.103	16.954	0.881	0.0	0.623	3.617	27.027	0.93	0.0	0.03	5.467	11.842	0.505	0.012	1.035	0.812	90.667	0.145	0.0	0.272	0.578	20.276	0.03	0.0	0.027	0.186	14.164	0.603	0.0	1.436	0.748	79.231	0.637	0.0	1.816	1.324	68.627	0.124	0.0	0.238	0.364	63.576	0.019	0.0	0.063	0.039	38.411	0.647	0.0	1.56	0.712	87.5	0.825	0.03	2.08	0.953	95.484	0.942	0.0	1.646	3.579	36.62
