Taxonomy	Rank	HMT	Notes	Max	AKE-mean	AKE-10p	AKE-90p	AKE-sd	AKE-prev	ANA-mean	ANA-10p	ANA-90p	ANA-sd	ANA-prev	BMU-mean	BMU-10p	BMU-90p	BMU-sd	BMU-prev	HPA-mean	HPA-10p	HPA-90p	HPA-sd	HPA-prev	PERIO-mean	PERIO-10p	PERIO-90p	PERIO-sd	PERIO-prev	LRC-mean	LRC-10p	LRC-90p	LRC-sd	LRC-prev	MVA-mean	MVA-10p	MVA-90p	MVA-sd	MVA-prev	PFO-mean	PFO-10p	PFO-90p	PFO-sd	PFO-prev	PTO-mean	PTO-10p	PTO-90p	PTO-sd	PTO-prev	RAF-mean	RAF-10p	RAF-90p	RAF-sd	RAF-prev	RRC-mean	RRC-10p	RRC-90p	RRC-sd	RRC-prev	SAL-mean	SAL-10p	SAL-90p	SAL-sd	SAL-prev	STO-mean	STO-10p	STO-90p	STO-sd	STO-prev	SUBP-mean	SUBP-10p	SUBP-90p	SUBP-sd	SUBP-prev	SUPP-mean	SUPP-10p	SUPP-90p	SUPP-sd	SUPP-prev	THR-mean	THR-10p	THR-90p	THR-sd	THR-prev	TDO-mean	TDO-10p	TDO-90p	TDO-sd	TDO-prev	VIN-mean	VIN-10p	VIN-90p	VIN-sd	VIN-prev
Bacteria	domain			99.163	83.525	58.558	98.68	15.988	100.0	79.096	54.051	98.987	18.945	99.55	92.713	84.515	98.505	6.772	100.0	96.59	96.59	96.59	0	100.0	76.978	66.064	88.877	11.473	100.0	82.986	58.104	97.032	23.803	100.0	97.991	94.867	100.0	4.994	100.0	98.781	97.279	100.0	3.866	100.0	91.32	85.368	97.618	4.915	100.0	80.82	80.82	80.82	0	100.0	86.501	67.823	98.146	20.365	100.0	79.089	67.219	89.551	11.341	100.0	71.326	46.689	91.912	17.815	100.0	79.746	65.298	91.196	10.439	100.0	81.358	68.555	91.37	10.252	100.0	91.785	86.545	97.13	4.868	100.0	92.349	85.11	98.08	5.707	100.0	99.163	99.55	100.0	2.225	100.0
Archaea	domain			0.058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.058	0.0	0.254	0.143	16.667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.011	0.049	12.545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota	phylum			62.408	5.158	0.262	7.002	9.42	94.118	2.794	0.0	6.061	9.669	45.495	5.561	0.51	14.08	5.685	99.202	12.01	12.01	12.01	0	100.0	20.415	6.694	33.095	10.053	100.0	0.093	0.0	0.38	0.179	50.0	1.72	0.0	8.257	4.282	35.714	2.744	0.0	6.679	9.457	46.465	29.023	16.77	46.738	12.454	100.0	5.83	5.83	5.83	0	100.0	0.124	0.0	0.377	0.277	46.875	24.445	15.161	35.864	9.366	100.0	62.408	29.833	88.78	21.974	100.0	16.365	6.855	24.664	6.967	100.0	12.693	2.915	24.405	7.821	99.747	23.303	9.65	33.785	11.048	100.0	16.162	7.42	25.45	7.213	100.0	1.064	0.0	2.11	2.698	63.636
Bacteria;Pseudomonadota	phylum			26.475	23.544	6.914	43.46	13.681	100.0	8.034	0.0	23.727	19.177	57.658	25.884	7.12	47.525	15.557	99.734	18.02	18.02	18.02	0	100.0	6.663	0.608	14.372	9.251	100.0	0.185	0.0	0.687	0.348	62.5	1.697	0.0	5.25	3.234	78.571	0.589	0.0	0.907	2.353	42.424	14.712	2.146	30.482	15.287	100.0	18.93	18.93	18.93	0	100.0	1.002	0.0	3.214	2.735	56.25	18.73	9.176	25.81	7.665	100.0	0.48	0.0	0.541	4.241	71.818	13.308	5.56	20.299	8.708	100.0	18.751	6.17	35.32	11.012	100.0	26.475	5.175	52.12	20.211	100.0	16.394	3.37	34.41	12.53	99.765	0.496	0.0	1.01	0.891	63.636
Bacteria;Actinomycetota	phylum			74.775	3.894	0.0	6.886	6.941	82.353	49.504	12.588	79.469	24.311	98.198	9.336	0.94	22.41	9.372	99.734	10.2	10.2	10.2	0	100.0	23.676	10.45	52.717	18.002	100.0	70.605	19.124	93.708	28.709	100.0	9.599	0.0	25.418	26.125	64.286	10.972	0.0	48.633	24.053	48.99	7.755	2.52	17.534	8.411	100.0	42.0	42.0	42.0	0	100.0	74.775	48.609	95.409	27.244	100.0	5.053	1.397	12.406	6.258	100.0	0.433	0.0	0.871	1.361	80.182	24.491	7.696	46.25	14.743	100.0	31.068	12.585	50.315	14.991	99.747	5.16	0.575	9.165	3.416	100.0	18.249	5.65	32.255	10.868	100.0	10.551	0.0	16.04	22.553	63.636
Bacteria;Bacillota	phylum			86.151	48.908	23.71	79.1	22.577	100.0	18.622	2.267	40.618	18.144	96.847	49.922	27.83	73.155	16.912	100.0	54.34	54.34	54.34	0	100.0	16.84	10.122	29.925	8.346	100.0	12.075	1.82	23.44	12.265	100.0	84.296	34.249	99.45	31.989	100.0	83.897	21.189	100.0	30.23	100.0	29.955	16.572	40.368	13.33	100.0	13.47	13.47	13.47	0	100.0	10.596	0.623	22.408	11.297	100.0	28.166	19.03	38.256	10.014	100.0	6.816	1.039	14.737	6.418	100.0	15.497	6.449	27.26	7.508	100.0	14.821	6.42	25.235	8.756	100.0	25.637	13.915	39.745	11.333	100.0	35.242	22.105	50.29	11.33	100.0	86.151	76.28	99.49	27.366	100.0
Bacteria;Verrucomicrobiota	phylum			1.174	0.002	0.0	0.0	0.007	5.882	0.007	0.0	0.0	0.055	2.703	0.0	0.0	0.0	0.003	0.266	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.075	2.525	0.004	0.0	0.0	0.022	4.0	0.59	0.59	0.59	0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.174	0.0	2.614	3.732	60.727	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.011	0.505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.235	0.0	0.0	0.0	0.0	0.0
Archaea;Methanobacteriota	phylum			0.058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.058	0.0	0.254	0.143	16.667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.011	0.049	12.545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Fusobacteriota	phylum			10.386	2.019	0.024	4.788	3.06	88.235	0.133	0.0	0.0	0.906	4.955	1.985	0.1	4.85	2.665	96.277	1.99	1.99	1.99	0	100.0	4.402	0.932	8.339	3.629	100.0	0.028	0.0	0.0	0.095	8.333	0.604	0.0	0.021	2.25	14.286	0.395	0.0	0.029	2.275	11.616	9.156	2.83	18.428	6.162	100.0	0.0	0.0	0.0	0	0.0	0.005	0.0	0.0	0.021	9.375	2.565	1.569	3.354	0.872	100.0	0.015	0.0	0.0	0.134	5.091	7.5	2.178	13.518	6.436	100.0	3.593	0.43	8.39	3.371	99.747	10.386	2.515	20.385	7.462	93.75	6.207	0.96	13.58	5.28	99.061	0.044	0.0	0.07	0.123	18.182
Bacteria;Synergistota	phylum			0.625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.45	0.002	0.0	0.0	0.029	1.064	0.0	0.0	0.0	0	0.0	0.625	0.0	2.002	0.855	75.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.03	0.035	12.5	0.001	0.0	0.0	0.006	1.273	0.06	0.0	0.222	0.112	45.833	0.008	0.0	0.02	0.034	12.626	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.235	0.0	0.0	0.0	0.0	0.0
