OLIGOTYPE_NAME,ABUNDANT_IN
V1V3_001_Firmicutes,"BM,HP,KG"
V1V3_002_Firmicutes,"HP,PT,TD,TH"
V1V3_003_Firmicutes,"BM,HP,SUBP,SUPP,SV,TD"
V1V3_004_Firmicutes,"HP,PT,SV,TD,TH"
V1V3_005_Actinobacteria,"SUBP,SUPP"
V1V3_006_Firmicutes,"BM,HP,KG"
V1V3_007_Bacteroidetes,"HP,PT,SV,TD,TH"
V1V3_008_Epsilonproteobacteria,"PT,SV,TD,TH"
V1V3_009_TM7,SV
V1V3_010_Betaproteobacteria,"PT,TD,TH"
V1V3_011_Actinobacteria,"BM,HP,TD"
V1V3_012_Gammaproteobacteria,"BM,KG,SUPP,SV,TD"
V1V3_013_Firmicutes,BM
V1V3_014_Fusobacteria,"PT,SV,TD,TH"
V1V3_015_Firmicutes,"HP,PT,SV,TD,TH"
V1V3_016_Firmicutes,"SUBP,SUPP"
V1V3_017_Firmicutes,"HP,PT,TD,TH"
V1V3_018_Betaproteobacteria,"SUBP,SUPP"
V1V3_019_Betaproteobacteria,"PT,TD,TH"
V1V3_020_Betaproteobacteria,"SUBP,SUPP"
V1V3_021_Firmicutes,"SUBP,SUPP"
V1V3_022_Actinobacteria,"SUBP,SUPP"
V1V3_023_Bacteroidetes,"HP,PT,SV,TD"
V1V3_024_Firmicutes,"HP,PT,SV,TD,TH"
V1V3_025_Firmicutes,"PT,SV,TD,TH"
V1V3_026_Firmicutes,"PT,SV,TD,TH"
V1V3_027_Bacteroidetes,"BM,HP,PT,SV,TD,TH"
V1V3_028_Bacteroidetes,"SUBP,SUPP"
V1V3_029_Firmicutes,KG
V1V3_030_Firmicutes,"HP,PT,SV,TD,TH"
V1V3_031_Bacteroidetes,"BM,HP,PT,SV,TD,TH"
V1V3_032_Bacteroidetes,"SUBP,SUPP"
V1V3_033_Firmicutes,"PT,SV,TD,TH"
V1V3_034_Actinobacteria,"HP,PT,TD,TH"
V1V3_035_Bacteroidetes,"HP,PT,SV,TD,TH"
V1V3_036_Actinobacteria,"PT,TD,TH"
V1V3_037_Firmicutes,"HP,PT,SV,TD,TH"
V1V3_038_Firmicutes,"HP,PT,SV,TD,TH"
V1V3_039_Bacteroidetes,"SUBP,SUPP"
V1V3_040_Fusobacteria,SUBP
V1V3_041_TM7,SV
V1V3_042_Bacteroidetes,"HP,PT,SV,TD,TH"
V1V3_043_Actinobacteria,"HP,PT,SV,TD,TH"
V1V3_044_Fusobacteria,"SUBP,SUPP"
V1V3_045_Fusobacteria,"PT,TD,TH"
V1V3_046_Bacteroidetes,"PT,SV,TD,TH"
V1V3_047_Actinobacteria,"PT,TD,TH"
V1V3_048_Actinobacteria,"HP,PT,TD,TH"
V1V3_049_Betaproteobacteria,"SUBP,SUPP"
V1V3_050_Firmicutes,SV
V1V3_051_Betaproteobacteria,"PT,TD,TH"
V1V3_052_Betaproteobacteria,"SUBP,SUPP"
V1V3_053_Actinobacteria,"SUBP,SUPP"
V1V3_054_Fusobacteria,"PT,TD,TH"
V1V3_055_Firmicutes,SV
V1V3_056_Bacteroidetes,"PT,SUBP"
V1V3_057_Firmicutes,KG
V1V3_058_Firmicutes,"BM,SUBP,SUPP"
V1V3_059_Epsilonproteobacteria,"KG,SV"
V1V3_060_Bacteroidetes,"HP,PT,SV,TD,TH"
V1V3_061_Firmicutes,"HP,PT,TD,TH"
V1V3_062_Bacteroidetes,"HP,PT,SV,TD,TH"
V1V3_063_Firmicutes,"BM,HP,KG"
V1V3_064_Bacteroidetes,KG
V1V3_065_Bacteroidetes,"HP,KG,PT,SV,TD,TH"
V1V3_066_Actinobacteria,"SUBP,SUPP"
V1V3_067_Actinobacteria,"SUBP,SUPP"
V1V3_068_Bacteroidetes,"HP,PT,SV,TD,TH"
V1V3_069_Bacteroidetes,KG
V1V3_070_Actinobacteria,"SUBP,SUPP"
V1V3_071_Firmicutes,"PT,TD,TH"
V1V3_072_Betaproteobacteria,"SUBP,SUPP"
V1V3_073_Fusobacteria,"PT,SUBP"
V1V3_074_Bacteroidetes,"SUBP,SUPP"
V1V3_075_Firmicutes,"BM,TH"
V1V3_076_Bacteroidetes,"SUBP,SUPP"
V1V3_077_Gammaproteobacteria,KG
V1V3_078_Firmicutes,KG
V1V3_079_Bacteroidetes,"SUBP,SUPP"
V1V3_080_Betaproteobacteria,"HP,PT,SV,TD,TH"
V1V3_081_Fusobacteria,"PT,TD,TH"
V1V3_082_Firmicutes,"PT,TD,TH"
V1V3_083_Bacteroidetes,"SUBP,SUPP"
V1V3_084_Fusobacteria,"SUBP,SUPP"
V1V3_085_Epsilonproteobacteria,SUBP
V1V3_086_Firmicutes,"PT,SV,TD,TH"
V1V3_087_Firmicutes,"SUBP,SUPP"
V1V3_088_Actinobacteria,"SUBP,SUPP"
V1V3_089_Betaproteobacteria,"SUBP,SUPP"
V1V3_090_Actinobacteria,"HP,PT,TD,TH"
V1V3_091_Actinobacteria,"SUBP,SUPP"
V1V3_092_Betaproteobacteria,"BM,SUBP,SUPP,SV"
V1V3_093_Firmicutes,BM
V1V3_094_Fusobacteria,"PT,SUBP"
V1V3_095_Betaproteobacteria,KG
V1V3_096_Firmicutes,TD
V1V3_097_Actinobacteria,"SUBP,SUPP"
V1V3_098_Gammaproteobacteria,"BM,HP,KG,PT,SV,TD,TH"
V1V3_099_Firmicutes,"HP,PT,TD,TH"
V1V3_100_Firmicutes,"PT,TD,TH"
V1V3_101_Actinobacteria,"SUBP,SUPP"
V1V3_102_Gammaproteobacteria,"BM,HP,PT,SV,TD"
V1V3_103_Firmicutes,"BM,HP,SV,TD"
V1V3_104_Fusobacteria,"PT,TH"
V1V3_105_Firmicutes,"BM,HP,KG,PT,TD"
