HOMD Genome Explorer Raw Hits+ Date/IP/Country/Region Report
From: 2024-02-13 14:59:45+00:00   To: 2024-06-05 08:59:48-04:00
 ____________________________________________________________________________________________________
| Date        | IP               | Country                       | Region                            |
|____________________________________________________________________________________________________|
| 05/Jun/2024 | 114.119.156.134  | Singapore                     | Singapore                         |
| 05/Jun/2024 | 3.138.118.103    | United States                 | Ohio                              |
| 05/Jun/2024 | 3.138.118.103    | United States                 | Ohio                              |
| 05/Jun/2024 | 3.138.118.103    | United States                 | Ohio                              |
| 05/Jun/2024 | 51.222.253.5     | Canada                        | Quebec                            |
| 05/Jun/2024 | 18.117.189.157   | United States                 | Ohio                              |
| 05/Jun/2024 | 216.244.66.200   | United States                 | Washington                        |
| 05/Jun/2024 | 185.191.171.11   | United States                 | Virginia                          |
| 05/Jun/2024 | 85.208.96.204    | United States                 | Virginia                          |
| 05/Jun/2024 | 185.191.171.11   | United States                 | Virginia                          |
| 05/Jun/2024 | 85.208.96.211    | United States                 | Virginia                          |
| 05/Jun/2024 | 173.252.87.17    | United States                 | Texas                             |
| 05/Jun/2024 | 69.171.230.10    | United States                 | Oregon                            |
| 05/Jun/2024 | 216.244.66.200   | United States                 | Washington                        |
| 05/Jun/2024 | 85.208.96.210    | United States                 | Virginia                          |
| 05/Jun/2024 | 185.191.171.6    | United States                 | Virginia                          |
| 05/Jun/2024 | 216.244.66.239   | United States                 | Washington                        |
| 05/Jun/2024 | 85.208.96.210    | United States                 | Virginia                          |
| 05/Jun/2024 | 185.191.171.19   | United States                 | Virginia                          |
| 05/Jun/2024 | 85.208.96.206    | United States                 | Virginia                          |
| 05/Jun/2024 | 216.244.66.200   | United States                 | Washington                        |
| 05/Jun/2024 | 69.171.249.119   | United States                 | Virginia                          |
| 05/Jun/2024 | 69.171.249.118   | United States                 | Virginia                          |
| 05/Jun/2024 | 173.252.107.28   | United States                 | Virginia                          |
| 05/Jun/2024 | 85.208.96.201    | United States                 | Virginia                          |
| 05/Jun/2024 | 185.191.171.3    | United States                 | Virginia                          |
| 05/Jun/2024 | 173.252.87.111   | United States                 | Texas                             |
| 05/Jun/2024 | 85.208.96.201    | United States                 | Virginia                          |
| 05/Jun/2024 | 85.208.96.199    | United States                 | Virginia                          |
| 05/Jun/2024 | 69.171.249.120   | United States                 | Virginia                          |
| 05/Jun/2024 | 85.208.96.209    | United States                 | Virginia                          |
