D101	domain		Bacteria
P101	phylum		Bacteria;Bacillota
C101	klass		Bacteria;Bacillota;Bacilli
O101	order		Bacteria;Bacillota;Bacilli;Lactobacillales
F101	family		Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae
G101	genus		Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia
S101	species	HMT-389	Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia;defectiva
P102	phylum		Bacteria;Candidatus_Absconditabacteria
C102	klass		Bacteria;Candidatus_Absconditabacteria;Absconditabacteria_(SR1)_[C-1]
O102	order		Bacteria;Candidatus_Absconditabacteria;Absconditabacteria_(SR1)_[C-1];Absconditabacteria_(SR1)_[O-1]
F102	family		Bacteria;Candidatus_Absconditabacteria;Absconditabacteria_(SR1)_[C-1];Absconditabacteria_(SR1)_[O-1];Absconditabacteria_(SR1)_[F-1]
G102	genus		Bacteria;Candidatus_Absconditabacteria;Absconditabacteria_(SR1)_[C-1];Absconditabacteria_(SR1)_[O-1];Absconditabacteria_(SR1)_[F-1];Absconditabacteria_(SR1)_[G-1]
S102	species	HMT-345	Bacteria;Candidatus_Absconditabacteria;Absconditabacteria_(SR1)_[C-1];Absconditabacteria_(SR1)_[O-1];Absconditabacteria_(SR1)_[F-1];Absconditabacteria_(SR1)_[G-1];bacterium_HMT_345
S103	species	HMT-874	Bacteria;Candidatus_Absconditabacteria;Absconditabacteria_(SR1)_[C-1];Absconditabacteria_(SR1)_[O-1];Absconditabacteria_(SR1)_[F-1];Absconditabacteria_(SR1)_[G-1];bacterium_HMT_874
S104	species	HMT-875	Bacteria;Candidatus_Absconditabacteria;Absconditabacteria_(SR1)_[C-1];Absconditabacteria_(SR1)_[O-1];Absconditabacteria_(SR1)_[F-1];Absconditabacteria_(SR1)_[G-1];bacterium_HMT_875
S105	species	HMT-990	Bacteria;Candidatus_Absconditabacteria;Absconditabacteria_(SR1)_[C-1];Absconditabacteria_(SR1)_[O-1];Absconditabacteria_(SR1)_[F-1];Absconditabacteria_(SR1)_[G-1];bacterium_HMT_990
S106	species	HMT-991	Bacteria;Candidatus_Absconditabacteria;Absconditabacteria_(SR1)_[C-1];Absconditabacteria_(SR1)_[O-1];Absconditabacteria_(SR1)_[F-1];Absconditabacteria_(SR1)_[G-1];bacterium_HMT_991
P107	phylum		Bacteria;Pseudomonadota
C107	klass		Bacteria;Pseudomonadota;Betaproteobacteria
O107	order		Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales
F107	family		Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae
G107	genus		Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter
S107	species	HMT-343	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;xylosoxidans
F108	family		Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae
G108	genus		Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax
S108	species	HMT-211	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;caeni
S109	species	HMT-216	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;temperans
C110	klass		Bacteria;Pseudomonadota;Gammaproteobacteria
O110	order		Bacteria;Pseudomonadota;Gammaproteobacteria;Moraxellales
F110	family		Bacteria;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae
