Assembly,SRA_Accession,Submitters,Release_Date,Species,Genus,Family,Molecule_type,Sequence_Type,Genotype,Publications,Geo_Location,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
GCF_009685705.1,,"Brinks,E.",2021-03-08T13:59:31.973Z,Lactococcus phage P1048,,Siphoviridae,dsDNA,RefSeq,,,,,Lactococcus lactis,,,,ASM968570v1
GCF_002620465.1,,"Mahony,J., Moscarelli,A., Kelleher,P., Lugli,G.A., Ventura,M., Settanni,L., van Sinderen,D.",2021-03-08T13:59:13.200Z,Lactococcus phage AM4,,Siphoviridae,dsDNA,RefSeq,,1,Italy,,Lactococcus lactis,,,,ASM262046v1
GCF_002620665.1,,"Mahony,J., Moscarelli,A., Kelleher,P., Lugli,G.A., Ventura,M., Settanni,L., van Sinderen,D.",2021-03-08T13:58:52.907Z,Lactococcus phage LW81,,Siphoviridae,dsDNA,RefSeq,,1,Italy,,Lactococcus lactis,,,,ASM262066v1
GCF_002620365.1,,"Mahony,J., Moscarelli,A., Kelleher,P., Lugli,G.A., Ventura,M., Settanni,L., van Sinderen,D.",2021-03-08T13:58:33.207Z,Lactococcus phage AM1,,Siphoviridae,dsDNA,RefSeq,,1,Italy,,Lactococcus lactis,,,,ASM262036v1
GCF_002625325.1,,"Gilcrease,E.B., Casjens,S.R.",2021-03-08T13:57:57.437Z,Escherichia phage D6,,Myoviridae,dsDNA,RefSeq,,,,,Escherichia coli,,,,ASM262532v1
GCF_005075205.1,,"Liao,Y.-T., Quintela,I.A., Bridges,D.F., Liu,F., Sun,X., Wu,V.C.",2021-03-08T13:57:40.950Z,Escherichia phage vB_EcoM-Ro157c2YLVW,Punavirus,Myoviridae,dsDNA,RefSeq,,,USA,,Escherichia,,2017-05-03,,ASM507520v1
GCF_002755035.1,,"Lobocka,M.B., Rusin,M., Bugajska,O., Dobruk,A., Janowicz,A., Samojedny,A.",2021-03-08T13:57:26.020Z,Escherichia virus P1,Punavirus,Myoviridae,dsDNA,RefSeq,,,,,Enterobacteriaceae,,,,ASM275503v1
GCF_002633045.1,,"Kyle,J.L., Cummings,C.A., Parker,C.T., Quinones,B., Vatta,P., Newton,E., Huynh,S., Swimley,M., Degoricija,L., Barker,M., Fontanoz,S., Nguyen,K., Patel,R., Fang,R., Tebbs,R., Petrauskene,O., Furtado,M., Mandrell,R.E., Swimley,M.S.",2021-03-08T13:54:53.417Z,Escherichia phage JLK-2012,,Siphoviridae,dsDNA,RefSeq,,1,Iran,,Escherichia coli,,1963,,ASM263304v1
GCF_003423365.1,,"Perez,M.T., Bowman,C.A., Russell,D.A., Jacobs-Sera,D., Hatfull,G.F., King,R.A.",2021-03-08T13:53:52.833Z,Enterobacteria phage O276,Lambdavirus,Siphoviridae,dsDNA,RefSeq,,,,,Escherichia coli,,,,ASM342336v1
GCF_002602865.1,,"Ogura,Y., Mondal,S.I., Islam,M.R., Mako,T., Arisawa,K., Katsura,K., Ooka,T., Gotoh,Y., Murase,K., Ohnishi,M., Hayashi,T.",2021-03-08T13:52:19.780Z,Stx2-converting phage Stx2a_WGPS6,,Siphoviridae,dsDNA,RefSeq,,1,,,Escherichia coli O157:H7,,,,ASM260286v1
GCF_002602885.1,,"Ogura,Y., Mondal,S.I., Islam,M.R., Mako,T., Arisawa,K., Katsura,K., Ooka,T., Gotoh,Y., Murase,K., Ohnishi,M., Hayashi,T.",2021-03-08T13:52:04.403Z,Stx2-converting phage Stx2a_WGPS8,,Siphoviridae,dsDNA,RefSeq,,1,,,Escherichia coli O157:H7,,,,ASM260288v1
GCF_002594645.1,,"Strauch,E., Hammerl,J.A., Konietzny,A., Schneiker-Bekel,S., Arnold,W., Goesmann,A., Puhler,A., Beutin,L., Linke,B.",2021-03-08T13:51:48.997Z,Enterobacteria phage 2851,,Siphoviridae,dsDNA,RefSeq,,1,Germany,,Escherichia coli,,1993,,ASM259464v1
GCF_002602825.1,,"Ogura,Y., Mondal,S.I., Islam,M.R., Mako,T., Arisawa,K., Katsura,K., Ooka,T., Gotoh,Y., Murase,K., Ohnishi,M., Hayashi,T.",2021-03-08T13:51:34.247Z,Stx2-converting phage Stx2a_WGPS2,,Siphoviridae,dsDNA,RefSeq,,1,,,Escherichia coli O157:H7,,,,ASM260282v1
