phage_id	Assembly.NCBI	SRA_Accession.NCBI	Submitters.NCBI	Release_Date.NCBI	Species.NCBI	Genus.NCBI	Family.NCBI	Molecule_type.NCBI	Sequence_Type.NCBI	Geo_Location.NCBI	USA.NCBI	Host.NCBI	Isolation_Source.NCBI	Collection_Date.NCBI	BioSample.NCBI	GenBank_Title.NCBI
PHAGE-0001	GCF_000836905.1		Christie,G.E., Temple,L.M., Bartlett,B.A., Goodwin,T.S., Calendar,R., Yu,S., Myung,H., Barreiro,V., Odegrip,R., Bertani,L.E., Carlson,K., Davenport,L., Mosig,G., Haggard-Ljungquist,E., Haggard-Liungquist,E., Jacobsen,E., Rishovd,S., Six,W.S., Nilssen,O., Sunshine,M.G., Lindqvist,B.H., Kim,K.J., Koonin,E.V., Ziermann,R., Bartlett,B., Linderoth,N.A., Julien,B., Flick,K.E., Liu,Y., Saha,S., Halling,C., Six,E.W., Williams,J., Forsburg,S.L., Kurnit,D.M., Cheng,H., Yu,A., Nordstrom,K., Kockum,K., Feiwell,R., Birkeland,N.K., Lindquist,B.H., Ljungquist,E., Murray,K., Isaksson-Forsen,A.G., Challberg,M., Englund,P.T., Murray,N.E., Haggard,E.B.	2015-02-12T16:28:47.170Z	Escherichia virus P2	Peduovirus	Myoviridae	dsDNA	RefSeq			Escherichia coli				ViralProj14035
PHAGE-0002	GCF_000836925.1		Hill,D.F., Hughes,G., McNaughton,J.C., Stockwell,P.A., Petersen,G.B.	2015-02-12T16:28:52.943Z	Escherichia virus If1	Infulavirus	Inoviridae	ssDNA(+)	RefSeq			Escherichia coli				ViralProj14039
PHAGE-0003	GCF_000836945.1		Miller,E.S., Kutter,E., Mosig,G., Arisaka,F., Kunisawa,T., Ruger,W., Ho,C.K., Shuman,S., Shcherbakov,V., Granovsky,I., Plugina,L., Shcherbakova,T., Sizova,S., Pyatkov,K., Shlyapnikov,M., Shubina,O., Xu,W., Gauss,P., Shen,J., Dunn,C.A., Bessman,M.J., Truncaite,L., Zajanckauskaite,A., Nivinskas,R., Belle,A., Landthaler,M., Shub,D.A., Stehr,M., Schneider,G., Aslund,F., Holmgren,A., Lindqvist,Y., Ramanculov,E., Young,R., Vaiskunaite,R., Miller,A., Davenport,L., Colowick,N.E., Pietz,B.C., Franklin,J.L., Haseltine,D., Wang,F.J., Ripley,L.S., Paddison,P., Abedon,S.T., Dressman,H.K., Gailbreath,K., Tracy,J., Mosser,E., Neitzel,J., Guttman,B., Kim,B.C., Kim,K., Park,E.H., Lim,C.J., Kadyrov,F.A., Shlyapnikov,M.G., Kryukov,V.M., Malys,N., Carles-Kinch,K., George,J.W., Kreuzer,K.N., Kai,T., Selick,H.E., Yonesaki,T., Penner,M., Morad,I., Snyder,L., Kaufmann,G., Bova,R., Cascino,A., Cipollaro,M., Gargano,S., Grau,O., Micheli,M.R., Santoro,M., Scarlato,V., Storlazzi,A., Young,P., Ohman,M., Sjoberg,B.M., Koch,T., Bouet,J.Y., Woszczyk,J., Repoila,F., Francois,V., Louarn,J.M., Krisch,H.M., Stormo,G.D., Dyson,R.L., Alberts,B.M., Orsini,G., Ouhammouch,M., Le Caer,J.P., Brody,E.N., Hacker,K.J., Sanson,B., Uzan,M., Sharma,M., Ellis,R.L., Hinton,D.M., Raudonikiene,A., Viteniene,I., Gruidl,M.E., Chen,T.C., Efimov,V.P., Prilipov,A.G., Mesyanzhinov,V.V., Brody,E., Favre,R., Kaliman,A.V., Khasanova,M.A., Tanyashin,V.I., Bayev,A.A., Powell,D., Franklin,J., Daegelen,P., Frazier,M.W., Maley,G.F., Duceman,B.W., Wang,A.M., Martinez,J., Maley,F., Marusich,E.I., Lin,G.W., Fan,W.H., Hahn,S., Hilse,D., Lu,M.J., Henning,U., Lamm,N., Selivanov,N.A., Black,L.W., Nikolaeva,L.I., Tseng,M.J., Hilfinger,J.M., Walsh,A., Greenberg,G.R., Spicer,E.K., Rush,J., Fung,C., Reha-Krantz,L.J., Karam,J.D., Konigsberg,W.H., Ishimoto,L.K., Ishimoto,K.S., Eiserling,F.A., Nakako,T., Takahashi,H., Ishii,S., Wang,Y., Mathews,C.K., Ishimoto,L., Kassavetis,G., Kumazaki,T., Huang,W.M., Ao,S.Z., Casjens,S., Orlandi,R., Zeikus,R., Weiss,R., Winge,D., Fang,M., Montag,D., Degen,M., Riede,I., Eschbach,M.L., Tomaschewski,J., Hsu,T., Wei,R.X., Dawson,M., Gayle,M., Winter,R.B., Gold,L., Chu,F.K., Valerie,K., Stevens,J., Lynch,M., Henderson,E.E., de Riel,J.K., Hahne,S., Mathews,C.Z., Rand,K.N., Gait,M.J., West,D.K., Belfort,M., Keller,B., Bickle,T.A., Gram,H., Crabb,J.W., Fujisawa,H., Minagawa,T., Broida,J., Abelson,J., Midgley,C.A., Murray,N.E., Parker,M.L., Christensen,A.C., Boosman,A., Stockard,J., Young,E.T., Doermann,A.H., Macdonald,P.M., Sengstag,C., Kellenberger,E., Drivdahl,R., Rand,K., Trojanowska,M., Karam,J., Stormo,G., Purohit,S., Armstrong,J., Brown,R.S., Tsugita,A., Owen,J.E., Schultz,D.W., Taylor,A., Smith,G.R., Volker,T.A., Gafner,J., Showe,M.K., Allet,B., Oliver,D.B., Crowther,R.A., Pribnow,D., Sigurdson,D.C., Singer,B.S., Napoli,C., Brosius,J., Dull,T.J., Noller,H.F., Anderson,B., Zurabishvili,T., Marusich,E., Schneider,M., Mullins,T., Napuli,A., Mesyanzhinov,V., Drake,J.W., Nguyen,D., Dressman,H., Goldberg,E.B., Ueno,H., Otsuko,Y., Morimoto,W., Kreuzer,K., Stidham,T., Thomas,E., Mzhavia,N., Djavachishvili,T., Peterson,S., Eidemiller,J., Awaya,M., Canada,W., Dimitroff,B., Blattner,F., Nakanishi,M., Alberts,B., Yasuda,G., Parker,M., Doermann,G.	2015-02-12T16:28:59.173Z	Escherichia virus T4	Tequatrovirus	Myoviridae	dsDNA	RefSeq			Escherichia coli				ViralProj14044
PHAGE-0004	GCF_000837225.1		Morgan,G.J., Hatfull,G.F., Casjens,S., Hendrix,R.W., Morgan,G., Hatfull,G., Hendrix,R.	2015-02-12T16:29:57.607Z	Escherichia virus Mu	Muvirus	Myoviridae	dsDNA	RefSeq			Escherichia coli				ViralProj14105
PHAGE-0005	GCF_000837265.1		Chopin,A., Bolotin,A., Sorokin,A., Ehrlich,S.D., Chopin,M., Chopin,M.-C.	2015-02-12T16:30:04.913Z	Lactococcus phage bIL312		Siphoviridae	dsDNA	RefSeq			Lactococcus lactis subsp. lactis Il1403				ViralProj14113
PHAGE-0006	GCF_000837365.1		Desiere,F., Lucchini,S., Brussow,H., Bruttin,A.	2015-02-12T16:30:21.857Z	Streptococcus virus Sfi21	Moineauvirus	Siphoviridae	dsDNA	RefSeq			Streptococcus thermophilus				ViralProj14133
PHAGE-0007	GCF_000837385.1		Narita,S., Kaneko,J., Chiba,J., Piemont,Y., Jarraud,S., Etienne,J., Kamio,Y.	2015-02-12T16:30:24.607Z	Staphylococcus virus phiSLT	Triavirus	Siphoviridae	dsDNA	RefSeq			Staphylococcus aureus				ViralProj14137
PHAGE-0008	GCF_000837405.1		Yamaguchi,T., Hayashi,T., Takami,H., Nakasone,K., Ohnishi,M., Nakayama,K., Yamada,S., Komatsuzawa,H., Sugai,M.	2015-02-12T16:30:29.043Z	Staphylococcus virus phiETA	Phietavirus	Siphoviridae	dsDNA	RefSeq			Staphylococcus aureus				ViralProj14141
PHAGE-0009	GCF_000837665.1		Lubbers,M.W., Waterfield,N.R., Beresford,T.P., Le Page,R.W., Jarvis,A.W., Ward,L.J., Jarvis,B.D.	2015-02-12T16:31:07.040Z	Lactococcus virus c2	Ceduovirus	Siphoviridae	dsDNA	RefSeq			Lactococcus lactis				ViralProj14029
PHAGE-0010	GCF_000837685.1		Lazarevic,V., Soldo,B., Dusterhoft,A., Hilbert,H., Mauel,C., Karamata,D., Duesterhoeft,A.	2015-02-12T16:31:12.560Z	Bacillus virus SPbeta	Spbetavirus	Siphoviridae	dsDNA	RefSeq			Bacillus subtilis				ViralProj14034
