"taxonomy_ranked_id","rank","fixed_id","HMT","tax_string","domain_id","domain","phylum_id","phylum","klass_id","klass","order_id","order","family_id","family","genus_id","genus","species_id","species","subspecies_id","subspecies"
3169,"domain","D497","","Archaea",2843,"Archaea",1,"",1,"",1,"",1,"",1,"",1,"",1,""
3170,"phylum","P497","","Archaea;Euryarchaeota",2843,"Archaea",2843,"Euryarchaeota",1,"",1,"",1,"",1,"",1,"",1,""
3171,"class","C497","","Archaea;Euryarchaeota;Methanobacteria",2843,"Archaea",2843,"Euryarchaeota",2843,"Methanobacteria",1,"",1,"",1,"",1,"",1,""
3172,"order","O497","","Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales",2843,"Archaea",2843,"Euryarchaeota",2843,"Methanobacteria",2843,"Methanobacteriales",1,"",1,"",1,"",1,""
3173,"family","F497","","Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae",2843,"Archaea",2843,"Euryarchaeota",2843,"Methanobacteria",2843,"Methanobacteriales",2843,"Methanobacteriaceae",1,"",1,"",1,""
3174,"genus","G497","","Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter",2843,"Archaea",2843,"Euryarchaeota",2843,"Methanobacteria",2843,"Methanobacteriales",2843,"Methanobacteriaceae",2982,"Methanobrevibacter",1,"",1,""
3175,"species","S497","HMT-815","Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;oralis",2843,"Archaea",2843,"Euryarchaeota",2843,"Methanobacteria",2843,"Methanobacteriales",2843,"Methanobacteriaceae",2982,"Methanobrevibacter",2324,"oralis",1,""
1,"domain","D101","","Bacteria",2201,"Bacteria",1,"",1,"",1,"",1,"",1,"",1,"",1,""
122,"phylum","P116","","Bacteria;Actinomycetota",2201,"Bacteria",2216,"Actinomycetota",1,"",1,"",1,"",1,"",1,"",1,""
123,"class","C116","","Bacteria;Actinomycetota;Actinomycetes",2201,"Bacteria",2216,"Actinomycetota",2997,"Actinomycetes",1,"",1,"",1,"",1,"",1,""
124,"order","O116","","Bacteria;Actinomycetota;Actinomycetes;Actinomycetales",2201,"Bacteria",2216,"Actinomycetota",2997,"Actinomycetes",2274,"Actinomycetales",1,"",1,"",1,"",1,""
125,"family","F116","","Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae",2201,"Bacteria",2216,"Actinomycetota",2997,"Actinomycetes",2274,"Actinomycetales",2351,"Actinomycetaceae",1,"",1,"",1,""
126,"genus","G116","","Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces",2201,"Bacteria",2216,"Actinomycetota",2997,"Actinomycetes",2274,"Actinomycetales",2351,"Actinomycetaceae",2470,"Actinomyces",1,"",1,""
263,"species","S133","HMT-888","Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;dentalis",2201,"Bacteria",2216,"Actinomycetota",2997,"Actinomycetes",2274,"Actinomycetales",2351,"Actinomycetaceae",2470,"Actinomyces",2816,"dentalis",1,""
199,"species","S125","HMT-618","Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;gerencseriae",2201,"Bacteria",2216,"Actinomycetota",2997,"Actinomycetes",2274,"Actinomycetales",2351,"Actinomycetaceae",2470,"Actinomyces",2846,"gerencseriae",1,""
255,"species","S132","HMT-866","Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;graevenitzii",2201,"Bacteria",2216,"Actinomycetota",2997,"Actinomycetes",2274,"Actinomycetales",2351,"Actinomycetaceae",2470,"Actinomyces",3033,"graevenitzii",1,""
207,"species","S126","HMT-645","Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;israelii",2201,"Bacteria",2216,"Actinomycetota",2997,"Actinomycetes",2274,"Actinomycetales",2351,"Actinomycetaceae",2470,"Actinomyces",2865,"israelii",1,""
239,"species","S130","HMT-849","Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;johnsonii",2201,"Bacteria",2216,"Actinomycetota",2997,"Actinomycetes",2274,"Actinomycetales",2351,"Actinomycetaceae",2470,"Actinomyces",2596,"johnsonii",1,""
247,"species","S131","HMT-852","Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;massiliensis",2201,"Bacteria",2216,"Actinomycetota",2997,"Actinomycetes",2274,"Actinomycetales",2351,"Actinomycetaceae",2470,"Actinomyces",3019,"massiliensis",1,""
159,"species","S120","HMT-176","Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;naeslundii",2201,"Bacteria",2216,"Actinomycetota",2997,"Actinomycetes",2274,"Actinomycetales",2351,"Actinomycetaceae",2470,"Actinomyces",2478,"naeslundii",1,""
223,"species","S128","HMT-708","Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;oricola",2201,"Bacteria",2216,"Actinomycetota",2997,"Actinomycetes",2274,"Actinomycetales",2351,"Actinomycetaceae",2470,"Actinomyces",2911,"oricola",1,""
271,"species","S134","HMT-893","Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;oris",2201,"Bacteria",2216,"Actinomycetota",2997,"Actinomycetes",2274,"Actinomycetales",2351,"Actinomycetaceae",2470,"Actinomyces",2610,"oris",1,""
