OLIGOTYPE,PHYLUM,NUM_BEST_HITS,BEST_PCT_ID,BEST_FULL_PCT_ID,HMTs,BODY_SITE,Assign_reads_to,Notes,HOMD_SPECIES,STRAIN_CLONE,HOMD_REFSEQ_ID,GB_NCBI_ID,HOMD_STATUS,
V3V5_130_Bacteroidetes,Bacteroidetes,1,100,100,HMT-206,BM,100,,Bergeyella sp. HMT 206,Clone: 3P2-77,206N109B,EF419382,Phylotype,
V3V5_017_Gammaproteobacteria,Gammaproteobacteria,1,100,100,HMT-718,"BM,HP,KG,PT,SV,TD",100,,Haemophilus parainfluenzae,Clone: ncd81b03c1,718N000A,HM255881,Named,
V3V5_041_Gammaproteobacteria,Gammaproteobacteria,1,100,100,"HMT-945,HMT-945","BM,HP,KG,PT,SV,TH",100,,"Haemophilus parahaemolyticus,Haemophilus parahaemolyticus","Strain: NCTC 8479,Strain: G321","945_5746,945_5384","AJ295746,LK985384","Named,Named",
V3V5_154_Gammaproteobacteria,Gammaproteobacteria,1,100,100,HMT-944,"BM,PT,SV,TH",100,,Haemophilus sputorum,Strain: CCUG 13788,944_6642,JF506642,Named,
V3V5_115_Firmicutes,Firmicutes,1,100,100,HMT-389,"BM,SUBP,SUPP",100,,Abiotrophia defectiva,Strain: ATCC 49176,389_0541,D50541,Named,
V3V5_190_Betaproteobacteria,Betaproteobacteria,1,100,100,HMT-014,"BM,SUBP,SUPP,SV",100,,Neisseria oralis,Clone: AP085,014AP085,AY005023,Named,
V3V5_146_Betaproteobacteria,Betaproteobacteria,1,100,100,HMT-683,HP,100,,Simonsiella muelleri,Strain: ATCC29453T,683_8147,AF328147,Named,
V3V5_227_Betaproteobacteria,Betaproteobacteria,1,100,100,HMT-459,HP,100,,Kingella sp. HMT 459,Clone: ID059,459ID059,AY349381,Phylotype,
V3V5_027_Bacteroidetes,Bacteroidetes,1,100,100,HMT-714,"HP,PT,SV,TD,TH",100,,Prevotella pallens,Strain: JCM 11140,714_3121,NR_113121,Named,
V3V5_046_Bacteroidetes,Bacteroidetes,1,100,100,HMT-914,"HP,PT,SV,TD,TH",100,,Alloprevotella sp. HMT 914,Clone: ncd78e11c1,914_7808,HM247808,Phylotype,
V3V5_060_Firmicutes,Firmicutes,1,100,100,"HMT-122,HMT-122","HP,PT,SV,TD,TH",100,,"Megasphaera micronuciformis,Megasphaera micronuciformis","Clone: 16sps19-3e12.p1k,Clone: BU057","122_6527,122BU057","FM996527,AF385566","Named,Named",
V3V5_088_Bacteroidetes,Bacteroidetes,1,100,100,HMT-795,"HP,PT,SV,TD,TH",100,,Prevotella shahii,Strain: JCM 12083,795_8825,AB108825,Named,
V3V5_121_Bacteroidetes,Bacteroidetes,1,100,100,HMT-299,"HP,PT,SV,TD,TH",100,,Prevotella nanceiensis,Clone: BI027,299BI027,AY005064,Named,
V3V5_131_Firmicutes,Firmicutes,1,100,100,HMT-097,"HP,PT,SV,TD,TH",100,,Stomatobaculum sp. HMT 097,Clone: DO016,097DO016,AF385510,Unnamed,
V3V5_160_Bacteroidetes,Bacteroidetes,1,100,100,HMT-943,"HP,PT,SV,TD,TH",100,,Prevotella aurantiaca,Strain: OMA31,943_2878,NR_112878,Named,
V3V5_164_Firmicutes,Firmicutes,1,100,100,HMT-467,"HP,PT,SV,TD,TH",100,,Peptostreptococcaceae [XI][G-1] [Eubacterium] sulci,Strain: ATCC 35585,467_6963,AJ006963,Named,
V3V5_193_Firmicutes,Firmicutes,1,100,100,HMT-593,"HP,PT,SV,TD,TH",100,,Mogibacterium diversum,Strain: ATCC 700923,593_7874,AB037874,Named,
V3V5_080_Actinobacteria,Actinobacteria,1,100,100,HMT-866,"HP,PT,TD,TH",100,,Actinomyces graevenitzii,Strain: F0530,866F0530,tbd,Named,
V3V5_249_Gammaproteobacteria,Gammaproteobacteria,1,100,100,HMT-663,"HP,TH",100,,Stenotrophomonas maltophilia,Strain: LMG 958,663_5923,X95923,Named,
V3V5_037_Gammaproteobacteria,Gammaproteobacteria,1,100,100,"HMT-035,HMT-035",KG,100,,"Haemophilus paraphrohaemolyticus,Haemophilus paraphrohaemolyticus","Strain: NCTC 10670,Clone: ELU0153-000341","035_8142,035_3523","NR_118142,HQ803523","Named,Named",
V3V5_038_Firmicutes,Firmicutes,1,100,100,HMT-780,KG,100,,Veillonella sp. HMT 780,Strain: F0009,780F0009,GQ422743,Unnamed,
V3V5_054_Gammaproteobacteria,Gammaproteobacteria,1,100,100,HMT-036,KG,100,,Haemophilus sp. HMT 036,Clone: 16slp93-3e06.p1k,036_8981,GQ158981,Unnamed,
V3V5_059_Bacteroidetes,Bacteroidetes,1,100,100,HMT-930,KG,100,,Porphyromonas sp. HMT 930,Clone: 071041_260,930_8499,JQ468499,Phylotype,
V3V5_063_Bacteroidetes,Bacteroidetes,1,100,100,HMT-473,KG,100,,Alloprevotella sp. HMT 473,Clone: IK062,473IK062,AY349402,Unnamed,
V3V5_069_Bacteroidetes,Bacteroidetes,1,100,100,HMT-473,KG,100,,Alloprevotella sp. HMT 473,Clone: HF050,473HF050,AY349399,Unnamed,
V3V5_077_Betaproteobacteria,Betaproteobacteria,1,100,100,HMT-956,KG,100,,Neisseria cinerea,Strain: ATCC 14685,956_1687,NR_121687,Named,
V3V5_166_Fusobacteria,Fusobacteria,1,100,100,HMT-248,KG,100,,Fusobacterium sp. HMT 248,Strain: Marseille-P2749,248N122A,LT576389,Unnamed,
V3V5_025_Gammaproteobacteria,Gammaproteobacteria,1,100,100,HMT-718,"KG,SUBP,SUPP",100,,Haemophilus parainfluenzae,Strain: CIP 102513,718_3530,EU083530,Named,
V3V5_049_Fusobacteria,Fusobacteria,1,100,100,HMT-200,"PT,SUBP",100,,Fusobacterium nucleatum subsp. vincentii,Clone: _R002,200_R002,AF287806,Named,
V3V5_068_Bacteroidetes,Bacteroidetes,1,100,100,"HMT-643,HMT-643","PT,SUBP",100,,"Prevotella intermedia,Prevotella intermedia","Strain: JCM 12248,Strain: 17","643_3106,643_2907","NR_113106,NR_102907","Named,Named",
V3V5_083_Bacteroidetes,Bacteroidetes,1,100,100,"HMT-291,HMT-291","PT,SUBP",100,,"Prevotella denticola,Prevotella denticola","Strain: ATCC 35308,Clone: AH005","291_3524,291AH005","AY323524,AY005053","Named,Named",
V3V5_094_Bacteroidetes,Bacteroidetes,1,100,100,"HMT-273,HMT-273","PT,SUBP",100,,"Porphyromonas endodontalis,Porphyromonas endodontalis","Clone: P2PB_52,Strain: ATCC 35406","273_7054,273_6491","AY207054,L16491","Named,Named",
V3V5_103_Bacteroidetes,Bacteroidetes,1,100,100,HMT-466,"PT,SUBP",100,,Alloprevotella tannerae,Strain: ATCC 51259,466_5634,AJ005634,Named,
V3V5_111_Bacteroidetes,Bacteroidetes,1,100,100,HMT-693,"PT,SUBP",100,,Prevotella nigrescens,Strain: NCTC 9336,693_3963,X73963,Named,
V3V5_198_Firmicutes,Firmicutes,1,100,100,HMT-557,"PT,SUBP",100,,Peptostreptococcaceae [XI][G-9] [Eubacterium] brachy,Strain: ATCC 33089,557_3038,U13038,Named,
V3V5_213_Bacteroidetes,Bacteroidetes,1,100,100,"HMT-572,HMT-572","PT,SUBP",100,,"Prevotella veroralis,Prevotella veroralis","Strain: JCM 6290,Clone: 071062_262","572_3124,572_4079","NR_113124,JQ474079","Named,Named",
V3V5_238_Firmicutes,Firmicutes,1,100,100,HMT-539,"PT,SUBP",100,,Filifactor alocis,Strain: ATCC 35896,539_6962,AJ006962,Named,
V3V5_242_Gammaproteobacteria,Gammaproteobacteria,1,100,100,HMT-545,"PT,SUBP",100,,Aggregatibacter aphrophilus,Strain: F0387,545F0387,tbd,Named,
V3V5_243_Actinobacteria,Actinobacteria,1,100,100,HMT-750,"PT,SUBP",100,,Atopobium rimae,Strain: ATCC49626,750_2371,AF292371,Named,
V3V5_325_Firmicutes,Firmicutes,1,100,100,"HMT-167,HMT-167","PT,SUBP",100,,"Peptococcus sp. HMT 167,Peptococcus sp. HMT 167","Clone: 34q_22,Strain: GEA8","167_1292,167GEA8","HE681292,GQ422727","Lost,Lost",
V3V5_373_Spirochaetes,Spirochaetes,1,100,100,HMT-253,"PT,SUBP",100,,Treponema sp. HMT 253,Clone: BQ032,253BQ032,AF182838,Phylotype,
V3V5_359_Spirochaetes,Spirochaetes,1,100,100,HMT-541,"PT,SUBP,SUPP,SV",100,,Treponema amylovorum,Strain: D62CR12,541_3045,AF023045,Named,
V3V5_181_Bacteroidetes,Bacteroidetes,1,100,100,HMT-337,"PT,SUBP,SUPP,TD,TH",100,,Capnocytophaga gingivalis,Strain: S3,337-S3,AY005073,Named,
V3V5_086_Fusobacteria,Fusobacteria,1,100,100,HMT-222,"PT,SUBP,SUPP,TH",100,,Leptotrichia wadei,Strain: A39FD,222_7816,AF287816,Named,
V3V5_072_Firmicutes,Firmicutes,1,100,100,HMT-165,"PT,SUBP,SV,TD,TH",100,,Catonella morbi,Clone: EZ006,165EZ006,AF385577,Named,
V3V5_263_Bacteroidetes,Bacteroidetes,1,100,100,HMT-782,"PT,SUBP,TH",100,,Prevotella fusca,Strain: JCM 17724,782_4304,NR_114304,Named,
V3V5_006_Fusobacteria,Fusobacteria,1,100,100,HMT-201,"PT,SV,TD,TH",100,,Fusobacterium periodonticum,Clone: BS011,201BS011,AF432130,Named,
V3V5_152_Bacteroidetes,Bacteroidetes,1,100,100,"HMT-309,HMT-309","PT,SV,TH",100,,"Prevotella sp. HMT 309,Prevotella sp. HMT 309","Clone: DO045,Clone: 3083","309DO045,309_6203","AF385515,FJ976203","Phylotype,Phylotype",
V3V5_294_Bacteroidetes,Bacteroidetes,1,100,100,HMT-305,"PT,SV,TH",100,,Prevotella sp. HMT 305,Clone: 070055_034,305_0424,JQ460424,Phylotype,
V3V5_353_Bacteroidetes,Bacteroidetes,1,100,100,HMT-285,"PT,SV,TH",100,,Porphyromonas sp. HMT 285,Clone: _F016,285_F016,AY005069,Phylotype,
V3V5_022_Fusobacteria,Fusobacteria,1,100,100,HMT-417,"PT,TD,TH",100,,Leptotrichia sp. HMT 417,Clone: C3MKM102,417_8621,AY278621,Unnamed,
V3V5_043_Firmicutes,Firmicutes,1,100,100,HMT-096,"PT,TD,TH",100,,Lachnospiraceae [G-2] bacterium HMT 096,Clone: DO008,096DO008,AF385508,Unnamed,
V3V5_045_Fusobacteria,Fusobacteria,1,100,100,HMT-221,"PT,TD,TH",100,,Leptotrichia sp. HMT 221,Clone: FP036,221FP036,AF432138,Unnamed,
V3V5_062_Firmicutes,Firmicutes,1,100,100,"HMT-082,HMT-082","PT,TD,TH",100,,"Lachnoanaerobaculum orale,Lachnoanaerobaculum orale","Clone: BE088,Strain: F0431","082BE088,082F0431","AF385552,tbd","Named,Named",
V3V5_091_Actinobacteria,Actinobacteria,1,100,100,HMT-866,"PT,TD,TH",100,,Actinomyces graevenitzii,Strain: CCUG 27294,866_2167,NR_042167,Named,
V3V5_110_Fusobacteria,Fusobacteria,1,100,100,HMT-215,"PT,TD,TH",100,,Leptotrichia sp. HMT 215,Clone: DR011,215DR011,AF385518,Unnamed,
V3V5_187_Firmicutes,Firmicutes,1,100,100,HMT-521,"PT,TH",100,,Mitsuokella sp. HMT 521,Clone: MB5_P06,521_3628,DQ003628,Phylotype,
V3V5_036_Fusobacteria,Fusobacteria,1,100,100,HMT-420,SUBP,100,,Fusobacterium nucleatum subsp. animalis,Strain: NCTC 12276,420_5404,X55404,Named,
V3V5_047_Bacteroidetes,Bacteroidetes,1,100,100,HMT-311,SUBP,100,,Prevotella oris,Strain: ATCC 33573,311_6474,L16474,Named,
V3V5_056_Bacteroidetes,Bacteroidetes,1,100,100,HMT-693,SUBP,100,,Prevotella nigrescens,Strain: F0103,693F0103,GU470890,Named,
V3V5_090_Bacteroidetes,Bacteroidetes,1,100,100,"HMT-273,HMT-273",SUBP,100,,"Porphyromonas endodontalis,Porphyromonas endodontalis","Clone: BB134,Clone: AJ002","273BB134,273AJ002","AY005068,AY005067","Named,Named",
V3V5_127_Spirochaetes,Spirochaetes,1,100,100,HMT-584,SUBP,100,,Treponema denticola,Strain: ATCC 33520,584_1236,M71236,Named,
V3V5_149_Fusobacteria,Fusobacteria,1,100,100,HMT-420,SUBP,100,,Fusobacterium nucleatum subsp. animalis,Clone: C4AKM033,420_8617,AY278617,Named,
V3V5_188_Bacteroidetes,Bacteroidetes,1,100,100,HMT-613,SUBP,100,,Tannerella forsythia,Strain: FDC 338,613_6495,L16495,Named,
V3V5_203_Bacteroidetes,Bacteroidetes,1,100,100,HMT-619,SUBP,100,,Porphyromonas gingivalis,Strain: DSM 20709,619_3964,X73964,Named,
V3V5_205_Bacteroidetes,Bacteroidetes,1,100,100,"HMT-472,HMT-472",SUBP,100,,"Prevotella sp. HMT 472,Prevotella sp. HMT 472","Clone: GU027,Clone: 070034_820","472GU027,472_2261","AY349398,JQ462261","Unnamed,Unnamed",
V3V5_224_Spirochaetes,Spirochaetes,1,100,100,HMT-653,SUBP,100,,Treponema lecithinolyticum,Clone: GF6,653_3040,AF023040,Named,
V3V5_237_Bacteroidetes,Bacteroidetes,1,100,100,HMT-303,SUBP,100,,Prevotella pleuritidis,Clone: 102D01,303_9992,AM419992,Named,
V3V5_256_Fusobacteria,Fusobacteria,1,100,100,HMT-845,SUBP,100,,Leptotrichia goodfellowii,Strain: F0264,845F0264,FJ577259,Named,
V3V5_306_Spirochaetes,Spirochaetes,1,100,100,HMT-238,SUBP,100,,Treponema sp. HMT 238,Clone: AT020,238AT020,AF061347,Phylotype,
V3V5_311_Firmicutes,Firmicutes,1,100,100,HMT-121,SUBP,100,,Anaeroglobus geminatus,Clone: BB166,121BB166,AF287783,Named,
V3V5_313_Spirochaetes,Spirochaetes,1,100,100,HMT-508,SUBP,100,,Treponema sp. HMT 508,Clone: MB2_G19,508_3618,DQ003618,Phylotype,
V3V5_321_Actinobacteria,Actinobacteria,1,100,100,HMT-723,SUBP,100,,Atopobium parvulum,Strain: ATCC22793,723_2372,AF292372,Named,
V3V5_328_Actinobacteria,Actinobacteria,1,100,100,HMT-618,SUBP,100,,Actinomyces gerencseriae,Strain: DSM 6844,618_0414,X80414,Named,
V3V5_334_Bacteroidetes,Bacteroidetes,1,100,100,HMT-338,SUBP,100,,Capnocytophaga sp. HMT 338,Strain: FDC 8,338Capn8,U41352,Unnamed,
V3V5_336_Spirochaetes,Spirochaetes,1,100,100,HMT-234,SUBP,100,,Treponema sp. HMT 234,Clone: _Y001,234_Y001,AF023056,Phylotype,
V3V5_339_Spirochaetes,Spirochaetes,1,100,100,HMT-246,SUBP,100,,Treponema sp. HMT 246,Clone: _T001,246_T001,AF023031,Phylotype,
V3V5_351_Spirochaetes,Spirochaetes,1,100,100,HMT-265,SUBP,100,,Treponema sp. HMT 265,Clone: _U007A,265_U007,AF023046,Phylotype,
V3V5_364_Spirochaetes,Spirochaetes,1,100,100,HMT-270,SUBP,100,,Treponema sp. HMT 270,Clone: DD012,270DD012,GQ422733,Phylotype,
V3V5_370_Spirochaetes,Spirochaetes,1,100,100,"HMT-239,HMT-239",SUBP,100,,"Treponema sp. HMT 239,Treponema sp. HMT 239","Clone: AF026,Clone: JU031","239AF026,239JU031","AF061348,AY349416","Phylotype,Phylotype",
V3V5_378_Spirochaetes,Spirochaetes,1,100,100,HMT-263,SUBP,100,,Treponema sp. HMT 263,Clone: BH022,263BH022,AF182837,Phylotype,
V3V5_389_Spirochaetes,Spirochaetes,1,100,100,HMT-254,SUBP,100,,Treponema sp. HMT 254,Clone: AT013,254AT013,AF182836,Phylotype,
V3V5_125_Firmicutes,Firmicutes,1,100,100,"HMT-118,HMT-118","SUBP,ST",100,,"Dialister invisus,Dialister invisus","Clone: BS095,Strain: GBA27","118BS095,118GBA27","AF287787,AF287788","Named,Named",
V3V5_011_Actinobacteria,Actinobacteria,1,100,100,HMT-666,"SUBP,SUPP",100,,Corynebacterium matruchotii,Strain: ChDC OS35,666_3287,AF543287,Named,
V3V5_026_Bacteroidetes,Bacteroidetes,1,100,100,"HMT-775,HMT-775","SUBP,SUPP",100,,"Capnocytophaga sputigena,Capnocytophaga sputigena","Strain: ATCC 33612,Clone: 071064_219","775_7609,775_4920","X67609,JQ474920","Named,Named",
V3V5_034_Actinobacteria,Actinobacteria,1,100,100,"HMT-595,HMT-595,HMT-595","SUBP,SUPP",100,,"Corynebacterium durum,Corynebacterium durum,Corynebacterium durum","Strain: IBS G15036,Strain: F0235a,Strain: F0235b","595_7069,595F235a,595F235b","Z97069,tbd,tbd","Named,Named,Named",
V3V5_044_Actinobacteria,Actinobacteria,1,100,100,"HMT-188,HMT-188","SUBP,SUPP",100,,"Rothia aeria,Rothia aeria","Strain: CCUG 25688,Clone: ncd2429e02c1","188_3025,188_0891","Y13025,JF210891","Named,Named",
V3V5_048_Bacteroidetes,Bacteroidetes,1,100,100,HMT-337,"SUBP,SUPP",100,,Capnocytophaga gingivalis,Strain: ATCC 33624,337_7608,X67608,Named,
V3V5_058_Betaproteobacteria,Betaproteobacteria,1,100,100,HMT-598,"SUBP,SUPP",100,,Neisseria elongata,Strain: ATCC 25295,598_6171,L06171,Named,
V3V5_064_Bacteroidetes,Bacteroidetes,1,100,100,HMT-325,"SUBP,SUPP",100,,Capnocytophaga granulosa,Strain: LMG 16022,325_1347,U41347,Named,
V3V5_078_Gammaproteobacteria,Gammaproteobacteria,1,100,100,HMT-720,"SUBP,SUPP",100,,Aggregatibacter paraphrophilus,Strain: ATCC 29241,720_5042,M75042,Named,
V3V5_096_Fusobacteria,Fusobacteria,1,100,100,HMT-213,"SUBP,SUPP",100,,Leptotrichia hongkongensis,Clone: DA069,213DA069,AF287811,Named,
V3V5_104_Betaproteobacteria,Betaproteobacteria,1,100,100,HMT-022,"SUBP,SUPP",100,,Lautropia mirabilis,Clone: AP009,022AP009,AY005030,Named,
V3V5_107_Actinobacteria,Actinobacteria,1,100,100,"HMT-183,HMT-183","SUBP,SUPP",100,,"Peptidiphaga sp. HMT 183,Peptidiphaga sp. HMT 183","Strain: P2P_19,Clone: EL030","183_7066,183_8311","AY207066,AY008311","Unnamed,Unnamed",
V3V5_109_Bacteroidetes,Bacteroidetes,1,100,100,HMT-326,"SUBP,SUPP",100,,Capnocytophaga sp. HMT 326,Strain: F0382,326F0382,tbd,Unnamed,
V3V5_114_Betaproteobacteria,Betaproteobacteria,1,100,100,HMT-706,"SUBP,SUPP",100,,Kingella oralis,Strain: CCUG 30450,706_6164,L06164,Named,
V3V5_123_Bacteroidetes,Bacteroidetes,1,100,100,HMT-325,"SUBP,SUPP",100,,Capnocytophaga granulosa,Clone: AH015,325AH015,AY005074,Named,
V3V5_132_Epsilonproteobacteria,Epsilonproteobacteria,1,100,100,HMT-623,"SUBP,SUPP",100,,Campylobacter gracilis,Strain: ATCC 33236,623_4320,L04320,Named,
V3V5_133_Fusobacteria,Fusobacteria,1,100,100,HMT-563,"SUBP,SUPP",100,,Leptotrichia buccalis,Strain: not listed,563_7788,L37788,Named,
