[RC]                             Taxonomy                                                                             Genus	[RC]                                                          -----                                                          -----                                             Species	[RC]      -----       -----        HOT 1	[RC]   current               -----                 -----      Group	Sorting Named Unnamed Phylotype	[RC]       -----  Phylo order 	Export                   [RC]                                   -----                            RNA filename current master including all on >=14.5	[RC]                        -----              HOMD Ref seq 16S Accession Nos	BLAST Ref Seq	 Taxon Ref	Culti-vated	Culti-vated no genome	Name for LPSN                                                    https://lpsn.dsmz.de/	Exception	Name for NCBI                          https://www.ncbi.nlm.nih.gov/nuccore/?term=              https://www.ncbi.nlm.nih.gov/protein/?term=	Ecveption	Reference sequence for Unnamed	Genome	Note
Abiotrophia	defectiva	_389	Named	Named	725.0	389_0541	D50541	1	1	1	0	species/abiotrophia-defectiva	0	"""Abiotrophia+defectiva"""	0	z		
Achromobacter	xylosoxidans	_343	Named	Named	132.0	343_4907	Y14907	1	1	1	0	species/achromobacter-xylosoxidans	0	"""Achromobacter+xylosoxidans"""	0	z		
Acidipropionibacterium	acidifaciens	_191	Named	Named	901.0	191FMA5B	AF287756	1	1	1	0	species/acidipropionibacterium-acidifaciens	0	"""Acidipropionibacterium+acidifaciens"""	0	z		
Acidovorax	caeni	_211	Named	Named	115.0	211N113A	NR_042427	1	1	1	0	species/acidovorax-caeni	0	"""Acidovorax+caeni"""	0	z		
Acidovorax	ebreus	_209	Named	Named	114.0	209N112A	KM287569	1	1	1	0	species/acidovorax-ebreus	0	"""Acidovorax+ebreus"""	0	z		
Acidovorax	temperans	_216	Named	Named	116.0	216N114A	NR_028715	1	1	1	0	species/acidovorax-temperans	0	"""Acidovorax+temperans"""	0	z		
Acinetobacter	baumannii	_554	Named	Named	58.0	554_1660	X81660	1	1	1	0	species/acinetobacter-baumannii	0	"""Acinetobacter+baumannii"""	0	z		
Acinetobacter	johnsonii	_297	Named	Named	59.0	297N132A	NR_117624	1	1	1	0	species/acinetobacter-johnsonii	0	"""Acinetobacter+johnsonii"""	0	z		
Acinetobacter	junii	_282	Named	Named	57.0	282N127A	NR_117623	1	1	1	0	species/acinetobacter-junii	0	"""Acinetobacter+junii"""	0	z		
Acinetobacter	lwoffii	_005	Named	Named	61.0	005N001A	NR_113346	1	1	1	0	species/acinetobacter-lwoffii	0	"""Acinetobacter+lwoffii"""	0	z		
Acinetobacter	radioresistens	_010	Named	Named	60.0	010N002A	NR_114074	1	1	1	0	species/acinetobacter-radioresistens	0	"""Acinetobacter+radioresistens"""	0	z		
Actinomyces	dentalis	_888	Named	Named	807.0	888_7609	AJ697609	1	1	1	0	species/actinomyces-dentalis	0	"""Actinomyces+dentalis"""	0	z		
Actinomyces	gerencseriae	_618	Named	Named	812.0	618_0414	X80414	1	1	1	0	species/actinomyces-gerencseriae	0	"""Actinomyces+gerencseriae"""	0	z		
Actinomyces	graevenitzii	_866	Named	Named	835.0	866_2167	NR_042167	1	1	1	0	species/actinomyces-graevenitzii	0	"""Actinomyces+graevenitzii"""	0	z		
Actinomyces	israelii	_645	Named	Named	810.0	645_2450	X82450	1	1	1	0	species/actinomyces-israelii	0	"""Actinomyces+israelii"""	0	z		
Actinomyces	johnsonii	_849	Named	Named	825.0	849F0330	GU470900	1	1	1	0	species/actinomyces-johnsonii	0	"""Actinomyces+johnsonii"""	0	z		
Actinomyces	massiliensis	_852	Named	Named	813.0	852F0489	tbd	1	1	1	0	species/actinomyces-massiliensis	0	"""Actinomyces+massiliensis"""	0	z		
Actinomyces	naeslundii	_176	Named	Named	828.0	176EP011	AY008315	1	1	1	0	species/actinomyces-naeslundii	0	"""Actinomyces+naeslundii"""	0	z		
Actinomyces	oricola	_708	Named	Named	816.0	708_7295	AJ507295	1	1	1	1	species/actinomyces-oricola	0	"""Actinomyces+oricola"""	0	z		
Actinomyces	oris	_893	Named	Named	819.0	893_5935	AB545935	1	1	1	0	species/actinomyces-oris	0	"""Actinomyces+oris"""	0	z		
Actinomyces	radicidentis	_746	Named	Named	834.0	746_1986	AJ251986	1	1	1	0	species/actinomyces-radicidentis	0	"""Actinomyces+radicidentis"""	0	z		
Actinomyces	timonensis	_179	Named	Named	833.0	179B19SC	AF287748	1	1	1	0	species/actinomyces-timonensis	0	"""Actinomyces+timonensis"""	0	z		
Actinomyces	viscosus	_688	Named	Named	831.0	688_2453	X82453	1	1	1	0	species/actinomyces-viscosus	0	"""Actinomyces+viscosus"""	0	z		
Aerococcus	viridans	_312	Named	Named	726.0	312N133A	NR_104708	1	1	1	0	species/aerococcus-viridans	0	"""Aerococcus+viridans"""	0	z		
Afipia	broomeae	_559	Named	Named	143.0	559_7759	U87759	1	1	1	0	species/afipia-broomeae	0	"""Afipia+broomeae"""	0	z		
Aggregatibacter	actinomycetemcomitans	_531	Named	Named	11.0	531_5035	M75035	1	1	1	0	species/aggregatibacter-actinomycetemcomitans	0	"""Aggregatibacter+actinomycetemcomitans"""	0	z		
