OLIGO	HMT	SPECIES	STRAIN_CLONE	REFSEQ	NCBI	HOMD_STATUS	NUM_BEST_HITS	BEST_PCT_ID	BEST_FULL_PCT_ID	BM_MEAN	BM_SD	HP_MEAN	HP_SD	KG_MEAN	KG_SD	PT_MEAN	PT_SD	ST_MEAN	ST_SD	SUBP_MEAN	SUBP_SD	SUPP_MEAN	SUPP_SD	SV_MEAN	SV_SD	TD_MEAN	TD_SD	TH_MEAN	TH_SD
V1V3_001_Firmicutes	HMT-058	Streptococcus oralis subsp. dentisani clade 058	Clone: BW009	058BW009	AY005042	Named	12	100.0	100.0	43.05		32.69		46.36		14.80		0.02		6.49		7.58		7.57		5.47		12.42		
V1V3_001_Firmicutes	HMT-058	Streptococcus oralis subsp. dentisani clade 058	Clone: BM035	058BM035	AY005043	Named	12	100.0	100.0	43.05		32.69		46.36		14.80		0.02		6.49		7.58		7.57		5.47		12.42		
V1V3_001_Firmicutes	HMT-071	Streptococcus oralis subsp. tigurinus clade 071	Strain: AZ_3a	071_8234	NR_118234	Named	12	100.0	100.0	43.05		32.69		46.36		14.80		0.02		6.49		7.58		7.57		5.47		12.42		
V1V3_001_Firmicutes	HMT-071	Streptococcus oralis subsp. tigurinus clade 071	Clone: C3ALM006	071_8631	AY278631	Named	12	100.0	100.0	43.05		32.69		46.36		14.80		0.02		6.49		7.58		7.57		5.47		12.42		
V1V3_001_Firmicutes	HMT-071	Streptococcus oralis subsp. tigurinus clade 071	Clone: P4PA_13	071_7062	AY207062	Named	12	100.0	100.0	43.05		32.69		46.36		14.80		0.02		6.49		7.58		7.57		5.47		12.42		
V1V3_001_Firmicutes	HMT-074	Streptococcus sp. HMT 074	Strain: T4-E3	074-T4E3	AF385526	Lost	12	100.0	100.0	43.05		32.69		46.36		14.80		0.02		6.49		7.58		7.57		5.47		12.42		
V1V3_001_Firmicutes	HMT-070	Streptococcus oralis subsp. tigurinus clade 070	Strain: Hans 7A	070-7A	AY005040	Unnamed	12	100.0	100.0	43.05		32.69		46.36		14.80		0.02		6.49		7.58		7.57		5.47		12.42		
V1V3_001_Firmicutes	HMT-677	Streptococcus mitis	Strain: ATCC 49456	677_3929	AF003929	Named	12	100.0	100.0	43.05		32.69		46.36		14.80		0.02		6.49		7.58		7.57		5.47		12.42		
V1V3_001_Firmicutes	HMT-734	Streptococcus pneumoniae	Strain: ATCC 33400	734_3930	AF003930	Named	12	100.0	100.0	43.05		32.69		46.36		14.80		0.02		6.49		7.58		7.57		5.47		12.42		
V1V3_001_Firmicutes	HMT-423	Streptococcus sp. HMT 423	Clone: C2MKM128	423_8630	AY278630	Lost	12	100.0	100.0	43.05		32.69		46.36		14.80		0.02		6.49		7.58		7.57		5.47		12.42		
V1V3_001_Firmicutes	HMT-431	Streptococcus infantis clade 431	Clone: C4AKM023	431_8633	AY278633	Named	12	100.0	100.0	43.05		32.69		46.36		14.80		0.02		6.49		7.58		7.57		5.47		12.42		
V1V3_001_Firmicutes	HMT-398	Streptococcus oralis subsp. dentisani clade 398	Strain: SK34	398_5045	AY005045	Named	12	100.0	100.0	43.05		32.69		46.36		14.80		0.02		6.49		7.58		7.57		5.47		12.42		
V1V3_001_Firmicutes	HMT-073	Streptococcus australis	Strain: ATCC 700641	073_4974	AF184974	Named	12	100.0	100.0	43.05		32.69		46.36		14.80		0.02		6.49		7.58		7.57		5.47		12.42		
