OLIGOTYPE	PHYLUM	NUM_BEST_HITS	BEST_PCT_ID	BEST_FULL_PCT_ID	HMTs	HOMD_SPECIES	STRAIN_CLONE	HOMD_REFSEQ_ID	GB_NCBI_ID	HOMD_STATUS
V1V3_001_Firmicutes	Firmicutes	12	100.0	100.0	HMT-058,HMT-058,HMT-071,HMT-071,HMT-071,HMT-074,HMT-070,HMT-677,HMT-734,HMT-423,HMT-431,HMT-398,HMT-073,HMT-073,HMT-066,HMT-578	Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus sp. HMT 074,Streptococcus oralis subsp. tigurinus clade 070,Streptococcus mitis,Streptococcus pneumoniae,Streptococcus sp. HMT 423,Streptococcus infantis clade 431,Streptococcus oralis subsp. dentisani clade 398,Streptococcus australis,Streptococcus australis,Streptococcus sp. HMT 066,Streptococcus cristatus clade 578	Clone: BW009,Clone: BM035,Strain: AZ_3a,Clone: C3ALM006,Clone: P4PA_13,Strain: T4-E3,Strain: Hans 7A,Strain: ATCC 49456,Strain: ATCC 33400,Clone: C2MKM128,Clone: C4AKM023,Strain: SK34,Strain: ATCC 700641,Strain: T1-E5,Clone: MCE7_144,Strain: NCTC 12479	058BW009,058BM035,071_8234,071_8631,071_7062,074-T4E3,070-7A,677_3929,734_3930,423_8630,431_8633,398_5045,073_4974,073-T1E5,066_1230,578_8313	AY005042,AY005043,NR_118234,AY278631,AY207062,AF385526,AY005040,AF003929,AF003930,AY278630,AY278633,AY005045,AF184974,AF385525,AF481230,AB008313	Named,Named,Named,Named,Named,Lost,Unnamed,Named,Named,Lost,Named,Named,Named,Named,Unnamed,Named	
V1V3_002_Firmicutes	Firmicutes	2	100.0	100.0	HMT-755,HMT-755,HMT-021	Streptococcus salivarius,Streptococcus salivarius,Streptococcus vestibularis	Strain: ATCC 7073,Strain: ATCC 13419,Strain: ATCC 49124	755N000A,755_8839,021_8353	NR_042776,M58839,AY188353	Named,Named,Named	
V1V3_003_Firmicutes	Firmicutes	7	100.0	100.0	HMT-058,HMT-061,HMT-707,HMT-070,HMT-064,HMT-638,HMT-398	Streptococcus oralis subsp. dentisani clade 058,Streptococcus sp. HMT 061,Streptococcus oralis subsp. oralis,Streptococcus oralis subsp. tigurinus clade 070,Streptococcus sp. HMT 064,Streptococcus infantis clade 638,Streptococcus oralis subsp. dentisani clade 398	Clone: C3MLM097,Clone: DN025,Strain: ATCC 35037,Strain: Hans 12F,Clone: C5MLM037,Strain: ATCC 700779,Clone: P2PA_41	058_8632,061DN025,707_3932,070-12F,064_8609,638_8315,398_7051	AY278632,AF432131,AF003932,GQ422711,AY278609,AB008315,AY207051	Named,Lost,Named,Unnamed,Unnamed,Named,Named	
V1V3_004_Firmicutes	Firmicutes	2	100.0	100.0	HMT-161,HMT-160	Veillonella parvula,Veillonella dispar	Clone: BU083,Strain: DSM 20735	161BU083,160Vdisp	AF366266,X84006	Named,Named	
V1V3_005_Actinobacteria	Actinobacteria	2	100.0	100.0	HMT-188,HMT-188,HMT-587	Rothia aeria,Rothia aeria,Rothia dentocariosa	Strain: CCUG 25688,Clone: ncd2429e02c1,Strain: ATCC 17931	188_3025,188_0891,587_9055	Y13025,JF210891,M59055	Named,Named,Named	
V1V3_006_Firmicutes	Firmicutes	1	100.0	100.0	HMT-626	Gemella haemolysans	Strain: ATCC 10379	626_4326	L14326	Named	
V1V3_007_Bacteroidetes	Bacteroidetes	1	100.0	100.0	HMT-469	Prevotella melaninogenica	Strain: ATCC 25845	469_3525	AY323525	Named	
V1V3_008_Epsilonproteobacteria	Epsilonproteobacteria	1	99.623	99.623	HMT-575	Campylobacter concisus	Strain: FDC 288	575_6977	L06977	Named	
V1V3_009_TM7	TM7	3	100.0	100.0	HMT-952,HMT-957,HMT-352	Saccharibacteria (TM7) [G-1] bacterium HMT 952,Saccharibacteria (TM7) [G-1] bacterium HMT 957,Saccharibacteria (TM7) [G-1] bacterium HMT 352	Strain: TM7x,Strain: BB001,Clone: DR034	952-TM7x,95731001,352DR034	tbd,SEQF3100_00133,AF385520	Unnamed,Unnamed,Phylotype	
V1V3_010_Betaproteobacteria	Betaproteobacteria	1	100.0	100.0	HMT-101	Neisseria perflava	Strain: Branham 7078	101N065A	NR_117694	Named	
